date;open;high;low;close;volume
1984-07-19;22.5;22.87;22.5;22.87;7000.0
1984-07-20;22.75;23.12;22.75;23.12;2100.0
1984-07-23;23.0;23.0;23.0;23.0;1600.0
1984-07-24;22.87;23.0;22.75;22.75;12700.0
1984-07-25;22.63;22.63;22.5;22.5;1300.0
1984-07-26;22.5;22.5;22.5;22.5;200.0
1984-07-27;22.75;22.75;22.5;22.5;600.0
1984-07-30;22.75;22.75;22.0;22.0;2200.0
1984-07-31;22.25;22.25;22.0;22.0;500.0
1984-08-01;22.0;22.37;22.0;22.37;1800.0
1984-08-02;22.37;23.0;22.37;23.0;4300.0
1984-08-03;23.0;24.12;23.0;23.88;13700.0
1984-08-06;24.0;24.25;24.0;24.0;2700.0
1984-08-07;24.25;24.5;24.25;24.38;5600.0
1984-08-08;24.5;24.75;24.38;24.38;8700.0
1984-08-09;24.38;24.38;24.38;24.38;500.0
1984-08-10;24.63;25.0;24.63;24.75;13300.0
1984-08-13;24.63;24.75;24.63;24.63;2500.0
1984-08-14;24.75;24.87;24.5;24.75;3100.0
1984-08-15;24.63;24.75;24.63;24.75;800.0
1984-08-16;24.75;24.75;24.5;24.5;2600.0
1984-08-17;24.63;24.75;24.5;24.5;1600.0
1984-08-20;24.38;24.38;24.0;24.12;4600.0
1984-08-21;24.12;24.5;24.12;24.5;5100.0
1984-08-22;24.25;24.75;24.25;24.75;3800.0
1984-08-23;24.75;24.75;24.5;24.5;1700.0
1984-08-24;24.5;24.5;24.5;24.5;1100.0
1984-08-27;24.5;24.75;24.5;24.75;1300.0
1984-08-28;24.5;24.75;24.5;24.63;11500.0
1984-08-29;24.5;24.63;24.5;24.5;700.0
1984-08-30;24.5;24.63;24.38;24.63;1700.0
1984-08-31;24.5;24.5;24.25;24.25;1200.0
1984-09-04;24.5;24.5;23.75;23.75;8000.0
1984-09-05;23.75;23.75;23.62;23.62;300.0
1984-09-06;23.5;23.75;23.5;23.5;4600.0
1984-09-07;23.5;23.5;23.25;23.25;1300.0
1984-09-10;23.25;23.25;23.25;23.25;200.0
1984-09-11;23.0;23.0;22.25;22.5;12200.0
1984-09-12;22.75;23.0;22.5;23.0;7800.0
1984-09-13;22.87;23.25;22.87;23.12;2700.0
1984-09-14;23.5;23.62;22.87;23.12;15800.0
1984-09-17;23.0;23.0;22.75;22.75;24700.0
1984-09-18;23.0;23.0;22.63;22.87;3500.0
1984-09-19;22.63;22.75;22.63;22.63;2100.0
1984-09-20;22.87;23.0;22.75;22.87;4800.0
1984-09-21;22.75;23.0;22.25;22.25;14200.0
1984-09-24;22.13;22.25;22.0;22.0;3600.0
1984-09-25;22.0;22.13;21.62;21.75;5800.0
1984-09-26;22.0;22.0;21.62;21.75;2700.0
1984-09-27;22.0;22.0;21.12;21.25;7100.0
1984-09-28;21.0;21.0;20.75;21.0;6300.0
1984-10-01;21.0;21.0;19.75;19.87;16300.0
1984-10-02;20.13;20.25;19.62;19.62;9800.0
1984-10-03;19.5;20.0;19.5;20.0;8100.0
1984-10-04;20.0;20.37;19.75;20.37;6800.0
1984-10-05;20.5;20.75;20.37;20.75;3100.0
1984-10-08;20.88;20.88;20.25;20.25;2700.0
1984-10-09;20.25;20.75;20.25;20.25;6700.0
1984-10-10;20.37;20.5;20.13;20.25;10300.0
1984-10-11;20.37;20.62;20.37;20.37;5200.0
1984-10-12;20.37;20.75;20.25;20.75;5800.0
1984-10-15;20.5;21.0;20.5;21.0;7200.0
1984-10-16;21.0;21.38;20.75;21.25;2100.0
1984-10-17;21.38;21.75;21.25;21.25;27000.0
