date;open;high;low;close;volume
1990-06-27;11.63;11.75;11.38;11.5;704044.0
1990-06-28;11.5;12.25;11.5;12.25;586844.0
1990-06-29;12.25;12.5;12.0;12.25;376400.0
1990-07-02;12.25;12.5;11.25;11.63;176444.0
1990-07-03;11.63;11.75;11.38;11.75;88800.0
1990-07-05;11.75;11.75;11.5;11.75;54444.0
1990-07-06;11.75;11.75;11.5;11.5;56400.0
1990-07-09;11.5;11.63;11.25;11.38;166400.0
1990-07-10;11.38;11.5;11.12;11.25;284044.0
1990-07-11;11.25;11.5;11.25;11.38;72844.0
1990-07-12;11.38;11.5;10.87;10.87;58444.0
1990-07-13;10.87;11.25;10.12;10.37;266800.0
1990-07-16;10.37;11.0;10.25;10.5;48800.0
1990-07-17;10.5;11.25;10.5;11.25;61644.0
1990-07-18;11.25;11.5;11.0;11.12;30178.0
1990-07-19;11.12;11.25;10.62;10.75;13644.0
1990-07-20;10.75;11.0;10.62;10.87;49200.0
1990-07-23;10.87;11.12;10.37;10.37;32800.0
1990-07-24;10.37;10.75;10.37;10.5;8178.0
1990-07-25;10.5;10.75;10.5;10.5;8267.0
1990-07-26;10.62;11.0;10.62;11.0;56044.0
1990-07-27;11.0;11.0;10.62;10.75;7378.0
1990-07-30;10.75;11.0;10.37;10.62;50444.0
1990-07-31;10.62;10.62;10.25;10.5;36267.0
1990-08-01;10.5;10.5;10.25;10.37;29067.0
1990-08-02;10.37;10.5;9.63;9.63;61644.0
1990-08-03;9.63;9.63;8.75;8.87;187467.0
1990-08-06;8.87;8.87;7.5;7.75;293244.0
1990-08-07;7.75;8.0;7.63;7.63;139378.0
1990-08-08;7.75;9.25;7.75;8.87;84844.0
1990-08-09;8.87;9.13;8.87;9.13;5378.0
1990-08-10;9.13;9.13;8.87;9.13;15067.0
1990-08-13;9.13;9.13;8.75;8.75;8844.0
1990-08-14;8.87;9.13;8.87;8.87;10978.0
1990-08-15;8.87;9.0;8.75;9.0;14978.0
1990-08-16;9.0;9.0;8.37;8.37;44000.0
1990-08-17;8.37;8.62;7.88;8.12;70000.0
1990-08-20;8.12;8.37;8.0;8.12;6178.0
1990-08-21;8.12;8.25;7.63;7.88;37600.0
1990-08-22;7.88;8.0;7.75;8.0;17067.0
1990-08-23;7.88;7.88;7.38;7.5;129867.0
1990-08-24;7.63;8.0;7.63;8.0;11244.0
1990-08-27;8.0;8.12;7.88;8.0;15244.0
1990-08-28;8.12;8.5;8.12;8.12;30667.0
1990-08-29;8.12;8.25;8.0;8.25;34000.0
1990-08-30;8.25;8.25;7.75;7.75;28400.0
1990-08-31;7.75;8.0;7.75;8.0;7244.0
1990-09-04;8.0;8.12;7.75;7.88;28400.0
1990-09-05;7.88;8.12;7.88;8.0;21467.0
1990-09-06;8.0;8.12;7.88;8.0;20044.0
1990-09-07;8.0;8.0;7.75;7.75;20978.0
1990-09-10;7.75;8.0;7.5;7.63;39200.0
1990-09-11;7.63;7.75;7.38;7.63;22400.0
1990-09-12;7.5;7.5;7.0;7.13;152578.0
1990-09-13;7.13;7.25;7.13;7.25;36400.0
1990-09-14;7.25;7.25;7.0;7.25;16844.0
1990-09-17;7.25;7.25;7.0;7.25;22800.0
1990-09-18;7.25;7.25;7.0;7.13;40400.0
1990-09-19;7.13;7.25;6.88;7.13;54000.0
1990-09-20;7.13;7.25;7.0;7.13;4267.0
1990-09-21;7.13;7.13;7.0;7.0;8978.0
1990-09-24;7.0;7.13;6.62;6.62;52044.0
1990-09-25;6.62;6.75;6.5;6.75;9867.0
