date;open;high;low;close;volume
1988-08-12;10.75;10.88;10.75;10.88;97000.0
1988-08-15;10.88;11.38;10.88;11.0;160400.0
1988-08-16;11.0;11.0;10.75;10.88;35700.0
1988-08-17;10.88;10.88;10.75;10.88;30700.0
1988-08-18;10.88;10.88;10.75;10.88;25200.0
1988-08-19;10.88;11.12;10.75;11.12;72400.0
1988-08-22;11.12;11.12;10.88;10.88;27900.0
1988-08-23;10.88;11.0;10.75;10.88;18400.0
1988-08-24;10.88;11.0;10.75;10.75;10900.0
1988-08-25;10.75;11.0;10.75;11.0;22400.0
1988-08-26;11.0;11.0;10.88;10.88;17000.0
1988-08-29;10.88;11.0;10.88;11.0;12300.0
1988-08-30;11.0;11.0;10.88;10.88;8100.0
1988-08-31;10.88;10.88;10.62;10.62;8600.0
1988-09-01;10.75;10.88;10.75;10.88;9500.0
1988-09-02;10.88;10.88;10.75;10.75;13700.0
1988-09-06;10.75;10.88;10.75;10.75;14500.0
1988-09-07;10.75;11.0;10.5;10.5;16000.0
1988-09-08;10.5;10.75;10.5;10.5;3800.0
1988-09-09;10.5;10.5;10.5;10.5;7500.0
1988-09-12;10.5;10.62;10.5;10.62;3200.0
1988-09-13;10.75;10.88;10.75;10.88;42700.0
1988-09-14;10.88;10.88;10.5;10.62;5200.0
1988-09-15;10.62;10.62;10.5;10.5;4300.0
1988-09-16;10.5;10.62;10.38;10.38;17200.0
1988-09-19;10.38;10.5;10.38;10.5;10700.0
1988-09-20;10.5;10.5;10.38;10.5;14100.0
1988-09-21;10.5;10.88;10.25;10.88;97700.0
1988-09-22;10.75;10.75;10.5;10.75;25900.0
1988-09-23;10.75;10.75;10.62;10.62;21800.0
1988-09-26;10.62;10.75;10.62;10.62;8100.0
1988-09-27;10.62;10.75;10.62;10.75;6800.0
1988-09-28;10.5;10.5;10.5;10.5;1200.0
1988-09-29;10.5;10.88;10.5;10.88;32300.0
1988-09-30;10.88;11.0;10.75;10.88;38700.0
1988-10-03;10.88;11.12;10.88;10.88;29100.0
1988-10-04;10.88;11.62;10.75;11.0;122700.0
1988-10-05;10.88;10.88;10.62;10.75;25400.0
1988-10-06;10.88;10.88;10.5;10.5;24100.0
1988-10-07;10.62;10.88;10.62;10.88;107300.0
1988-10-10;10.75;10.75;10.5;10.62;3600.0
1988-10-11;10.5;10.5;10.25;10.38;18100.0
1988-10-12;10.12;10.25;10.12;10.12;13800.0
1988-10-13;10.25;10.25;10.0;10.0;6400.0
1988-10-14;10.12;10.38;10.12;10.38;62700.0
1988-10-17;10.5;10.75;10.5;10.75;88200.0
1988-10-18;10.88;11.0;10.75;11.0;52100.0
1988-10-19;11.12;11.62;11.0;11.38;114000.0
1988-10-20;11.5;11.62;11.12;11.38;34000.0
1988-10-21;11.5;11.5;11.38;11.5;18200.0
1988-10-24;11.5;11.5;11.25;11.38;7600.0
1988-10-25;11.38;11.5;11.25;11.5;22100.0
1988-10-26;11.38;11.5;11.25;11.25;14700.0
1988-10-27;11.25;11.25;11.0;11.12;15200.0
1988-10-28;11.25;11.25;11.12;11.25;15300.0
1988-10-31;11.12;11.25;11.0;11.0;4400.0
1988-11-01;10.88;11.0;10.88;11.0;8000.0
1988-11-02;11.0;11.0;11.0;11.0;6300.0
1988-11-03;10.88;11.0;10.88;11.0;8800.0
1988-11-04;10.88;11.0;10.75;10.88;7000.0
1988-11-07;11.0;11.5;11.0;11.38;17700.0
1988-11-08;11.25;11.38;11.12;11.25;18800.0
1988-11-09;11.25;11.25;11.12;11.12;4400.0
1988-11-10;11.0;11.25;11.0;11.25;7700.0
1988-11-11;11.25;11.25;11.12;11.25;3500.0
1988-11-14;11.25;11.25;11.0;11.12;23000.0
1988-11-15;11.0;11.12;11.0;11.12;7200.0
1988-11-16;11.12;11.12;11.0;11.0;7500.0
1988-11-17;11.12;11.12;10.88;11.0;3600.0
1988-11-18;11.12;11.75;11.0;11.75;76600.0
1988-11-21;11.88;11.88;11.38;11.38;34200.0
1988-11-22;11.38;11.38;11.12;11.25;11500.0
1988-11-23;11.25;11.62;11.25;11.5;14300.0
1988-11-25;11.5;11.5;11.5;11.5;0.0
1988-11-28;11.38;11.75;11.38;11.62;83300.0
1988-11-29;11.75;12.0;11.75;11.88;75400.0
1988-11-30;12.0;12.12;11.88;12.0;77600.0
1988-12-01;11.88;12.0;11.75;11.88;11200.0
1988-12-02;11.75;11.88;11.75;11.88;8600.0
1988-12-05;11.88;11.88;11.5;11.88;14900.0
1988-12-06;12.0;12.0;11.75;11.88;40600.0
1988-12-07;11.75;11.88;11.75;11.88;11300.0
1988-12-08;11.88;11.88;11.88;11.88;3200.0
1988-12-09;11.88;11.88;11.62;11.75;13800.0
1988-12-12;11.75;11.88;11.75;11.88;29500.0
1988-12-13;11.88;11.88;11.62;11.75;33300.0
1988-12-14;11.75;11.75;11.62;11.75;2400.0
1988-12-15;11.62;11.75;11.62;11.62;15900.0
1988-12-16;11.75;11.75;11.75;11.75;17700.0
1988-12-19;11.75;11.88;11.75;11.88;18900.0
1988-12-20;11.88;11.88;11.75;11.88;18700.0
1988-12-21;11.88;12.12;11.75;12.12;14700.0
1988-12-22;12.0;12.12;11.62;11.62;25800.0
1988-12-23;11.75;11.75;11.75;11.75;3100.0
1988-12-27;11.75;11.75;11.62;11.75;4200.0
1988-12-28;11.25;11.38;11.25;11.38;53300.0
1988-12-29;11.38;11.5;11.38;11.5;6600.0
1988-12-30;11.38;11.5;11.38;11.5;5900.0
1989-01-03;11.5;11.62;11.5;11.5;9600.0
1989-01-04;11.62;11.62;11.62;11.62;4100.0
1989-01-05;11.62;11.75;11.62;11.75;7800.0
1989-01-06;11.88;11.88;11.5;11.88;35200.0
