date;open;high;low;close;volume
2014-04-10;16.85;17.24;14.0;14.01;2408700.0
2014-04-11;13.74;13.904;12.02;13.0;197200.0
2014-04-14;12.96;13.89;12.71;13.6;36500.0
2014-04-15;14.44;14.44;13.1;13.39;40500.0
2014-04-16;13.4;13.4701;13.03;13.2;32300.0
2014-04-17;13.14;13.44;12.9;13.01;24400.0
2014-04-21;13.61;14.25;13.0;14.14;9800.0
2014-04-22;14.7;15.4;13.9;15.25;42800.0
2014-04-23;15.11;15.35;14.42;15.01;8900.0
2014-04-24;15.0;16.26;15.0;15.98;55000.0
2014-04-25;15.39;15.96;14.5;15.69;60300.0
2014-04-28;16.04;16.31;15.56;15.94;33100.0
2014-04-29;15.94;16.76;15.908;16.0;80000.0
2014-04-30;16.0;19.11;16.0;18.45;148300.0
2014-05-01;18.69;21.6299;18.45;20.07;164200.0
2014-05-02;20.06;20.6;19.62;20.01;111100.0
2014-05-05;20.0;20.1;18.5;20.0;139300.0
2014-05-06;20.0;20.47;19.51;20.0;89700.0
2014-05-07;20.38;20.38;19.46;19.96;30900.0
2014-05-08;19.52;19.93;15.77;19.37;218900.0
2014-05-09;19.25;19.8599;18.582;19.23;57200.0
2014-05-12;19.36;20.49;18.765;19.15;39200.0
2014-05-13;19.03;19.6;18.56;19.5;24700.0
2014-05-14;18.51;19.52;18.16;19.37;36600.0
2014-05-15;19.284;19.33;17.51;18.95;36900.0
2014-05-16;18.45;19.61;18.45;18.76;17700.0
2014-05-19;18.7;18.988;18.0001;18.26;37600.0
2014-05-20;17.9;19.69;17.2;18.88;85900.0
2014-05-21;19.39;19.71;18.25;18.82;73000.0
2014-05-22;18.4;19.2815;18.37;18.76;60700.0
2014-05-23;18.53;19.08;18.3531;18.49;28800.0
2014-05-27;18.42;18.6;17.69;18.5;103100.0
2014-05-28;18.44;18.73;18.015;18.16;65000.0
2014-05-29;18.29;18.45;17.5319;18.06;26300.0
2014-05-30;18.13;18.45;17.805;17.85;25500.0
2014-06-02;18.0;18.12;17.76;17.87;9300.0
2014-06-03;18.0;18.15;17.81;17.97;12400.0
2014-06-04;18.14;18.14;17.52;17.57;17100.0
2014-06-05;17.5;18.55;17.5;18.29;24300.0
2014-06-06;18.47;19.18;18.33;18.83;35400.0
2014-06-09;18.94;19.74;18.86;19.35;112700.0
2014-06-10;19.44;19.5;19.1;19.47;22900.0
2014-06-11;19.53;19.9299;19.3;19.32;21200.0
2014-06-12;19.27;20.11;19.2699;19.65;32200.0
2014-06-13;19.3;19.301;18.3301;18.72;18700.0
2014-06-16;18.81;19.38;18.5001;18.87;17600.0
2014-06-17;19.38;19.5;18.77;19.5;13300.0
2014-06-18;19.5;20.08;19.44;19.59;21300.0
2014-06-19;19.46;19.69;19.1;19.48;42000.0
2014-06-20;19.3;21.0;18.8905;19.21;149900.0
2014-06-23;19.37;19.75;19.21;19.31;41000.0
2014-06-24;19.36;19.64;18.95;19.42;25000.0
2014-06-25;19.375;19.75;19.18;19.41;23500.0
2014-06-26;19.37;19.69;18.0601;18.65;44200.0
2014-06-27;18.49;19.06;17.71;17.71;419500.0
2014-06-30;17.9;18.8;17.65;18.28;59600.0
2014-07-01;18.24;18.63;18.08;18.46;64900.0
2014-07-02;18.52;19.1;17.97;18.36;72300.0
2014-07-03;18.43;18.43;17.6;17.97;50800.0
2014-07-07;18.13;18.9;17.01;17.3;88200.0
2014-07-08;18.04;18.49;16.51;17.02;116000.0
2014-07-09;17.01;17.38;16.16;16.69;135500.0
2014-07-10;16.39;16.65;16.0;16.08;90600.0
2014-07-11;16.09;16.9;16.02;16.72;31700.0
2014-07-14;16.46;16.67;16.09;16.2;43100.0
2014-07-15;16.13;17.6;16.13;17.34;138400.0
2014-07-16;16.38;17.27;16.38;16.87;84100.0
2014-07-17;16.55;17.9499;16.55;16.78;75700.0
2014-07-18;16.83;17.92;16.58;17.52;80500.0
2014-07-21;17.0;17.22;16.0401;16.5;131500.0
2014-07-22;16.68;17.3;16.39;16.66;143200.0
2014-07-23;16.69;17.5;16.55;16.77;79700.0
2014-07-24;16.69;16.97;16.51;16.92;71000.0
2014-07-25;16.77;16.89;16.06;16.65;104700.0
2014-07-28;16.93;16.93;16.21;16.21;64400.0
2014-07-29;16.44;16.78;15.8;16.09;51800.0
2014-07-30;16.13;16.758;15.59;16.07;67300.0
2014-07-31;15.9;16.12;15.42;15.91;56200.0
2014-08-01;15.99;16.42;15.5401;16.09;30900.0
2014-08-04;16.25;16.9281;15.6;16.02;63000.0
2014-08-05;15.92;16.3;15.83;16.09;67900.0
2014-08-06;15.99;16.33;15.85;16.19;40100.0
2014-08-07;16.892;16.892;15.57;15.71;15700.0
2014-08-08;15.82;15.82;14.74;15.57;14800.0
2014-08-11;15.59;16.33;15.46;16.11;58300.0
2014-08-12;16.05;16.6099;15.85;16.49;40300.0
2014-08-13;16.6;16.96;16.23;16.79;32400.0
2014-08-14;16.77;16.97;16.35;16.8;29200.0
2014-08-15;17.02;17.67;16.52;17.45;50700.0
2014-08-18;17.64;18.15;17.35;17.59;25500.0
2014-08-19;17.23;18.52;17.23;17.96;20400.0
2014-08-20;17.81;18.53;17.145;17.93;15600.0
2014-08-21;18.08;18.74;17.46;18.37;30000.0
2014-08-22;18.45;18.45;17.627;17.83;15900.0
2014-08-25;17.91;18.03;17.51;17.77;10500.0
2014-08-26;17.7;18.29;17.2;18.2;51600.0
2014-08-27;17.64;18.3;17.64;18.19;23600.0
2014-08-28;18.08;18.11;17.66;17.99;9600.0
2014-08-29;17.8;18.75;17.8;18.74;39000.0
2014-09-02;18.65;18.75;18.0;18.4;26400.0
2014-09-03;18.03;18.68;17.42;17.89;20100.0
2014-09-04;17.85;18.44;17.2;17.35;9900.0
2014-09-05;17.4;18.0;17.0;17.91;48300.0
2014-09-08;17.95;18.18;17.63;17.99;25700.0
2014-09-09;18.0;18.0;17.55;17.83;71200.0
2014-09-10;17.73;17.88;17.63;17.86;20300.0
2014-09-11;17.75;18.26;17.54;17.99;14600.0
2014-09-12;18.05;18.29;17.75;18.12;14700.0
2014-09-15;18.18;18.45;17.51;17.55;39400.0
2014-09-16;17.67;18.24;17.55;18.06;32700.0
2014-09-17;18.15;18.49;17.8001;17.88;22600.0
2014-09-18;17.62;17.97;17.62;17.76;17500.0
2014-09-19;17.73;17.78;17.5;17.7;15700.0
2014-09-22;17.51;17.86;16.85;16.85;34400.0
2014-09-23;16.45;16.78;16.12;16.29;30100.0
2014-09-24;16.33;16.93;16.33;16.9;13774.0
2014-09-25;17.04;17.24;16.91;17.02;8015.0
2014-09-26;17.13;17.2;16.75;16.94;3670.0
2014-09-29;16.91;17.27;16.69;17.24;13228.0
2014-09-30;17.21;18.65;16.755;18.62;67027.0
2014-10-01;18.5;20.31;18.4;19.98;82311.0
2014-10-02;19.83;20.59;18.98;20.0;46982.0
2014-10-03;20.09;20.7;19.25;19.38;35377.0
2014-10-06;19.5;19.5;17.95;18.05;36148.0
2014-10-07;16.15;16.48;13.83;14.32;1197294.0
2014-10-08;14.75;15.18;14.25;15.06;364048.0
2014-10-09;14.92;14.92;14.0;14.6;75251.0
2014-10-10;14.64;14.75;13.8;14.51;59863.0
2014-10-13;14.66;15.1;14.05;14.96;87900.0
2014-10-14;15.03;15.15;13.94;14.13;73256.0
2014-10-15;14.0;14.64;13.91;14.07;35582.0
2014-10-16;13.72;14.5699;13.72;14.42;31344.0
2014-10-17;14.7;14.73;14.5;14.54;43797.0
2014-10-20;14.61;14.9099;13.92;14.32;46090.0
