date;open;high;low;close;volume
1995-11-16;24.0;24.75;21.25;21.25;2742200.0
1995-11-17;21.75;23.25;18.75;22.0;662400.0
1995-11-20;22.25;22.5;20.5;21.0;286200.0
1995-11-21;20.5;20.75;19.5;20.25;301867.0
1995-11-22;20.25;20.5;20.25;20.5;84667.0
1995-11-24;20.25;20.5;20.25;20.25;22867.0
1995-11-27;20.25;20.5;20.25;20.38;62267.0
1995-11-28;20.25;21.75;20.25;21.13;103600.0
1995-11-29;21.25;21.75;21.25;21.5;145800.0
1995-11-30;21.25;21.75;20.5;21.0;92067.0
1995-12-01;21.0;21.0;19.25;19.75;67800.0
1995-12-04;19.5;21.0;19.5;21.0;93867.0
1995-12-05;21.0;21.0;19.25;19.25;51867.0
1995-12-06;19.25;20.0;18.25;18.75;132867.0
1995-12-07;18.75;19.25;18.75;18.88;108867.0
1995-12-08;18.75;19.25;18.75;18.88;133267.0
1995-12-11;18.5;19.0;17.25;17.25;64067.0
1995-12-12;17.25;17.5;15.5;16.0;147800.0
1995-12-13;16.5;17.75;16.0;17.75;74667.0
1995-12-14;17.75;17.75;16.0;16.0;90267.0
1995-12-15;16.0;16.75;15.75;15.75;21600.0
1995-12-18;15.5;16.25;14.25;14.25;109467.0
1995-12-19;14.25;15.0;14.25;15.0;95400.0
1995-12-20;15.25;15.25;14.0;14.5;36867.0
1995-12-21;14.5;15.25;14.5;15.25;29200.0
1995-12-22;15.75;18.25;15.75;16.75;196267.0
1995-12-26;17.0;17.0;16.25;16.5;41600.0
1995-12-27;17.0;17.75;17.0;17.25;92467.0
1995-12-28;17.0;17.5;16.75;17.25;33667.0
1995-12-29;17.25;18.5;17.25;17.75;37067.0
1996-01-02;17.75;18.5;17.75;18.25;15200.0
1996-01-03;18.75;18.75;17.75;18.12;20200.0
1996-01-04;17.75;18.5;17.75;18.25;12267.0
1996-01-05;18.75;18.75;17.75;18.125;35267.0
1996-01-08;17.25;17.25;16.75;16.88;3400.0
1996-01-09;17.25;17.25;16.25;16.25;13800.0
1996-01-10;17.25;17.25;16.75;16.875;37667.0
1996-01-11;17.25;17.25;16.25;16.25;8800.0
1996-01-12;16.25;16.25;15.0;15.0;14400.0
1996-01-15;15.25;15.5;15.0;15.0;28800.0
1996-01-16;14.5;15.0;14.0;14.0;55200.0
1996-01-17;15.25;15.5;15.0;15.0;64800.0
1996-01-18;14.5;15.0;14.0;14.0;53200.0
1996-01-19;14.5;16.0;14.0;16.0;12000.0
1996-01-22;17.5;18.0;17.5;18.0;9000.0
1996-01-23;17.5;18.0;16.75;16.75;11200.0
1996-01-24;17.5;18.0;17.5;18.0;241600.0
1996-01-25;17.5;18.0;16.75;16.75;74200.0
1996-01-26;17.75;20.0;17.75;19.75;42067.0
1996-01-29;19.25;19.75;19.25;19.25;42000.0
1996-01-30;19.25;19.5;19.25;19.25;15867.0
1996-01-31;19.25;19.75;19.25;19.25;16400.0
1996-02-01;19.25;19.5;19.25;19.25;35800.0
1996-02-02;19.5;19.5;19.25;19.25;23600.0
1996-02-05;19.25;19.5;19.25;19.25;9600.0
1996-02-06;19.375;19.75;19.25;19.375;92067.0
1996-02-07;19.25;19.375;19.25;19.25;26267.0
1996-02-08;19.25;19.5;19.0;19.0;178600.0
1996-02-09;19.0;19.0;18.25;18.25;9867.0
1996-02-12;18.75;20.5;18.75;20.25;63200.0
1996-02-13;20.25;21.75;20.25;20.25;60667.0
1996-02-14;20.25;20.25;19.5;19.75;42867.0
1996-02-15;19.75;20.0;19.5;20.0;4200.0
1996-02-16;20.0;20.0;19.5;20.0;8000.0
1996-02-20;19.5;20.25;19.25;19.25;13200.0
1996-02-21;19.0;19.75;19.0;19.75;1667.0
1996-02-22;19.0;19.75;19.0;19.0;7800.0
1996-02-23;19.0;19.25;19.0;19.25;36400.0
1996-02-26;19.25;19.25;19.0;19.125;9467.0
1996-02-27;19.0;19.0;19.0;19.0;4000.0
1996-02-28;19.25;19.25;19.0;19.0;1200.0
1996-02-29;19.25;19.25;19.0;19.0;4800.0
1996-03-01;19.0;19.25;19.0;19.0;4800.0
1996-03-04;19.75;21.25;19.0;21.0;40800.0
