date;open;high;low;close;volume
1994-04-14;16.75;18.5;16.75;18.0;2408444.0
1994-04-15;18.5;18.75;17.25;17.75;417200.0
1994-04-18;17.25;17.75;16.75;17.0;373644.0
1994-04-19;16.75;17.25;16.25;16.25;304000.0
1994-04-20;16.25;16.75;16.25;16.25;97644.0
1994-04-21;16.25;16.75;16.0;16.75;99467.0
1994-04-22;16.25;16.75;16.0;16.0;41778.0
1994-04-25;16.0;16.75;16.0;16.5;115378.0
1994-04-26;16.75;16.75;16.5;16.63;101867.0
1994-04-28;16.5;16.75;16.25;16.25;49867.0
1994-04-29;16.0;16.25;15.5;15.62;70444.0
1994-05-02;15.5;16.0;15.5;16.0;112400.0
1994-05-03;16.0;16.0;15.5;15.5;42444.0
1994-05-04;15.5;16.0;14.5;14.5;65467.0
1994-05-05;15.0;15.0;14.5;14.5;347467.0
1994-05-06;14.62;15.25;14.62;15.25;70667.0
1994-05-09;15.0;15.5;15.0;15.12;33778.0
1994-05-10;15.25;15.75;15.0;15.25;66978.0
1994-05-11;14.75;15.25;14.75;15.0;79644.0
1994-05-12;15.0;15.0;13.25;13.25;96444.0
1994-05-13;13.5;14.0;13.25;13.5;144444.0
1994-05-16;13.75;13.75;13.25;13.25;26578.0
1994-05-17;13.25;13.63;12.5;12.75;73600.0
1994-05-18;13.0;13.5;12.5;13.5;72178.0
1994-05-19;13.5;13.5;13.0;13.0;177644.0
1994-05-20;13.5;14.0;13.25;14.0;168444.0
1994-05-23;13.5;14.0;13.5;13.75;49778.0
1994-05-24;14.0;14.5;13.5;14.5;34178.0
1994-05-25;14.0;14.75;14.0;14.38;14667.0
1994-05-26;14.0;14.75;14.0;14.62;35244.0
1994-05-27;15.0;15.0;14.5;15.0;2800.0
1994-05-31;15.0;15.5;14.5;15.5;54800.0
1994-06-01;15.75;15.75;15.25;15.62;70444.0
1994-06-02;15.5;15.5;14.5;14.5;80178.0
1994-06-03;15.0;15.25;14.75;15.0;131867.0
1994-06-06;15.25;15.25;14.25;14.5;100800.0
1994-06-07;14.25;15.0;14.25;15.0;22667.0
1994-06-08;15.0;15.0;14.5;14.5;11200.0
1994-06-09;14.5;14.5;14.5;14.5;2000.0
1994-06-10;14.5;14.75;14.5;14.5;43378.0
1994-06-13;14.5;14.75;13.69;13.75;24044.0
1994-06-14;14.25;14.25;13.75;14.25;13467.0
1994-06-15;13.75;14.75;13.75;14.62;43467.0
1994-06-16;14.5;15.0;14.5;15.0;3600.0
