date;open;high;low;close;volume
1984-09-07;66.0;66.25;64.75;64.75;53518.0
1984-09-10;65.0;65.25;65.0;65.0;31184.0
1984-09-11;65.5;66.0;65.5;65.5;115800.0
1984-09-12;67.0;67.62;67.0;67.0;100124.0
1984-09-13;67.87;67.87;67.87;67.87;88494.0
1984-09-14;67.87;68.75;67.87;68.75;65823.0
1984-09-17;68.5;68.5;68.5;68.5;205727.0
1984-09-18;68.5;68.5;67.5;67.5;67340.0
1984-09-19;67.5;67.62;67.0;67.0;58153.0
1984-09-20;66.5;66.5;66.5;66.5;148922.0
1984-09-21;66.5;66.87;65.0;65.0;212891.0
1984-09-24;65.0;66.0;64.5;64.5;52591.0
1984-09-25;64.5;64.75;64.12;64.12;59839.0
1984-09-26;64.5;64.75;64.5;64.5;111502.0
1984-09-27;64.5;64.5;63.87;63.87;104760.0
1984-09-28;63.87;64.75;63.87;64.12;176988.0
1984-10-01;64.12;64.12;64.12;64.12;107035.0
1984-10-02;64.5;64.5;64.5;64.5;135775.0
1984-10-03;64.5;64.5;63.25;63.25;64137.0
1984-10-04;63.87;63.87;63.87;63.87;117823.0
1984-10-05;63.87;64.5;63.75;64.5;31015.0
1984-10-08;64.37;64.37;64.37;64.37;302396.0
1984-10-09;65.0;65.25;65.0;65.0;78380.0
1984-10-10;64.87;65.25;64.62;65.25;102821.0
1984-10-11;65.5;65.75;65.37;65.62;138135.0
1984-10-12;66.37;66.37;65.75;66.37;100799.0
1984-10-15;66.37;68.12;66.37;68.12;108974.0
1984-10-16;68.12;68.62;68.0;68.0;125998.0
1984-10-17;68.0;68.12;67.75;68.0;80909.0
1984-10-18;68.0;70.62;67.75;70.62;173448.0
1984-10-19;72.0;73.0;71.0;71.75;224016.0
1984-10-22;71.75;71.75;71.12;71.12;69362.0
1984-10-23;69.37;70.75;68.0;68.12;193001.0
1984-10-24;67.25;68.0;66.5;67.0;207413.0
1984-10-25;67.0;68.0;67.0;67.0;199996.0
1984-10-26;65.37;65.75;64.25;64.25;258908.0
1984-10-29;64.25;65.12;64.25;64.87;95152.0
1984-10-30;65.87;66.25;65.0;65.87;169824.0
1984-10-31;67.0;68.0;66.12;67.37;217021.0
1984-11-01;67.62;68.25;67.12;67.87;223257.0
1984-11-02;68.0;68.87;67.62;68.87;146563.0
1984-11-05;69.0;69.0;68.5;69.0;34639.0
1984-11-06;69.25;71.87;69.25;71.87;256548.0
1984-11-07;72.0;72.25;71.12;71.75;188113.0
1984-11-08;71.62;72.25;71.0;72.25;108131.0
1984-11-09;68.75;68.75;67.62;68.0;1061926.0
