date;open;high;low;close;volume
1984-09-07;33.25;34.0;33.25;34.0;10430.0
1984-09-10;34.0;34.0;33.62;33.88;3038.0
1984-09-11;33.88;33.88;33.88;33.88;0.0
1984-09-12;33.88;34.12;33.88;33.88;3564.0
1984-09-13;33.88;33.88;33.62;33.75;1975.0
1984-09-14;33.75;34.0;33.5;34.0;7831.0
1984-09-17;34.0;34.0;33.5;33.5;11035.0
1984-09-18;33.5;33.88;33.37;33.88;83209.0
1984-09-19;33.75;33.75;33.5;33.5;790.0
1984-09-20;33.5;33.88;33.5;33.5;1773.0
1984-09-21;33.75;33.75;33.75;33.75;369.0
1984-09-24;33.75;33.75;33.37;33.37;1975.0
1984-09-25;33.37;33.5;33.37;33.37;1589.0
1984-09-26;33.62;33.75;33.62;33.75;957.0
1984-09-27;34.0;34.37;34.0;34.37;2142.0
1984-09-28;34.37;34.37;34.37;34.37;369.0
1984-10-01;34.0;34.0;34.0;34.0;957.0
1984-10-02;33.75;33.75;33.5;33.5;19753.0
1984-10-03;33.5;33.62;33.5;33.5;9596.0
1984-10-04;33.5;33.75;33.37;33.75;9771.0
1984-10-05;34.0;34.0;34.0;34.0;9.0
1984-10-08;34.0;34.0;34.0;34.0;9.0
1984-10-09;34.0;34.0;34.0;34.0;0.0
1984-10-10;34.0;34.37;34.0;34.0;790.0
1984-10-11;33.75;33.75;33.5;33.5;790.0
1984-10-12;33.5;33.5;33.5;33.5;9.0
1984-10-15;33.5;33.5;33.5;33.5;167.0
1984-10-16;33.5;33.75;33.5;33.75;167.0
1984-10-17;33.88;34.0;33.88;34.0;1431.0
1984-10-18;34.0;34.0;34.0;34.0;369.0
1984-10-19;34.0;34.0;34.0;34.0;4793.0
1984-10-22;34.0;34.37;34.0;34.37;1062.0
1984-10-23;34.0;34.0;34.0;34.0;5171.0
1984-10-24;34.0;34.37;34.0;34.37;641.0
1984-10-25;34.37;34.37;34.0;34.37;3038.0
1984-10-26;34.0;34.0;34.0;34.0;369.0
1984-10-29;34.0;34.5;34.0;34.5;3371.0
1984-10-30;34.5;34.5;34.12;34.5;6400.0
1984-10-31;34.5;34.75;34.5;34.5;1062.0
1984-11-01;34.62;35.0;34.62;35.0;8964.0
1984-11-02;35.0;35.25;35.0;35.25;1773.0
1984-11-05;35.13;35.13;34.88;35.13;6163.0
1984-11-06;35.13;35.25;34.88;35.25;4381.0
1984-11-07;35.13;35.13;35.0;35.0;15574.0
1984-11-08;35.0;35.0;34.75;35.0;553.0
1984-11-09;35.0;35.0;35.0;35.0;369.0
1984-11-12;34.88;34.88;34.75;34.75;369.0
1984-11-13;34.75;35.0;34.75;34.75;1352.0
1984-11-14;34.75;34.75;34.75;34.75;369.0
1984-11-15;34.75;34.75;34.75;34.75;957.0
1984-11-16;35.0;35.0;35.0;35.0;641.0
1984-11-19;35.0;35.0;34.75;34.75;1975.0
1984-11-20;34.75;34.75;34.75;34.75;0.0
1984-11-21;34.75;34.88;34.62;34.62;369.0
1984-11-23;34.5;34.5;34.5;34.5;641.0
1984-11-26;34.88;35.0;34.88;35.0;2959.0
1984-11-27;35.0;35.0;34.75;35.0;1852.0
1984-11-28;35.0;35.0;34.75;34.75;119756.0
1984-11-29;34.75;34.88;34.5;34.88;1062.0
1984-11-30;34.75;34.75;34.5;34.5;3196.0
1984-12-03;34.37;34.37;34.0;34.0;553.0
1984-12-04;34.0;34.37;33.0;33.0;5768.0
1984-12-05;33.0;33.37;32.5;32.5;3371.0
1984-12-06;32.5;32.75;32.25;32.5;1352.0
1984-12-07;32.75;32.88;32.75;32.88;1185.0
1984-12-10;33.0;33.75;33.0;33.62;10781.0
1984-12-11;33.62;33.62;33.37;33.37;8779.0
1984-12-12;33.37;33.37;32.75;33.0;11984.0
1984-12-13;33.0;33.0;32.75;33.0;790.0
1984-12-14;32.75;32.75;32.12;32.12;3450.0
1984-12-17;32.12;32.25;32.12;32.12;1975.0
1984-12-18;32.12;32.75;32.12;32.75;4381.0
1984-12-19;32.75;33.5;32.75;33.5;17067.0
1984-12-20;33.5;33.75;33.37;33.75;2959.0
1984-12-21;33.62;33.62;33.37;33.37;1352.0
1984-12-24;33.0;33.0;33.0;33.0;2959.0
1984-12-26;33.0;33.0;32.75;32.75;1431.0
1984-12-27;33.0;33.25;33.0;33.25;2564.0
1984-12-28;33.37;33.75;33.37;33.75;11378.0
1984-12-31;33.75;33.75;33.5;33.5;4161.0
1985-01-02;33.5;33.5;33.5;33.5;13169.0
1985-01-03;33.37;33.37;32.5;32.5;8779.0
1985-01-04;32.5;32.5;32.5;32.5;1352.0
1985-01-07;32.75;33.37;32.75;33.25;7462.0
1985-01-08;33.37;33.88;33.37;33.88;60374.0
1985-01-09;33.88;34.0;33.0;33.0;38769.0
1985-01-10;33.37;33.37;33.37;33.37;5979.0
1985-01-11;33.37;33.5;33.0;33.0;8647.0
1985-01-14;33.0;33.5;33.0;33.5;8779.0
1985-01-15;33.5;34.37;33.5;34.37;91847.0
1985-01-16;34.5;34.5;34.5;34.5;1975.0
1985-01-17;34.5;34.5;34.5;34.5;167.0
1985-01-18;34.5;34.75;34.5;34.62;1589.0
1985-01-21;34.88;35.5;34.88;35.5;3196.0
1985-01-22;35.62;36.13;35.62;36.0;21579.0
1985-01-23;36.0;36.0;35.87;35.87;3450.0
1985-01-24;36.13;36.25;36.13;36.25;11457.0
