date;open;high;low;close;volume
2014-05-08;10.35;10.652;9.5;10.03;1950800.0
2014-05-09;9.81;10.15;9.81;10.0;88400.0
2014-05-12;10.54;10.54;10.0;10.15;59000.0
2014-05-13;10.06;10.21;9.81;10.06;173000.0
2014-05-14;10.2;10.2;9.932;10.05;60600.0
2014-05-15;10.1;10.155;9.903;10.06;52900.0
2014-05-16;10.01;10.1;10.0;10.02;23000.0
2014-05-19;10.0;10.12;9.91;10.06;22500.0
2014-05-20;10.07;10.24;10.04;10.19;81000.0
2014-05-21;10.25;10.25;9.95;9.99;96200.0
2014-05-22;9.94;10.06;9.94;10.03;40900.0
2014-05-23;9.97;10.08;9.97;10.08;7800.0
2014-05-27;10.06;10.4;9.91;9.91;28300.0
2014-05-28;10.05;10.53;9.93;10.43;68900.0
2014-05-29;10.4;10.5;10.15;10.46;57800.0
2014-05-30;10.54;11.0;10.54;10.74;79800.0
2014-06-02;10.87;12.36;10.84;12.26;398700.0
2014-06-03;12.34;13.5;12.34;13.05;337400.0
2014-06-04;13.14;14.37;13.14;13.92;334400.0
2014-06-05;14.02;15.63;13.99;15.49;365200.0
2014-06-06;15.64;16.07;15.23;15.72;197900.0
2014-06-09;15.83;15.83;14.6;15.5;102100.0
2014-06-10;15.39;15.42;14.02;14.75;87200.0
2014-06-11;15.51;17.74;15.51;17.43;377300.0
2014-06-12;17.43;19.49;17.12;18.7;138500.0
2014-06-13;21.0;21.0;18.84;20.34;262600.0
2014-06-16;22.94;22.95;18.26;18.57;343800.0
2014-06-17;18.7;20.25;17.66;18.3;131300.0
2014-06-18;19.22;19.22;17.12;17.55;339200.0
2014-06-19;17.44;18.95;17.4001;17.68;224300.0
2014-06-20;17.78;18.24;17.73;17.9;273900.0
2014-06-23;18.01;19.37;17.56;18.83;217700.0
2014-06-24;18.43;19.64;17.1901;18.32;193600.0
2014-06-25;18.17;18.17;16.76;17.62;129800.0
2014-06-26;17.78;18.32;17.25;17.98;87700.0
2014-06-27;17.9;19.51;17.9;18.71;1150400.0
2014-06-30;18.69;20.2;18.69;20.07;128600.0
2014-07-01;20.02;20.6399;19.05;19.84;107600.0
2014-07-02;19.72;20.01;18.01;18.1;171000.0
2014-07-03;18.19;18.31;17.35;17.97;44600.0
2014-07-07;17.97;17.97;17.42;17.68;70400.0
2014-07-08;17.58;17.58;15.1651;16.9;146100.0
2014-07-09;16.84;17.15;15.98;16.1;82300.0
2014-07-10;15.64;15.98;15.2;15.3;134400.0
2014-07-11;15.38;15.63;15.16;15.54;45600.0
2014-07-14;15.49;15.91;15.2;15.84;48700.0
2014-07-15;15.5;15.69;15.0;15.05;135900.0
2014-07-16;15.11;15.4;14.95;15.03;57400.0
2014-07-17;15.07;15.31;14.91;15.25;83700.0
2014-07-18;15.18;15.24;15.02;15.14;101200.0
2014-07-21;15.34;15.34;14.88;15.26;61000.0
2014-07-22;15.25;16.27;14.98;15.71;204600.0
2014-07-23;15.76;16.84;15.76;16.23;101400.0
2014-07-24;16.34;16.56;15.5463;16.13;48700.0
2014-07-25;16.01;16.7;15.63;16.62;87100.0
2014-07-28;16.54;17.29;16.4;17.15;89100.0
2014-07-29;17.2;17.99;17.2;17.32;57700.0
2014-07-30;17.41;17.962;16.71;17.15;65000.0
2014-07-31;17.0;17.934;16.6591;16.89;84600.0
2014-08-01;16.97;16.98;15.75;15.79;82800.0
2014-08-04;15.9;16.2197;15.2;15.46;77500.0
2014-08-05;15.29;15.71;15.14;15.66;81500.0
2014-08-06;15.1;15.53;15.02;15.22;115200.0
2014-08-07;15.15;15.7999;15.15;15.19;71200.0
2014-08-08;15.22;15.38;14.76;14.81;78800.0
2014-08-11;14.79;15.1;14.14;14.46;81200.0
2014-08-12;14.1;14.46;14.1;14.33;83100.0
2014-08-13;13.86;14.65;13.65;14.55;63300.0
2014-08-14;14.55;15.97;14.5;14.95;231900.0
2014-08-15;15.11;15.95;15.04;15.6;107800.0
2014-08-18;15.76;16.0;15.42;15.74;134100.0
2014-08-19;15.85;16.74;15.81;16.59;35400.0
2014-08-20;16.47;16.608;16.15;16.23;99000.0
2014-08-21;16.15;16.4699;16.0;16.11;118400.0
2014-08-22;16.04;16.28;15.9;16.26;176800.0
2014-08-25;16.31;16.83;16.3;16.61;144600.0
2014-08-26;16.67;17.24;16.488;16.99;46300.0
2014-08-27;17.44;17.48;16.816;17.22;72900.0
2014-08-28;17.22;17.2993;16.765;16.89;158700.0
2014-08-29;16.83;17.08;16.58;17.04;27000.0
2014-09-02;16.64;16.77;14.12;14.8;447100.0
2014-09-03;14.87;14.87;14.201;14.52;124000.0
2014-09-04;14.42;14.93;14.05;14.1;105800.0
2014-09-05;14.08;14.22;13.76;13.86;53500.0
2014-09-08;13.65;13.91;13.65;13.78;52500.0
2014-09-09;13.69;14.01;13.62;13.77;81800.0
2014-09-10;13.71;13.89;13.59;13.74;49500.0
2014-09-11;13.5943;14.03;13.53;13.7;123700.0
2014-09-12;13.72;13.77;12.92;12.98;104400.0
2014-09-15;13.68;13.69;11.81;11.84;199600.0
2014-09-16;11.84;12.035;11.69;11.71;179100.0
2014-09-17;11.68;12.5;11.55;12.32;607100.0
2014-09-18;11.9065;13.5;11.9065;13.19;204500.0
2014-09-19;13.18;13.35;12.41;12.55;156000.0
2014-09-22;12.6;12.71;11.595;11.71;107400.0
2014-09-23;11.72;11.85;11.19;11.25;82400.0
2014-09-24;11.75;12.38;11.43;12.33;45246.0
2014-09-25;12.32;12.73;12.17;12.56;57902.0
2014-09-26;12.58;13.63;12.42;13.0;159541.0
2014-09-29;12.88;13.53;12.48;13.02;944517.0
2014-09-30;12.97;13.21;12.57;12.68;100959.0
2014-10-01;12.99;13.11;11.63;11.79;93442.0
2014-10-02;12.48;12.48;11.11;11.48;55931.0
2014-10-03;11.54;12.0;11.02;11.92;271125.0
2014-10-06;11.89;12.65;11.45;12.01;222591.0
2014-10-07;12.03;12.24;11.5;11.55;57263.0
2014-10-08;11.57;11.84;11.02;11.76;149401.0
2014-10-09;11.76;11.98;11.19;11.41;110285.0
2014-10-10;11.38;11.52;10.765;11.01;85792.0
2014-10-13;10.61;11.135;10.52;11.01;63404.0
2014-10-14;11.19;11.62;10.9;11.25;88218.0
2014-10-15;11.23;11.57;10.76;11.41;58438.0
2014-10-16;11.12;11.37;10.69;11.23;78213.0
2014-10-17;11.34;11.79;10.8201;11.67;62018.0
2014-10-20;11.7;12.47;11.44;12.41;62927.0
2014-10-21;12.65;13.85;12.5;13.68;90191.0
2014-10-22;14.0;14.01;13.38;13.82;88593.0
2014-10-23;13.9;15.48;13.63;15.3;110717.0
2014-10-24;15.21;16.5;15.1;16.4;135261.0
2014-10-27;16.73;16.835;15.66;16.23;118919.0
2014-10-28;16.19;16.74;16.0701;16.7;105601.0
2014-10-29;16.77;16.84;16.51;16.74;72588.0
2014-10-30;16.76;16.98;16.54;16.81;54773.0
2014-10-31;17.16;18.0;16.47;17.91;297032.0
2014-11-03;17.9;18.69;17.9;18.02;211741.0
2014-11-04;19.0;19.0;16.04;16.17;213061.0
2014-11-05;16.34;17.5;16.23;17.05;74505.0
2014-11-06;16.55;17.5;15.19;16.82;354646.0
2014-11-07;16.76;17.36;15.83;16.57;106934.0
2014-11-10;16.57;17.13;15.868;16.91;105520.0
2014-11-11;16.93;17.4699;16.5808;17.2;72621.0
2014-11-12;17.1;17.1;15.5;15.98;105767.0
2014-11-13;15.95;16.88;15.52;15.84;73528.0
2014-11-14;15.9;16.16;15.56;15.8;88711.0
2014-11-17;15.8;16.915;15.8;16.86;83867.0
2014-11-18;16.97;17.48;16.7117;16.98;91192.0
2014-11-19;16.93;16.93;15.95;16.14;52217.0
2014-11-20;16.06;16.81;15.21;15.36;125079.0
2014-11-21;15.65;16.19;15.49;15.7;129030.0
2014-11-24;16.17;17.19;15.77;17.0;120829.0
2014-11-25;16.5301;17.12;16.5301;16.8;94900.0
2014-11-26;16.75;17.08;16.74;17.0;202265.0
2014-11-28;16.93;16.93;16.26;16.32;21620.0
2014-12-01;16.36;17.2;15.52;15.73;194302.0
2014-12-02;15.82;17.3;15.82;17.24;83413.0
2014-12-03;16.91;18.0;16.91;17.71;113064.0
2014-12-04;17.66;18.405;17.37;17.88;89385.0
2014-12-05;18.08;20.34;18.08;20.09;143853.0
2014-12-08;20.09;22.349;19.61;20.41;443196.0
2014-12-09;19.75;21.05;19.68;19.91;220158.0
2014-12-10;19.77;20.52;19.321;20.27;187059.0
2014-12-11;20.7;27.2077;20.7;26.73;587725.0
2014-12-12;26.18;26.79;24.35;25.27;361697.0
2014-12-15;25.4;26.52;23.72;25.56;306240.0
2014-12-16;25.46;25.75;24.18;24.79;240229.0
2014-12-17;24.95;28.77;24.95;28.75;319455.0
2014-12-18;29.55;30.02;26.63;28.08;286062.0
2014-12-19;28.41;29.36;27.67;28.54;1100032.0
2014-12-22;28.31;28.8399;26.89;28.33;168735.0
2014-12-23;28.25;28.25;24.6901;25.24;233942.0
2014-12-24;25.2;26.46;24.95;25.67;72465.0
2014-12-26;25.89;28.41;25.85;28.21;117150.0
2014-12-29;28.45;28.9099;26.85;27.96;121460.0
2014-12-30;27.96;29.36;27.0;27.28;128257.0
2014-12-31;27.35;30.35;27.35;29.09;305670.0
2015-01-02;29.09;30.642;28.0901;28.81;230244.0
2015-01-05;28.3;28.9928;27.03;28.1;176219.0
2015-01-06;27.77;29.38;26.13;26.54;320357.0
2015-01-07;26.75;32.3;26.75;30.48;669542.0
2015-01-08;30.1;30.47;28.5;29.39;2727968.0
2015-01-09;28.84;29.71;28.0;28.07;959104.0
2015-01-12;27.62;29.238;27.56;29.05;364816.0
2015-01-13;29.35;29.5;28.39;29.18;325326.0
2015-01-14;28.57;30.98;28.57;30.56;738803.0
2015-01-15;31.01;31.62;29.01;29.41;670136.0
2015-01-16;29.43;31.5099;29.02;29.28;625748.0
2015-01-20;29.2;29.91;28.92;29.61;427960.0
2015-01-21;29.39;29.6;26.195;26.36;371041.0
2015-01-22;26.53;29.31;25.3;29.11;508781.0
2015-01-23;29.62;30.255;27.84;28.05;225691.0
2015-01-26;28.07;28.63;26.84;28.23;302826.0
2015-01-27;27.76;30.21;27.1;29.09;591217.0
2015-01-28;29.17;29.7;27.55;28.07;369399.0
2015-01-29;28.0;28.015;26.67;26.91;341250.0
2015-01-30;26.7;27.825;26.5;27.08;483421.0
2015-02-02;27.0;27.42;26.02;26.58;282366.0
2015-02-03;26.9;27.14;24.76;25.56;394526.0
2015-02-04;25.0;25.3;23.81;24.02;293611.0
2015-02-05;24.23;25.7;23.92;25.44;329196.0
2015-02-06;25.35;25.9973;24.47;25.11;247489.0
2015-02-09;24.71;25.74;24.71;25.48;145991.0
2015-02-10;25.87;26.02;24.97;25.78;156084.0
2015-02-11;25.74;26.44;25.34;25.73;119673.0
2015-02-12;26.04;26.14;25.27;25.88;227965.0
2015-02-13;25.88;26.44;25.56;26.06;187856.0
2015-02-17;25.88;26.13;25.25;25.92;380560.0
2015-02-18;25.95;26.09;25.26;25.74;120651.0
2015-02-19;25.57;26.85;25.35;26.06;177925.0
2015-02-20;25.94;27.81;25.83;27.41;180462.0
2015-02-23;27.47;28.69;27.04;28.66;157383.0
2015-02-24;28.67;29.16;27.9;28.02;192549.0
2015-02-25;27.98;28.5299;27.36;28.0;146740.0
2015-02-26;27.83;28.05;26.99;27.74;157230.0
2015-02-27;27.7;27.735;26.4875;26.88;189522.0
2015-03-02;26.84;26.85;25.77;26.11;186271.0
2015-03-03;25.86;26.78;25.6;26.36;186611.0
2015-03-04;26.3;27.3252;25.536;26.62;247196.0
2015-03-05;27.61;29.51;24.76;25.69;473110.0
2015-03-06;24.96;26.82;24.91;26.5;306677.0
2015-03-09;26.74;26.875;24.64;26.01;304378.0
2015-03-10;25.61;28.35;25.61;27.43;274305.0
2015-03-11;27.35;27.4;25.35;25.82;340920.0
2015-03-12;25.99;26.51;25.48;26.0;226457.0
2015-03-13;25.98;26.17;24.74;25.35;297767.0
2015-03-16;25.35;26.39;25.08;26.29;306906.0
2015-03-17;26.21;27.33;25.75;27.17;316278.0
2015-03-18;27.16;28.13;26.82;28.06;166477.0
2015-03-19;28.06;29.93;27.9;29.45;232852.0
2015-03-20;29.71;29.82;28.49;29.01;1540338.0
2015-03-23;29.06;29.7895;28.4;29.16;416688.0
