date;open;high;low;close;volume
1984-09-07;34.75;35.0;34.5;34.63;27200.0
1984-09-10;34.63;35.0;34.5;34.5;56700.0
1984-09-11;35.12;35.5;35.12;35.12;95700.0
1984-09-12;35.5;35.5;35.5;35.5;165600.0
1984-09-13;35.75;36.0;35.75;35.75;26900.0
1984-09-14;35.75;36.0;35.12;35.12;6800.0
1984-09-17;35.12;35.12;35.0;35.0;6900.0
1984-09-18;35.0;35.5;34.75;34.75;91200.0
1984-09-19;34.63;34.63;32.0;32.0;23200.0
1984-09-20;32.0;32.25;31.75;31.75;100500.0
1984-09-21;31.5;31.5;31.0;31.0;24800.0
1984-09-24;31.0;31.0;30.0;30.0;14800.0
1984-09-25;30.0;30.0;29.13;29.13;18300.0
1984-09-26;29.13;29.13;29.13;29.13;53800.0
1984-09-27;29.13;29.5;29.13;29.13;13400.0
1984-09-28;29.13;29.13;29.0;29.13;8100.0
1984-10-01;29.13;29.13;27.75;27.75;19900.0
1984-10-02;27.75;28.0;27.0;27.0;20100.0
1984-10-03;27.12;27.5;27.12;27.12;60600.0
1984-10-04;27.5;28.0;27.5;27.5;30500.0
1984-10-05;27.5;27.75;27.12;27.5;1800.0
1984-10-08;27.5;27.75;27.0;27.0;4100.0
1984-10-09;27.0;27.62;27.0;27.0;18100.0
1984-10-10;27.0;27.12;26.75;26.75;162000.0
1984-10-11;26.75;26.75;26.75;26.75;31500.0
1984-10-12;27.0;27.75;27.0;27.75;45400.0
1984-10-15;27.75;27.75;27.75;27.75;17200.0
1984-10-16;27.75;27.75;27.5;27.5;4900.0
1984-10-17;27.5;27.5;27.5;27.5;6000.0
1984-10-18;27.75;28.0;27.75;27.75;49600.0
1984-10-19;28.0;29.0;28.0;28.5;111700.0
1984-10-22;29.5;29.5;29.5;29.5;150500.0
1984-10-23;29.0;29.0;29.0;29.0;17400.0
1984-10-24;28.88;28.88;27.75;27.75;17900.0
1984-10-25;27.5;27.5;24.75;24.75;72200.0
1984-10-26;24.75;25.0;22.87;23.0;131300.0
1984-10-29;23.12;23.12;23.12;23.12;49100.0
1984-10-30;24.25;24.25;24.25;24.25;70000.0
1984-10-31;24.25;24.5;24.0;24.0;98600.0
1984-11-01;24.0;24.0;23.75;23.75;64700.0
1984-11-02;23.75;23.75;22.25;22.75;111400.0
1984-11-05;22.75;22.75;22.75;22.75;53300.0
1984-11-06;23.12;23.12;23.12;23.12;170400.0
1984-11-07;23.5;23.75;23.5;23.5;148800.0
1984-11-08;24.5;24.75;24.5;24.5;97500.0
1984-11-09;24.5;25.5;24.25;25.13;49800.0
1984-11-12;25.13;25.5;25.13;25.13;16200.0
1984-11-13;25.13;25.13;23.75;23.75;17200.0
1984-11-14;24.0;24.0;24.0;24.0;11600.0
1984-11-15;24.0;24.25;23.5;23.5;22300.0
1984-11-16;23.5;24.0;22.75;22.75;23700.0
1984-11-19;22.87;23.12;22.87;22.87;54000.0
1984-11-20;22.87;23.12;22.75;22.75;63900.0
1984-11-21;23.12;23.12;23.12;23.12;2600.0
1984-11-23;23.12;24.0;22.75;23.5;108600.0
1984-11-26;23.5;24.0;23.5;23.5;73800.0
1984-11-27;23.5;24.0;23.5;23.5;50100.0
1984-11-28;23.75;24.0;23.75;23.75;33500.0
1984-11-29;24.0;24.0;24.0;24.0;20400.0
1984-11-30;24.0;24.0;23.75;24.0;23900.0
1984-12-03;24.25;24.75;24.25;24.25;180200.0
1984-12-04;24.25;24.75;24.25;24.25;49100.0
1984-12-05;24.25;24.5;24.25;24.25;43200.0
1984-12-06;24.25;24.25;24.0;24.0;106500.0
1984-12-07;24.0;24.25;23.75;24.0;47400.0
1984-12-10;24.0;24.0;23.75;23.75;25200.0
1984-12-11;24.0;24.5;24.0;24.0;72800.0
1984-12-12;24.25;24.25;24.25;24.25;36500.0
1984-12-13;24.25;24.25;24.0;24.0;12800.0
1984-12-14;24.0;24.0;23.75;23.75;6700.0
1984-12-17;23.75;23.75;23.0;23.0;17400.0
1984-12-18;24.0;24.25;24.0;24.0;120900.0
1984-12-19;25.0;25.88;25.0;25.0;129100.0
1984-12-20;25.0;25.13;25.0;25.0;23300.0
1984-12-21;25.0;25.13;24.75;25.13;39400.0
1984-12-24;25.13;25.5;25.0;25.0;18000.0
1984-12-26;25.25;25.63;25.25;25.25;26300.0
1984-12-27;25.5;25.75;25.5;25.5;3800.0
1984-12-28;25.5;25.75;25.13;25.75;16600.0
1984-12-31;27.0;27.0;27.0;27.0;17900.0
1985-01-02;27.0;27.0;26.25;26.25;55100.0
1985-01-03;26.25;26.5;26.25;26.25;4000.0
1985-01-04;26.25;26.5;25.75;26.0;3300.0
1985-01-07;25.5;25.5;25.5;25.5;34400.0
1985-01-08;25.5;25.75;25.5;25.5;12600.0
1985-01-09;26.0;26.5;26.0;26.0;50300.0
1985-01-10;26.75;26.75;26.75;26.75;6100.0
1985-01-11;26.75;27.75;26.5;27.12;26500.0
1985-01-14;27.75;28.0;27.75;27.75;86500.0
1985-01-15;28.5;29.0;28.5;28.5;43000.0
1985-01-16;29.5;30.0;29.5;29.5;87600.0
1985-01-17;29.75;30.0;29.75;29.75;14700.0
1985-01-18;29.75;30.75;29.75;30.25;26000.0
1985-01-21;30.5;30.75;30.5;30.5;18700.0
1985-01-22;30.5;30.63;30.5;30.5;40800.0
1985-01-23;31.0;31.5;31.0;31.0;84000.0
1985-01-24;32.0;32.0;32.0;32.0;51600.0
1985-01-25;32.0;32.25;31.75;32.25;20700.0
1985-01-28;32.25;32.5;32.25;32.25;62300.0
1985-01-29;32.5;32.75;32.5;32.5;67100.0
1985-01-30;34.0;34.0;34.0;34.0;66000.0
1985-01-31;35.0;35.12;35.0;35.0;196300.0
1985-02-01;35.0;35.0;34.5;34.75;62600.0
1985-02-04;34.75;34.75;34.0;34.0;15400.0
1985-02-05;35.0;35.12;35.0;35.0;102300.0
1985-02-06;35.5;35.5;35.5;35.5;111100.0
1985-02-07;35.5;35.75;35.12;35.12;353000.0
1985-02-08;35.12;36.0;35.0;35.75;133000.0
1985-02-11;35.75;35.75;35.0;35.0;52300.0
1985-02-12;35.0;35.0;34.0;34.0;102900.0
1985-02-13;34.0;34.0;33.13;33.13;46400.0
1985-02-14;33.75;34.0;33.75;33.75;93500.0
1985-02-15;33.75;33.75;31.75;31.75;47100.0
1985-02-19;31.75;32.0;31.75;31.75;27200.0
1985-02-20;31.75;32.25;31.75;31.75;54100.0
1985-02-21;31.75;32.25;30.5;30.5;107200.0
1985-02-22;30.5;31.12;30.25;30.75;130300.0
1985-02-25;30.75;30.75;30.0;30.0;32800.0
1985-02-26;30.0;30.0;29.75;29.75;67400.0
1985-02-27;29.75;30.0;29.63;29.63;27600.0
1985-02-28;29.63;30.0;29.5;29.5;22800.0
1985-03-01;29.5;29.5;28.5;29.0;51700.0
1985-03-04;29.0;29.13;28.75;28.75;40800.0
1985-03-05;28.75;29.13;28.25;28.25;41500.0
1985-03-06;28.25;28.5;27.0;27.0;66700.0
1985-03-07;27.0;27.12;26.75;26.75;92100.0
1985-03-08;26.75;28.5;26.75;28.5;106000.0
1985-03-11;28.5;29.0;27.75;27.75;78000.0
1985-03-12;28.5;28.5;28.5;28.5;38100.0
1985-03-13;28.5;28.5;26.5;26.5;143700.0
1985-03-14;27.0;27.5;27.0;27.0;58600.0
1985-03-15;27.0;27.5;26.87;27.5;41600.0
1985-03-18;28.25;28.25;28.25;28.25;37200.0
1985-03-19;29.13;29.75;29.13;29.13;106800.0
1985-03-20;29.13;29.5;28.5;28.5;38200.0
1985-03-21;29.0;29.0;29.0;29.0;18000.0
1985-03-22;29.0;29.13;29.0;29.0;43500.0
1985-03-25;29.0;29.13;27.5;27.5;72600.0
1985-03-26;27.5;27.75;26.75;26.75;51600.0
1985-03-27;27.0;27.12;27.0;27.0;21100.0
1985-03-28;27.12;27.12;27.12;27.12;26000.0
1985-03-29;27.12;27.75;27.0;27.5;12600.0
1985-04-01;27.5;27.5;27.5;27.5;4000.0
1985-04-02;27.5;28.0;27.5;27.5;20000.0
1985-04-03;27.5;28.0;26.75;26.75;14100.0
1985-04-04;26.75;27.0;26.63;27.0;14600.0
1985-04-08;27.0;27.12;26.75;26.75;9600.0
1985-04-09;26.75;27.12;26.75;26.75;15100.0
1985-04-10;26.75;27.0;26.5;26.5;8700.0
1985-04-11;26.5;26.75;26.5;26.5;27300.0
1985-04-12;26.5;27.0;26.5;26.5;23500.0
1985-04-15;26.5;26.75;25.75;25.75;45900.0
1985-04-16;25.75;25.75;25.75;25.75;26200.0
1985-04-17;26.0;26.0;26.0;26.0;103200.0
1985-04-18;26.5;27.0;26.5;26.5;41900.0
1985-04-19;26.5;26.75;26.25;26.25;8000.0
1985-04-22;26.25;26.5;26.0;26.0;21700.0
1985-04-23;26.0;26.25;25.0;25.0;50500.0
1985-04-24;25.13;25.13;25.13;25.13;22600.0
1985-04-25;25.0;25.0;24.5;24.5;81500.0
1985-04-26;24.5;25.0;24.25;24.5;52200.0
1985-04-29;24.0;24.0;22.75;22.75;17300.0
1985-04-30;23.0;23.0;23.0;23.0;19600.0
1985-05-01;23.75;24.0;23.75;23.75;60000.0
1985-05-02;23.75;24.0;23.12;23.12;31500.0
1985-05-03;23.12;24.0;23.12;24.0;26800.0
1985-05-06;24.0;24.0;23.0;23.0;18800.0
1985-05-07;23.5;23.75;23.5;23.5;98300.0
1985-05-08;23.5;24.0;23.25;23.25;8000.0
1985-05-09;24.25;24.5;24.25;24.25;27800.0
1985-05-10;24.25;25.13;24.25;25.13;70400.0
1985-05-13;25.5;25.5;25.5;25.5;69500.0
1985-05-14;25.75;26.0;25.75;25.75;62000.0
1985-05-15;25.75;26.0;25.75;25.75;13600.0
1985-05-16;25.75;26.25;25.75;25.75;5800.0
1985-05-17;25.75;27.0;25.75;26.75;52000.0
1985-05-20;28.25;28.75;28.25;28.25;124800.0
1985-05-21;28.25;28.25;27.0;27.0;28400.0
1985-05-22;27.0;27.0;26.25;26.25;115000.0
1985-05-23;26.25;26.5;26.25;26.25;39100.0
1985-05-24;26.5;26.5;26.5;26.5;12400.0
1985-05-28;26.5;26.5;26.5;26.5;53400.0
1985-05-29;26.5;26.5;26.25;26.25;13000.0
1985-05-30;26.25;26.75;25.75;25.75;129800.0
1985-05-31;25.75;26.0;25.5;25.5;89300.0
1985-06-03;25.5;25.5;24.75;24.75;56800.0
1985-06-04;24.75;24.75;24.0;24.0;56500.0
1985-06-05;24.0;24.0;23.75;23.75;303100.0
1985-06-06;23.75;24.0;23.0;23.0;63300.0
1985-06-07;23.0;23.12;23.0;23.0;18900.0
1985-06-10;23.0;23.0;23.0;23.0;62500.0
1985-06-11;23.0;23.0;22.75;22.75;14300.0
1985-06-12;22.75;22.75;21.0;21.0;23300.0
1985-06-13;21.0;21.0;20.25;20.25;42500.0
1985-06-14;20.5;20.5;20.5;20.5;63900.0
1985-06-17;20.5;20.5;20.25;20.25;40600.0
1985-06-18;20.5;20.5;20.5;20.5;30900.0
1985-06-19;21.0;21.0;21.0;21.0;58500.0
1985-06-20;21.5;21.5;21.5;21.5;18500.0
1985-06-21;22.75;22.75;22.75;22.75;68000.0
1985-06-24;23.5;23.5;23.5;23.5;58800.0
1985-06-25;23.5;24.25;23.5;23.5;134600.0
1985-06-26;23.5;23.75;23.12;23.12;15100.0
1985-06-27;22.0;22.0;20.75;20.75;348700.0
1985-06-28;21.0;21.13;21.0;21.0;78400.0
1985-07-01;21.13;21.13;21.13;21.13;152400.0
1985-07-02;21.75;22.0;21.75;21.75;145900.0
1985-07-03;22.0;22.0;22.0;22.0;87200.0
1985-07-05;22.0;22.0;22.0;22.0;20400.0
1985-07-08;22.0;22.25;21.75;21.75;17000.0
1985-07-09;22.5;22.5;22.5;22.5;29700.0
1985-07-10;22.5;22.75;22.5;22.5;34200.0
1985-07-11;22.75;22.75;22.75;22.75;97700.0
1985-07-12;22.75;22.75;22.75;22.75;65300.0
1985-07-15;22.75;22.75;22.75;22.75;26800.0
1985-07-16;22.75;22.75;22.5;22.5;13100.0
1985-07-17;23.12;23.12;23.12;23.12;46500.0
1985-07-18;23.12;23.12;23.12;23.12;17500.0
1985-07-19;23.5;23.5;23.5;23.5;15700.0
1985-07-22;24.0;24.0;24.0;24.0;41500.0
1985-07-23;24.0;25.13;24.0;24.0;45400.0
1985-07-24;24.0;24.5;24.0;24.0;6800.0
1985-07-25;24.25;24.5;24.25;24.25;36600.0
1985-07-26;24.25;24.75;24.25;24.25;37900.0
1985-07-29;24.0;24.0;23.5;23.5;92400.0
1985-07-30;24.25;24.75;24.25;24.25;26300.0
1985-07-31;25.0;25.13;25.0;25.0;35200.0
1985-08-01;25.13;25.13;25.13;25.13;65200.0
1985-08-02;25.13;25.5;25.13;25.13;13100.0
1985-08-05;25.13;25.5;25.0;25.0;46900.0
1985-08-06;25.0;25.13;24.75;24.75;21600.0
1985-08-07;24.75;25.0;24.75;24.75;33700.0
1985-08-08;24.75;25.0;24.75;24.75;2000.0
1985-08-09;24.75;25.0;24.75;24.75;8000.0
1985-08-12;24.75;25.0;24.25;24.25;31400.0
1985-08-13;24.25;24.5;23.12;23.12;32600.0
1985-08-14;23.0;23.0;23.0;23.0;12700.0
1985-08-15;23.0;23.0;21.75;21.75;18700.0
1985-08-16;21.75;21.75;21.13;21.13;11500.0
1985-08-19;21.0;21.0;20.25;20.25;59600.0
1985-08-20;21.0;21.0;21.0;21.0;39200.0
1985-08-21;21.0;21.13;21.0;21.0;9700.0
1985-08-22;21.0;21.0;20.75;20.75;54000.0
1985-08-23;20.75;20.75;20.5;20.5;33200.0
1985-08-26;22.25;22.25;22.25;22.25;28500.0
1985-08-27;22.25;22.75;22.0;22.0;18800.0
1985-08-28;22.0;22.25;22.0;22.0;2100.0
1985-08-29;22.0;22.25;22.0;22.0;1700.0
1985-08-30;22.0;22.25;22.0;22.0;4500.0
1985-09-03;22.75;22.75;22.75;22.75;10100.0
1985-09-04;22.75;22.75;22.25;22.25;47700.0
1985-09-05;22.0;22.0;22.0;22.0;2100.0
1985-09-06;22.5;22.5;22.5;22.5;17000.0
1985-09-09;22.5;22.5;22.5;22.5;5600.0
1985-09-10;22.5;23.0;22.25;22.25;16200.0
1985-09-11;22.25;22.25;21.0;21.0;85700.0
1985-09-12;21.0;21.0;20.5;20.5;10300.0
1985-09-13;20.5;20.75;20.5;20.5;23300.0
1985-09-16;20.5;20.5;19.12;19.12;33600.0
1985-09-17;19.12;19.5;19.0;19.0;25200.0
1985-09-18;19.5;19.75;19.5;19.5;35800.0
1985-09-19;20.5;20.5;20.5;20.5;32100.0
1985-09-20;21.0;21.13;21.0;21.0;21500.0
1985-09-23;21.0;21.13;21.0;21.0;4000.0
1985-09-24;21.0;21.13;20.25;20.25;22500.0
1985-09-25;20.25;20.25;19.0;19.0;63000.0
1985-09-26;19.0;19.12;19.0;19.0;64400.0
1985-09-27;19.0;19.12;19.0;19.0;2000.0
1985-09-30;19.0;19.0;19.0;19.0;30000.0
1985-10-01;19.5;19.75;19.5;19.5;12900.0
1985-10-02;20.0;20.0;20.0;20.0;14300.0
1985-10-03;19.5;19.5;19.12;19.12;8900.0
1985-10-04;19.12;19.12;18.75;18.75;21900.0
1985-10-07;18.75;19.0;18.0;18.0;53100.0
1985-10-08;18.0;18.0;18.0;18.0;41800.0
1985-10-09;18.25;18.25;18.25;18.25;171500.0
1985-10-10;18.5;18.5;18.5;18.5;44200.0
1985-10-11;18.5;18.75;18.5;18.5;71000.0
1985-10-14;19.12;19.12;19.12;19.12;35300.0
1985-10-15;19.12;19.5;19.12;19.12;45800.0
1985-10-16;19.12;19.12;18.75;18.75;35500.0
1985-10-17;18.75;19.0;18.75;18.75;6300.0
1985-10-18;19.0;19.0;19.0;19.0;7600.0
1985-10-21;19.0;19.0;18.25;18.25;19300.0
1985-10-22;18.25;18.75;18.25;18.25;72100.0
1985-10-23;18.75;19.0;18.75;18.75;34700.0
1985-10-24;20.25;20.75;20.25;20.25;89300.0
1985-10-25;20.25;20.75;20.25;20.25;11300.0
1985-10-28;20.25;20.25;20.0;20.0;59200.0
1985-10-29;20.25;20.5;20.25;20.25;17100.0
1985-10-30;20.25;20.5;20.0;20.0;2300.0
1985-10-31;20.0;20.5;20.0;20.0;18900.0
1985-11-01;20.0;20.25;19.75;19.75;18100.0
1985-11-04;19.75;20.0;19.12;19.12;13900.0
1985-11-05;19.12;19.75;19.12;19.12;50900.0
1985-11-06;19.75;19.75;19.75;19.75;11100.0
1985-11-07;20.25;20.25;20.25;20.25;34500.0
1985-11-08;20.25;20.25;20.0;20.0;30300.0
1985-11-11;20.25;20.25;20.25;20.25;30500.0
1985-11-12;21.5;21.5;21.5;21.5;45900.0
1985-11-13;21.5;21.5;21.0;21.0;24900.0
1985-11-14;21.5;21.5;21.5;21.5;19900.0
1985-11-15;21.5;22.0;21.5;21.5;25700.0
1985-11-18;21.5;22.0;21.5;21.5;9000.0
1985-11-19;22.0;22.0;22.0;22.0;20700.0
1985-11-20;22.0;22.25;22.0;22.0;12200.0
1985-11-21;22.25;22.5;22.25;22.25;44700.0
1985-11-22;22.25;22.5;22.25;22.25;11800.0
1985-11-25;22.25;22.75;22.25;22.5;12200.0
1985-11-26;22.5;22.5;22.25;22.25;3800.0
1985-11-27;22.25;22.75;22.0;22.5;7400.0
1985-11-29;22.5;22.75;22.5;22.75;15700.0
1985-12-02;22.75;23.0;22.5;22.5;28400.0
1985-12-03;22.5;22.75;22.5;22.75;14600.0
1985-12-04;22.75;24.0;22.5;23.75;26400.0
1985-12-05;24.0;26.0;24.0;25.5;82000.0
1985-12-06;25.5;25.75;24.75;24.75;128000.0
1985-12-09;24.75;25.0;24.75;25.0;26100.0
1985-12-10;25.0;25.0;24.5;24.5;51200.0
1985-12-11;24.5;25.0;24.5;24.75;155000.0
1985-12-12;24.75;25.0;23.5;23.75;56600.0
1985-12-13;23.75;24.5;23.75;24.0;104900.0
1985-12-16;24.0;24.0;23.75;23.75;33700.0
1985-12-17;23.75;23.75;22.5;22.75;45500.0
1985-12-18;22.75;22.75;21.75;22.0;64400.0
1985-12-19;22.0;22.0;21.5;21.75;16500.0
1985-12-20;21.75;22.0;21.75;22.0;123300.0
1985-12-23;22.0;22.25;21.75;22.0;61100.0
1985-12-24;22.0;22.0;21.75;22.0;16500.0
1985-12-26;22.0;22.0;21.75;21.75;13100.0
1985-12-27;21.75;22.0;21.13;21.13;26100.0
1985-12-30;21.13;21.5;21.0;21.13;87500.0
1985-12-31;21.13;21.5;20.75;20.75;42300.0
1986-01-02;20.75;21.0;20.75;20.75;16600.0
1986-01-03;20.75;21.0;20.75;20.75;11900.0
1986-01-06;20.75;21.0;20.75;20.75;18500.0
1986-01-07;20.75;22.5;20.75;22.5;70300.0
1986-01-08;22.5;23.12;22.5;22.75;79600.0
