date;open;high;low;close;volume
2005-11-18;9.02;9.17;8.12;9.0;3272500.0
2005-11-21;9.08;9.4;8.83;9.3;695900.0
2005-11-22;8.92;9.2;8.92;9.19;329400.0
2005-11-23;9.21;9.28;9.01;9.22;111800.0
2005-11-25;9.22;9.5;9.02;9.5;39000.0
2005-11-28;10.05;10.05;9.21;9.78;189800.0
2005-11-29;9.9;9.93;9.58;9.85;109000.0
2005-11-30;9.95;9.95;9.8;9.83;39300.0
2005-12-01;9.7;10.0;9.6;9.9;150000.0
2005-12-02;10.14;10.14;9.65;9.94;103800.0
2005-12-05;10.38;10.38;9.65;10.05;107400.0
2005-12-06;10.19;10.24;9.83;9.96;30400.0
2005-12-07;10.0;10.15;9.8;9.94;26900.0
2005-12-08;9.66;10.05;9.66;9.99;30300.0
2005-12-09;10.04;10.98;10.0;10.38;45100.0
2005-12-12;10.5;10.5;10.1;10.4;14500.0
2005-12-13;10.3;10.44;10.0;10.2;10300.0
2005-12-14;10.3415;10.3415;10.04;10.3;7600.0
2005-12-15;10.4;10.4;9.2885;9.9;244800.0
2005-12-16;9.51;10.45;9.51;10.45;48100.0
2005-12-19;10.01;10.95;10.0;10.44;50800.0
2005-12-20;10.6;10.6;9.67;10.0;267900.0
2005-12-21;10.0;10.24;9.82;10.24;10500.0
2005-12-22;10.2;10.2;9.7;9.8;14500.0
2005-12-23;9.7;10.0;9.5;9.58;21500.0
2005-12-27;9.65;9.7;9.41;9.55;24800.0
2005-12-28;9.41;10.15;9.35;10.1;42600.0
2005-12-29;10.266;10.266;10.0;10.13;29900.0
2005-12-30;10.13;10.28;10.0;10.07;19700.0
2006-01-03;10.08;10.14;9.7;9.8;32000.0
2006-01-04;10.0;10.06;9.5;9.75;57900.0
2006-01-05;9.87;10.12;9.65;9.91;23500.0
2006-01-06;9.95;10.1;9.91;10.1;13000.0
2006-01-09;10.12;10.39;10.01;10.16;2500.0
2006-01-10;10.118;10.17;10.02;10.17;24700.0
2006-01-11;10.1;10.15;10.0;10.02;7000.0
2006-01-12;9.9;10.15;9.87;10.05;12700.0
2006-01-13;10.2;10.2;10.0;10.14;7000.0
2006-01-17;9.9;10.16;9.9;9.97;13300.0
2006-01-18;9.89;10.13;9.89;10.0;17200.0
2006-01-19;10.0001;10.12;10.0;10.1;13800.0
2006-01-20;10.1;10.1;9.9;10.0;45200.0
2006-01-23;10.0;10.062;9.95;9.96;55500.0
2006-01-24;10.0;10.09;9.91;10.09;64600.0
2006-01-25;10.0;10.09;9.98;10.0;25100.0
2006-01-26;10.0;11.64;9.82;11.64;33700.0
2006-01-27;11.52;11.52;10.03;10.28;36500.0
2006-01-30;10.44;10.52;10.1;10.19;7600.0
2006-01-31;10.33;10.33;10.24;10.24;31400.0
2006-02-01;10.01;10.22;10.0;10.05;13200.0
2006-02-02;9.94;10.19;9.94;10.19;38500.0
2006-02-03;10.19;10.3;10.15;10.3;4000.0
2006-02-06;10.4;10.4;10.01;10.03;1400.0
2006-02-07;10.17;10.4;10.01;10.01;16300.0
2006-02-08;10.0;10.0;9.96;9.96;1900.0
2006-02-09;10.05;10.05;9.77;9.9;69100.0
