date;open;high;low;close;volume
1986-07-21;11.16;11.36;11.16;11.16;276200.0
1986-07-22;11.36;11.55;11.36;11.36;129600.0
1986-07-23;11.36;11.55;11.36;11.36;69800.0
1986-07-24;11.36;11.36;11.16;11.16;46200.0
1986-07-25;11.16;11.36;11.16;11.16;143600.0
1986-07-28;11.16;11.36;11.16;11.16;53200.0
1986-07-29;11.16;11.16;10.73;10.73;33500.0
1986-07-30;9.91;9.91;9.52;9.52;64100.0
1986-07-31;10.53;10.92;10.53;10.53;50800.0
1986-08-01;10.53;10.92;10.53;10.53;8400.0
1986-08-04;10.53;10.53;10.34;10.34;23900.0
1986-08-05;10.34;10.73;10.34;10.73;6600.0
1986-08-06;10.73;10.73;10.34;10.34;11300.0
1986-08-07;10.34;10.73;10.11;10.11;40900.0
1986-08-08;10.11;10.53;9.7;9.7;59600.0
1986-08-11;9.7;10.11;9.52;9.7;7800.0
1986-08-12;9.7;10.11;9.7;9.7;22600.0
1986-08-13;9.7;10.11;9.7;9.91;36400.0
1986-08-14;10.02;10.73;10.02;10.34;86600.0
1986-08-15;10.53;11.36;10.53;11.16;131700.0
1986-08-18;11.16;11.47;10.92;11.47;13400.0
1986-08-19;11.47;11.55;11.16;11.16;32100.0
1986-08-20;11.16;11.55;11.16;11.55;12800.0
1986-08-21;11.55;11.55;10.92;10.92;18200.0
1986-08-22;10.92;10.92;10.73;10.73;7500.0
1986-08-25;10.73;11.16;10.73;11.16;2900.0
1986-08-26;11.16;11.16;10.73;10.73;29100.0
1986-08-27;10.73;11.16;10.73;10.92;45300.0
1986-08-28;10.92;10.92;10.73;10.92;26000.0
1986-08-29;10.73;10.73;10.73;10.73;6400.0
1986-09-02;10.73;11.16;10.73;10.73;5100.0
1986-09-03;10.73;11.16;10.73;11.05;48900.0
1986-09-04;11.05;11.16;10.73;10.73;34400.0
1986-09-05;10.73;10.92;10.73;10.73;84700.0
1986-09-08;10.73;11.16;10.53;10.53;30300.0
1986-09-09;10.53;10.53;9.91;9.91;7500.0
1986-09-10;9.91;9.91;9.91;9.91;1200.0
