date;open;high;low;close;volume
2006-06-15;1.01;1.15;0.98;1.02;59400.0
2006-06-16;1.09;1.1;1.01;1.01;14400.0
2006-06-19;1.01;1.01;1.01;1.01;0.0
2006-06-20;1.08;1.08;1.01;1.01;1800.0
2006-06-21;1.01;1.01;1.01;1.01;0.0
2006-06-22;1.01;1.01;1.01;1.01;0.0
2006-06-23;1.1;1.1;1.1;1.1;1800.0
2006-06-26;1.13;1.13;1.13;1.13;1800.0
2006-06-27;1.15;1.3;1.09;1.25;432000.0
2006-06-28;1.31;1.33;1.2;1.24;451800.0
2006-06-29;1.27;1.27;1.13;1.16;261000.0
2006-06-30;1.17;1.17;1.06;1.07;90000.0
2006-07-03;1.08;1.2;1.08;1.2;19800.0
2006-07-05;1.25;1.25;1.15;1.17;50400.0
2006-07-06;1.19;1.2;1.16;1.17;18000.0
2006-07-07;1.16;1.17;1.12;1.15;66600.0
2006-07-10;1.16;1.16;1.05;1.12;64800.0
2006-07-11;1.09;1.1;1.06;1.08;50400.0
2006-07-12;1.06;1.07;1.06;1.06;19800.0
2006-07-13;1.04;1.05;1.02;1.02;86400.0
2006-07-14;1.02;1.16;1.02;1.16;23400.0
2006-07-17;1.16;1.16;1.04;1.04;19800.0
2006-07-18;1.04;1.05;1.02;1.03;14400.0
2006-07-19;1.03;1.04;1.02;1.02;28800.0
2006-07-20;1.02;1.05;0.9;0.95;129600.0
2006-07-21;0.95;1.01;0.95;1.0;54000.0
2006-07-24;1.01;1.01;0.95;0.96;84600.0
2006-07-25;0.95;1.0;0.95;1.0;25200.0
2006-07-26;0.96;1.01;0.95;0.95;52200.0
2006-07-27;0.95;0.96;0.95;0.95;21600.0
2006-07-28;0.95;1.01;0.95;0.97;113400.0
2006-07-31;0.97;1.0;0.85;0.99;176400.0
2006-08-01;1.0;1.2;0.95;1.17;223200.0
2006-08-02;1.18;1.18;1.05;1.13;385200.0
2006-08-03;1.17;1.17;1.0;1.13;399600.0
2006-08-04;1.12;1.14;1.05;1.11;324000.0
2006-08-07;1.15;1.17;1.13;1.15;428400.0
2006-08-08;1.16;1.16;1.08;1.1;414000.0
2006-08-09;1.11;1.13;1.0;1.0;270000.0
2006-08-10;1.0;1.03;0.9;1.03;248400.0
2006-08-11;1.03;1.03;0.95;0.95;115200.0
2006-08-14;0.91;0.98;0.89;0.95;117000.0
2006-08-15;0.94;0.94;0.86;0.89;90000.0
2006-08-16;0.85;0.93;0.85;0.9;106200.0
2006-08-17;0.92;0.96;0.9;0.9;37800.0
2006-08-18;0.91;1.03;0.91;1.03;52200.0
2006-08-21;1.02;1.13;0.95;0.95;124200.0
2006-08-22;0.98;1.02;0.95;1.0;32400.0
2006-08-23;1.02;1.02;0.95;0.97;61200.0
2006-08-24;0.95;1.02;0.95;1.0;63000.0
2006-08-25;0.97;1.01;0.91;0.98;32400.0
2006-08-28;1.01;1.05;0.97;1.03;228600.0
2006-08-29;1.05;1.05;0.97;1.02;367200.0
2006-08-30;1.04;1.21;1.01;1.17;1764000.0
2006-08-31;1.25;1.25;1.1;1.2;1303200.0
2006-09-01;1.21;1.21;1.11;1.16;685800.0
2006-09-05;1.15;1.17;1.11;1.15;820800.0
2006-09-06;1.16;1.16;1.06;1.11;644400.0
2006-09-07;1.12;1.12;1.06;1.1;352800.0
2006-09-08;1.09;1.11;0.98;1.1;450000.0
2006-09-11;1.1;1.14;1.1;1.1;133200.0
2006-09-12;1.11;1.11;1.0;1.08;145800.0
2006-09-13;1.07;1.14;1.06;1.1;223200.0
2006-09-14;1.1;1.11;1.04;1.09;73800.0
2006-09-15;1.02;1.06;0.98;0.98;120600.0
2006-09-18;0.98;0.99;0.72;0.82;446400.0
2006-09-19;0.75;0.78;0.62;0.7;273600.0
2006-09-20;0.65;0.73;0.62;0.71;237600.0
2006-09-21;0.71;1.05;0.65;0.74;169200.0
2006-09-22;0.7;0.73;0.68;0.68;81000.0
2006-09-25;0.68;0.7;0.55;0.57;174600.0
2006-09-26;0.57;0.6;0.53;0.56;72000.0
2006-09-27;0.56;0.58;0.43;0.49;401400.0
2006-09-28;0.48;0.6;0.46;0.54;156600.0
2006-09-29;0.55;0.57;0.53;0.55;77400.0
2006-10-02;0.55;0.57;0.5;0.53;108000.0
2006-10-03;0.56;0.56;0.5;0.53;36000.0
2006-10-04;0.53;0.53;0.49;0.51;126000.0
2006-10-05;0.5;0.53;0.49;0.49;41400.0
2006-10-06;0.49;0.53;0.49;0.53;45000.0
2006-10-09;0.51;0.56;0.51;0.52;70200.0
2006-10-10;0.51;0.54;0.49;0.51;252000.0
2006-10-11;0.5;0.51;0.49;0.5;275400.0
2006-10-12;0.49;0.5;0.49;0.5;48600.0
2006-10-13;0.5;0.55;0.49;0.52;55800.0
2006-10-16;0.55;0.55;0.51;0.55;25200.0
2006-10-17;0.55;0.59;0.55;0.56;81000.0
2006-10-18;0.57;0.58;0.57;0.57;23400.0
2006-10-19;0.6;0.63;0.58;0.62;165600.0
2006-10-20;0.63;0.75;0.62;0.72;264600.0
