date;open;high;low;close;volume
1983-04-06;39.75;39.88;38.62;38.75;143500.0
1983-04-07;38.62;38.88;38.25;38.38;96800.0
1983-04-08;38.38;39.12;38.25;39.0;218500.0
1983-04-11;41.0;41.0;39.12;41.0;176700.0
1983-04-12;41.25;41.38;40.88;40.88;20600.0
1983-04-13;40.88;41.0;40.0;40.75;289700.0
1983-04-14;41.12;41.12;40.0;40.25;39300.0
1983-04-15;40.12;40.75;39.62;40.75;66500.0
1983-04-18;42.0;43.5;41.0;43.12;80200.0
1983-04-19;43.12;43.88;42.88;43.0;116500.0
1983-04-20;42.88;43.62;42.88;43.38;122400.0
1983-04-21;43.88;44.12;43.25;43.25;129100.0
1983-04-22;43.0;43.62;42.5;42.75;179700.0
1983-04-25;42.12;42.88;41.25;41.38;24700.0
1983-04-26;41.38;41.88;40.88;41.88;31200.0
1983-04-27;41.88;42.25;41.5;41.62;85100.0
1983-04-28;42.5;43.38;41.5;42.75;43700.0
1983-04-29;42.62;43.25;42.0;42.88;68300.0
1983-05-02;42.25;42.88;41.5;41.5;45200.0
1983-05-03;41.5;41.5;41.12;41.25;29400.0
1983-05-04;41.25;41.5;41.0;41.12;45600.0
1983-05-05;41.25;41.5;40.88;40.88;227300.0
1983-05-06;41.0;42.0;41.0;41.12;296800.0
1983-05-09;41.0;41.12;40.62;41.12;82000.0
1983-05-10;41.12;42.62;41.12;42.62;195100.0
1983-05-11;42.62;42.62;41.5;41.75;43400.0
1983-05-12;41.75;41.75;41.38;41.38;62900.0
1983-05-13;41.38;41.75;41.38;41.62;37800.0
1983-05-16;41.62;41.88;41.25;41.5;38600.0
1983-05-17;41.62;41.88;41.38;41.62;183800.0
1983-05-18;41.88;43.62;41.75;43.25;178700.0
1983-05-19;43.0;43.5;43.0;43.12;29100.0
1983-05-20;42.75;42.88;42.5;42.75;25600.0
1983-05-23;42.62;42.62;42.25;42.5;80300.0
1983-05-24;42.62;43.75;42.62;43.75;190100.0
1983-05-25;44.0;45.5;44.0;45.5;88400.0
1983-05-26;45.5;46.88;45.5;46.0;187000.0
1983-05-27;46.0;46.38;45.88;46.0;142100.0
1983-05-31;46.0;46.38;45.5;45.5;263900.0
1983-06-01;45.5;45.75;44.5;44.5;350300.0
1983-06-02;45.25;45.38;44.25;44.62;103500.0
1983-06-03;44.5;44.75;44.25;44.38;110400.0
1983-06-06;44.38;44.38;44.0;44.0;63400.0
1983-06-07;44.0;44.0;43.5;43.62;91600.0
1983-06-08;43.38;43.5;42.75;43.38;228800.0
1983-06-09;43.38;44.12;43.12;44.12;146700.0
1983-06-10;44.88;45.0;44.5;44.75;56700.0
1983-06-13;45.0;46.0;45.0;45.75;62700.0
1983-06-14;45.75;46.75;45.75;46.12;52700.0
1983-06-15;45.88;49.0;45.88;48.75;207200.0
1983-06-16;48.62;49.38;48.5;49.0;86500.0
1983-06-17;49.0;50.88;49.0;49.75;195500.0
1983-06-20;49.75;50.5;49.75;50.25;67300.0
1983-06-21;50.25;50.75;49.88;50.38;149200.0
1983-06-22;50.12;50.5;49.62;50.38;106500.0
1983-06-23;50.25;50.88;49.62;49.62;92900.0
1983-06-24;49.75;49.75;49.38;49.62;37100.0
1983-06-27;49.12;49.12;48.0;48.38;57600.0
1983-06-28;48.0;48.25;46.5;46.5;85900.0
1983-06-29;46.25;47.12;46.25;47.0;33600.0
1983-06-30;46.75;48.38;46.75;47.75;59000.0
1983-07-01;47.5;48.0;47.5;48.0;41100.0
1983-07-05;47.5;47.5;47.0;47.0;13900.0
1983-07-06;47.0;48.0;47.0;48.0;29100.0
1983-07-07;48.0;48.38;47.75;48.0;129700.0
1983-07-08;47.88;48.25;47.62;48.0;23900.0
1983-07-11;47.5;47.75;46.88;47.25;57500.0
1983-07-12;46.38;46.5;45.75;46.0;35000.0
1983-07-13;46.25;46.5;46.12;46.5;6300.0
1983-07-14;46.5;47.12;46.25;47.0;146100.0
1983-07-15;47.25;47.25;46.12;46.38;21500.0
1983-07-18;46.5;47.38;46.5;47.38;12700.0
1983-07-19;47.25;48.75;47.25;48.62;51300.0
1983-07-20;48.38;50.0;48.38;49.88;42700.0
1983-07-21;49.88;49.88;48.5;48.5;21300.0
1983-07-22;48.31;48.75;47.88;47.88;29900.0
1983-07-25;47.88;48.0;47.38;47.38;65300.0
1983-07-26;47.62;47.62;46.12;46.5;130900.0
1983-07-27;47.0;47.38;47.0;47.12;112000.0
1983-07-28;46.88;47.0;46.5;46.75;31200.0
1983-07-29;46.5;46.75;46.25;46.5;52000.0
1983-08-01;46.25;46.25;44.75;45.38;29600.0
1983-08-02;45.12;45.38;44.5;44.5;22800.0
1983-08-03;44.5;44.75;43.75;43.75;30800.0
1983-08-04;44.25;44.38;43.88;44.38;26800.0
1983-08-05;44.62;45.25;43.5;43.62;63600.0
1983-08-08;43.25;43.25;41.25;41.75;107900.0
1983-08-09;42.25;42.75;42.0;42.5;60300.0
1983-08-10;42.75;43.38;42.5;43.12;44400.0
1983-08-11;43.38;43.88;43.38;43.5;42100.0
1983-08-12;43.75;44.38;43.5;44.0;111100.0
1983-08-15;44.25;44.88;43.5;43.75;37000.0
1983-08-16;44.0;44.0;43.25;43.5;51300.0
1983-08-17;43.62;44.75;43.12;44.75;120400.0
1983-08-18;44.75;46.0;44.75;45.5;72900.0
1983-08-19;45.5;47.0;45.38;46.5;32900.0
1983-08-22;46.62;47.12;46.62;46.88;36400.0
1983-08-23;46.88;47.62;46.62;46.62;38000.0
1983-08-24;46.5;46.75;45.5;45.5;248800.0
1983-08-25;45.25;46.25;45.25;46.25;225200.0
1983-08-26;46.0;47.25;46.0;47.25;42100.0
1983-08-29;47.38;47.75;47.12;47.5;32800.0
1983-08-30;47.25;48.0;47.25;47.75;35000.0
1983-08-31;47.75;48.75;47.62;48.62;50600.0
1983-09-01;48.5;48.5;47.62;47.75;41900.0
1983-09-02;47.88;48.0;47.62;48.0;28500.0
1983-09-06;49.25;49.5;48.5;48.75;59100.0
1983-09-07;48.62;49.25;48.5;49.12;76300.0
1983-09-08;49.12;49.5;49.12;49.12;89100.0
