date;open;high;low;close;volume
1999-06-14;0.11;0.13;0.11;0.11;50700.0
1999-06-15;0.11;0.13;0.11;0.11;97500.0
1999-06-16;0.12;0.12;0.11;0.115;304200.0
1999-06-17;0.12;0.13;0.115;0.12;565500.0
1999-06-18;0.13;0.13;0.115;0.13;31200.0
1999-06-21;0.13;0.13;0.115;0.122;331500.0
1999-06-22;0.13;0.13;0.13;0.13;245700.0
1999-06-23;0.125;0.125;0.115;0.115;148200.0
1999-06-24;0.115;0.12;0.115;0.12;58500.0
1999-06-25;0.115;0.115;0.11;0.115;136500.0
1999-06-28;0.105;0.115;0.1;0.1;39000.0
1999-06-29;0.09;0.1;0.08;0.095;70200.0
1999-06-30;0.1;0.1;0.07;0.093;11700.0
1999-07-01;0.095;0.095;0.095;0.095;11700.0
1999-07-02;0.095;0.095;0.09;0.095;19500.0
1999-07-06;0.085;0.085;0.085;0.085;11700.0
1999-07-07;0.095;0.095;0.08;0.095;31200.0
1999-07-08;0.095;0.095;0.08;0.095;226200.0
1999-07-09;0.08;0.095;0.08;0.095;11700.0
1999-07-12;0.08;0.095;0.08;0.095;128700.0
1999-07-13;0.08;0.08;0.08;0.08;0.0
1999-07-14;0.095;0.095;0.08;0.08;11700.0
1999-07-15;0.08;0.08;0.08;0.08;0.0
1999-07-16;0.08;0.085;0.08;0.085;50700.0
1999-07-19;0.09;0.09;0.09;0.09;0.0
1999-07-20;0.075;0.09;0.075;0.09;19500.0
1999-07-21;0.09;0.09;0.075;0.075;19500.0
1999-07-22;0.085;0.085;0.08;0.085;50700.0
1999-07-23;0.085;0.085;0.07;0.07;401700.0
1999-07-26;0.09;0.14;0.09;0.125;2176200.0
1999-07-27;0.13;0.13;0.08;0.11;1657500.0
1999-07-28;0.13;0.13;0.1;0.11;370500.0
1999-07-29;0.125;0.125;0.1;0.125;175500.0
1999-07-30;0.11;0.125;0.11;0.11;206700.0
1999-08-02;0.11;0.13;0.11;0.125;721500.0
1999-08-03;0.125;0.145;0.1;0.11;1591200.0
1999-08-04;0.125;0.13;0.093;0.093;187200.0
1999-08-05;0.11;0.12;0.105;0.11;304200.0
1999-08-06;0.125;0.125;0.12;0.12;226200.0
1999-08-09;0.11;0.145;0.1;0.14;1220700.0
1999-08-10;0.13;0.145;0.13;0.135;624000.0
1999-08-11;0.145;0.145;0.105;0.12;538200.0
1999-08-12;0.14;0.145;0.12;0.125;780000.0
1999-08-13;0.135;0.135;0.12;0.12;148200.0
1999-08-16;0.135;0.135;0.115;0.12;1014000.0
1999-08-17;0.125;0.125;0.115;0.12;78000.0
1999-08-18;0.115;0.14;0.115;0.12;585000.0
1999-08-19;0.135;0.14;0.125;0.14;585000.0
1999-08-20;0.14;0.156;0.131;0.156;819000.0
1999-08-23;0.16;0.16;0.12;0.13;1170000.0
1999-08-24;0.15;0.155;0.135;0.155;429000.0
1999-08-25;0.145;0.15;0.14;0.145;577200.0
1999-08-26;0.15;0.15;0.135;0.145;195000.0
1999-08-27;0.14;0.15;0.135;0.14;156000.0
1999-08-30;0.145;0.165;0.145;0.155;616200.0
1999-08-31;0.16;0.17;0.155;0.165;440700.0
1999-09-01;0.175;0.175;0.15;0.16;187200.0
1999-09-02;0.165;0.165;0.15;0.15;421200.0
1999-09-03;0.14;0.16;0.14;0.16;31200.0
1999-09-07;0.16;0.175;0.145;0.165;838500.0
1999-09-08;0.165;0.165;0.14;0.15;117000.0
1999-09-09;0.16;0.16;0.15;0.15;226200.0
1999-09-10;0.145;0.155;0.145;0.155;421200.0
1999-09-13;0.16;0.16;0.145;0.145;245700.0
1999-09-14;0.145;0.16;0.145;0.16;31200.0
1999-09-15;0.15;0.16;0.145;0.15;109200.0
1999-09-16;0.16;0.16;0.14;0.15;50700.0
1999-09-17;0.14;0.14;0.13;0.13;253500.0
1999-09-20;0.15;0.15;0.12;0.12;292500.0
1999-09-21;0.12;0.135;0.095;0.11;331500.0
1999-09-22;0.12;0.15;0.11;0.15;89700.0
1999-09-23;0.15;0.15;0.12;0.13;39000.0
1999-09-24;0.115;0.12;0.11;0.12;78000.0
1999-09-27;0.11;0.12;0.11;0.12;19500.0
1999-09-28;0.11;0.11;0.11;0.11;11700.0
1999-09-29;0.12;0.125;0.11;0.12;70200.0
1999-09-30;0.13;0.15;0.13;0.145;226200.0
1999-10-01;0.155;0.155;0.125;0.125;0.0
1999-10-04;0.13;0.155;0.13;0.155;39000.0
1999-10-05;0.155;0.155;0.13;0.14;39000.0
1999-10-06;0.13;0.14;0.13;0.14;58500.0
1999-10-07;0.125;0.14;0.125;0.14;19500.0
1999-10-08;0.14;0.14;0.14;0.14;11700.0
1999-10-11;0.125;0.13;0.12;0.12;167700.0
1999-10-12;0.11;0.11;0.11;0.11;0.0
1999-10-13;0.11;0.14;0.11;0.14;11700.0
1999-10-14;0.14;0.14;0.11;0.11;58500.0
1999-10-15;0.11;0.11;0.11;0.11;0.0
1999-10-18;0.11;0.14;0.1;0.1;19500.0
1999-10-19;0.1;0.14;0.1;0.14;11700.0
1999-10-20;0.14;0.14;0.1;0.11;31200.0
1999-10-21;0.13;0.13;0.1;0.11;117000.0
1999-10-22;0.11;0.11;0.11;0.11;0.0
1999-10-25;0.105;0.105;0.105;0.105;11700.0
1999-10-26;0.105;0.105;0.105;0.105;0.0
1999-10-27;0.12;0.14;0.105;0.14;70200.0
1999-10-28;0.145;0.145;0.125;0.125;499200.0
1999-10-29;0.11;0.14;0.105;0.105;19500.0
1999-11-01;0.13;0.13;0.13;0.13;0.0
1999-11-02;0.11;0.13;0.11;0.13;39000.0
1999-11-03;0.13;0.13;0.12;0.12;31200.0
1999-11-04;0.12;0.15;0.115;0.13;226200.0
1999-11-05;0.13;0.155;0.13;0.13;284700.0
1999-11-08;0.14;0.145;0.11;0.14;78000.0
1999-11-09;0.11;0.14;0.1;0.1;11700.0
1999-11-10;0.14;0.14;0.125;0.135;89700.0
1999-11-11;0.14;0.14;0.14;0.14;11700.0
1999-11-12;0.15;0.15;0.11;0.14;39000.0
1999-11-15;0.14;0.14;0.11;0.14;19500.0
1999-11-16;0.14;0.15;0.115;0.12;78000.0
