date;open;high;low;close;volume
1986-12-22;8.5;8.56;8.5;8.56;15300.0
1986-12-23;8.56;8.56;8.5;8.56;12000.0
1986-12-24;8.56;8.56;8.25;8.5;15200.0
1986-12-26;8.5;8.5;8.25;8.38;11100.0
1986-12-29;8.38;8.38;8.12;8.38;46700.0
1986-12-30;8.38;8.38;8.25;8.25;6000.0
1986-12-31;8.25;8.38;8.12;8.38;9300.0
1987-01-02;8.38;8.5;8.38;8.38;3300.0
1987-01-05;8.5;8.56;8.5;8.56;12000.0
1987-01-06;8.56;8.75;8.25;8.25;5500.0
1987-01-07;8.25;8.5;8.25;8.38;6400.0
1987-01-08;8.38;8.38;8.12;8.12;1700.0
1987-01-09;8.38;8.38;8.38;8.38;800.0
1987-01-12;8.38;8.56;8.38;8.56;3500.0
1987-01-13;8.56;8.88;8.56;8.56;6800.0
1987-01-14;8.56;8.75;8.56;8.56;3900.0
1987-01-15;8.56;8.75;8.56;8.56;300.0
1987-01-16;8.56;8.75;8.5;8.5;2600.0
1987-01-19;8.75;8.75;8.75;8.75;700.0
1987-01-20;8.75;8.88;8.75;8.75;1000.0
1987-01-21;8.75;8.88;8.56;8.56;600.0
1987-01-22;8.56;8.56;8.5;8.5;2100.0
1987-01-23;8.25;8.25;8.25;8.25;3600.0
1987-01-26;8.25;8.25;8.25;8.25;0.0
1987-01-27;8.25;8.38;8.25;8.25;5800.0
1987-01-28;8.12;8.12;8.12;8.12;200.0
1987-01-29;8.12;8.25;8.0;8.25;3100.0
1987-01-30;8.12;8.12;8.0;8.0;5000.0
1987-02-02;8.0;8.0;7.88;7.88;2300.0
1987-02-03;7.88;7.88;7.75;7.88;2100.0
1987-02-04;7.88;7.88;7.56;7.56;700.0
1987-02-05;7.56;7.75;7.56;7.75;3100.0
1987-02-06;7.75;7.75;7.75;7.75;100.0
1987-02-09;7.88;7.88;7.88;7.88;100.0
1987-02-10;7.88;7.88;7.88;7.88;700.0
1987-02-11;8.0;8.0;8.0;8.0;800.0
1987-02-12;8.0;8.0;8.0;8.0;100.0
1987-02-13;8.0;8.0;8.0;8.0;300.0
1987-02-17;8.0;8.0;7.56;7.88;7400.0
1987-02-18;8.0;8.12;8.0;8.0;5200.0
1987-02-19;8.12;8.25;8.12;8.12;4100.0
1987-02-20;8.12;8.75;8.12;8.75;14300.0
1987-02-23;8.75;9.12;8.75;9.12;10500.0
1987-02-24;9.12;9.12;8.88;9.0;38200.0
1987-02-25;9.0;9.38;8.75;9.25;22800.0
1987-02-26;9.25;10.0;9.25;9.5;73500.0
1987-02-27;9.75;9.88;9.75;9.88;11800.0
1987-03-02;10.25;11.56;10.25;11.25;60500.0
1987-03-03;11.25;11.56;10.88;11.38;36400.0
1987-03-04;11.38;11.38;10.88;10.88;7500.0
1987-03-05;10.88;11.0;10.88;11.0;6400.0
1987-03-06;11.0;11.0;10.75;10.88;7500.0
1987-03-09;10.56;10.56;10.0;10.12;7300.0
1987-03-10;10.12;10.12;10.0;10.0;4300.0
1987-03-11;10.0;10.25;10.0;10.0;8600.0
1987-03-12;10.0;10.12;9.75;9.75;31500.0
1987-03-13;9.75;9.88;9.75;9.88;6600.0
1987-03-16;9.88;10.0;9.88;10.0;11300.0
1987-03-17;10.0;10.0;9.88;9.88;9300.0
1987-03-18;10.0;10.25;10.0;10.25;8400.0
1987-03-19;10.25;10.38;10.12;10.38;8500.0
1987-03-20;10.38;10.5;9.88;10.38;64700.0
1987-03-23;10.56;10.88;10.56;10.75;7600.0
1987-03-24;11.0;12.0;11.0;11.56;39500.0
1987-03-25;11.56;11.56;11.25;11.5;14100.0
1987-03-26;11.5;11.56;11.25;11.56;29100.0
1987-03-27;11.56;11.56;11.25;11.38;13300.0
1987-03-30;11.12;11.12;10.5;10.5;12500.0
1987-03-31;10.5;11.0;10.38;11.0;5700.0
1987-04-01;11.0;11.38;10.88;11.0;11500.0
1987-04-02;11.0;11.25;11.0;11.25;6800.0
1987-04-03;11.25;11.38;11.0;11.38;15200.0
1987-04-06;11.38;11.38;11.0;11.25;6000.0
1987-04-07;11.25;11.38;11.0;11.0;6700.0
1987-04-08;11.0;11.38;11.0;11.25;4800.0
1987-04-09;11.25;11.5;11.0;11.38;23100.0
1987-04-10;11.25;11.25;10.88;11.0;9700.0
1987-04-13;11.0;11.25;11.0;11.25;4500.0
1987-04-14;11.0;11.0;10.56;10.75;9500.0
1987-04-15;10.75;10.88;10.75;10.75;4600.0
1987-04-16;10.75;11.12;10.56;10.56;19100.0
1987-04-20;10.56;10.88;10.56;10.56;5700.0
1987-04-21;10.56;10.75;10.25;10.75;9000.0
1987-04-22;10.75;10.88;10.56;10.56;4400.0
1987-04-23;10.56;10.88;10.38;10.88;5100.0
1987-04-24;10.88;10.88;10.56;10.88;5500.0
1987-04-27;10.88;10.88;10.75;10.88;3100.0
1987-04-28;10.88;11.0;10.88;11.0;9400.0
1987-04-29;11.0;11.12;10.75;11.12;11600.0
1987-04-30;11.0;11.0;10.75;10.88;5500.0
1987-05-01;10.88;10.88;10.88;10.88;2600.0
1987-05-04;10.88;10.88;10.56;10.88;7400.0
1987-05-05;10.88;10.88;10.56;10.56;15600.0
1987-05-06;10.56;10.75;10.5;10.5;7500.0
1987-05-07;10.5;10.88;10.5;10.88;27300.0
1987-05-08;10.88;10.88;10.56;10.88;8800.0
1987-05-11;10.88;10.88;10.56;10.56;4200.0
1987-05-12;10.56;10.75;10.5;10.56;5400.0
1987-05-13;10.56;10.56;10.5;10.5;4000.0
1987-05-14;10.5;10.5;10.0;10.5;5400.0
1987-05-15;10.5;10.5;10.25;10.25;2800.0
1987-05-18;10.25;10.56;10.25;10.5;2500.0
1987-05-19;10.5;10.75;10.5;10.75;3800.0
1987-05-20;10.56;10.56;10.12;10.25;6700.0
1987-05-21;10.5;11.0;10.5;10.75;12500.0
1987-05-22;10.88;10.88;10.88;10.88;1700.0
1987-05-26;11.0;11.12;11.0;11.12;11400.0
1987-05-27;11.12;11.12;11.0;11.12;10300.0
1987-05-28;11.12;11.12;11.0;11.0;4400.0
1987-05-29;11.0;11.12;10.88;11.12;8600.0
1987-06-01;11.12;11.12;11.0;11.0;4500.0
1987-06-02;11.0;11.0;10.75;10.88;6600.0
1987-06-03;10.88;10.88;10.88;10.88;200.0
1987-06-04;10.75;10.75;10.25;10.75;9300.0
1987-06-05;10.75;10.88;10.75;10.75;5500.0
1987-06-08;10.75;10.88;10.75;10.75;2100.0
1987-06-09;10.75;10.88;10.75;10.88;5100.0
1987-06-10;10.88;10.88;10.88;10.88;2100.0
1987-06-11;10.88;11.0;10.75;10.88;3700.0
1987-06-12;10.88;11.38;10.75;11.12;7600.0
1987-06-15;11.12;11.12;11.0;11.12;3400.0
1987-06-16;10.88;10.88;10.75;10.75;17100.0
1987-06-17;10.75;11.12;10.75;11.0;3700.0
1987-06-18;11.12;11.12;11.12;11.12;100.0
1987-06-19;11.38;12.38;11.38;12.0;38900.0
1987-06-22;13.0;13.88;13.0;13.56;102300.0
1987-06-23;13.56;15.0;13.5;14.0;62000.0
1987-06-24;14.0;14.0;13.12;13.38;19100.0
1987-06-25;13.38;14.38;13.12;14.38;29100.0
1987-06-26;14.38;14.38;13.75;14.0;18700.0
1987-06-29;14.0;14.12;13.75;14.0;8300.0
1987-06-30;14.0;14.0;13.56;13.75;10600.0
1987-07-01;13.75;13.75;13.56;13.75;5400.0
1987-07-02;13.75;13.88;13.56;13.75;7200.0
1987-07-06;13.75;13.75;13.56;13.75;5700.0
1987-07-07;13.75;13.75;13.56;13.75;5500.0
1987-07-08;13.75;13.75;13.75;13.75;900.0
1987-07-09;13.75;13.88;13.5;13.88;21900.0
1987-07-10;13.88;13.88;13.56;13.88;3400.0
1987-07-13;13.88;14.0;13.5;13.75;3800.0
1987-07-14;13.75;13.75;13.5;13.75;2200.0
1987-07-15;13.75;13.75;13.75;13.75;12400.0
1987-07-16;13.75;14.38;13.56;14.38;10100.0
1987-07-17;14.38;14.38;14.12;14.12;6900.0
1987-07-20;14.12;14.12;13.88;13.88;4100.0
1987-07-21;13.75;13.75;13.56;13.56;3400.0
1987-07-22;13.56;13.56;13.38;13.56;7500.0
1987-07-23;13.5;13.5;13.38;13.38;6900.0
1987-07-24;13.38;13.5;13.25;13.5;4300.0
1987-07-27;13.5;13.56;13.25;13.25;12700.0
1987-07-28;13.38;13.5;13.38;13.38;500.0
1987-07-29;13.38;13.38;13.25;13.38;6700.0
1987-07-30;13.38;13.5;13.0;13.38;6600.0
1987-07-31;13.38;13.38;13.12;13.25;3700.0
1987-08-03;13.25;13.38;13.25;13.38;22600.0
1987-08-04;13.38;13.38;13.12;13.25;12800.0
1987-08-05;13.25;13.38;13.25;13.38;11200.0
1987-08-06;13.38;14.38;13.25;13.88;54900.0
1987-08-07;13.88;14.25;13.88;14.0;19100.0
1987-08-10;14.12;14.5;14.12;14.25;41900.0
1987-08-11;14.25;14.5;13.38;13.56;17800.0
1987-08-12;13.56;13.56;13.25;13.5;12900.0
1987-08-13;13.5;13.56;12.5;12.88;22300.0
1987-08-14;12.88;13.25;12.56;13.25;5700.0
1987-08-17;13.25;13.56;13.25;13.25;13500.0
1987-08-18;13.25;13.5;13.25;13.38;3100.0
1987-08-19;13.25;13.25;13.0;13.25;4600.0
1987-08-20;13.25;13.38;13.25;13.38;5000.0
1987-08-21;13.38;13.38;13.0;13.0;3900.0
1987-08-24;13.0;13.25;13.0;13.0;3800.0
1987-08-25;13.0;13.12;13.0;13.12;1400.0
1987-08-26;13.12;13.12;12.88;12.88;4700.0
1987-08-27;12.88;13.12;12.88;13.12;3200.0
1987-08-28;13.12;13.12;12.88;13.0;2100.0
1987-08-31;13.0;13.12;12.88;13.0;3000.0
1987-09-01;13.0;13.12;12.88;12.88;7800.0
1987-09-02;12.88;13.0;12.88;12.88;7000.0
1987-09-03;12.88;13.0;12.88;12.88;5100.0
1987-09-04;12.88;12.88;12.75;12.88;4300.0
1987-09-08;12.88;12.88;12.5;12.5;3200.0
1987-09-09;12.5;12.56;12.5;12.5;7500.0
1987-09-10;12.75;12.88;12.75;12.88;1200.0
1987-09-11;12.88;13.25;12.75;13.25;7900.0
1987-09-14;13.25;13.88;13.25;13.88;5300.0
1987-09-15;13.75;13.75;13.5;13.5;12400.0
1987-09-16;13.56;13.88;13.56;13.75;4300.0
1987-09-17;13.75;14.12;13.56;14.0;13900.0
1987-09-18;14.0;14.25;13.88;13.88;12700.0
1987-09-21;13.88;14.0;13.25;13.25;4800.0
1987-09-22;13.25;13.5;13.25;13.38;3100.0
1987-09-23;13.5;13.88;13.5;13.5;170600.0
1987-09-24;13.56;14.5;13.56;14.0;94500.0
