date;open;high;low;close;volume
2000-07-28;24.0;26.0;21.0;25.0;6654200.0
2000-07-31;23.25;24.75;23.0;23.75;619500.0
2000-08-01;24.0;24.0;23.5;23.88;423900.0
2000-08-02;24.0;24.0;23.63;24.0;202600.0
2000-08-03;23.63;24.06;23.5;23.63;322000.0
2000-08-04;23.69;24.25;23.5;24.0;134200.0
2000-08-07;24.0;27.5;23.75;26.88;194400.0
2000-08-08;27.88;31.88;27.88;30.0;244600.0
2000-08-09;32.0;32.5;27.38;27.38;174400.0
2000-08-10;27.5;27.75;24.0;26.0;511000.0
2000-08-11;26.0;26.06;24.75;25.63;138600.0
2000-08-14;25.5;25.5;25.0;25.0;75500.0
2000-08-15;25.63;25.81;24.5;24.63;71100.0
2000-08-16;24.88;25.0;24.81;24.81;316000.0
2000-08-17;24.94;27.25;24.75;27.25;162300.0
2000-08-18;27.38;27.5;26.69;27.5;69100.0
2000-08-21;26.69;29.5;26.63;29.0;153300.0
2000-08-22;28.88;28.88;28.13;28.5;311400.0
2000-08-23;28.5;30.0;28.5;30.0;196400.0
2000-08-24;30.0;30.13;29.5;29.5;150400.0
2000-08-25;29.69;29.69;28.5;29.5;32000.0
2000-08-28;30.5;34.25;29.88;33.5;582500.0
2000-08-29;34.5;38.0;33.0;34.06;223600.0
2000-08-30;34.13;35.75;33.56;35.5;89400.0
2000-08-31;35.97;47.0;35.5;46.25;248200.0
2000-09-01;46.5;46.56;37.5;41.88;323300.0
2000-09-05;42.03;45.06;42.0;42.5;299100.0
2000-09-06;43.13;43.13;37.38;38.75;319800.0
2000-09-07;39.13;42.0;38.5;40.0;211200.0
2000-09-08;39.75;40.75;39.0;40.0;131900.0
2000-09-11;39.69;39.69;37.5;39.0;91100.0
2000-09-12;38.63;38.63;36.25;36.94;69000.0
2000-09-13;37.13;37.88;37.13;37.63;182800.0
2000-09-14;37.88;40.75;37.25;39.63;115900.0
2000-09-15;39.94;40.94;39.13;39.69;185600.0
2000-09-18;39.81;39.94;39.0;39.5;244000.0
2000-09-19;39.5;39.5;37.31;37.38;257000.0
2000-09-20;38.13;38.13;36.13;36.63;40700.0
2000-09-21;36.69;36.75;34.5;34.75;16900.0
2000-09-22;34.81;34.88;33.94;34.19;78400.0
2000-09-25;34.19;42.88;34.0;37.44;268700.0
2000-09-26;39.0;40.75;38.0;39.0;483700.0
2000-09-27;39.25;39.25;38.75;39.0;38600.0
2000-09-28;38.75;42.0;38.75;40.13;103900.0
2000-09-29;40.63;43.25;39.13;43.0;245100.0
2000-10-02;42.13;42.38;40.5;42.25;124200.0
2000-10-03;41.75;41.94;41.25;41.5;86300.0
