date;open;high;low;close;volume
1984-09-07;6.31;6.62;6.31;6.31;32.0
1984-09-10;6.31;6.31;6.31;6.31;0.0
1984-09-11;6.31;6.31;6.31;6.31;0.0
1984-09-12;6.31;6.62;6.31;6.31;295.0
1984-09-13;6.31;6.31;6.31;6.31;0.0
1984-09-14;6.31;6.31;6.31;6.31;0.0
1984-09-17;6.31;6.62;6.31;6.31;32.0
1984-09-18;6.31;6.31;6.31;6.31;0.0
1984-09-19;6.31;6.31;6.31;6.31;0.0
1984-09-20;6.31;6.31;6.31;6.31;0.0
1984-09-21;6.31;6.62;6.31;6.31;32.0
1984-09-24;6.31;6.31;6.31;6.31;0.0
1984-09-25;6.31;6.58;6.31;6.31;295.0
1984-09-26;6.31;6.62;6.31;6.31;1824.0
1984-09-27;6.31;6.31;6.31;6.31;0.0
1984-09-28;6.31;6.31;6.31;6.31;0.0
1984-10-01;6.31;6.31;6.31;6.31;0.0
1984-10-02;6.31;6.62;6.31;6.31;153.0
1984-10-03;6.31;6.31;6.31;6.31;0.0
1984-10-04;6.31;6.31;6.31;6.31;0.0
1984-10-05;6.31;6.62;6.31;6.31;32.0
1984-10-08;6.31;6.31;6.31;6.31;0.0
1984-10-09;6.31;6.31;6.31;6.31;0.0
1984-10-10;6.31;6.31;6.31;6.31;0.0
1984-10-11;6.31;6.62;6.31;6.31;1260.0
1984-10-12;6.31;6.62;6.31;6.31;32.0
1984-10-15;6.31;6.31;6.31;6.31;0.0
1984-10-16;6.31;6.31;6.31;6.31;0.0
1984-10-17;6.31;6.31;6.31;6.31;0.0
1984-10-18;6.31;6.31;6.31;6.31;0.0
1984-10-19;6.31;6.31;6.31;6.31;0.0
1984-10-22;6.31;6.31;6.31;6.31;0.0
1984-10-23;6.31;6.31;6.31;6.31;0.0
1984-10-24;6.31;6.31;6.31;6.31;0.0
1984-10-25;6.31;6.31;6.31;6.31;0.0
1984-10-26;6.31;6.31;6.31;6.31;0.0
1984-10-29;6.31;6.58;6.31;6.31;153.0
1984-10-30;6.31;6.58;6.31;6.31;1075.0
1984-10-31;6.31;6.31;6.31;6.31;0.0
1984-11-01;6.31;6.58;6.31;6.31;32.0
1984-11-02;6.31;6.58;6.31;6.31;153.0
1984-11-05;6.31;6.58;6.31;6.31;237.0
1984-11-06;6.31;6.58;6.31;6.31;32.0
1984-11-07;6.31;6.58;6.31;6.31;153.0
1984-11-08;6.31;6.58;6.31;6.31;32.0
1984-11-09;6.31;6.58;6.31;6.31;32.0
1984-11-12;6.31;6.58;6.31;6.31;32.0
1984-11-13;6.31;6.31;6.31;6.31;0.0
1984-11-14;6.31;6.58;6.31;6.31;32.0
1984-11-15;6.31;6.31;6.31;6.31;0.0
1984-11-16;6.31;6.58;6.31;6.31;153.0
1984-11-19;6.31;6.58;6.31;6.31;32.0
1984-11-20;6.31;6.62;6.31;6.31;522.0
1984-11-21;6.31;6.31;6.31;6.31;0.0
1984-11-23;6.34;6.62;6.34;6.34;237.0
1984-11-26;6.34;6.34;6.34;6.34;0.0
1984-11-27;6.34;6.62;6.34;6.34;153.0
1984-11-28;6.34;6.62;6.34;6.34;32.0
1984-11-29;6.34;6.34;6.34;6.34;0.0
1984-11-30;6.34;6.62;6.34;6.34;237.0
1984-12-03;6.34;6.34;6.34;6.34;0.0
1984-12-04;6.34;6.34;6.34;6.34;0.0
1984-12-05;6.34;6.34;6.34;6.34;0.0
1984-12-06;6.34;6.34;6.34;6.34;0.0
1984-12-07;6.34;6.34;6.34;6.34;0.0
1984-12-10;6.34;6.34;6.34;6.34;0.0
1984-12-11;6.34;6.34;6.34;6.34;0.0
1984-12-12;6.34;6.34;6.34;6.34;0.0
1984-12-13;6.42;6.67;6.42;6.42;522.0
1984-12-14;6.42;6.42;6.42;6.42;0.0
1984-12-17;6.42;6.42;6.42;6.42;0.0
1984-12-18;6.48;6.67;6.48;6.48;32.0
1984-12-19;6.48;6.67;6.48;6.48;237.0
1984-12-20;6.48;6.67;6.48;6.48;1460.0
1984-12-21;6.48;6.48;6.48;6.48;0.0
1984-12-24;6.48;6.48;6.48;6.48;0.0
1984-12-26;6.48;6.67;6.48;6.48;153.0
1984-12-27;6.48;6.48;6.48;6.48;0.0
1984-12-28;6.58;6.67;6.58;6.58;1075.0
1984-12-31;6.58;6.67;6.58;6.58;32.0
1985-01-02;6.58;6.58;6.58;6.58;0.0
1985-01-03;6.58;6.58;6.58;6.58;0.0
1985-01-04;6.58;6.8;6.58;6.58;295.0
1985-01-07;6.58;6.8;6.58;6.58;153.0
1985-01-08;6.58;6.8;6.58;6.58;153.0
1985-01-09;6.58;6.58;6.58;6.58;0.0
1985-01-10;6.58;6.8;6.58;6.58;295.0
1985-01-11;6.58;6.58;6.58;6.58;0.0
1985-01-14;6.58;6.8;6.58;6.58;237.0
1985-01-15;6.58;6.58;6.58;6.58;0.0
1985-01-16;6.58;6.58;6.58;6.58;0.0
1985-01-17;6.58;6.58;6.58;6.58;0.0
1985-01-18;6.58;6.58;6.58;6.58;0.0
1985-01-21;6.58;6.58;6.58;6.58;0.0
