date;open;high;low;close;volume
1990-03-26;12.25;12.75;12.25;12.38;106000.0
1990-03-27;12.38;12.5;12.0;12.5;122300.0
1990-03-28;12.5;12.5;12.0;12.25;169100.0
1990-03-29;12.25;12.25;12.0;12.25;109800.0
1990-03-30;12.0;12.25;11.5;11.75;121400.0
1990-04-02;11.75;11.75;11.25;11.75;116700.0
1990-04-03;11.75;12.0;11.5;12.0;18800.0
1990-04-04;12.0;12.25;11.75;11.88;125500.0
1990-04-05;11.75;11.75;11.5;11.75;120400.0
1990-04-06;11.75;11.75;11.25;11.25;87500.0
1990-04-09;11.25;11.75;11.25;11.25;6800.0
1990-04-10;11.25;11.75;11.25;11.25;37000.0
1990-04-11;11.5;12.0;11.5;11.75;52900.0
1990-04-12;11.75;12.25;11.75;12.13;83200.0
1990-04-16;12.13;12.25;11.75;12.25;45600.0
1990-04-17;12.25;12.25;11.75;11.75;67700.0
1990-04-18;11.75;12.25;11.75;12.25;87900.0
1990-04-19;12.25;12.25;11.63;11.63;87300.0
1990-04-20;11.63;11.75;11.5;11.75;92500.0
1990-04-23;11.75;11.75;11.25;11.25;37000.0
1990-04-24;11.25;11.75;11.25;11.75;10000.0
1990-04-25;11.75;12.0;11.5;11.5;222300.0
1990-04-26;11.5;12.0;11.5;12.0;61400.0
1990-04-27;12.0;12.0;11.5;11.5;4300.0
1990-04-30;11.5;12.0;11.25;11.5;44900.0
1990-05-01;11.5;11.75;11.25;11.75;18300.0
1990-05-02;11.75;11.75;11.25;11.63;31000.0
1990-05-03;11.63;11.75;11.25;11.5;100000.0
1990-05-04;11.5;11.5;10.75;10.75;57800.0
1990-05-07;10.75;10.75;9.375;9.5;383100.0
1990-05-08;9.5;10.0;9.25;10.0;1142900.0
1990-05-09;10.0;10.0;9.5;10.0;222500.0
1990-05-10;10.0;10.25;9.75;10.0;181300.0
1990-05-11;10.0;10.5;9.75;10.5;507000.0
1990-05-14;10.5;11.0;10.25;11.0;517900.0
1990-05-15;11.0;11.0;10.5;10.63;67000.0
1990-05-16;10.63;10.75;10.0;10.0;84100.0
1990-05-17;10.0;10.5;10.0;10.5;186100.0
1990-05-18;10.5;10.5;10.0;10.25;66300.0
1990-05-21;10.25;10.5;10.0;10.0;209700.0
1990-05-22;10.0;10.5;10.0;10.5;368100.0
1990-05-23;10.5;10.5;10.25;10.5;67900.0
1990-05-24;10.5;10.5;10.0;10.5;241600.0
1990-05-25;10.25;10.25;9.75;10.25;237300.0
1990-05-29;10.25;10.5;10.0;10.25;44500.0
1990-05-30;10.25;10.75;10.25;10.5;111200.0
1990-05-31;10.5;10.75;10.25;10.75;121100.0
1990-06-01;10.75;11.0;10.5;10.88;254500.0
1990-06-04;11.0;11.5;11.0;11.0;273700.0
1990-06-05;11.0;11.25;10.75;10.75;229900.0
1990-06-06;10.75;11.0;10.0;10.5;116800.0
1990-06-07;10.5;10.75;10.25;10.75;258900.0
1990-06-08;10.75;10.75;10.5;10.75;210500.0
1990-06-11;10.75;11.0;10.5;11.0;125800.0
1990-06-12;11.0;11.0;10.5;10.75;150100.0
1990-06-13;10.75;11.0;10.5;10.63;121100.0
1990-06-14;10.63;10.75;10.0;10.5;97100.0
1990-06-15;10.5;10.5;10.25;10.38;89100.0
1990-06-18;10.38;10.5;10.25;10.25;62500.0
1990-06-19;10.25;11.0;10.25;11.0;185900.0
1990-06-20;11.0;11.0;10.5;10.5;65600.0
1990-06-21;10.5;11.0;10.5;10.5;62700.0
1990-06-22;10.5;11.0;10.5;10.75;84300.0
1990-06-25;10.75;10.75;10.5;10.75;23700.0
