date;open;high;low;close;volume
1984-09-07;2.81;3.06;2.81;2.81;7189.0
1984-09-10;2.81;2.97;2.81;2.81;4317.0
1984-09-11;2.81;3.06;2.81;2.81;232.0
1984-09-12;2.81;3.06;2.81;2.81;731.0
1984-09-13;2.81;2.81;2.81;2.81;0.0
1984-09-14;2.81;2.97;2.81;2.81;18.0
1984-09-17;2.81;2.97;2.81;2.81;3782.0
1984-09-18;2.81;2.97;2.72;2.72;1374.0
1984-09-19;2.81;2.97;2.81;2.81;1873.0
1984-09-20;2.81;2.97;2.81;2.81;339.0
1984-09-21;2.81;2.97;2.81;2.81;981.0
1984-09-24;2.81;2.97;2.81;2.81;232.0
1984-09-25;2.81;2.97;2.81;2.81;1374.0
1984-09-26;2.81;2.97;2.81;2.81;1374.0
1984-09-27;2.81;2.97;2.81;2.81;232.0
1984-09-28;2.81;2.97;2.81;2.81;464.0
1984-10-01;2.81;2.97;2.81;2.81;339.0
1984-10-02;2.81;2.97;2.72;2.72;1481.0
1984-10-03;2.72;2.97;2.72;2.72;18.0
1984-10-04;2.72;2.97;2.72;2.72;232.0
1984-10-05;2.81;2.97;2.81;2.81;2052.0
1984-10-08;2.81;2.97;2.81;2.81;232.0
1984-10-09;2.81;2.97;2.72;2.72;981.0
1984-10-10;2.72;2.72;2.56;2.56;3176.0
1984-10-11;2.56;2.81;2.56;2.56;2408.0
1984-10-12;2.63;2.81;2.63;2.63;838.0
1984-10-15;2.63;2.81;2.63;2.63;4745.0
1984-10-16;2.81;3.06;2.81;2.81;4959.0
1984-10-17;2.97;3.22;2.97;2.97;3015.0
1984-10-18;2.97;3.22;2.97;2.97;232.0
1984-10-19;2.97;3.22;2.97;2.97;2052.0
1984-10-22;2.97;3.06;2.81;2.81;4567.0
1984-10-23;2.81;2.81;2.81;2.81;0.0
1984-10-24;2.81;2.97;2.72;2.72;731.0
1984-10-25;2.81;2.97;2.81;2.81;1481.0
1984-10-26;2.81;3.06;2.81;2.81;553.0
1984-10-29;2.81;3.06;2.81;2.81;232.0
1984-10-30;2.81;3.06;2.81;2.81;9865.0
1984-10-31;2.81;3.16;2.81;2.81;232.0
1984-11-01;2.91;3.16;2.91;2.91;232.0
1984-11-02;2.91;3.16;2.91;2.91;2765.0
1984-11-05;2.91;3.16;2.91;2.91;2408.0
1984-11-06;2.91;3.22;2.91;2.91;2408.0
1984-11-07;2.97;3.22;2.97;2.97;981.0
1984-11-08;2.97;3.22;2.97;2.97;838.0
1984-11-09;2.97;3.22;2.97;2.97;731.0
1984-11-12;2.97;3.16;2.97;2.97;981.0
1984-11-13;2.97;3.16;2.97;2.97;1481.0
1984-11-14;3.06;3.22;3.06;3.06;1873.0
1984-11-15;3.06;3.22;3.06;3.06;339.0
1984-11-16;3.06;3.06;3.06;3.06;0.0
1984-11-19;3.06;3.06;3.06;3.06;0.0
1984-11-20;3.06;3.06;3.06;3.06;0.0
1984-11-21;3.06;3.31;3.06;3.06;232.0
1984-11-23;3.06;3.31;3.06;3.06;981.0
1984-11-26;3.06;3.31;3.06;3.06;14932.0
1984-11-27;3.06;3.31;3.06;3.06;18.0
1984-11-28;3.06;3.22;2.97;2.97;3800.0
1984-11-29;2.97;3.16;2.97;2.97;2212.0
