date;open;high;low;close;volume
1990-03-26;29.75;30.75;29.75;30.0;3700.0
1990-03-27;30.75;30.75;29.75;30.5;500.0
1990-03-28;29.75;30.5;29.75;29.75;4100.0
1990-03-29;30.5;30.5;29.25;29.25;6200.0
1990-03-30;29.25;30.0;29.25;30.0;6700.0
1990-04-02;29.75;29.75;28.75;28.75;2100.0
1990-04-03;29.75;29.75;28.75;29.0;2100.0
1990-04-04;28.75;29.25;28.25;29.0;11700.0
1990-04-05;29.25;29.25;28.5;29.0;2800.0
1990-04-06;29.0;29.0;28.5;28.75;1300.0
1990-04-09;28.5;28.5;28.25;28.5;1500.0
1990-04-10;28.25;28.25;28.25;28.25;600.0
1990-04-11;28.25;29.0;28.0;28.0;2300.0
1990-04-12;28.0;28.0;28.0;28.0;800.0
1990-04-16;28.75;28.75;28.0;28.75;500.0
1990-04-17;28.5;28.5;28.0;28.5;4400.0
1990-04-18;28.0;29.0;28.0;28.5;700.0
1990-04-19;28.0;28.75;28.0;28.0;1200.0
1990-04-20;28.0;28.5;27.75;28.0;4700.0
1990-04-23;28.5;28.5;28.0;28.12;1800.0
1990-04-24;28.5;28.5;27.75;27.75;2100.0
1990-04-25;27.75;28.5;27.75;28.5;7200.0
1990-04-26;28.25;28.25;27.75;27.75;1900.0
1990-04-27;27.75;28.25;27.75;27.75;4300.0
1990-04-30;27.75;28.5;27.75;27.75;1600.0
1990-05-01;28.25;28.25;27.38;27.38;4000.0
1990-05-02;27.38;28.25;27.38;28.0;1400.0
1990-05-03;27.38;28.25;27.38;28.25;900.0
1990-05-04;27.75;28.25;27.5;27.5;4000.0
1990-05-07;27.5;28.25;27.5;27.5;12600.0
1990-05-08;27.5;28.25;27.5;28.25;6200.0
1990-05-09;27.5;28.25;27.5;28.25;1000.0
1990-05-10;28.25;28.25;27.5;28.25;1000.0
1990-05-11;27.5;28.25;27.5;27.5;2300.0
1990-05-14;27.25;28.25;27.25;28.25;600.0
1990-05-15;27.25;28.25;27.25;28.25;3500.0
1990-05-16;28.25;28.25;27.25;27.5;2200.0
1990-05-17;27.5;28.25;27.5;28.25;2200.0
1990-05-18;27.5;27.5;27.5;27.5;1400.0
1990-05-21;28.0;29.5;27.5;29.5;24200.0
1990-05-22;29.5;30.0;28.5;29.0;10300.0
1990-05-23;29.0;30.0;29.0;29.0;11300.0
1990-05-24;29.0;29.75;29.0;29.0;8200.0
1990-05-25;29.75;29.75;28.5;28.5;5700.0
1990-05-29;28.5;29.25;28.5;29.25;3600.0
1990-05-30;29.25;29.25;28.75;28.75;700.0
1990-05-31;28.75;29.25;28.75;28.75;1400.0
1990-06-01;28.75;29.25;28.75;28.75;2300.0
1990-06-04;28.75;29.5;28.75;28.75;2200.0
1990-06-05;28.75;29.5;28.75;29.5;2200.0
1990-06-06;29.5;29.5;28.75;29.5;3500.0
1990-06-07;29.25;30.75;29.0;30.25;29000.0
1990-06-08;30.25;30.75;30.25;30.5;4900.0
1990-06-11;30.75;30.75;30.25;30.75;3300.0
1990-06-12;30.25;31.5;30.25;31.0;12800.0
1990-06-13;31.0;31.25;30.63;31.0;16600.0
1990-06-14;30.75;31.25;30.75;31.25;4300.0
1990-06-15;31.25;31.5;30.75;30.75;5400.0
1990-06-18;30.75;31.5;30.5;30.5;9500.0
1990-06-19;31.25;31.25;30.75;30.75;1800.0
1990-06-20;30.75;31.25;30.75;30.75;10200.0
1990-06-21;30.75;31.25;30.75;31.0;5100.0
1990-06-22;30.75;31.25;30.75;30.75;4700.0
1990-06-25;30.75;31.25;30.5;30.5;2900.0
1990-06-26;30.5;31.25;30.5;30.75;3600.0
1990-06-27;30.75;31.0;30.75;31.0;2200.0
1990-06-28;30.75;31.25;30.75;31.25;5600.0
1990-06-29;30.75;31.25;30.75;30.87;5200.0
1990-07-02;30.75;31.25;30.75;30.75;2000.0
