date;open;high;low;close;volume
1986-06-03;4.5;4.87;4.5;4.75;9345.0
1986-06-04;4.75;4.75;4.5;4.75;2418.0
1986-06-05;4.5;4.5;4.37;4.37;4904.0
1986-06-06;4.37;4.5;4.25;4.5;969.0
1986-06-09;4.5;4.5;4.5;4.5;0.0
1986-06-10;4.37;4.37;4.0;4.12;9597.0
1986-06-11;4.12;4.12;4.12;4.12;0.0
1986-06-12;4.25;4.25;4.25;4.25;1928.0
1986-06-13;4.37;4.37;4.37;4.37;2876.0
1986-06-16;4.37;4.37;4.12;4.37;1707.0
1986-06-17;4.37;4.37;4.37;4.37;0.0
1986-06-18;4.37;4.37;4.25;4.37;1538.0
1986-06-19;4.37;4.37;4.37;4.37;0.0
1986-06-20;4.37;4.37;4.37;4.37;332.0
1986-06-23;4.25;4.25;4.25;4.25;953.0
1986-06-24;4.25;4.25;4.25;4.25;0.0
1986-06-25;4.0;4.0;4.0;4.0;332.0
1986-06-26;4.0;4.37;4.0;4.25;3587.0
1986-06-27;4.37;4.37;4.37;4.37;1928.0
1986-06-30;4.37;4.37;4.0;4.37;13938.0
1986-07-01;4.5;4.5;4.5;4.5;1427.0
1986-07-02;4.62;4.75;4.62;4.75;2418.0
1986-07-03;4.75;4.75;4.75;4.75;332.0
1986-07-07;4.75;4.75;4.5;4.75;5757.0
1986-07-08;4.5;4.5;4.25;4.5;11741.0
1986-07-09;4.5;4.5;4.12;4.12;4904.0
1986-07-10;4.12;4.37;4.12;4.37;1707.0
1986-07-11;4.5;4.5;4.5;4.5;953.0
1986-07-14;4.5;4.5;4.5;4.5;0.0
1986-07-15;4.12;4.12;4.0;4.0;3134.0
1986-07-16;3.88;3.88;3.88;3.88;5.0
1986-07-17;4.12;4.37;4.12;4.12;9345.0
1986-07-18;4.37;4.37;4.37;4.37;1928.0
1986-07-21;4.37;4.75;4.37;4.75;7938.0
1986-07-22;5.0;5.0;5.0;5.0;332.0
1986-07-23;5.0;5.0;5.0;5.0;332.0
1986-07-24;5.0;5.0;5.0;5.0;0.0
1986-07-25;5.0;5.0;4.87;5.0;2418.0
1986-07-28;5.0;5.0;5.0;5.0;969.0
1986-07-29;5.0;5.0;5.0;5.0;3134.0
1986-07-30;5.0;5.0;4.62;4.75;4904.0
1986-07-31;4.75;5.13;4.75;4.87;969.0
1986-08-01;4.87;4.87;4.87;4.87;0.0
1986-08-04;5.0;5.0;5.0;5.0;1217.0
1986-08-05;4.75;4.75;4.75;4.75;5.0
1986-08-06;4.87;5.5;4.87;5.5;7538.0
1986-08-07;5.63;6.0;5.63;5.88;7211.0
1986-08-08;5.88;6.5;5.88;6.37;6974.0
1986-08-11;6.37;6.75;6.25;6.62;9929.0
1986-08-12;6.62;6.62;6.25;6.25;8965.0
