date;open;high;low;close;volume
1993-11-24;10.0;11.0;9.75;9.87;1578015.0
1993-11-26;9.75;10.25;9.75;9.75;146430.0
1993-11-29;9.87;10.25;9.75;10.0;100267.0
1993-11-30;10.25;10.25;9.75;9.75;94400.0
1993-12-01;9.75;10.25;9.75;9.75;125985.0
1993-12-02;9.75;10.25;9.75;9.75;73600.0
1993-12-03;9.75;10.25;9.75;10.0;88830.0
1993-12-06;10.25;10.25;9.75;9.87;100148.0
1993-12-07;10.25;10.25;9.75;10.12;155733.0
1993-12-08;10.25;10.25;10.0;10.12;85867.0
1993-12-09;10.0;10.25;10.0;10.0;103585.0
1993-12-10;10.0;10.25;10.0;10.0;68385.0
1993-12-13;10.0;10.25;10.0;10.25;94637.0
1993-12-14;10.0;10.25;10.0;10.0;221570.0
1993-12-15;10.0;10.25;10.0;10.0;55052.0
1993-12-16;10.0;10.25;10.0;10.25;45748.0
1993-12-17;10.0;10.25;10.0;10.25;29867.0
1993-12-20;10.5;11.0;10.0;10.25;127230.0
1993-12-21;11.0;11.25;10.25;10.25;43615.0
1993-12-22;11.25;11.25;10.25;11.25;45333.0
1993-12-23;11.25;11.25;10.25;10.25;28148.0
1993-12-27;10.25;11.25;10.25;11.25;13748.0
1993-12-28;11.25;11.25;10.5;11.25;46400.0
1993-12-29;10.5;11.0;10.5;11.0;86756.0
1993-12-30;11.0;11.0;10.5;11.0;33600.0
1993-12-31;11.0;11.0;10.5;10.5;22400.0
1994-01-03;11.0;11.0;10.5;11.0;45452.0
1994-01-04;10.5;11.0;10.5;11.0;62933.0
1994-01-05;11.5;11.5;11.0;11.0;57244.0
1994-01-06;11.0;11.5;11.0;11.5;109037.0
1994-01-07;11.25;12.5;11.25;12.5;137956.0
1994-01-10;12.25;12.75;11.75;12.5;68148.0
1994-01-11;12.5;12.5;11.75;12.5;63348.0
1994-01-12;11.75;12.5;11.75;12.5;126163.0
1994-01-13;12.5;13.0;12.0;12.25;116978.0
1994-01-14;13.0;13.0;12.25;12.62;103348.0
1994-01-17;13.0;13.5;12.5;13.0;100030.0
1994-01-18;13.5;13.5;12.75;13.0;98370.0
1994-01-19;13.5;13.5;13.0;13.5;76148.0
1994-01-20;13.75;14.5;13.0;14.5;192178.0
1994-01-21;14.5;14.5;14.0;14.0;162667.0
1994-01-24;14.5;14.5;14.0;14.5;58963.0
1994-01-25;14.5;14.5;13.5;14.5;75970.0
1994-01-26;13.5;14.5;13.5;14.5;14578.0
1994-01-27;13.75;14.5;13.5;13.5;22044.0
1994-01-28;13.5;14.25;13.5;14.0;30578.0
1994-01-31;14.25;14.25;13.0;13.0;57600.0
1994-02-01;13.0;13.75;13.0;13.0;71763.0
1994-02-02;14.0;14.0;13.0;13.25;11615.0
1994-02-03;14.0;14.0;13.0;14.0;3970.0
1994-02-04;14.0;14.0;13.0;13.0;17067.0
1994-02-07;13.0;13.75;12.5;13.0;31230.0
1994-02-08;12.5;13.5;12.5;13.5;37156.0
1994-02-09;13.5;13.5;12.5;13.5;36800.0
1994-02-10;13.5;13.5;12.75;13.5;20622.0
1994-02-11;12.88;13.5;12.75;12.88;10963.0
1994-02-14;13.5;14.0;12.75;14.0;56237.0
1994-02-15;14.0;14.0;13.0;13.75;23763.0
