date;open;high;low;close;volume
1998-06-17;11.88;14.13;11.38;13.19;1469867.0
1998-06-18;13.38;13.75;12.75;13.5;189867.0
1998-06-19;13.63;13.63;12.88;13.0;279585.0
1998-06-22;13.25;13.25;12.25;12.25;314963.0
1998-06-23;12.38;12.63;11.88;12.25;334044.0
1998-06-24;11.88;12.75;11.88;12.31;56000.0
1998-06-25;12.75;12.75;12.25;12.25;40652.0
1998-06-26;12.13;12.63;12.13;12.44;15200.0
1998-06-29;12.63;12.63;12.38;12.63;13600.0
1998-06-30;12.63;13.13;12.56;13.13;96800.0
1998-07-01;13.13;13.25;12.5;12.5;118785.0
1998-07-02;12.88;12.88;12.38;12.5;35852.0
1998-07-06;12.5;12.5;12.0;12.19;83378.0
1998-07-07;12.0;12.38;12.0;12.25;116830.0
1998-07-08;12.38;12.5;12.19;12.25;115052.0
1998-07-09;12.13;12.38;12.0;12.38;126785.0
1998-07-10;12.38;12.5;12.0;12.19;163052.0
1998-07-13;12.5;13.5;12.5;13.0;158785.0
1998-07-14;13.25;15.87;13.25;15.5;1056563.0
1998-07-15;16.38;17.75;16.0;17.06;859852.0
1998-07-16;17.13;17.38;17.0;17.31;395378.0
1998-07-17;17.38;19.0;17.38;19.0;436563.0
1998-07-20;19.5;20.0;18.25;18.63;448563.0
1998-07-21;18.44;18.44;16.75;17.25;380178.0
1998-07-22;17.13;17.75;17.13;17.5;124385.0
1998-07-23;17.63;18.13;16.88;16.88;42963.0
1998-07-24;17.0;17.0;14.5;15.75;119763.0
1998-07-27;15.38;15.56;14.5;14.88;90844.0
1998-07-28;15.0;15.5;14.5;14.5;74963.0
1998-07-29;14.63;17.44;14.63;17.38;226252.0
1998-07-30;17.75;19.5;17.63;19.0;360563.0
1998-07-31;18.5;19.0;18.25;18.88;141067.0
1998-08-03;18.13;18.75;16.75;17.0;373452.0
1998-08-04;16.88;18.0;16.63;17.5;62785.0
1998-08-05;17.31;17.5;16.38;16.5;70785.0
1998-08-06;16.88;17.0;16.31;16.88;87200.0
1998-08-07;17.13;17.5;16.75;16.75;196030.0
1998-08-10;17.13;17.13;16.75;16.88;32385.0
1998-08-11;16.5;16.88;15.63;16.0;88563.0
1998-08-12;16.5;16.88;15.63;15.75;149867.0
1998-08-13;16.0;16.0;15.38;15.75;15052.0
1998-08-14;15.88;15.88;15.0;15.13;24830.0
1998-08-17;15.5;15.63;14.75;15.5;27052.0
1998-08-18;15.75;17.63;15.75;16.88;106785.0
1998-08-19;17.63;17.75;17.0;17.0;36563.0
1998-08-20;17.0;17.13;16.5;16.5;25630.0
1998-08-21;16.5;16.63;15.13;15.75;57600.0
1998-08-24;16.38;17.38;16.0;16.75;56000.0
1998-08-25;16.88;17.0;16.5;16.63;20563.0
1998-08-26;16.75;16.75;15.5;15.75;33867.0
1998-08-27;16.0;16.0;14.5;15.38;48444.0
1998-08-28;15.5;15.5;14.25;14.38;46400.0
1998-08-31;14.94;15.0;11.63;11.88;94578.0
1998-09-01;11.63;12.0;10.0;11.75;199585.0
1998-09-02;12.13;14.0;11.88;13.5;131852.0
1998-09-03;13.25;13.25;12.38;12.56;121985.0
1998-09-04;12.88;13.0;12.38;12.38;11763.0
1998-09-08;13.13;14.5;13.06;13.75;56385.0
1998-09-09;14.13;15.38;13.88;14.5;136000.0
1998-09-10;13.88;14.25;13.5;13.5;23052.0
1998-09-11;13.38;14.75;13.38;14.0;26252.0
1998-09-14;14.38;15.13;14.13;15.0;48030.0
1998-09-15;15.0;15.75;15.0;15.63;63585.0
1998-09-16;15.63;16.5;15.38;16.13;56444.0
1998-09-17;15.63;15.63;14.88;15.0;19052.0
1998-09-18;15.0;15.25;14.88;15.25;24830.0
1998-09-21;14.25;15.25;13.88;15.25;17244.0
1998-09-22;16.0;16.0;15.0;16.0;83378.0
1998-09-23;16.38;16.75;15.75;15.81;40267.0
1998-09-24;15.81;16.0;15.25;15.75;6044.0
1998-09-25;15.0;15.63;14.75;15.5;11230.0
1998-09-28;15.5;15.5;15.13;15.13;3763.0
1998-09-29;15.0;15.63;15.0;15.38;69600.0
1998-09-30;15.38;16.13;14.5;16.06;73985.0
1998-10-01;15.5;15.5;15.13;15.13;9600.0
1998-10-02;15.13;15.13;14.13;15.0;70430.0
1998-10-05;14.63;14.63;13.13;13.63;56178.0
1998-10-06;13.5;14.75;13.0;14.0;80830.0
1998-10-07;13.5;14.13;12.88;13.25;36267.0
1998-10-08;13.25;13.88;12.75;12.88;41867.0
1998-10-09;13.25;13.88;12.88;13.25;26785.0
1998-10-12;13.75;14.5;13.5;14.25;68563.0
1998-10-13;14.13;14.5;14.13;14.25;21867.0
1998-10-14;14.25;15.0;14.25;14.75;25067.0
1998-10-15;14.88;14.88;14.5;14.81;14430.0
1998-10-16;14.88;15.88;14.88;15.25;83585.0
1998-10-19;16.0;16.0;15.38;15.75;160652.0
1998-10-20;15.88;16.75;15.38;16.13;182667.0
1998-10-21;16.5;16.5;15.25;15.5;27852.0
1998-10-22;15.5;15.5;14.38;14.38;17185.0
1998-10-23;14.25;15.25;14.25;14.56;49244.0
1998-10-26;15.0;15.0;14.75;14.75;4385.0
1998-10-27;14.94;15.5;14.25;14.63;45630.0
1998-10-28;14.5;14.88;14.5;14.5;5452.0
1998-10-29;14.88;15.0;14.5;14.75;3230.0
1998-10-30;14.63;16.5;14.63;16.0;64385.0
1998-11-02;16.38;16.5;15.63;15.75;47200.0
1998-11-03;15.88;16.38;15.75;16.25;13244.0
1998-11-04;16.25;18.75;16.0;18.13;232385.0
1998-11-05;18.13;19.63;17.25;19.25;197244.0
1998-11-06;18.63;19.0;18.13;19.0;36800.0
1998-11-09;18.75;22.38;18.75;21.0;234252.0
1998-11-10;21.5;21.5;19.63;20.75;161363.0
1998-11-11;20.38;21.13;20.38;20.88;42578.0
1998-11-12;21.0;21.0;19.63;19.88;38163.0
1998-11-13;20.0;20.38;19.88;20.13;54430.0
1998-11-16;20.38;22.38;20.13;22.25;166578.0
1998-11-17;22.38;24.0;21.5;22.75;68830.0
1998-11-18;23.0;23.5;22.25;22.75;36444.0
1998-11-19;23.25;26.75;23.25;26.13;68000.0
1998-11-20;25.63;27.13;25.25;26.25;65778.0
1998-11-23;26.19;27.44;22.75;27.0;145244.0
1998-11-24;26.63;27.13;25.88;26.5;57985.0
1998-11-25;26.75;28.38;25.88;27.13;45600.0
1998-11-27;27.13;27.13;26.0;26.38;9867.0
1998-11-30;26.38;27.25;25.75;26.5;34578.0
1998-12-01;26.63;29.63;26.63;28.38;110667.0
1998-12-02;30.0;30.63;27.88;28.5;93630.0
1998-12-03;29.25;30.0;28.0;28.75;35763.0
1998-12-04;29.25;29.25;28.06;28.44;26252.0
1998-12-07;28.5;28.5;26.38;27.75;30044.0
1998-12-08;27.25;27.25;25.75;26.13;62044.0
1998-12-09;25.75;27.75;24.88;27.75;78163.0
1998-12-10;27.75;28.63;27.0;27.0;28978.0
1998-12-11;27.0;28.5;27.0;27.75;17067.0
1998-12-14;26.88;27.38;26.13;26.5;37630.0
1998-12-15;26.75;27.13;25.88;26.75;35052.0
1998-12-16;27.38;29.0;27.0;28.0;44830.0
1998-12-17;28.75;28.75;27.63;28.13;30252.0
1998-12-18;28.5;28.88;27.75;28.25;16030.0
1998-12-21;28.5;32.25;28.5;30.63;100800.0
1998-12-22;31.5;31.75;30.88;31.75;103644.0
1998-12-23;32.0;32.13;31.13;31.13;16652.0
1998-12-24;31.25;31.25;30.25;30.25;8563.0
1998-12-28;31.88;33.5;31.0;31.69;82578.0
1998-12-29;32.13;33.5;31.75;33.13;74430.0
1998-12-30;33.0;35.0;33.0;34.75;77778.0
1998-12-31;35.0;38.0;34.94;35.38;97985.0
1999-01-04;35.13;38.25;34.25;36.0;132267.0
1999-01-05;36.0;37.63;35.75;36.38;140978.0
1999-01-06;37.13;37.38;34.0;36.0;121067.0
1999-01-07;35.75;36.88;34.25;35.75;89452.0
1999-01-08;37.13;38.0;36.0;37.25;107378.0
1999-01-11;37.5;39.25;37.5;39.0;51585.0
1999-01-12;39.75;39.75;37.5;38.13;38163.0
1999-01-13;36.5;37.38;35.38;36.63;161630.0
1999-01-14;36.75;37.88;36.63;37.0;11052.0
1999-01-15;36.63;37.88;36.63;37.63;10844.0
1999-01-19;38.13;39.94;37.25;39.5;63378.0
1999-01-20;40.88;44.5;40.0;42.63;231852.0
1999-01-21;41.13;41.38;39.75;40.56;260030.0
1999-01-22;40.38;40.38;37.75;37.75;77185.0
1999-01-25;37.25;37.25;33.0;35.0;271467.0
1999-01-26;35.0;35.5;33.25;34.75;63644.0
1999-01-27;35.5;36.5;35.13;35.75;125985.0
1999-01-28;36.13;36.13;35.0;35.0;110044.0
1999-01-29;35.0;36.5;35.0;36.13;135230.0
1999-02-01;36.13;36.5;34.0;34.0;57630.0
1999-02-02;33.63;34.5;32.0;32.81;112000.0
1999-02-03;32.75;33.75;31.38;32.06;137630.0
1999-02-04;32.13;32.63;32.0;32.63;32030.0
1999-02-05;32.25;32.75;32.0;32.5;81244.0
1999-02-08;32.88;35.88;32.63;35.0;364652.0
1999-02-09;35.63;36.75;35.56;36.38;283644.0
1999-02-10;37.0;37.13;35.88;36.63;82430.0
1999-02-11;37.0;37.25;36.63;37.25;101067.0
1999-02-12;37.0;37.0;36.0;36.25;37600.0
1999-02-16;36.13;36.88;35.88;35.88;38844.0
1999-02-17;35.5;36.25;34.75;35.38;73985.0
1999-02-18;35.63;35.63;34.75;35.13;8652.0
1999-02-19;35.0;35.0;33.0;33.13;76830.0
1999-02-22;33.25;33.31;30.5;31.88;86400.0
1999-02-23;31.63;32.0;30.5;30.75;90252.0
1999-02-24;31.0;31.0;28.5;29.88;122578.0
1999-02-25;29.75;33.75;29.0;33.0;111230.0
1999-02-26;32.63;32.63;30.0;31.13;97363.0
1999-03-01;32.38;33.5;31.5;33.25;52444.0
1999-03-02;33.88;34.5;33.13;33.75;127052.0
1999-03-03;34.0;34.0;32.13;32.44;106844.0
1999-03-04;34.5;36.0;33.75;35.06;120830.0
1999-03-05;35.0;36.44;34.88;36.13;54844.0
1999-03-08;36.0;38.5;36.0;38.0;138044.0
1999-03-09;38.0;38.0;36.5;37.19;21867.0
1999-03-10;37.5;38.0;37.06;37.19;41630.0
1999-03-11;37.75;39.13;37.13;39.13;185244.0
1999-03-12;38.5;39.25;37.0;37.06;275467.0
1999-03-15;37.0;37.13;34.25;34.75;50400.0
1999-03-16;34.63;37.0;34.63;36.13;256444.0
1999-03-17;35.75;36.63;35.75;36.25;34578.0
1999-03-18;35.75;36.38;34.94;35.0;50963.0
1999-03-19;35.0;36.13;35.0;36.13;171378.0
1999-03-22;36.0;37.0;36.0;36.75;60267.0
1999-03-23;36.06;37.78;34.25;37.63;58430.0
1999-03-24;37.25;37.5;36.0;36.25;56178.0
1999-03-25;37.25;37.5;36.0;36.25;12978.0
1999-03-26;36.13;37.88;35.88;37.13;70578.0
1999-03-29;37.5;40.38;37.5;40.0;139763.0
1999-03-30;39.94;41.44;39.25;41.44;98844.0
1999-03-31;41.5;41.5;40.0;41.0;46163.0
1999-04-01;41.88;42.38;40.25;40.5;121244.0
1999-04-05;41.0;41.0;39.5;40.0;82667.0
1999-04-06;40.0;41.13;39.25;40.0;53778.0
1999-04-07;40.0;41.13;38.75;41.06;73363.0
1999-04-08;40.0;45.13;40.0;43.38;247467.0
1999-04-09;44.0;47.0;42.5;46.63;149452.0
1999-04-12;45.0;49.38;44.0;48.25;152830.0
1999-04-13;47.25;50.0;46.88;49.63;64385.0
1999-04-14;48.5;49.75;47.25;47.88;247200.0
1999-04-15;47.88;47.88;46.0;46.63;193600.0
1999-04-16;46.13;47.0;46.0;47.0;164178.0
1999-04-19;47.5;48.25;42.0;42.13;340652.0
1999-04-20;43.0;43.25;40.63;41.13;211230.0
1999-04-21;41.06;43.0;39.63;40.63;184652.0
1999-04-22;41.06;42.13;40.5;40.75;42252.0
1999-04-23;40.88;41.0;38.0;38.5;238430.0
1999-04-26;38.63;40.13;38.5;39.5;44030.0
1999-04-27;38.63;40.88;38.63;40.5;289363.0
1999-04-28;40.25;42.13;40.25;42.13;154163.0
1999-04-29;42.13;42.13;41.13;41.5;87467.0
1999-04-30;41.38;42.0;37.25;38.0;152267.0
1999-05-03;39.5;40.0;38.0;39.88;117185.0
1999-05-04;39.38;41.25;39.06;39.25;110044.0
1999-05-05;40.38;40.38;36.5;38.0;52652.0
1999-05-06;37.88;39.13;37.88;38.13;30163.0
1999-05-07;38.88;39.19;36.13;36.5;46578.0
1999-05-10;36.0;36.0;33.75;34.56;245985.0
1999-05-11;34.75;35.25;34.13;34.63;649630.0
1999-05-12;35.13;35.25;33.13;33.19;703230.0
1999-05-13;33.38;34.25;33.0;33.75;389244.0
1999-05-14;33.63;33.63;31.63;32.0;332830.0
1999-05-17;32.25;33.0;30.75;32.13;275763.0
1999-05-18;32.38;33.0;31.75;32.75;65244.0
1999-05-19;33.0;34.0;31.5;32.0;158578.0
1999-05-20;32.38;32.38;31.0;31.0;57363.0
1999-05-21;31.88;32.0;30.31;30.63;81778.0
1999-05-24;31.0;31.5;29.81;29.81;124800.0
1999-05-25;29.75;32.25;29.75;30.56;298667.0
1999-05-26;30.63;31.5;27.81;28.5;228178.0
1999-05-27;28.28;30.25;26.38;26.5;195378.0
1999-05-28;28.25;29.5;27.25;28.88;209185.0
1999-06-01;29.75;30.13;29.19;30.0;146578.0
1999-06-02;30.13;30.88;29.75;30.0;73067.0
1999-06-03;30.13;31.25;29.94;30.13;176830.0
1999-06-04;30.75;30.75;29.75;30.0;37867.0
1999-06-07;30.0;30.0;26.5;27.25;295852.0
1999-06-08;27.38;28.0;24.06;25.25;700563.0
1999-06-09;25.38;26.69;24.75;25.13;227378.0
1999-06-10;25.94;26.0;23.75;24.81;262163.0
1999-06-11;25.0;28.0;24.56;26.25;178844.0
1999-06-14;26.88;27.75;24.5;24.5;135585.0
1999-06-15;24.5;25.38;24.5;24.75;46963.0
1999-06-16;26.0;26.25;23.25;23.44;172652.0
1999-06-17;23.88;23.94;21.0;22.25;468444.0
1999-06-18;22.38;25.5;22.19;24.81;419230.0
1999-06-21;25.75;27.63;25.25;27.38;424563.0
1999-06-22;26.94;27.88;26.88;27.0;107852.0
1999-06-23;26.88;27.13;26.5;27.0;50963.0
1999-06-24;26.75;27.13;26.5;27.13;64800.0
1999-06-25;26.81;27.13;26.5;27.13;46252.0
1999-06-28;27.0;32.31;27.0;32.0;437067.0
1999-06-29;31.5;35.44;31.5;33.84;445985.0
1999-06-30;34.88;35.25;32.5;34.0;267585.0
1999-07-01;34.0;34.25;32.0;32.5;48978.0
1999-07-02;32.5;32.5;30.63;32.0;42785.0
1999-07-06;32.5;33.0;29.5;31.0;92563.0
1999-07-07;30.25;31.13;29.19;29.38;120030.0
1999-07-08;30.0;32.5;29.94;32.19;326785.0
1999-07-09;32.56;33.5;32.25;32.5;106252.0
1999-07-12;32.75;34.38;32.5;33.81;119200.0
1999-07-13;34.0;34.0;31.63;32.13;115200.0
1999-07-14;32.5;33.25;32.0;32.88;139644.0
1999-07-15;32.88;34.63;32.75;34.31;211644.0
1999-07-16;33.38;34.25;33.38;34.0;120385.0
1999-07-19;34.0;35.13;34.0;34.44;90430.0
1999-07-20;34.13;34.75;33.63;33.88;65600.0
1999-07-21;33.75;34.13;33.38;33.38;43052.0
1999-07-22;33.38;33.5;32.0;32.88;180978.0
1999-07-23;33.0;33.0;31.5;31.75;64563.0
1999-07-26;31.75;31.88;29.94;30.75;76030.0
1999-07-27;31.0;31.0;28.13;28.13;269778.0
1999-07-28;28.03;29.13;25.5;28.38;520444.0
1999-07-29;29.0;31.75;27.0;28.25;516030.0
1999-07-30;28.88;29.5;27.88;28.63;216563.0
1999-08-02;28.06;29.5;28.0;28.94;184000.0
1999-08-03;28.94;29.0;27.5;27.88;386400.0
1999-08-04;28.0;28.0;25.0;26.0;212652.0
1999-08-05;25.06;25.75;24.25;25.13;226430.0
1999-08-06;25.25;26.38;25.0;25.5;157185.0
1999-08-09;26.0;26.25;24.63;24.88;69985.0
1999-08-10;24.5;25.5;22.5;25.13;183852.0
1999-08-11;25.63;26.0;25.63;26.0;69452.0
1999-08-12;26.0;28.25;25.81;28.25;339852.0
1999-08-13;28.19;31.75;28.19;29.69;250785.0
1999-08-16;29.63;29.63;28.0;28.13;184800.0
1999-08-17;29.0;29.0;27.0;27.63;58785.0
1999-08-18;27.75;28.88;27.44;28.06;58844.0
1999-08-19;28.13;28.25;27.88;28.13;49244.0
1999-08-20;28.13;28.13;27.88;27.88;8978.0
1999-08-23;27.75;28.13;27.63;28.0;81244.0
1999-08-24;28.13;28.13;27.81;27.81;52800.0
1999-08-25;27.75;28.13;26.63;26.94;95467.0
1999-08-26;27.0;27.0;25.13;25.38;137185.0
1999-08-27;25.13;25.75;24.5;24.5;95852.0
1999-08-30;24.63;25.25;24.63;25.06;221867.0
1999-08-31;25.0;25.25;23.5;24.0;231467.0
1999-09-01;24.06;24.88;24.06;24.88;142430.0
1999-09-02;24.38;25.0;23.63;24.06;118667.0
1999-09-03;24.94;25.5;24.47;24.81;135585.0
1999-09-07;26.22;26.25;25.0;25.28;181985.0
1999-09-08;25.38;26.0;23.69;24.81;129600.0
1999-09-09;24.69;24.88;24.13;24.5;41985.0
1999-09-10;24.44;27.5;24.44;27.38;148030.0
1999-09-13;27.0;29.88;26.69;28.94;538400.0
1999-09-14;29.13;29.5;26.0;26.25;121185.0
1999-09-15;27.0;27.25;25.25;25.56;70785.0
1999-09-16;25.75;26.38;24.75;25.0;37452.0
1999-09-17;25.94;26.38;25.75;25.88;93363.0
1999-09-20;25.81;26.63;25.81;25.88;28563.0
1999-09-21;25.81;25.88;24.75;25.13;31467.0
1999-09-22;25.25;26.0;25.25;25.5;68830.0
1999-09-23;25.84;26.25;25.0;25.13;63378.0
1999-09-24;24.88;25.38;23.63;23.88;108000.0
1999-09-27;23.88;24.5;23.63;23.75;100652.0
1999-09-28;23.75;24.38;22.5;23.88;120000.0
1999-09-29;23.5;24.13;23.5;23.88;24385.0
1999-09-30;24.0;24.19;23.88;24.13;100652.0
1999-10-01;24.13;24.25;23.75;23.88;28267.0
1999-10-04;23.88;25.5;23.88;24.38;179200.0
1999-10-05;24.34;24.38;23.5;24.0;68800.0
1999-10-06;23.94;24.94;23.94;24.5;189452.0
1999-10-07;24.19;24.19;22.88;22.94;443644.0
1999-10-08;23.25;23.88;23.19;23.63;358785.0
1999-10-11;23.56;23.69;23.13;23.44;192030.0
1999-10-12;23.5;23.5;23.0;23.13;93067.0
1999-10-13;23.0;23.0;21.0;21.5;424267.0
1999-10-14;21.31;21.75;18.94;20.0;662785.0
1999-10-15;18.81;19.75;18.13;19.63;384000.0
1999-10-18;19.88;22.13;19.06;19.13;417363.0
1999-10-19;20.81;21.81;20.5;21.0;245867.0
1999-10-20;22.25;25.19;22.0;24.69;517363.0
1999-10-21;24.72;26.63;24.25;26.31;297867.0
1999-10-22;27.31;29.63;26.47;26.94;522578.0
1999-10-25;27.19;27.31;25.0;25.22;118785.0
1999-10-26;24.94;25.25;24.5;24.5;67052.0
1999-10-27;24.75;25.0;23.75;24.13;124800.0
1999-10-28;24.31;24.75;23.56;23.88;92444.0
1999-10-29;24.69;27.75;24.5;26.38;244030.0
1999-11-01;27.19;28.25;27.13;27.75;303200.0
1999-11-02;28.06;28.38;27.38;28.0;207763.0
1999-11-03;28.25;30.19;28.0;29.94;277185.0
1999-11-04;30.44;32.0;29.75;31.94;424830.0
1999-11-05;32.5;33.75;31.63;32.0;244385.0
1999-11-08;33.38;33.5;27.63;29.63;323763.0
1999-11-09;29.38;30.06;28.88;29.94;119467.0
1999-11-10;29.13;30.25;28.5;29.63;67763.0
1999-11-11;30.0;30.0;28.13;28.63;92178.0
1999-11-12;29.25;29.38;27.5;28.28;131052.0
1999-11-15;28.25;29.13;27.81;28.81;72178.0
1999-11-16;29.25;30.13;28.94;29.5;178578.0
1999-11-17;30.0;30.13;28.38;28.56;70578.0
1999-11-18;28.88;30.0;28.5;29.13;90400.0
1999-11-19;29.0;29.63;28.88;28.94;32030.0
1999-11-22;29.63;30.13;28.63;29.06;43763.0
1999-11-23;29.0;29.25;28.56;28.56;14785.0
1999-11-24;28.75;29.0;28.5;28.75;18963.0
1999-11-26;29.0;29.13;28.88;28.94;13452.0
1999-11-29;28.97;30.38;28.63;29.25;120800.0
1999-11-30;29.5;31.13;29.13;31.13;144385.0
1999-12-01;31.0;33.75;30.13;33.44;374163.0
1999-12-02;33.25;33.44;31.13;32.38;77452.0
1999-12-03;32.38;34.0;31.88;32.88;105778.0
1999-12-06;33.75;35.13;33.0;34.63;191644.0
1999-12-07;34.56;34.56;32.88;33.38;96978.0
1999-12-08;33.25;33.5;30.5;32.13;92563.0
1999-12-09;31.88;32.25;29.63;31.06;296444.0
1999-12-10;31.25;31.75;30.0;30.19;58963.0
