date;open;high;low;close;volume
1984-09-07;27.38;27.38;26.88;26.88;9400.0
1984-09-10;26.88;26.88;26.25;26.88;27300.0
1984-09-11;26.88;28.0;26.88;27.75;44200.0
1984-09-12;27.75;28.12;27.75;28.12;14400.0
1984-09-13;28.25;28.5;28.25;28.5;3100.0
1984-09-14;28.38;28.38;27.88;27.88;7300.0
1984-09-17;27.88;28.25;27.75;27.88;4500.0
1984-09-18;27.88;27.88;27.62;27.62;15400.0
1984-09-19;27.62;27.88;27.5;27.88;7400.0
1984-09-20;27.88;27.88;27.38;27.38;7400.0
1984-09-21;27.38;27.5;26.75;27.0;25700.0
1984-09-24;27.0;27.0;26.5;26.5;11000.0
1984-09-25;26.5;27.0;26.0;26.75;14400.0
1984-09-26;27.0;27.88;27.0;27.75;9700.0
1984-09-27;27.88;28.75;27.88;28.75;16700.0
1984-09-28;28.75;28.88;28.12;28.5;29100.0
1984-10-01;28.5;28.5;28.0;28.0;18800.0
1984-10-02;28.0;28.25;27.75;28.12;16100.0
1984-10-03;27.75;27.75;27.5;27.62;7400.0
1984-10-04;27.62;27.88;27.5;27.75;22400.0
1984-10-05;27.62;27.62;27.38;27.5;35700.0
1984-10-08;27.5;27.5;27.25;27.25;5300.0
1984-10-09;27.25;27.38;27.12;27.12;16200.0
1984-10-10;27.12;27.12;26.5;26.75;66400.0
1984-10-11;26.75;27.62;26.5;27.62;25400.0
1984-10-12;27.62;27.75;27.25;27.5;9100.0
1984-10-15;27.75;28.38;27.75;28.0;22900.0
1984-10-16;28.0;28.25;27.88;28.25;4300.0
1984-10-17;28.25;28.38;28.12;28.25;11000.0
1984-10-18;28.25;28.25;26.5;26.75;36800.0
1984-10-19;26.75;27.38;26.5;26.5;38400.0
1984-10-22;26.5;26.5;26.38;26.5;29500.0
1984-10-23;26.75;27.0;26.75;27.0;17900.0
1984-10-24;27.0;27.0;26.25;26.5;45500.0
1984-10-25;26.5;26.62;26.5;26.62;2600.0
1984-10-26;26.62;26.62;26.12;26.62;17400.0
1984-10-29;26.62;26.75;26.25;26.75;8000.0
1984-10-30;26.88;27.0;26.88;27.0;37800.0
1984-10-31;27.0;27.0;26.38;26.62;14400.0
1984-11-01;26.62;26.88;26.5;26.88;10100.0
1984-11-02;26.88;27.25;26.62;27.25;43800.0
1984-11-05;27.25;27.88;27.25;27.88;22000.0
1984-11-06;27.88;28.5;27.88;28.12;32200.0
1984-11-07;28.5;29.0;28.5;28.5;33300.0
1984-11-08;28.5;28.75;28.0;28.12;9300.0
1984-11-09;28.12;28.25;27.38;27.88;51600.0
1984-11-12;28.12;29.25;28.12;29.0;32300.0
1984-11-13;29.0;29.25;28.5;28.75;17800.0
1984-11-14;28.75;29.0;28.38;28.62;6700.0
1984-11-15;28.38;28.38;28.0;28.12;3700.0
1984-11-16;28.12;28.5;28.12;28.38;11400.0
1984-11-19;28.38;28.75;28.12;28.12;5800.0
1984-11-20;28.12;29.0;28.12;28.62;16200.0
1984-11-21;28.62;28.88;28.5;28.88;6100.0
1984-11-23;28.88;28.88;28.62;28.88;68600.0
1984-11-26;28.75;28.75;28.25;28.5;20100.0
1984-11-27;28.5;28.62;28.5;28.5;3600.0
1984-11-28;28.5;29.0;28.5;28.88;13100.0
1984-11-29;28.88;28.88;28.62;28.62;6500.0
1984-11-30;28.62;29.0;28.62;29.0;3300.0
1984-12-03;29.0;29.0;28.0;28.0;6900.0
1984-12-04;28.0;28.0;27.5;27.88;27700.0
1984-12-05;27.75;27.75;27.25;27.25;53500.0
1984-12-06;27.0;27.0;26.75;26.75;69400.0
1984-12-07;26.75;27.0;26.62;27.0;4200.0
1984-12-10;27.0;27.62;26.75;27.62;13300.0
1984-12-11;27.62;27.88;27.25;27.25;14100.0
1984-12-12;27.25;27.5;27.25;27.25;19700.0
1984-12-13;27.38;27.62;27.38;27.5;4600.0
1984-12-14;27.5;27.5;26.88;27.12;29700.0
1984-12-17;27.12;27.5;26.75;27.5;13800.0
1984-12-18;27.5;27.88;27.38;27.38;12800.0
1984-12-19;27.5;28.75;27.5;28.38;13400.0
1984-12-20;28.38;28.75;28.25;28.25;6500.0
1984-12-21;28.25;28.88;28.25;28.75;6300.0
1984-12-24;28.62;28.62;28.38;28.5;2700.0
1984-12-26;28.5;28.5;28.25;28.5;2800.0
1984-12-27;28.5;29.25;28.25;29.0;20900.0
1984-12-28;28.88;28.88;28.12;28.12;4200.0
1984-12-31;28.75;29.62;28.75;29.0;15100.0
1985-01-02;29.0;29.25;28.88;29.0;9600.0
1985-01-03;29.0;29.25;28.62;29.25;9300.0
1985-01-04;29.25;29.25;28.88;28.88;3700.0
1985-01-07;28.88;29.0;28.38;28.75;8700.0
1985-01-08;28.75;28.88;28.5;28.5;37200.0
1985-01-09;28.5;29.0;28.5;29.0;12300.0
1985-01-10;28.88;28.88;28.38;28.88;8500.0
1985-01-11;28.88;28.88;28.5;28.75;9700.0
1985-01-14;28.75;29.5;28.5;28.62;24400.0
1985-01-15;29.0;29.5;29.0;29.0;24000.0
1985-01-16;29.0;29.25;28.75;29.0;65600.0
1985-01-17;28.88;28.88;28.62;28.88;4100.0
1985-01-18;28.88;29.0;28.75;29.0;12200.0
1985-01-21;29.0;29.0;28.88;28.88;25600.0
1985-01-22;28.88;29.25;28.88;28.88;76800.0
1985-01-23;28.88;29.25;28.62;29.25;22000.0
1985-01-24;29.25;29.62;29.0;29.0;32600.0
1985-01-25;29.12;29.38;29.12;29.12;6300.0
1985-01-28;29.12;29.25;28.88;29.0;51500.0
1985-01-29;29.5;30.0;29.5;30.0;33600.0
1985-01-30;30.12;31.0;30.12;31.0;70700.0
1985-01-31;31.0;31.12;30.5;30.62;51900.0
