date;open;high;low;close;volume
2007-05-23;13.5;14.05;13.02;13.26;6668800.0
2007-05-24;13.36;13.8;13.32;13.7;885600.0
2007-05-25;13.71;13.81;13.51;13.6;248100.0
2007-05-29;13.6;13.91;13.4;13.71;193900.0
2007-05-30;13.6;13.61;13.41;13.55;288800.0
2007-05-31;13.58;13.68;13.47;13.5203;235600.0
2007-06-01;13.65;13.71;13.42;13.71;99400.0
2007-06-04;13.89;13.89;13.5;13.65;113900.0
2007-06-05;13.65;13.8;13.5;13.7401;87700.0
2007-06-06;13.74;13.75;13.48;13.7;63100.0
2007-06-07;13.74;13.76;13.52;13.72;184600.0
2007-06-08;13.72;13.9;13.52;13.85;336600.0
2007-06-11;13.94;13.94;13.48;13.51;366600.0
2007-06-12;13.5;13.65;13.11;13.25;790000.0
2007-06-13;13.45;13.53;13.14;13.46;562400.0
2007-06-14;13.56;13.75;13.33;13.48;291300.0
2007-06-15;13.48;13.64;13.27;13.64;263500.0
2007-06-18;13.47;13.57;13.28;13.5;235200.0
2007-06-19;13.59;13.91;13.29;13.9;281900.0
2007-06-20;13.6;13.6;13.42;13.53;204300.0
2007-06-21;13.6;13.6;13.46;13.59;180200.0
2007-06-22;13.63;13.68;13.48;13.68;260300.0
2007-06-25;13.64;13.64;13.35;13.35;292800.0
2007-06-26;13.35;13.45;13.3;13.4;49300.0
2007-06-27;13.45;13.45;13.21;13.3;199900.0
2007-06-28;13.3;13.3;13.09;13.15;84100.0
2007-06-29;13.15;13.2;12.9;13.2;210200.0
2007-07-02;13.2;13.42;13.09;13.25;140000.0
2007-07-03;13.26;13.34;13.13;13.27;159000.0
2007-07-05;13.3;13.48;13.22;13.35;201700.0
2007-07-06;13.42;13.49;13.29;13.43;94000.0
2007-07-09;13.48;13.63;13.3;13.31;140100.0
2007-07-10;13.42;13.77;13.32;13.55;221200.0
2007-07-11;13.67;13.71;13.46;13.58;308900.0
2007-07-12;13.75;13.95;13.57;13.6;213700.0
2007-07-13;13.6;13.84;13.51;13.7;95400.0
2007-07-16;13.78;13.81;13.66;13.75;108800.0
2007-07-17;13.83;13.9;13.68;13.79;128800.0
2007-07-18;13.86;13.86;13.71;13.75;74900.0
2007-07-19;13.82;13.85;13.68;13.75;40100.0
2007-07-20;13.65;14.06;13.65;14.06;47000.0
2007-07-23;14.06;14.06;13.7;13.81;90400.0
2007-07-24;13.81;13.87;13.61;13.63;22400.0
2007-07-25;13.77;14.02;13.71;13.8;108600.0
2007-07-26;13.73;13.73;13.39;13.49;35000.0
2007-07-27;13.26;13.61;13.26;13.52;49100.0
2007-07-30;13.85;13.85;13.45;13.5;43500.0
2007-07-31;13.36;13.58;13.19;13.31;652000.0
2007-08-01;13.36;13.51;13.36;13.48;90300.0
2007-08-02;13.7;13.74;13.46;13.46;38300.0
2007-08-03;13.79;13.79;13.26;13.3;33700.0
2007-08-06;13.5;13.57;13.2;13.39;115700.0
2007-08-07;13.48;13.83;13.35;13.4;129400.0
2007-08-08;13.6;13.62;13.24;13.46;75700.0
2007-08-09;13.48;13.5;13.0;13.01;97300.0
2007-08-10;13.08;13.23;12.87;13.17;134400.0
2007-08-13;13.54;13.67;13.19;13.29;20700.0
2007-08-14;13.4;13.48;12.58;12.58;29400.0
2007-08-15;13.0;13.7;12.9;12.92;460700.0
2007-08-16;13.1;13.14;11.9;12.54;532300.0
2007-08-17;13.25;13.38;12.28;12.53;575900.0
2007-08-20;12.6;12.82;12.15;12.44;393500.0
2007-08-21;12.44;12.53;12.32;12.45;72600.0
2007-08-22;12.59;12.6;12.44;12.57;235100.0
2007-08-23;12.6;12.74;12.46;12.7;62900.0
2007-08-24;12.7;12.7499;12.63;12.7;69800.0
2007-08-27;12.8;12.8;12.5;12.52;58000.0
2007-08-28;12.55;12.61;12.5;12.5;21500.0
2007-08-29;12.65;12.66;12.44;12.55;85500.0
2007-08-30;12.65;12.73;12.46;12.67;115400.0
2007-08-31;12.74;12.88;12.7;12.79;92000.0
2007-09-04;12.85;13.05;12.79;13.05;114800.0
2007-09-05;12.99;13.12;12.9501;13.1;37900.0
2007-09-06;13.1;13.3;12.92;13.1;42700.0
2007-09-07;13.0;13.48;13.0;13.31;105900.0
2007-09-10;13.43;13.445;13.1;13.14;80100.0
2007-09-11;13.28;13.49;13.11;13.22;59300.0
2007-09-12;13.21;13.31;13.11;13.24;26900.0
2007-09-13;13.24;13.32;13.128;13.1985;40500.0
2007-09-14;13.25;13.32;13.15;13.3;64500.0
2007-09-17;13.19;13.32;13.19;13.29;21000.0
2007-09-18;13.25;13.408;13.11;13.22;57300.0
2007-09-19;13.21;13.5;13.21;13.35;54300.0
2007-09-20;13.45;13.45;13.25;13.35;50000.0
2007-09-21;13.35;13.43;13.2;13.4;95400.0
2007-09-24;13.41;13.41;13.26;13.4;44500.0
2007-09-25;13.31;13.4;13.21;13.2444;41000.0
2007-09-26;13.1;13.1299;12.86;13.0;62100.0
2007-09-27;12.99;13.03;12.85;12.88;60300.0
2007-09-28;12.8;12.89;12.5;12.8;77400.0
