date;open;high;low;close;volume
1992-05-11;14.0;14.5;13.75;14.13;83022.0
1992-05-12;14.0;14.5;13.75;14.25;248741.0
1992-05-13;14.0;14.25;13.75;14.0;96044.0
1992-05-14;13.75;14.0;13.5;14.0;250978.0
1992-05-15;14.0;14.0;13.25;14.0;15970.0
1992-05-18;14.0;14.0;13.5;14.0;18207.0
1992-05-19;14.0;14.25;13.5;14.25;21081.0
1992-05-20;13.5;14.25;13.5;14.25;16667.0
1992-05-21;14.25;14.25;13.5;13.5;33052.0
1992-05-22;14.0;14.0;13.5;13.63;19541.0
1992-05-26;13.5;14.0;13.5;13.5;37674.0
1992-05-27;14.0;14.0;13.5;13.5;5111.0
1992-05-28;14.0;14.0;13.5;13.5;22207.0
1992-05-29;13.5;14.0;13.5;14.0;26711.0
1992-06-01;14.0;14.0;13.5;13.5;9096.0
1992-06-02;14.0;14.0;13.5;14.0;33170.0
1992-06-03;14.0;14.0;13.0;13.0;40341.0
1992-06-04;13.75;13.75;13.0;13.37;28859.0
1992-06-05;13.75;13.75;13.0;13.75;16385.0
1992-06-08;13.0;13.75;13.0;13.0;6741.0
1992-06-09;13.0;13.75;13.0;13.25;6830.0
1992-06-10;13.25;14.25;13.25;14.25;19748.0
1992-06-11;14.25;14.25;13.25;14.25;2741.0
1992-06-12;13.25;14.25;13.25;13.25;3970.0
1992-06-15;14.25;14.25;13.25;13.25;400.0
1992-06-16;13.25;14.25;13.25;13.25;31407.0
1992-06-17;14.25;14.25;13.25;13.25;12785.0
1992-06-18;14.0;14.0;13.13;13.13;63081.0
1992-06-19;13.37;13.5;12.5;12.5;15348.0
1992-06-22;13.0;13.0;12.5;13.0;3363.0
1992-06-23;12.75;13.0;12.25;12.25;5511.0
1992-06-24;13.0;13.0;12.25;12.25;1096.0
1992-06-25;13.0;13.0;12.25;13.0;8385.0
1992-06-26;13.0;13.0;11.5;11.88;31407.0
1992-06-29;11.25;11.75;11.25;11.25;5600.0
1992-06-30;11.25;11.75;11.25;11.25;489.0
1992-07-01;11.75;13.25;11.75;13.25;20756.0
1992-07-02;12.5;14.5;12.5;14.0;13304.0
1992-07-06;14.0;14.25;13.75;14.0;38089.0
1992-07-07;13.75;14.25;13.75;13.75;22311.0
1992-07-08;13.75;13.75;13.0;13.5;12696.0
1992-07-09;14.0;14.0;13.75;14.0;4281.0
1992-07-10;13.25;14.0;13.25;13.5;3556.0
1992-07-13;14.0;14.75;13.5;14.5;37274.0
1992-07-14;14.5;14.5;13.75;13.75;4593.0
1992-07-15;14.25;16.25;14.25;15.5;80163.0
1992-07-16;15.25;16.0;15.25;15.25;10015.0
1992-07-17;15.0;15.5;14.75;14.75;10933.0
1992-07-20;15.25;15.25;14.5;15.25;3052.0
1992-07-21;14.5;15.5;14.5;15.5;12474.0
1992-07-22;15.5;15.5;14.5;15.25;37674.0
1992-07-23;15.0;15.0;15.0;15.0;400.0
1992-07-24;15.75;15.75;15.0;15.25;17896.0
1992-07-27;15.75;16.0;15.25;16.0;95022.0
1992-07-28;16.0;16.25;15.25;16.25;13393.0
1992-07-29;16.25;16.25;15.75;16.25;17807.0
1992-07-30;16.25;16.25;15.75;15.75;2444.0
1992-07-31;15.75;16.0;15.75;16.0;7052.0
1992-08-03;15.25;16.0;15.25;16.0;4370.0
1992-08-04;15.5;15.5;15.5;15.5;696.0
1992-08-05;16.25;16.25;16.25;16.25;815.0
1992-08-06;16.25;16.25;15.25;15.5;5319.0
1992-08-07;16.25;16.25;15.5;16.25;4178.0
1992-08-10;16.25;16.25;15.75;16.25;3156.0
1992-08-11;16.25;16.25;14.0;14.63;48119.0
1992-08-12;14.75;15.0;14.0;15.0;12785.0
1992-08-13;16.0;16.25;15.5;15.5;28459.0
1992-08-14;16.25;16.25;15.5;16.0;150415.0
1992-08-17;16.0;16.5;16.0;16.38;16163.0
1992-08-18;16.5;17.0;16.13;16.62;51200.0
1992-08-19;16.88;17.0;16.25;17.0;16163.0
1992-08-20;16.25;17.0;16.25;17.0;20163.0
1992-08-21;17.0;17.0;16.25;17.0;21896.0
1992-08-24;17.0;17.0;16.0;16.0;15244.0
1992-08-25;16.75;16.75;16.0;16.75;5600.0
1992-08-26;16.75;16.75;16.75;16.75;1215.0
1992-08-27;16.75;16.75;16.5;16.75;1719.0
1992-08-28;16.0;16.75;16.0;16.25;8059.0
1992-08-31;16.75;16.75;16.0;16.75;6341.0
1992-09-01;16.38;16.75;16.38;16.75;2652.0
1992-09-02;16.0;17.25;16.0;17.25;24770.0
1992-09-03;18.25;19.5;17.5;19.0;62859.0
1992-09-04;19.25;19.25;18.25;19.0;78015.0
1992-09-08;19.5;19.5;18.75;19.0;137630.0
1992-09-09;19.5;20.25;18.75;20.25;112119.0
1992-09-10;19.5;20.25;19.5;20.13;15852.0
1992-09-11;20.25;20.25;19.5;20.0;3467.0
1992-09-14;19.75;20.5;19.5;20.5;6222.0
1992-09-15;20.0;20.5;19.75;20.5;32237.0
1992-09-16;20.5;22.0;19.75;21.25;89081.0
1992-09-17;22.0;23.0;21.75;23.0;107733.0
1992-09-18;23.0;23.0;22.0;23.0;34489.0
1992-09-21;23.0;23.0;22.25;23.0;29274.0
1992-09-22;23.0;23.0;22.25;22.75;33170.0
1992-09-23;22.25;23.0;22.0;22.13;30919.0
1992-09-24;22.75;22.75;21.5;21.5;26711.0
1992-09-25;21.5;22.0;20.0;20.25;50785.0
1992-09-28;20.5;21.0;20.25;21.0;6430.0
1992-09-29;20.5;21.25;20.5;21.25;31941.0
1992-09-30;21.0;21.25;21.0;21.13;30919.0
1992-10-01;21.25;21.25;20.25;20.63;4178.0
1992-10-02;20.75;20.75;20.25;20.75;64400.0
1992-10-05;19.0;19.75;18.0;19.75;41570.0
1992-10-06;19.25;20.0;19.25;19.75;12563.0
1992-10-07;19.75;19.75;19.75;19.75;7452.0
1992-10-08;19.75;20.75;19.75;20.37;54474.0
1992-10-09;20.5;21.5;19.75;21.38;65541.0
1992-10-12;21.5;21.5;21.0;21.5;53748.0
1992-10-13;21.5;21.5;21.0;21.0;2044.0
1992-10-14;21.5;21.5;21.0;21.0;904.0
1992-10-15;21.5;21.5;21.0;21.0;1822.0
1992-10-16;22.5;22.5;21.5;21.5;1007.0
1992-10-19;22.25;22.25;21.5;21.5;30919.0
1992-10-20;21.5;23.75;21.5;23.5;104133.0
1992-10-21;23.5;23.75;22.75;23.75;32770.0
1992-10-22;24.25;24.25;23.5;24.0;46074.0
1992-10-23;24.0;24.25;23.25;24.25;5511.0
1992-10-26;23.5;24.25;23.5;24.25;4904.0
1992-10-27;24.25;24.25;23.5;24.0;14326.0
1992-10-28;24.25;24.25;24.13;24.25;1511.0
1992-10-29;23.5;25.0;23.5;25.0;36859.0
1992-10-30;25.0;25.0;24.5;25.0;7570.0
1992-11-02;25.0;25.0;24.75;25.0;22933.0
1992-11-03;25.0;25.25;24.5;25.25;4504.0
1992-11-04;25.25;25.5;24.5;25.0;4370.0
1992-11-05;25.75;26.5;24.75;26.25;15852.0
1992-11-06;27.0;27.0;26.25;27.0;10637.0
