date;open;high;low;close;volume
2011-01-28;29.5;29.5;28.0;28.4;2.59654E7
2011-01-31;28.39;28.8;28.0;28.0;2617900.0
2011-02-01;28.0;28.49;28.0;28.35;1303100.0
2011-02-02;28.2;28.4;28.1;28.37;910600.0
2011-02-03;28.49;28.49;28.11;28.4;864800.0
2011-02-04;28.4;28.5;28.15;28.36;545700.0
2011-02-07;28.57;29.22;28.46;29.07;716400.0
2011-02-08;29.22;29.9;28.99;29.72;758600.0
2011-02-09;29.84;29.9;28.95;29.31;308100.0
2011-02-10;28.95;29.28;28.19;29.21;475100.0
2011-02-11;28.99;29.56;28.78;29.15;415800.0
2011-02-14;29.13;29.13;28.0;28.13;992500.0
2011-02-15;28.06;28.75;28.0;28.64;462600.0
2011-02-16;28.64;28.77;28.605;28.74;249000.0
2011-02-17;28.87;29.16;28.87;28.99;247600.0
2011-02-18;29.04;29.6;28.97;29.53;1466200.0
2011-02-22;29.25;29.59;29.23;29.43;371300.0
2011-02-23;29.59;29.63;28.5;28.81;392800.0
2011-02-24;28.66;28.7684;28.4606;28.5;328000.0
2011-02-25;28.65;28.82;28.5;28.82;249900.0
2011-02-28;28.8;29.25;28.08;28.35;351200.0
2011-03-01;28.4;28.625;27.72;27.98;333600.0
2011-03-02;27.97;28.24;27.55;28.06;540200.0
2011-03-03;28.25;28.35;28.05;28.15;356900.0
2011-03-04;28.03;28.18;27.8001;28.05;429400.0
2011-03-07;28.1;28.32;27.89;28.21;197700.0
2011-03-08;28.0;28.64;28.0;28.59;298900.0
2011-03-09;28.15;28.43;27.81;28.35;599400.0
2011-03-10;28.1;28.48;27.8908;28.1;409500.0
2011-03-11;28.1;28.4;28.0;28.05;159800.0
2011-03-14;28.39;28.4;27.8999;28.1;204800.0
2011-03-15;27.67;28.33;27.25;28.15;522200.0
2011-03-16;28.25;28.25;27.7909;27.96;543600.0
2011-03-17;28.29;28.51;28.06;28.23;367900.0
2011-03-18;28.37;28.69;28.22;28.69;359800.0
2011-03-21;28.66;28.66;28.2;28.48;207400.0
2011-03-22;28.47;28.82;28.33;28.8;164600.0
2011-03-23;28.88;28.96;28.6;28.86;70900.0
2011-03-24;28.95;29.02;28.3;28.5;272700.0
2011-03-25;28.5;28.73;28.34;28.54;91100.0
2011-03-28;28.52;28.95;28.3803;28.86;154600.0
2011-03-29;28.85;29.15;28.76;29.08;147700.0
2011-03-30;28.86;28.86;28.44;28.68;320000.0
2011-03-31;28.81;28.82;28.5;28.71;195000.0
2011-04-01;28.8;29.04;28.25;29.0;172600.0
2011-04-04;29.1;29.29;28.95;29.15;221400.0
2011-04-05;29.0;29.38;28.9506;29.36;90100.0
2011-04-06;29.43;29.522;29.35;29.39;262900.0
2011-04-07;29.54;29.54;29.18;29.4;51800.0
2011-04-08;29.38;29.54;29.18;29.25;169300.0
2011-04-11;29.21;29.36;29.0;29.3;71800.0
2011-04-12;29.1;29.1;28.76;28.98;124800.0
2011-04-13;29.21;29.21;28.71;28.91;153600.0
2011-04-14;28.75;29.23;28.63;29.21;243600.0
2011-04-15;29.19;29.33;28.75;29.26;89200.0
2011-04-18;28.98;29.13;28.5;29.06;219800.0
2011-04-19;29.2;29.2;28.875;28.95;127800.0
2011-04-20;29.24;29.28;28.82;29.0;124700.0
2011-04-21;29.07;29.07;28.5;28.99;155200.0
2011-04-25;29.17;29.45;28.23;28.92;90500.0
