date;open;high;low;close;volume
1984-09-07;25.75;26.0;25.75;26.0;600.0
1984-09-10;25.75;25.75;25.75;25.75;200.0
1984-09-11;26.0;26.0;26.0;26.0;300.0
1984-09-12;25.5;25.5;25.0;25.0;800.0
1984-09-13;25.0;25.25;25.0;25.0;300.0
1984-09-14;25.25;25.25;25.25;25.25;1200.0
1984-09-17;26.0;26.0;26.0;26.0;1500.0
1984-09-18;25.5;25.5;25.25;25.25;600.0
1984-09-19;25.25;25.5;25.25;25.25;900.0
1984-09-20;25.0;25.0;25.0;25.0;300.0
1984-09-21;25.0;25.0;24.88;24.88;300.0
1984-09-24;24.75;24.75;24.62;24.62;3800.0
1984-09-25;24.62;24.62;24.62;24.62;0.0
1984-09-26;24.62;24.62;24.62;24.62;300.0
1984-09-27;24.62;24.62;24.62;24.62;4500.0
1984-09-28;24.88;24.88;24.88;24.88;300.0
1984-10-01;24.5;24.5;24.0;24.0;2800.0
1984-10-02;24.0;24.0;23.5;24.0;1400.0
1984-10-03;24.0;24.0;24.0;24.0;0.0
1984-10-04;23.75;23.75;23.75;23.75;200.0
1984-10-05;23.5;23.5;23.0;23.0;1100.0
1984-10-08;23.0;23.0;23.0;23.0;0.0
1984-10-09;23.0;23.0;22.75;22.75;900.0
1984-10-10;23.0;23.0;23.0;23.0;1000.0
1984-10-11;23.0;23.25;23.0;23.25;1100.0
1984-10-12;23.5;23.5;23.5;23.5;1100.0
1984-10-15;23.25;23.25;23.0;23.0;1300.0
1984-10-16;23.0;23.0;23.0;23.0;1700.0
1984-10-17;23.0;23.25;23.0;23.0;400.0
1984-10-18;23.0;23.25;22.75;22.75;2300.0
1984-10-19;22.75;22.75;22.75;22.75;200.0
1984-10-22;22.75;22.75;22.75;22.75;0.0
1984-10-23;23.0;23.0;23.0;23.0;400.0
1984-10-24;23.25;23.75;23.25;23.75;4100.0
1984-10-25;23.75;23.75;23.75;23.75;100.0
1984-10-26;23.75;23.75;23.75;23.75;0.0
1984-10-29;24.0;24.0;24.0;24.0;1300.0
1984-10-30;24.25;24.62;24.25;24.62;2800.0
1984-10-31;24.88;25.0;24.88;25.0;5600.0
1984-11-01;25.0;25.0;24.62;24.88;1400.0
1984-11-02;24.62;24.62;24.62;24.62;1100.0
1984-11-05;24.62;25.25;24.62;25.25;1800.0
1984-11-06;25.25;25.25;25.0;25.25;1200.0
1984-11-07;25.5;26.5;25.5;26.5;2700.0
1984-11-08;26.5;27.0;26.0;27.0;3700.0
1984-11-09;26.88;26.88;25.75;25.75;1800.0
1984-11-12;25.75;25.75;25.75;25.75;400.0
1984-11-13;25.75;25.75;25.75;25.75;0.0
1984-11-14;25.75;25.75;25.5;25.75;1100.0
1984-11-15;25.25;25.25;25.0;25.25;1700.0
1984-11-16;25.25;25.5;25.25;25.25;2200.0
1984-11-19;25.25;25.25;25.25;25.25;800.0
1984-11-20;25.25;25.25;25.25;25.25;0.0
