date;open;high;low;close;volume
1984-09-07;21.88;21.88;21.38;21.88;21511.0
1984-09-10;22.0;22.0;22.0;22.0;1096.0
1984-09-11;22.0;22.0;22.0;22.0;1896.0
1984-09-12;22.0;22.0;21.75;21.75;1096.0
1984-09-13;22.25;22.25;22.25;22.25;1096.0
1984-09-14;22.25;22.25;21.75;22.25;6785.0
1984-09-17;22.25;22.25;22.25;22.25;5630.0
1984-09-18;22.75;22.75;22.75;22.75;4385.0
1984-09-19;23.0;23.0;23.0;23.0;3763.0
1984-09-20;23.0;23.0;22.75;22.75;2785.0
1984-09-21;22.75;23.0;22.75;22.75;19763.0
1984-09-24;23.0;23.0;23.0;23.0;13185.0
1984-09-25;22.75;22.75;22.75;22.75;10578.0
1984-09-26;22.75;23.0;22.75;22.75;2400.0
1984-09-27;22.75;23.0;22.5;22.5;178.0
1984-09-28;22.5;22.5;22.5;22.5;1511.0
1984-10-01;22.63;22.63;22.63;22.63;49452.0
1984-10-02;22.63;22.75;22.5;22.5;12919.0
1984-10-03;22.5;22.5;22.5;22.5;0.0
1984-10-04;22.25;22.25;22.25;22.25;178.0
1984-10-05;22.25;22.5;22.25;22.5;1719.0
1984-10-08;22.5;22.5;22.5;22.5;0.0
1984-10-09;22.75;22.75;22.75;22.75;1096.0
1984-10-10;22.75;22.75;22.75;22.75;30.0
1984-10-11;22.75;22.75;22.75;22.75;3467.0
1984-10-12;22.75;23.0;22.5;23.0;2163.0
1984-10-15;23.0;23.0;23.0;23.0;4978.0
1984-10-16;23.5;23.5;23.5;23.5;7852.0
1984-10-17;23.5;23.5;23.25;23.25;4978.0
1984-10-18;23.5;23.5;23.5;23.5;1896.0
1984-10-19;23.5;24.0;23.5;23.5;1333.0
1984-10-22;24.0;24.0;24.0;24.0;18163.0
1984-10-23;24.25;24.25;24.25;24.25;7733.0
1984-10-24;24.25;24.5;24.0;24.0;3052.0
1984-10-25;24.0;24.0;24.0;24.0;1511.0
1984-10-26;24.25;24.5;24.25;24.5;3052.0
1984-10-29;24.75;24.75;24.75;24.75;830.0
1984-10-30;24.75;24.75;24.75;24.75;4978.0
1984-10-31;24.75;24.75;24.63;24.63;45511.0
1984-11-01;24.63;24.75;24.5;24.5;3052.0
1984-11-02;24.5;24.5;24.5;24.5;1719.0
1984-11-05;25.0;25.13;25.0;25.0;2785.0
1984-11-06;26.0;26.25;26.0;26.0;7852.0
1984-11-07;26.63;26.75;26.63;26.63;72119.0
1984-11-08;26.75;26.75;26.75;26.75;563.0
1984-11-09;26.75;26.75;26.25;26.25;444.0
1984-11-12;26.5;26.63;26.5;26.5;54133.0
1984-11-13;26.25;26.25;26.25;26.25;830.0
1984-11-14;26.25;26.25;26.0;26.0;3052.0
1984-11-15;26.0;26.25;26.0;26.0;7644.0
1984-11-16;26.0;26.5;26.0;26.0;2785.0
1984-11-19;26.0;26.5;26.0;26.0;1896.0
1984-11-20;26.0;26.0;25.75;25.75;2785.0
1984-11-21;25.75;26.25;25.75;25.75;20652.0
1984-11-23;25.75;26.5;25.75;26.5;4800.0
1984-11-26;26.5;26.5;26.5;26.5;30.0
1984-11-27;26.5;26.5;26.0;26.0;5452.0
1984-11-28;26.5;26.5;26.5;26.5;830.0
1984-11-29;26.38;26.38;26.38;26.38;1333.0
1984-11-30;26.38;26.38;26.38;26.38;385.0
1984-12-03;26.38;26.75;26.25;26.25;8830.0
1984-12-04;26.25;26.5;26.25;26.25;2667.0
1984-12-05;26.25;26.5;26.0;26.0;7467.0
1984-12-06;26.0;26.5;26.0;26.0;4830.0
1984-12-07;26.0;26.0;25.75;25.75;8978.0
1984-12-10;25.75;25.75;25.75;25.75;1511.0
1984-12-11;25.75;26.13;25.5;25.5;27467.0
1984-12-12;25.5;26.0;25.38;25.38;6578.0
1984-12-13;25.75;25.75;25.75;25.75;30.0
1984-12-14;25.5;25.5;25.25;25.5;1333.0
1984-12-17;25.5;25.5;25.25;25.25;4800.0
1984-12-18;25.75;26.25;25.75;25.75;14430.0
1984-12-19;26.25;26.25;26.25;26.25;2785.0
1984-12-20;26.25;26.25;26.25;26.25;2400.0
1984-12-21;26.25;26.25;25.75;25.75;1511.0
1984-12-24;25.75;26.25;25.75;25.75;7319.0
1984-12-26;26.13;26.13;26.13;26.13;3763.0
1984-12-27;26.13;26.25;26.13;26.13;12533.0
1984-12-28;26.25;26.25;26.25;26.25;2667.0
1984-12-31;26.25;26.25;26.25;26.25;0.0
1985-01-02;26.75;26.75;26.75;26.75;343763.0
1985-01-03;26.75;27.25;26.75;26.75;5630.0
1985-01-04;26.75;26.75;26.75;26.75;0.0
1985-01-07;26.75;26.75;26.5;26.5;3230.0
1985-01-08;26.5;26.5;26.0;26.0;84830.0
1985-01-09;26.0;26.0;26.0;26.0;17333.0
1985-01-10;26.0;26.0;25.75;25.75;5511.0
1985-01-11;25.75;26.0;25.75;26.0;74519.0
1985-01-14;26.0;26.0;26.0;26.0;12563.0
1985-01-15;26.5;26.5;26.5;26.5;108385.0
1985-01-16;27.0;27.25;27.0;27.0;58785.0
1985-01-17;27.75;27.75;27.75;27.75;73867.0
1985-01-18;27.75;28.25;27.75;28.13;6163.0
1985-01-21;28.13;28.5;28.13;28.13;6578.0
1985-01-22;28.5;28.5;28.5;28.5;2400.0
1985-01-23;28.5;28.75;28.5;28.5;2163.0
1985-01-24;28.5;28.75;28.5;28.5;2578.0
1985-01-25;28.5;28.88;28.5;28.75;13600.0
1985-01-28;28.75;29.0;28.75;28.75;1333.0
1985-01-29;28.75;29.0;28.75;28.75;5896.0
1985-01-30;28.75;29.25;28.75;28.75;15585.0
1985-01-31;28.75;28.75;28.75;28.75;7319.0
1985-02-01;28.75;28.75;28.75;28.75;2785.0
1985-02-04;28.75;28.75;28.75;28.75;563.0
1985-02-05;29.25;29.25;29.25;29.25;15378.0
1985-02-06;29.25;29.25;28.75;28.75;2667.0
