date;open;high;low;close;volume
1990-03-26;47.25;47.75;47.25;47.25;10125.0
1990-03-27;47.25;47.75;47.25;47.75;7625.0
1990-03-28;47.25;47.75;47.25;47.75;29000.0
1990-03-29;47.75;47.75;47.75;47.75;1125.0
1990-03-30;47.25;47.75;47.25;47.75;6625.0
1990-04-02;47.75;47.75;47.75;47.75;0.0
1990-04-03;47.38;47.75;47.38;47.75;1125.0
1990-04-04;47.25;47.75;47.25;47.25;7125.0
1990-04-05;47.25;47.75;47.25;47.75;5125.0
1990-04-06;47.25;47.5;47.25;47.5;500.0
1990-04-09;47.75;47.75;47.25;47.25;7625.0
1990-04-10;47.75;47.75;47.38;47.38;15000.0
1990-04-11;47.5;47.5;47.25;47.25;2500.0
1990-04-12;47.25;47.25;47.25;47.25;625.0
1990-04-16;47.25;47.5;47.0;47.5;106625.0
1990-04-17;47.0;47.0;47.0;47.0;1625.0
1990-04-18;47.25;47.5;47.0;47.5;2000.0
1990-04-19;47.0;47.25;47.0;47.0;7625.0
1990-04-20;47.0;47.0;47.0;47.0;625.0
1990-04-23;47.38;47.38;47.12;47.12;5000.0
1990-04-24;47.0;47.0;46.5;46.5;8500.0
1990-04-25;45.0;45.0;44.75;45.0;5000.0
1990-04-26;44.5;45.5;44.5;45.0;10000.0
1990-04-27;44.5;45.5;44.5;45.5;2000.0
1990-04-30;44.5;44.5;44.5;44.5;125.0
1990-05-01;44.5;44.75;44.5;44.75;11500.0
1990-05-02;44.5;44.62;44.5;44.5;11125.0
1990-05-03;45.25;45.25;44.25;44.5;14000.0
1990-05-04;45.0;45.0;45.0;45.0;2500.0
1990-05-07;45.5;45.5;44.75;45.0;3500.0
1990-05-08;44.25;44.25;44.25;44.25;2000.0
1990-05-09;45.5;45.5;44.5;45.0;4125.0
1990-05-10;44.25;45.5;44.25;45.5;6625.0
1990-05-11;46.0;46.0;46.0;46.0;500.0
1990-05-14;46.0;46.0;46.0;46.0;500.0
1990-05-15;46.5;46.5;46.25;46.5;2000.0
1990-05-16;46.5;46.5;46.5;46.5;0.0
1990-05-17;45.62;45.62;44.75;44.75;6000.0
1990-05-18;45.0;45.25;45.0;45.25;500.0
1990-05-21;45.25;47.0;45.25;47.0;13625.0
1990-05-22;45.5;46.88;45.5;46.88;9625.0
1990-05-23;45.62;45.62;45.62;45.62;1125.0
1990-05-24;45.5;47.0;45.5;46.0;20125.0
1990-05-25;45.5;45.75;45.5;45.75;50500.0
1990-05-29;45.5;46.5;45.0;46.5;32125.0
1990-05-30;45.0;45.0;44.0;44.0;26000.0
1990-05-31;43.0;43.0;39.5;40.5;61625.0
1990-06-01;41.5;44.0;40.5;43.25;101625.0
1990-06-04;42.5;43.75;42.5;43.75;3000.0
1990-06-05;43.75;43.75;42.75;43.25;8125.0
1990-06-06;42.75;43.75;42.75;42.75;22500.0
1990-06-07;42.75;43.75;42.75;42.75;115125.0
1990-06-08;42.75;43.25;42.75;43.25;11625.0
1990-06-11;43.25;43.25;42.25;42.25;10625.0
1990-06-12;42.25;42.75;42.25;42.75;2125.0
1990-06-13;43.25;43.75;42.75;43.75;87500.0
1990-06-14;45.5;47.0;44.0;46.0;28125.0
1990-06-15;47.5;47.5;47.5;47.5;7000.0
1990-06-18;46.5;47.5;46.38;46.38;8125.0
1990-06-19;46.5;47.5;46.5;46.5;35500.0
1990-06-20;46.5;46.5;46.5;46.5;0.0
1990-06-21;46.5;47.5;46.5;46.5;11000.0
1990-06-22;46.5;47.5;46.5;46.75;4625.0
1990-06-25;46.75;46.75;46.75;46.75;0.0
1990-06-26;46.5;46.62;46.5;46.62;46500.0
1990-06-27;46.5;46.5;46.5;46.5;12000.0
1990-06-28;46.5;47.5;46.5;47.0;38000.0
1990-06-29;46.5;47.0;46.5;47.0;2625.0
1990-07-02;46.5;46.5;46.5;46.5;500.0
1990-07-03;46.5;46.5;46.5;46.5;0.0
1990-07-05;46.5;46.5;46.5;46.5;0.0
1990-07-06;46.5;46.5;46.5;46.5;2500.0
1990-07-09;47.0;47.0;47.0;47.0;6125.0
1990-07-10;46.5;46.5;46.5;46.5;1500.0
1990-07-11;46.5;46.5;46.5;46.5;0.0
1990-07-12;46.62;47.0;46.62;47.0;17500.0
1990-07-13;47.5;47.5;47.5;47.5;125.0
1990-07-16;46.5;46.5;46.5;46.5;11125.0
1990-07-17;45.5;46.25;45.5;45.5;1125.0
1990-07-18;45.5;45.5;45.5;45.5;0.0
1990-07-19;45.5;45.5;45.5;45.5;0.0
1990-07-20;45.5;45.5;45.0;45.0;10000.0
1990-07-23;45.0;45.0;45.0;45.0;0.0
1990-07-24;45.5;45.5;45.0;45.0;16000.0
1990-07-25;44.75;46.0;44.75;46.0;23125.0
1990-07-26;46.0;46.0;44.25;45.75;51125.0
1990-07-27;46.0;46.25;45.0;46.0;30125.0
1990-07-30;45.0;45.75;45.0;45.75;8625.0
1990-07-31;46.25;46.25;45.0;46.25;8500.0
1990-08-01;46.0;46.0;45.5;45.5;2500.0
1990-08-02;44.5;46.25;44.5;46.25;1625.0
1990-08-03;46.25;46.25;46.25;46.25;0.0
1990-08-06;44.5;45.5;44.5;44.5;7000.0
1990-08-07;45.5;45.5;44.25;44.5;6000.0
1990-08-08;45.25;45.5;44.0;44.0;4000.0
1990-08-09;44.0;45.75;44.0;45.75;24000.0
1990-08-10;44.75;46.0;44.75;45.5;6625.0
1990-08-13;44.75;46.0;44.75;46.0;11500.0
1990-08-14;46.0;46.0;45.38;46.0;1000.0
1990-08-15;46.0;46.0;46.0;46.0;0.0
1990-08-16;44.75;45.0;44.0;44.0;25500.0
1990-08-17;44.0;44.0;43.5;43.5;6125.0
1990-08-20;44.0;44.0;43.0;44.0;7125.0
1990-08-21;44.0;44.0;42.25;42.25;10625.0
1990-08-22;42.0;43.0;40.75;41.25;46125.0
1990-08-23;40.5;41.5;40.25;40.25;59000.0
1990-08-24;41.5;42.5;40.75;42.5;27125.0
1990-08-27;43.0;43.5;42.5;43.5;14125.0
1990-08-28;43.75;44.0;43.0;43.5;8500.0
1990-08-29;44.0;44.38;44.0;44.38;9000.0
1990-08-30;44.75;45.0;44.75;45.0;7000.0
1990-08-31;45.0;45.0;43.5;43.5;6625.0
1990-09-04;45.0;45.0;45.0;45.0;1000.0
1990-09-05;44.0;45.25;44.0;44.25;6000.0
1990-09-06;44.25;45.5;44.25;45.5;5125.0
1990-09-07;45.25;45.25;45.25;45.25;125.0
1990-09-10;45.5;45.5;45.5;45.5;3125.0
1990-09-11;44.88;44.88;44.88;44.88;1500.0
1990-09-12;44.25;45.38;44.25;45.38;5500.0
1990-09-13;45.38;45.38;45.38;45.38;0.0
1990-09-14;43.75;43.75;43.75;43.75;125.0
1990-09-17;43.75;43.75;41.25;42.25;21500.0
1990-09-18;41.25;42.5;41.25;41.25;20000.0
1990-09-19;41.75;42.5;40.75;40.75;32625.0
1990-09-20;40.5;41.0;40.0;40.12;18625.0
1990-09-21;40.0;41.0;39.5;40.75;66500.0
1990-09-24;39.5;41.0;39.5;41.0;6000.0
1990-09-25;40.25;41.0;39.5;39.5;7625.0
1990-09-26;39.5;41.0;39.5;40.0;61625.0
1990-09-27;40.0;40.5;39.5;40.5;9625.0
1990-09-28;38.5;40.0;38.0;39.0;130500.0
1990-10-01;39.25;39.25;37.75;39.25;2500.0
1990-10-02;38.0;39.0;37.75;39.0;9625.0
1990-10-03;37.75;39.0;37.75;38.88;25125.0
1990-10-04;37.75;38.5;37.75;38.25;13500.0
1990-10-05;38.25;38.25;38.25;38.25;0.0
1990-10-08;39.0;40.0;38.88;39.75;23625.0
1990-10-09;39.75;40.5;39.5;40.5;25625.0
1990-10-10;39.25;40.0;39.25;40.0;10000.0
1990-10-11;39.25;39.75;39.0;39.5;11500.0
1990-10-12;39.0;40.0;39.0;39.5;61625.0
1990-10-15;39.75;40.0;39.0;39.25;29000.0
1990-10-16;39.0;39.5;39.0;39.5;2000.0
1990-10-17;40.0;40.0;39.5;39.62;6125.0
1990-10-18;39.0;39.0;39.0;39.0;1125.0
1990-10-19;40.0;42.0;40.0;42.0;19625.0
1990-10-22;41.0;41.0;41.0;41.0;7500.0
1990-10-23;42.0;42.5;41.0;41.5;9000.0
1990-10-24;41.5;42.5;41.0;42.5;7625.0
1990-10-25;42.5;42.5;41.0;41.0;3125.0
1990-10-26;42.75;44.5;42.62;44.5;26625.0
1990-10-29;43.0;45.0;43.0;44.5;18000.0
1990-10-30;44.0;45.75;44.0;44.5;10125.0
1990-10-31;44.5;44.5;43.5;43.5;9500.0
1990-11-01;43.5;43.5;43.5;43.5;4125.0
1990-11-02;43.5;44.75;43.5;43.5;9500.0
1990-11-05;43.5;44.25;43.5;43.5;8500.0
1990-11-06;45.25;45.25;43.5;43.5;164625.0
1990-11-07;44.0;45.25;44.0;44.0;25125.0
1990-11-08;45.25;45.25;44.25;44.25;25125.0
1990-11-09;44.5;44.5;44.0;44.0;15000.0
1990-11-12;44.38;44.38;44.0;44.38;82125.0
1990-11-13;43.5;44.25;43.5;43.5;4500.0
1990-11-14;43.25;43.25;43.0;43.0;500.0
1990-11-15;43.0;44.0;43.0;43.0;25000.0
1990-11-16;43.0;43.38;43.0;43.38;11125.0
1990-11-19;43.38;43.38;43.38;43.38;0.0
1990-11-20;43.25;44.75;43.25;44.75;4625.0
1990-11-21;44.75;44.75;43.25;44.75;4125.0
1990-11-23;45.25;45.25;44.0;44.38;20000.0
1990-11-26;44.5;45.25;44.5;44.75;11500.0
1990-11-27;44.88;44.88;44.5;44.5;1000.0
1990-11-28;44.75;45.25;44.75;45.0;47625.0
1990-11-29;44.75;44.75;44.75;44.75;8000.0
1990-11-30;44.75;44.88;44.5;44.75;18125.0
1990-12-03;44.75;44.75;44.75;44.75;0.0
1990-12-04;44.12;44.38;44.12;44.38;30000.0
1990-12-05;44.12;45.0;44.12;44.25;38625.0
1990-12-06;44.25;45.0;44.25;45.0;27000.0
1990-12-07;44.75;44.75;44.75;44.75;14000.0
1990-12-10;44.88;45.0;44.25;44.25;167000.0
1990-12-11;44.25;44.75;44.0;44.0;8625.0
1990-12-12;44.0;44.38;44.0;44.12;39500.0
1990-12-13;44.0;44.0;43.5;43.75;241000.0
1990-12-14;43.75;43.75;43.75;43.75;0.0
1990-12-17;43.75;43.75;43.25;43.25;1000.0
1990-12-18;43.0;44.25;43.0;44.25;3500.0
1990-12-19;44.25;44.25;44.25;44.25;0.0
1990-12-20;43.0;43.5;43.0;43.0;29625.0
1990-12-21;43.75;43.75;41.0;43.5;30000.0
1990-12-24;43.5;43.5;43.5;43.5;0.0
1990-12-26;43.5;43.5;43.5;43.5;0.0
1990-12-27;42.0;43.5;42.0;43.5;5125.0
1990-12-28;42.0;42.0;42.0;42.0;5000.0
1990-12-31;43.25;43.25;43.25;43.25;3000.0
1991-01-02;17.25;17.25;16.88;17.0;22000.0
1991-01-03;17.5;18.0;17.5;17.75;33000.0
1991-01-04;18.0;18.25;17.75;17.75;24500.0
1991-01-07;17.75;18.0;16.38;16.5;21750.0
1991-01-08;17.0;17.0;16.0;16.25;16500.0
1991-01-09;15.75;16.5;15.5;15.75;33625.0
1991-01-10;15.5;16.25;15.25;15.75;55000.0
1991-01-11;15.25;15.5;15.0;15.0;29500.0
1991-01-14;15.0;15.25;14.75;14.75;17500.0
1991-01-15;14.75;15.25;14.75;15.0;18000.0
1991-01-16;15.0;15.25;14.75;15.25;21125.0
1991-01-17;15.0;15.5;15.0;15.0;75750.0
1991-01-18;15.0;15.5;15.0;15.0;17125.0
1991-01-21;14.75;15.5;14.75;15.5;10875.0
1991-01-22;15.0;15.5;15.0;15.0;15500.0
1991-01-23;15.13;15.38;15.0;15.0;7500.0
1991-01-24;15.0;15.25;14.75;15.0;103875.0
1991-01-25;15.25;15.25;14.75;15.0;10500.0
1991-01-28;14.75;15.5;14.75;14.75;23375.0
1991-01-29;14.75;15.5;14.75;15.25;1625.0
1991-01-30;15.0;15.5;15.0;15.0;15500.0
1991-01-31;15.0;15.5;15.0;15.5;13750.0
1991-02-01;15.25;15.5;15.13;15.25;42000.0
1991-02-04;15.25;15.75;15.25;15.25;23875.0
1991-02-05;15.25;16.25;15.25;16.0;31000.0
1991-02-06;16.0;17.5;15.75;17.25;42750.0
1991-02-07;17.0;17.5;17.0;17.0;11500.0
1991-02-08;17.5;17.5;17.0;17.0;58750.0
1991-02-11;17.5;17.5;17.0;17.13;45875.0
1991-02-12;17.0;17.5;17.0;17.25;24500.0
1991-02-13;17.0;17.38;17.0;17.0;12750.0
1991-02-14;17.0;17.5;17.0;17.5;64750.0
1991-02-15;17.38;17.5;17.0;17.38;86500.0
1991-02-19;17.0;17.5;17.0;17.5;101500.0
1991-02-20;17.25;17.38;17.0;17.25;107250.0
1991-02-21;17.5;17.5;17.0;17.13;11125.0
1991-02-22;17.5;17.5;17.0;17.5;2750.0
1991-02-25;17.5;17.5;17.0;17.0;4625.0
1991-02-26;17.5;17.5;17.38;17.5;1375.0
1991-02-27;17.25;17.25;17.0;17.13;19625.0
1991-02-28;17.5;17.5;17.0;17.0;23875.0
1991-03-01;17.5;17.5;17.0;17.0;25250.0
1991-03-04;17.25;17.38;17.0;17.0;28000.0
1991-03-05;17.0;17.75;17.0;17.0;240000.0
1991-03-06;17.75;17.75;17.0;17.13;38375.0
1991-03-07;17.0;17.5;17.0;17.0;3000.0
1991-03-08;17.0;17.5;17.0;17.0;2500.0
1991-03-11;17.0;17.38;17.0;17.13;20750.0
1991-03-12;17.5;17.5;17.0;17.0;500.0
1991-03-13;17.0;17.5;16.63;17.0;343125.0
1991-03-14;17.13;17.13;17.0;17.0;3125.0
1991-03-15;17.0;17.5;17.0;17.0;8250.0
1991-03-18;17.5;17.5;17.0;17.0;625.0
1991-03-19;17.13;17.38;16.75;16.75;23000.0
1991-03-20;16.88;17.0;16.75;16.88;11375.0
1991-03-21;16.75;16.75;16.75;16.75;750.0
1991-03-22;17.0;17.0;17.0;17.0;1750.0
1991-03-25;16.75;17.25;16.75;16.88;30125.0
1991-03-26;17.25;17.25;16.75;17.0;2500.0
1991-03-27;17.25;17.25;16.75;16.75;20500.0
1991-03-28;17.25;17.25;16.75;16.75;12625.0
1991-04-01;17.13;17.13;17.13;17.13;250.0
1991-04-02;17.25;17.25;16.75;16.75;5500.0
1991-04-03;17.25;17.25;16.75;17.25;188000.0
1991-04-04;17.0;17.25;17.0;17.13;11750.0
1991-04-05;17.0;17.75;17.0;17.63;50250.0
1991-04-08;17.5;17.75;17.5;17.5;3500.0
1991-04-09;17.5;18.0;17.5;17.5;6000.0
1991-04-10;17.5;18.0;17.5;17.63;28875.0
1991-04-11;17.75;17.75;17.5;17.63;43625.0
1991-04-12;17.63;18.0;17.5;17.63;11000.0
1991-04-15;18.0;18.0;17.5;17.5;125.0
1991-04-16;18.0;18.5;17.75;18.5;24625.0
1991-04-17;18.5;18.75;18.0;18.75;18000.0
1991-04-18;19.0;19.75;18.75;19.75;79500.0
1991-04-19;19.75;20.0;19.25;19.63;10500.0
1991-04-22;19.25;19.75;19.25;19.25;4250.0
1991-04-23;19.75;20.0;19.5;19.88;12875.0
1991-04-24;19.75;19.88;19.5;19.88;19750.0
1991-04-25;19.5;20.0;19.5;19.5;1250.0
1991-04-26;20.0;20.0;19.25;19.5;232125.0
1991-04-29;19.25;19.75;19.25;19.25;13375.0
1991-04-30;19.25;19.25;18.75;19.0;9750.0
1991-05-01;18.75;19.0;18.5;19.0;6500.0
1991-05-02;18.75;19.0;18.25;18.38;48500.0
1991-05-03;18.88;19.0;18.5;18.5;7125.0
1991-05-06;19.0;19.0;18.63;18.75;6875.0
1991-05-07;18.75;19.0;18.5;18.63;2500.0
1991-05-08;18.25;19.0;18.25;19.0;13875.0
1991-05-09;18.88;19.0;18.63;18.88;61000.0
1991-05-10;18.75;18.88;18.5;18.88;18625.0
1991-05-13;19.0;19.0;18.75;18.88;1500.0
1991-05-14;18.5;19.0;18.5;18.5;57375.0
1991-05-15;18.88;19.0;18.5;18.5;38125.0
1991-05-16;18.5;19.0;18.5;18.88;22875.0
1991-05-17;19.0;19.0;18.75;18.75;4500.0
1991-05-20;19.0;19.0;18.5;19.0;19125.0
1991-05-21;19.0;19.0;18.5;18.5;9500.0
1991-05-22;18.5;19.0;18.5;19.0;3250.0
1991-05-23;19.0;19.0;18.5;18.5;7000.0
1991-05-24;18.63;19.0;18.38;18.38;34000.0
1991-05-28;18.25;18.63;18.25;18.63;500.0
1991-05-29;18.75;18.75;18.25;18.25;2750.0
1991-05-30;18.75;18.75;18.25;18.25;375.0
1991-05-31;18.75;18.75;18.25;18.25;5000.0
1991-06-03;18.25;18.25;18.25;18.25;125.0
1991-06-04;18.25;18.5;18.25;18.38;68000.0
1991-06-05;18.25;18.5;18.25;18.5;128875.0
1991-06-06;18.38;18.75;18.25;18.5;10750.0
1991-06-07;18.25;18.5;18.25;18.25;6000.0
1991-06-10;18.0;18.5;17.63;18.5;48000.0
1991-06-11;18.0;18.5;18.0;18.13;89750.0
1991-06-12;18.5;18.5;18.0;18.25;179000.0
1991-06-13;18.13;18.5;18.0;18.0;34750.0
1991-06-14;18.13;18.5;18.13;18.25;3875.0
1991-06-17;18.0;18.38;18.0;18.0;4875.0
1991-06-18;18.5;18.5;18.0;18.5;5500.0
1991-06-19;18.25;18.25;18.13;18.25;14500.0
1991-06-20;18.0;18.13;18.0;18.13;60000.0
1991-06-21;18.5;18.5;18.25;18.25;4500.0
1991-06-24;18.0;18.5;18.0;18.0;3500.0
1991-06-25;18.25;18.5;18.25;18.5;1875.0
1991-06-26;18.0;18.5;18.0;18.5;2375.0
1991-06-27;18.13;18.25;18.0;18.13;180125.0
1991-06-28;18.5;18.5;18.0;18.25;92625.0
1991-07-01;18.0;18.5;18.0;18.38;23750.0
1991-07-02;18.0;18.5;18.0;18.25;109250.0
1991-07-03;18.13;18.25;18.0;18.0;86750.0
1991-07-05;18.0;18.0;18.0;18.0;5375.0
1991-07-08;18.0;18.13;18.0;18.13;4250.0
1991-07-09;18.0;18.25;18.0;18.0;3500.0
1991-07-10;18.13;18.25;18.13;18.25;7250.0
1991-07-11;18.0;18.0;17.75;18.0;46625.0
1991-07-12;18.0;18.13;17.75;18.0;174625.0
1991-07-15;17.75;18.13;17.75;18.0;26625.0
1991-07-16;17.75;18.25;17.75;18.25;3375.0
1991-07-17;18.25;18.25;18.0;18.25;8125.0
1991-07-18;18.0;18.25;17.75;18.25;750.0
1991-07-19;18.25;18.5;17.75;18.5;2500.0
1991-07-22;18.5;18.5;18.38;18.38;500.0
1991-07-23;18.5;18.5;18.0;18.38;17875.0
1991-07-24;18.0;18.25;18.0;18.0;4500.0
1991-07-25;18.0;18.0;18.0;18.0;4500.0
1991-07-26;17.88;18.13;17.75;17.75;20000.0
1991-07-29;17.75;18.0;17.75;17.88;26875.0
1991-07-30;18.0;18.13;18.0;18.0;134000.0
1991-07-31;18.0;18.0;17.75;18.0;54500.0
1991-08-01;17.75;17.88;17.75;17.75;28250.0
1991-08-02;17.75;18.0;17.75;18.0;35250.0
1991-08-05;18.25;18.25;17.75;17.88;12500.0
1991-08-06;17.75;17.88;17.75;17.88;111125.0
1991-08-07;17.75;17.75;17.5;17.5;4125.0
1991-08-08;17.5;18.0;17.5;18.0;50500.0
1991-08-09;17.5;17.63;17.5;17.5;29875.0
1991-08-12;17.5;17.5;17.5;17.5;0.0
1991-08-13;17.88;18.0;17.63;17.63;4500.0
1991-08-14;18.0;18.25;17.75;17.75;86000.0
1991-08-15;18.25;18.25;18.0;18.0;33250.0
1991-08-16;18.0;18.5;18.0;18.0;61000.0
1991-08-19;18.0;18.0;17.5;17.75;7875.0
1991-08-20;17.75;18.0;17.75;18.0;3500.0
1991-08-21;18.0;18.5;18.0;18.5;89875.0
1991-08-22;18.0;18.5;18.0;18.25;74875.0
1991-08-23;18.5;18.5;18.0;18.25;15500.0
1991-08-26;18.0;18.0;17.0;17.5;40125.0
1991-08-27;17.0;17.5;17.0;17.25;30000.0
1991-08-28;17.0;17.5;17.0;17.0;6750.0
1991-08-29;17.0;17.5;17.0;17.0;1000.0
1991-08-30;17.25;17.25;17.0;17.25;8750.0
1991-09-03;17.25;17.25;17.0;17.0;10500.0
