date;open;high;low;close;volume
2007-04-02;19.4;19.7;18.82;19.51;9470300.0
2007-04-03;19.3;19.5;18.49;19.07;7892900.0
2007-04-04;19.02;19.16;18.8;18.91;4738000.0
2007-04-05;18.75;19.81;18.7;19.38;4602900.0
2007-04-09;19.57;19.57;18.9;19.06;3600900.0
2007-04-10;18.68;19.44;18.6;19.22;3130800.0
2007-04-11;19.26;20.06;18.95;19.11;3356100.0
2007-04-12;19.06;19.27;18.89;19.2;2666300.0
2007-04-13;20.05;20.05;19.1;19.58;2980900.0
2007-04-16;19.62;19.9;19.62;19.86;1455800.0
2007-04-17;19.45;20.58;19.3;20.42;1567200.0
2007-04-18;20.23;20.72;19.96;20.68;1958200.0
2007-04-19;20.2;21.46;20.18;21.14;1890100.0
2007-04-20;21.37;21.77;21.0;21.08;2671300.0
2007-04-23;20.88;21.1;20.53;20.7;1531800.0
2007-04-24;20.5196;20.7;20.5;20.61;1752700.0
2007-04-25;20.61;20.67;20.22;20.26;1029600.0
2007-04-26;19.78;20.14;19.7;20.06;1193200.0
2007-04-27;20.0;20.27;19.81;20.22;734500.0
2007-04-30;20.2;20.2;19.96;20.04;1581800.0
2007-05-01;19.96;20.11;19.86;20.04;1468800.0
2007-05-02;19.97;20.11;19.85;20.02;1460100.0
2007-05-03;20.05;20.44;20.009;20.3;1243100.0
2007-05-04;20.2;21.0;20.13;20.78;1242300.0
2007-05-07;20.5248;21.04;20.5248;21.01;1482300.0
2007-05-08;20.5401;21.32;20.54;21.27;1294300.0
2007-05-09;21.12;21.85;21.08;21.4;2454100.0
2007-05-10;21.2;21.55;20.94;21.12;1278800.0
2007-05-11;21.13;21.45;21.1;21.43;468300.0
2007-05-14;21.33;21.36;21.12;21.31;661100.0
2007-05-15;21.29;21.41;20.84;20.84;1811800.0
2007-05-16;20.7;20.7;20.42;20.5;1595900.0
2007-05-17;20.12;20.73;20.1;20.65;893700.0
2007-05-18;20.6;20.75;20.3;20.46;1201800.0
2007-05-21;20.44;20.54;20.38;20.5;3019200.0
2007-05-22;20.62;20.62;20.35;20.39;1490500.0
2007-05-23;20.39;20.5;20.04;20.35;1014700.0
2007-05-24;20.01;20.33;20.0;20.02;1404600.0
2007-05-25;20.02;20.15;19.95;20.0;624200.0
2007-05-29;19.55;20.05;19.55;20.0;639000.0
2007-05-30;19.82;20.04;19.75;19.97;1165000.0
2007-05-31;19.99;20.25;19.9;20.24;953500.0
2007-06-01;20.31;20.42;19.75;19.93;886100.0
2007-06-04;19.68;20.0;19.66;19.85;967300.0
2007-06-05;19.75;20.08;19.65;19.93;847000.0
2007-06-06;19.78;19.81;19.28;19.45;1072800.0
2007-06-07;19.28;19.46;18.91;18.97;1127400.0
2007-06-08;18.98;19.18;18.91;19.14;627600.0
2007-06-11;19.06;19.31;19.0;19.27;2175300.0
2007-06-12;19.16;19.49;19.15;19.33;994400.0
2007-06-13;19.46;19.59;19.28;19.35;829700.0
2007-06-14;19.3;19.42;19.16;19.28;629800.0
2007-06-15;19.38;19.59;19.35;19.49;732300.0
2007-06-18;19.57;19.57;19.28;19.43;810700.0
2007-06-19;19.27;19.54;19.08;19.09;1422600.0
2007-06-20;19.02;19.14;18.99;19.11;1922200.0
2007-06-21;19.02;19.47;19.0;19.44;1592800.0
2007-06-22;19.43;20.0;19.43;19.9;1826000.0
2007-06-25;19.81;20.12;19.72;20.12;2052100.0
2007-06-26;20.25;20.25;19.76;19.9;1435300.0
2007-06-27;19.81;20.0;19.59;19.8;1720900.0
2007-06-28;19.81;19.83;19.22;19.41;1430600.0
2007-06-29;19.38;19.6;19.1;19.12;1323100.0
2007-07-02;19.23;19.38;19.09;19.34;848600.0
2007-07-03;19.31;19.85;19.25;19.72;322700.0
2007-07-05;19.81;19.84;19.51;19.6;669000.0
2007-07-06;19.53;19.92;19.53;19.76;492000.0
2007-07-09;19.76;20.46;19.46;20.34;1492100.0
2007-07-10;20.19;20.31;19.76;19.8;925900.0
2007-07-11;19.71;19.75;19.45;19.58;606100.0
2007-07-12;19.7;20.04;19.7;20.02;1520600.0
2007-07-13;20.07;20.29;19.8;19.89;475600.0
2007-07-16;19.83;20.24;19.8;20.19;566900.0
2007-07-17;20.1;20.5;20.02;20.14;873900.0
2007-07-18;20.02;20.21;19.85;20.04;1002700.0
2007-07-19;19.7;20.45;19.7;20.27;828100.0
2007-07-20;19.4;20.28;19.4;20.05;525000.0
2007-07-23;20.11;20.24;20.0;20.01;317800.0
2007-07-24;19.8;19.81;19.23;19.31;1680000.0
2007-07-25;19.49;19.5;18.83;19.14;1083600.0
2007-07-26;18.0;18.93;18.0;18.61;2240500.0
2007-07-27;18.57;18.67;17.97;17.97;920800.0
2007-07-30;18.0;18.11;17.79;17.87;1338300.0
2007-07-31;17.88;18.07;17.51;17.59;1855100.0
2007-08-01;16.73;18.12;16.16;17.06;2217500.0
2007-08-02;17.0;17.33;17.0;17.18;2218700.0
2007-08-03;17.25;17.3;16.73;17.05;1868000.0
2007-08-06;17.12;17.69;17.12;17.57;2274600.0
2007-08-07;17.43;17.7499;17.4;17.55;1512100.0
2007-08-08;16.68;18.34;16.68;18.18;1097000.0
2007-08-09;16.43;18.96;15.82;17.99;1585400.0
2007-08-10;16.28;18.47;16.21;18.33;1597400.0
2007-08-13;18.3;18.71;17.69;17.79;945000.0
2007-08-14;17.75;18.38;17.5;18.11;714500.0
2007-08-15;18.11;18.11;17.49;17.61;979500.0
2007-08-16;17.25;17.81;16.7;17.45;2624500.0
2007-08-17;17.82;17.82;16.98;17.5;504900.0
2007-08-20;17.5;17.57;17.06;17.33;527500.0
2007-08-21;17.34;18.0;16.9;17.84;700600.0
2007-08-22;17.85;18.05;16.86;16.92;2301800.0
2007-08-23;16.2;16.4;15.27;16.29;2232600.0
2007-08-24;16.17;17.98;16.15;17.9;1597000.0
2007-08-27;17.77;17.9;17.63;17.78;608600.0
2007-08-28;17.6;17.81;17.54;17.6;851100.0
2007-08-29;17.72;17.87;17.61;17.87;815900.0
2007-08-30;17.82;18.24;17.77;18.13;819800.0
2007-08-31;18.25;18.4;18.11;18.17;615700.0
2007-09-04;18.05;18.54;17.96;18.51;1005800.0
2007-09-05;18.35;18.35;17.26;17.41;1004400.0
2007-09-06;17.43;17.43;16.92;17.13;598700.0
2007-09-07;16.89;16.89;16.52;16.71;762900.0
2007-09-10;16.73;17.52;16.73;17.46;816400.0
2007-09-11;17.47;17.6;17.15;17.23;1191000.0
2007-09-12;17.14;18.03;17.044;17.89;489000.0
2007-09-13;17.93;18.84;17.71;18.64;604400.0
2007-09-14;18.41;18.97;18.25;18.65;616600.0
2007-09-17;18.41;18.47;17.83;18.08;653300.0
2007-09-18;18.17;18.87;17.93;18.84;786400.0
2007-09-19;18.9;19.13;18.72;18.95;495600.0
2007-09-20;18.89;19.26;18.74;19.15;434200.0
2007-09-21;19.33;19.44;19.02;19.12;861200.0
2007-09-24;19.07;19.07;18.08;18.36;656800.0
2007-09-25;18.2;18.63;18.12;18.54;848200.0
2007-09-26;18.6;19.25;18.5;18.88;400900.0
2007-09-27;18.85;19.12;18.8;19.0;834300.0
2007-09-28;18.88;19.05;18.67;18.95;580500.0
2007-10-01;18.88;19.29;18.7;19.0;543100.0
2007-10-02;19.08;19.1025;18.83;18.92;440900.0
2007-10-03;18.75;19.34;18.75;19.32;339300.0
2007-10-04;19.43;19.72;19.34;19.67;294200.0
2007-10-05;19.67;19.85;19.28;19.47;468700.0
2007-10-08;19.51;19.85;19.29;19.43;271700.0
2007-10-09;19.44;19.62;19.2;19.56;341900.0
2007-10-10;19.37;19.6;19.33;19.57;435900.0
2007-10-11;19.54;19.91;19.18;19.49;665500.0
2007-10-12;19.48;19.74;19.47;19.58;322300.0
2007-10-15;19.62;19.94;19.53;19.79;366800.0
2007-10-16;19.62;19.75;19.28;19.28;220500.0
2007-10-17;19.35;19.69;19.2;19.35;253500.0
2007-10-18;19.2;19.92;19.2;19.78;445000.0
2007-10-19;19.79;19.8;19.55;19.61;342400.0
2007-10-22;19.4;19.8;19.31;19.74;478800.0
2007-10-23;19.74;19.74;19.3315;19.47;443100.0
2007-10-24;19.39;19.7;18.75;19.46;450800.0
2007-10-25;19.53;19.6;19.01;19.21;373400.0
2007-10-26;19.37;19.52;18.96;19.46;323500.0
2007-10-29;19.5;19.69;19.39;19.57;315900.0
2007-10-30;19.48;20.03;19.4;19.76;537400.0
2007-10-31;19.73;20.0;19.48;20.0;271500.0
2007-11-01;19.85;20.14;19.47;19.5;607900.0
2007-11-02;19.51;19.62;18.78;18.92;639400.0
2007-11-05;18.63;18.93;18.36;18.46;703200.0
2007-11-06;18.4;18.57;18.1044;18.23;799000.0
2007-11-07;18.64;21.06;18.64;20.68;6138200.0
2007-11-08;20.78;22.7;20.54;22.0;2291100.0
2007-11-09;21.6;22.29;21.46;22.15;972500.0
2007-11-12;22.09;22.29;20.63;21.1;1641300.0
2007-11-13;21.2;21.77;21.14;21.65;826000.0
2007-11-14;21.72;21.72;21.21;21.42;471000.0
