date;open;high;low;close;volume
1984-09-07;38.88;39.13;38.25;38.75;16400.0
1984-09-10;38.75;39.25;38.25;38.63;14059.0
1984-09-11;38.88;39.5;38.75;39.5;47793.0
1984-09-12;39.5;39.5;39.0;39.38;78193.0
1984-09-13;39.38;39.38;38.75;39.0;22993.0
1984-09-14;39.0;39.5;38.75;39.0;32993.0
1984-09-17;39.0;39.0;38.0;38.13;24800.0
1984-09-18;38.13;38.25;37.63;37.63;13793.0
1984-09-19;37.63;37.88;37.5;37.63;24800.0
1984-09-20;37.63;37.63;37.5;37.5;8800.0
1984-09-21;37.5;38.5;37.5;38.5;66800.0
1984-09-24;38.5;38.75;38.5;38.5;19600.0
1984-09-25;38.5;38.75;38.5;38.75;2667.0
1984-09-26;38.75;39.0;38.38;38.38;17393.0
1984-09-27;38.63;39.0;38.63;38.88;10267.0
1984-09-28;39.25;39.38;39.13;39.25;19659.0
1984-10-01;39.25;39.5;38.88;38.88;19200.0
1984-10-02;38.88;39.25;38.63;38.63;28993.0
1984-10-03;38.63;38.88;38.38;38.5;42000.0
1984-10-04;38.5;38.88;38.13;38.63;40993.0
1984-10-05;38.63;38.63;38.13;38.5;1659.0
1984-10-08;38.13;38.13;37.38;37.38;46059.0
1984-10-09;37.38;37.38;37.25;37.38;13600.0
1984-10-10;37.38;37.88;37.38;37.88;10400.0
1984-10-11;38.13;38.88;38.13;38.88;29200.0
1984-10-12;39.25;40.25;39.25;39.75;57659.0
1984-10-15;39.75;40.13;39.5;39.63;26993.0
1984-10-16;39.63;39.88;39.5;39.75;6459.0
1984-10-17;39.75;39.88;39.5;39.63;6193.0
1984-10-18;39.88;40.25;39.88;40.25;28193.0
1984-10-19;40.5;41.13;40.5;40.63;28800.0
1984-10-22;40.5;40.5;40.13;40.25;9259.0
1984-10-23;40.25;40.88;40.13;40.13;7067.0
1984-10-24;40.13;40.25;39.75;40.13;12059.0
1984-10-25;40.13;40.88;40.13;40.88;7467.0
1984-10-26;40.25;40.25;39.75;40.13;27200.0
1984-10-29;40.13;40.25;40.13;40.13;10267.0
1984-10-30;40.13;40.13;39.5;39.5;15200.0
1984-10-31;39.5;39.75;39.5;39.75;12593.0
1984-11-01;39.75;41.13;39.75;41.13;20859.0
1984-11-02;41.13;41.13;40.63;40.63;9200.0
1984-11-05;40.63;41.13;40.5;40.5;4859.0
1984-11-06;40.5;41.13;40.5;40.88;8667.0
1984-11-07;40.88;41.5;40.25;41.5;16000.0
1984-11-08;41.5;41.5;40.88;41.25;11467.0
1984-11-09;41.25;41.25;40.75;40.75;7067.0
1984-11-12;40.75;41.13;40.5;40.5;7200.0
1984-11-13;40.5;40.5;40.25;40.25;3393.0
1984-11-14;40.25;40.25;40.13;40.13;4993.0
1984-11-15;40.13;40.13;39.63;39.75;4859.0
1984-11-16;39.75;39.88;39.5;39.88;7600.0
1984-11-19;39.88;39.88;39.63;39.63;6800.0
1984-11-20;39.63;39.75;39.5;39.63;3467.0
1984-11-21;39.5;39.5;38.63;38.88;8193.0
1984-11-23;38.88;38.88;38.63;38.88;1659.0
1984-11-26;38.88;38.88;38.38;38.38;28000.0
1984-11-27;38.38;38.38;37.88;38.13;15793.0
