date;open;high;low;close;volume
1987-04-23;11.88;11.88;11.5;11.75;298444.0
1987-04-24;11.75;11.75;11.5;11.75;79644.0
1987-04-27;11.75;11.75;11.25;11.5;61778.0
1987-04-28;11.5;11.5;11.25;11.25;45600.0
1987-04-29;11.25;11.38;11.0;11.0;154000.0
1987-04-30;11.0;11.38;11.0;11.0;343244.0
1987-05-01;11.0;11.38;11.0;11.0;57244.0
1987-05-04;11.12;11.5;11.12;11.5;177867.0
1987-05-05;11.5;11.5;11.12;11.12;23644.0
1987-05-06;11.12;11.5;10.62;10.87;45778.0
1987-05-07;10.87;11.5;10.75;11.5;285244.0
1987-05-08;11.5;11.5;11.0;11.25;64444.0
1987-05-11;11.25;11.5;11.12;11.5;84267.0
1987-05-12;11.5;11.5;10.87;11.5;199378.0
1987-05-13;11.5;11.5;11.0;11.38;134044.0
1987-05-14;11.38;11.5;11.0;11.5;26000.0
1987-05-15;11.5;11.5;11.12;11.5;39200.0
1987-05-18;11.5;11.5;11.12;11.12;8667.0
1987-05-19;11.12;11.12;10.62;11.0;15067.0
1987-05-20;11.0;11.12;10.25;10.62;85600.0
1987-05-21;10.62;10.87;10.37;10.87;57644.0
1987-05-22;10.87;10.87;10.5;10.87;6800.0
1987-05-26;10.87;11.12;10.62;11.12;53067.0
1987-05-27;11.12;11.25;10.75;11.12;52267.0
1987-05-28;11.12;11.12;10.87;11.12;14978.0
1987-05-29;11.0;11.0;10.87;11.0;12044.0
1987-06-01;11.0;11.25;10.87;11.0;14844.0
1987-06-02;11.0;11.25;11.0;11.25;38444.0
1987-06-03;11.25;11.5;11.0;11.25;63867.0
1987-06-04;11.25;11.5;11.0;11.5;38000.0
1987-06-05;11.5;11.5;10.75;11.5;37600.0
1987-06-08;11.5;11.5;11.0;11.5;8444.0
1987-06-09;11.5;11.5;10.75;11.0;33778.0
1987-06-10;11.0;11.5;11.0;11.0;26444.0
1987-06-11;11.0;11.5;11.0;11.5;37778.0
1987-06-12;11.5;11.5;11.0;11.5;56044.0
1987-06-15;11.5;11.5;11.0;11.5;15467.0
1987-06-16;11.5;12.25;11.0;12.25;318000.0
1987-06-17;12.25;12.25;11.63;12.25;157200.0
1987-06-18;12.25;12.5;11.75;12.5;128667.0
1987-06-19;12.38;12.38;11.75;12.38;120667.0
1987-06-22;12.38;12.5;12.0;12.38;163378.0
1987-06-23;12.38;12.38;12.0;12.0;49244.0
1987-06-24;12.0;12.38;12.0;12.0;35778.0
1987-06-25;12.0;12.25;11.75;12.25;24667.0
1987-06-26;12.25;12.25;11.75;12.0;46044.0
1987-06-29;12.0;12.25;11.75;11.75;36578.0
1987-06-30;11.75;12.0;11.75;11.75;19244.0
1987-07-01;11.75;12.0;11.5;11.5;19244.0
1987-07-02;11.5;12.0;11.5;11.5;18178.0
1987-07-06;11.5;12.0;11.5;11.5;19200.0
1987-07-07;11.5;12.0;11.5;11.5;11244.0
1987-07-08;11.5;11.5;11.5;11.5;5600.0
1987-07-09;11.5;12.0;11.5;11.5;25378.0
1987-07-10;11.5;11.75;11.5;11.5;12978.0
1987-07-13;11.5;12.0;11.5;12.0;55600.0
1987-07-14;12.0;12.0;11.5;11.5;30844.0
1987-07-15;11.5;11.75;11.5;11.5;45644.0
1987-07-16;11.5;12.0;11.5;11.75;151467.0
1987-07-17;11.75;12.0;11.5;12.0;66800.0
1987-07-20;12.0;12.0;11.5;12.0;62444.0
1987-07-21;11.75;11.75;11.25;11.75;7378.0
1987-07-22;11.5;11.5;11.0;11.0;5467.0
1987-07-23;11.0;11.0;11.0;11.0;2000.0
1987-07-24;11.0;11.5;10.75;10.75;22400.0
1987-07-27;10.75;10.75;10.75;10.75;7067.0
1987-07-28;10.75;11.25;10.5;10.5;116578.0
1987-07-29;10.0;10.0;8.75;9.0;91244.0
1987-07-30;9.0;9.0;8.75;8.87;255200.0
1987-07-31;8.87;9.5;8.87;9.5;37244.0
1987-08-03;9.5;9.5;9.0;9.0;17067.0
1987-08-04;9.25;9.75;9.25;9.38;24578.0
1987-08-05;9.38;10.0;9.25;10.0;18978.0
1987-08-06;10.0;10.0;9.5;10.0;2844.0
1987-08-07;10.0;10.0;9.5;10.0;4844.0
1987-08-10;10.0;10.25;9.5;10.25;52267.0
1987-08-11;10.25;10.25;9.75;9.75;7600.0
1987-08-12;9.75;10.25;9.75;10.0;6178.0
