date;open;high;low;close;volume
1997-03-27;18.0;18.12;18.0;18.0;3576100.0
1997-03-31;18.0;18.12;17.62;17.75;312900.0
1997-04-01;17.75;17.88;17.62;17.75;44600.0
1997-04-02;17.88;18.0;17.88;18.0;115600.0
1997-04-03;17.88;17.88;17.75;17.88;17200.0
1997-04-04;17.62;18.0;17.5;18.0;59500.0
1997-04-07;17.88;18.12;17.75;18.12;82700.0
1997-04-08;18.0;18.0;17.75;17.75;7800.0
1997-04-09;18.0;18.0;17.88;17.88;11200.0
1997-04-10;18.0;18.0;17.62;17.75;15900.0
1997-04-11;17.38;17.5;17.25;17.5;106400.0
1997-04-14;17.38;17.5;17.25;17.25;53300.0
1997-04-15;17.25;17.25;16.88;17.0;49800.0
1997-04-16;17.0;17.12;16.62;16.88;17700.0
1997-04-17;16.62;17.12;16.62;17.0;34400.0
1997-04-18;17.0;17.25;17.0;17.25;17500.0
1997-04-21;17.0;17.12;16.88;16.88;39500.0
1997-04-22;16.88;16.88;16.12;16.62;73200.0
1997-04-23;16.5;16.88;16.5;16.88;57500.0
1997-04-24;17.0;17.0;16.88;17.0;52700.0
1997-04-25;17.0;17.0;16.88;16.88;43800.0
1997-04-28;16.62;17.0;16.62;16.88;79300.0
1997-04-29;17.0;17.0;16.62;16.75;15200.0
1997-04-30;16.62;17.12;16.62;17.12;22400.0
1997-05-01;16.88;17.0;16.5;16.5;80900.0
1997-05-02;16.5;17.0;16.5;16.88;197500.0
1997-05-05;16.88;17.38;16.88;17.38;32600.0
1997-05-06;17.62;18.38;17.12;17.75;54600.0
1997-05-07;17.75;18.0;17.0;17.25;28900.0
1997-05-08;17.12;17.12;16.88;16.88;26000.0
1997-05-09;16.88;17.0;16.88;17.0;24800.0
1997-05-12;16.75;17.0;16.75;17.0;18200.0
1997-05-13;16.88;17.0;16.75;17.0;330100.0
1997-05-14;16.75;17.38;16.75;17.12;59200.0
1997-05-15;17.12;18.75;17.12;18.62;276300.0
1997-05-16;18.62;19.12;18.12;19.12;59800.0
1997-05-19;18.88;19.25;18.75;19.0;118600.0
1997-05-20;18.88;18.88;18.62;18.88;189100.0
1997-05-21;18.75;19.25;18.75;19.0;62700.0
1997-05-22;19.0;19.12;18.75;19.12;69500.0
1997-05-23;19.12;19.5;19.12;19.5;13400.0
1997-05-27;19.38;19.88;19.25;19.5;36900.0
1997-05-28;19.62;20.12;19.5;19.88;135400.0
1997-05-29;21.25;23.12;20.75;21.0;240400.0
1997-05-30;20.75;21.0;20.62;20.75;81200.0
1997-06-02;20.75;20.88;20.12;20.62;49800.0
1997-06-03;20.75;21.12;20.62;20.88;69100.0
1997-06-04;20.75;21.0;20.62;20.75;24700.0
1997-06-05;21.0;21.12;20.88;21.0;96300.0
1997-06-06;20.88;21.08;20.5;21.0;109000.0
1997-06-09;21.0;21.25;20.75;21.0;30700.0
1997-06-10;21.0;21.5;20.88;21.25;14600.0
