date;open;high;low;close;volume
2010-10-14;12.5;12.64;12.48;12.51;8250100.0
2010-10-15;12.56;12.85;12.5;12.58;2384900.0
2010-10-18;12.64;12.77;12.52;12.7;407600.0
2010-10-19;12.7;12.7;12.5;12.53;575900.0
2010-10-20;12.55;12.8;12.495;12.64;1259400.0
2010-10-21;12.69;12.69;12.5;12.5;897500.0
2010-10-22;12.54;12.56;12.5;12.55;298400.0
2010-10-25;12.66;12.66;12.52;12.61;203400.0
2010-10-26;12.6;12.6;12.48;12.51;825800.0
2010-10-27;12.51;12.6;12.51;12.52;149800.0
2010-10-28;12.56;12.56;12.5;12.51;718700.0
2010-10-29;12.51;12.5499;12.5;12.5;216800.0
2010-11-01;12.51;12.52;12.5;12.5;1028600.0
2010-11-02;12.5;12.58;12.5;12.54;205100.0
2010-11-03;12.51;12.54;12.5;12.53;476000.0
2010-11-04;12.51;12.55;12.5075;12.51;336900.0
2010-11-05;12.52;12.52;12.5;12.5;599100.0
2010-11-08;12.51;12.53;12.5;12.5;218900.0
2010-11-09;12.51;12.52;12.5;12.5;660900.0
2010-11-10;12.5;12.51;12.22;12.3;1064300.0
2010-11-11;12.17;12.35;12.16;12.3;636600.0
2010-11-12;12.26;12.35;12.09;12.16;568700.0
2010-11-15;12.26;12.35;12.15;12.16;291900.0
2010-11-16;12.0;12.05;11.7;11.96;565500.0
2010-11-17;11.9;12.33;11.9;12.3;459500.0
2010-11-18;12.4;12.43;12.02;12.17;411300.0
2010-11-19;12.17;12.35;12.1;12.29;418800.0
2010-11-22;12.14;12.45;12.11;12.42;135400.0
2010-11-23;12.43;12.62;12.3;12.5;712600.0
2010-11-24;12.56;12.59;12.4;12.57;307500.0
2010-11-26;12.64;12.67;12.47;12.55;107100.0
2010-11-29;12.52;12.61;12.36;12.61;151600.0
2010-11-30;12.5;12.65;12.36;12.61;204000.0
2010-12-01;12.6;12.79;12.4;12.7;358100.0
2010-12-02;12.54;12.88;12.52;12.81;625000.0
2010-12-03;12.6;13.46;12.6;12.95;606100.0
2010-12-06;12.99;13.16;12.8;12.94;357400.0
2010-12-07;12.92;13.07;12.74;12.74;482300.0
2010-12-08;12.66;12.9;12.54;12.85;240800.0
2010-12-09;12.77;13.079;12.65;12.92;325900.0
2010-12-10;12.96;13.0;12.8;12.92;250400.0
2010-12-13;12.92;12.92;12.27;12.85;377900.0
2010-12-14;12.56;12.8;12.301;12.67;513700.0
2010-12-15;12.48;12.6;12.3;12.55;292100.0
2010-12-16;12.55;13.38;12.47;12.76;723600.0
2010-12-17;12.71;13.15;12.63;13.07;3320700.0
2010-12-20;13.15;13.27;12.79;13.15;604400.0
2010-12-21;13.16;13.35;12.94;13.07;349200.0
2010-12-22;13.07;13.35;12.75;13.3;309500.0
2010-12-23;13.28;13.44;13.04;13.26;163600.0
2010-12-27;13.06;13.39;12.845;13.26;207000.0
2010-12-28;13.25;13.56;13.15;13.53;263000.0
2010-12-29;13.55;13.9;13.45;13.72;346300.0
2010-12-30;13.76;13.77;13.49;13.72;173600.0
2010-12-31;13.64;14.18;13.6;14.02;491900.0
2011-01-03;14.12;14.16;13.7;13.87;427200.0
2011-01-04;13.84;13.86;12.94;13.5;338900.0
2011-01-05;13.44;13.55;13.23;13.51;179800.0
2011-01-06;13.5;13.55;13.23;13.24;285600.0
2011-01-07;13.29;13.54;13.02;13.16;384200.0
2011-01-10;13.1;13.2;12.88;13.11;88200.0
2011-01-11;13.17;13.24;12.96;13.11;92700.0
2011-01-12;13.17;13.32;13.12;13.26;141100.0
2011-01-13;13.21;13.39;13.16;13.35;93900.0
2011-01-14;13.33;13.53;13.25;13.5;158400.0
2011-01-18;13.49;13.58;13.29;13.4;298600.0
2011-01-19;13.34;13.39;13.0;13.09;138300.0
2011-01-20;13.07;13.19;12.88;12.89;299500.0
2011-01-21;12.95;13.0;12.69;12.69;198300.0
2011-01-24;12.71;12.84;12.69;12.77;196300.0
2011-01-25;12.66;12.96;12.66;12.89;336300.0
2011-01-26;12.89;13.27;12.86;12.98;164900.0
2011-01-27;12.98;13.33;12.98;13.29;120400.0
2011-01-28;13.24;13.31;12.76;12.86;112000.0
2011-01-31;12.92;13.22;12.9;13.2;264300.0
2011-02-01;13.25;13.28;13.06;13.21;130000.0
2011-02-02;13.14;13.4;13.12;13.32;103600.0
2011-02-03;13.3;13.42;13.085;13.42;524400.0
2011-02-04;13.34;13.42;13.24;13.32;492200.0
2011-02-07;13.3;13.4;13.1003;13.32;166300.0
