date;open;high;low;close;volume
1994-01-21;17.0;17.5;16.25;17.5;1688667.0
1994-01-24;17.0;19.0;16.5;17.0;595067.0
1994-01-25;16.75;17.25;16.25;16.88;300178.0
1994-01-26;16.5;17.0;16.5;16.75;87867.0
1994-01-27;16.5;18.0;16.25;17.75;81600.0
1994-01-28;17.5;17.75;16.5;16.75;42844.0
1994-01-31;17.0;17.0;16.25;16.63;5200.0
1994-02-01;17.0;17.0;16.5;16.5;76000.0
1994-02-02;16.5;17.0;16.5;17.0;66044.0
1994-02-03;16.5;17.5;16.0;17.5;123600.0
1994-02-04;17.25;17.75;16.5;16.5;57244.0
1994-02-07;15.75;16.5;15.0;16.13;94578.0
1994-02-08;15.75;16.75;15.75;16.75;47867.0
1994-02-09;16.75;17.25;16.75;17.25;30044.0
1994-02-10;17.25;17.25;16.75;17.25;27378.0
1994-02-11;16.75;17.13;16.75;17.13;11067.0
1994-02-14;17.5;17.5;16.75;16.88;47067.0
1994-02-15;16.75;17.25;16.75;16.75;5778.0
1994-02-16;17.25;17.25;16.5;17.0;10800.0
1994-02-17;16.25;16.75;15.25;15.25;140267.0
1994-02-18;16.0;17.25;16.0;17.0;370978.0
1994-02-22;16.25;17.0;16.25;16.75;53867.0
1994-02-23;16.25;17.0;16.25;17.0;29867.0
1994-02-24;17.25;17.25;16.5;17.0;10267.0
1994-02-25;16.5;16.75;16.0;16.25;66178.0
1994-02-28;16.63;16.75;15.75;15.75;50667.0
1994-03-01;16.0;16.5;15.0;15.75;103600.0
1994-03-02;15.5;15.5;15.0;15.5;12978.0
1994-03-03;15.0;15.5;15.0;15.25;52178.0
1994-03-04;15.5;16.0;15.0;15.75;82267.0
1994-03-07;15.0;16.0;15.0;15.25;578.0
1994-03-08;16.0;16.0;15.38;15.38;20267.0
1994-03-09;15.75;16.0;15.5;15.5;41378.0
1994-03-10;15.75;16.75;15.75;16.0;97867.0
1994-03-11;16.5;17.0;16.0;17.0;39778.0
1994-03-14;16.38;16.75;16.38;16.75;1378.0
1994-03-15;16.75;16.75;16.75;16.75;44.0
1994-03-16;16.75;17.0;16.25;17.0;18400.0
1994-03-17;17.0;17.25;17.0;17.0;8044.0
1994-03-18;17.5;18.5;17.0;18.5;160667.0
1994-03-21;18.0;18.5;18.0;18.25;259467.0
1994-03-22;17.75;18.25;17.5;17.88;80267.0
1994-03-23;17.5;18.0;17.5;18.0;8267.0
1994-03-24;17.5;17.63;16.25;16.75;126000.0
