date;open;high;low;close;volume
1989-10-09;14.25;15.5;14.25;15.25;144200.0
1989-10-10;15.5;16.0;15.5;16.0;198100.0
1989-10-11;16.12;16.25;15.62;15.88;166400.0
1989-10-12;15.88;15.88;15.0;15.12;56300.0
1989-10-13;15.25;15.62;15.12;15.12;61700.0
1989-10-16;14.0;14.75;13.12;14.12;81600.0
1989-10-17;14.12;14.75;13.88;14.75;85500.0
1989-10-18;14.75;15.75;14.75;15.62;66100.0
1989-10-19;15.88;16.75;15.75;16.62;56000.0
1989-10-20;16.25;16.62;16.12;16.25;15300.0
1989-10-23;16.38;16.38;15.5;15.62;20900.0
1989-10-24;16.0;16.0;15.5;15.75;28100.0
1989-10-25;15.88;18.12;15.5;18.0;163200.0
1989-10-26;17.88;18.0;17.38;17.38;168300.0
1989-10-27;17.38;17.62;16.88;17.25;11900.0
1989-10-30;17.25;17.25;16.5;16.62;36600.0
1989-10-31;16.62;17.0;16.62;16.88;53800.0
1989-11-01;16.88;16.88;16.62;16.62;3500.0
1989-11-02;16.5;16.5;16.5;16.5;2000.0
1989-11-03;16.75;16.75;16.5;16.75;4000.0
1989-11-06;16.5;16.75;16.5;16.5;6500.0
1989-11-07;16.0;16.38;16.0;16.38;11200.0
1989-11-08;16.38;16.5;16.12;16.25;12700.0
1989-11-09;16.12;16.5;16.12;16.5;3600.0
1989-11-10;16.5;16.5;16.12;16.38;4100.0
1989-11-13;16.12;16.38;16.0;16.38;25500.0
1989-11-14;15.88;16.38;15.88;16.25;4000.0
1989-11-15;16.25;16.25;16.0;16.25;6400.0
1989-11-16;16.38;16.38;16.12;16.12;6600.0
1989-11-17;16.0;16.38;16.0;16.0;2500.0
1989-11-20;16.25;16.25;15.62;15.62;9100.0
1989-11-21;15.62;15.62;15.62;15.62;800.0
1989-11-22;15.62;16.0;15.62;16.0;1000.0
1989-11-24;16.0;16.0;16.0;16.0;1200.0
1989-11-27;16.0;16.0;15.62;15.62;2100.0
1989-11-28;15.62;16.75;15.62;16.62;19500.0
1989-11-29;16.62;16.62;16.25;16.5;21500.0
1989-11-30;16.5;16.75;16.5;16.75;17100.0
1989-12-01;16.75;16.75;16.5;16.5;9600.0
1989-12-04;16.5;16.75;16.25;16.5;18900.0
1989-12-05;16.5;16.5;16.25;16.25;18400.0
1989-12-06;16.5;16.75;16.38;16.38;20900.0
1989-12-07;16.75;16.75;16.38;16.5;6300.0
1989-12-08;16.5;16.5;16.25;16.25;15000.0
1989-12-11;16.25;16.25;15.75;15.88;10200.0
1989-12-12;15.88;16.12;15.88;16.12;5500.0
1989-12-13;15.88;16.12;15.88;16.12;1400.0
1989-12-14;15.88;16.12;15.88;16.12;3700.0
1989-12-15;15.88;16.62;15.88;16.5;37600.0
1989-12-18;16.38;16.75;16.38;16.62;2400.0
1989-12-19;16.62;16.62;16.38;16.5;40600.0
