date;open;high;low;close;volume
2009-12-16;13.25;13.57;12.5;13.5;2.01419E7
2009-12-17;13.48;13.48;13.15;13.34;1521200.0
2009-12-18;13.38;13.59;13.26;13.5;2292500.0
2009-12-21;13.92;13.92;13.4;13.61;1796100.0
2009-12-22;13.58;13.61;13.11;13.5;1126200.0
2009-12-23;13.55;13.55;13.36;13.5;671400.0
2009-12-24;13.5;13.51;13.35;13.48;217800.0
2009-12-28;13.47;13.5;13.2;13.42;184900.0
2009-12-29;13.36;13.56;13.24;13.56;971900.0
2009-12-30;13.5;14.2;13.46;13.88;2316100.0
2009-12-31;13.87;13.98;13.53;13.84;741500.0
2010-01-04;14.23;14.5;13.71;14.3;1209000.0
2010-01-05;14.25;15.31;14.13;15.05;1247100.0
2010-01-06;14.95;15.35;14.51;14.82;1115200.0
2010-01-07;14.72;15.15;14.58;15.15;557000.0
2010-01-08;14.92;15.49;14.89;15.43;561100.0
2010-01-11;15.42;16.07;15.42;15.71;514800.0
2010-01-12;15.73;15.73;14.93;15.04;197700.0
2010-01-13;14.91;15.43;14.8;14.9;355200.0
2010-01-14;14.75;15.59;14.71;15.45;338700.0
2010-01-15;15.53;15.91;15.03;15.71;267600.0
2010-01-19;15.74;15.87;15.51;15.72;488700.0
2010-01-20;15.45;15.78;15.2;15.49;215000.0
2010-01-21;15.37;15.75;14.56;15.01;663700.0
2010-01-22;14.82;15.21;14.2;14.94;1210300.0
2010-01-25;15.27;15.27;14.03;14.7;551800.0
2010-01-26;14.31;14.9;14.28;14.68;229700.0
2010-01-27;14.78;14.78;13.9;14.45;292500.0
2010-01-28;14.65;14.95;14.11;14.38;137300.0
2010-01-29;13.45;13.45;11.85;12.19;3545500.0
2010-02-01;12.14;12.86;12.0;12.37;1013600.0
2010-02-02;12.44;12.63;12.36;12.6;364900.0
2010-02-03;12.58;13.03;12.0;12.71;341000.0
2010-02-04;12.47;12.81;12.42;12.42;268100.0
2010-02-05;12.4;12.68;12.05;12.58;389900.0
2010-02-08;12.58;12.73;12.26;12.6;187000.0
2010-02-09;12.9;12.9;12.47;12.63;218400.0
2010-02-10;12.72;12.72;12.33;12.63;444400.0
2010-02-11;12.53;13.37;12.53;13.12;195200.0
2010-02-12;12.76;13.0;12.76;13.0;126500.0
2010-02-16;13.2;13.3;12.76;12.88;144700.0
2010-02-17;13.09;13.09;12.53;12.89;182100.0
2010-02-18;12.8;13.0;12.57;12.8;141600.0
2010-02-19;12.66;13.0;12.59;12.85;198700.0
2010-02-22;12.84;12.91;12.6;12.76;334700.0
2010-02-23;12.77;12.87;12.62;12.67;733200.0
2010-02-24;12.78;12.78;12.41;12.54;894700.0
2010-02-25;12.43;12.88;12.35;12.47;1207600.0
2010-02-26;12.35;12.77;12.3;12.34;222900.0
2010-03-01;12.34;13.08;12.34;13.01;228100.0
2010-03-02;13.14;13.18;12.4;13.04;244200.0
2010-03-03;13.14;13.26;12.9;13.22;309500.0
2010-03-04;13.3;13.65;13.27;13.6;112500.0
2010-03-05;13.58;13.58;12.85;13.13;299000.0
2010-03-08;13.17;13.41;12.9;12.95;172500.0
2010-03-09;12.84;13.05;12.74;12.85;101900.0
2010-03-10;12.93;13.12;12.87;13.12;322200.0
2010-03-11;13.15;13.35;13.12;13.15;238500.0
2010-03-12;13.13;13.35;13.1;13.25;237100.0
2010-03-15;13.19;13.31;13.07;13.15;83300.0
2010-03-16;13.25;14.4;13.19;14.08;539200.0
2010-03-17;14.13;14.36;13.6;13.99;296300.0
2010-03-18;13.95;14.14;13.09;13.84;332600.0
2010-03-19;14.38;14.53;13.1;14.38;806200.0
2010-03-22;14.3;14.32;13.91;14.2;278800.0
2010-03-23;14.16;14.28;13.87;14.15;222800.0
2010-03-24;14.01;14.01;13.42;13.85;397700.0
2010-03-25;13.96;14.0;13.38;13.56;205700.0
2010-03-26;13.53;13.69;13.21;13.5;343500.0
2010-03-29;13.48;13.9;13.14;13.65;362700.0
2010-03-30;13.85;13.85;13.17;13.48;592900.0
2010-03-31;13.48;14.09;13.3;13.6;2542200.0
2010-04-01;13.63;13.7;13.5;13.6;226900.0
2010-04-05;13.72;14.0;13.66;13.96;259200.0
2010-04-06;13.92;14.18;13.76;13.91;219200.0
2010-04-07;13.92;14.04;13.82;13.95;183800.0
2010-04-08;13.87;13.93;13.6;13.84;156000.0
2010-04-09;13.88;14.22;13.66;13.86;317600.0
2010-04-12;13.81;13.9;13.48;13.52;223200.0
2010-04-13;13.45;13.46;12.67;12.82;432500.0
2010-04-14;12.89;12.89;12.7;12.8;670400.0
2010-04-15;13.0;14.09;12.85;13.47;1642800.0
2010-04-16;13.47;13.98;13.4;13.94;239000.0
2010-04-19;13.77;13.97;13.51;13.77;199800.0
2010-04-20;13.87;13.87;13.56;13.82;279700.0
2010-04-21;13.87;13.87;13.1;13.28;282000.0
2010-04-22;13.23;13.42;12.89;13.2;393700.0
2010-04-23;13.26;13.34;13.03;13.12;374400.0
2010-04-26;13.18;13.56;13.06;13.43;203400.0
2010-04-27;13.29;13.35;12.88;13.14;356700.0
2010-04-28;13.12;13.13;12.51;12.99;194500.0
2010-04-29;13.0;13.36;11.63;11.98;1333400.0
2010-04-30;11.94;11.94;11.05;11.51;1168300.0
2010-05-03;11.58;11.63;11.11;11.44;467800.0
2010-05-04;11.3;11.53;11.06;11.06;450400.0
2010-05-05;10.97;11.05;10.29;10.3;600100.0
2010-05-06;10.28;10.46;8.87;9.0;1469900.0
2010-05-07;9.5;9.5;8.1;8.38;2607100.0
2010-05-10;8.9;9.21;8.53;9.21;644800.0
2010-05-11;9.29;9.44;8.56;8.84;562400.0
2010-05-12;8.82;9.14;8.52;9.07;781600.0
2010-05-13;9.12;9.6;8.92;9.53;475900.0
2010-05-14;9.38;9.58;9.11;9.37;476600.0
2010-05-17;9.38;9.84;8.94;9.03;267900.0
2010-05-18;9.14;9.32;8.84;8.98;502000.0
2010-05-19;8.92;9.03;8.63;8.71;1796600.0
2010-05-20;8.54;8.6;7.83;7.89;1320700.0
2010-05-21;7.74;7.96;7.2;7.53;958000.0
2010-05-24;7.5;7.91;7.38;7.45;496400.0
2010-05-25;7.21;7.44;7.08;7.31;538900.0
2010-05-26;7.33;8.12;7.33;7.91;890300.0
2010-05-27;8.05;8.07;6.16;7.15;3674800.0
2010-05-28;7.18;7.24;6.84;7.0;1139800.0
2010-06-01;6.89;7.17;6.45;6.52;3607800.0
2010-06-02;6.65;7.29;6.5;7.28;2440000.0
2010-06-03;7.13;7.6;7.01;7.31;3311000.0
2010-06-04;7.15;7.55;7.03;7.05;1121000.0
2010-06-07;7.21;7.34;6.98;7.05;1107300.0
2010-06-08;7.07;7.34;6.92;7.33;750000.0
2010-06-09;7.4;7.75;7.31;7.39;957000.0
2010-06-10;7.55;7.94;7.4;7.86;798200.0
2010-06-11;7.86;7.86;7.37;7.44;1613000.0
2010-06-14;7.54;7.87;7.3;7.31;941700.0
2010-06-15;7.44;7.88;7.43;7.85;789000.0
2010-06-16;7.73;8.29;7.57;8.0;1417000.0
2010-06-17;8.0;8.02;7.55;7.78;2231000.0
2010-06-18;7.82;8.0;7.56;7.83;909300.0
2010-06-21;7.88;8.04;7.8;7.98;904100.0
2010-06-22;8.0;8.1;7.27;7.32;1289900.0
2010-06-23;7.23;7.32;7.17;7.31;685700.0
2010-06-24;7.31;7.43;7.17;7.29;1370500.0
2010-06-25;7.28;7.9;7.2;7.6;1191400.0
2010-06-28;7.65;7.78;7.47;7.56;346500.0
2010-06-29;7.48;7.85;7.17;7.54;1494700.0
2010-06-30;7.54;7.72;7.34;7.45;632500.0
2010-07-01;7.48;7.62;7.24;7.53;811700.0
2010-07-02;7.58;7.76;7.3;7.4;348700.0
2010-07-06;7.47;7.61;7.06;7.13;697900.0
2010-07-07;7.14;7.3;7.08;7.24;953300.0
2010-07-08;7.31;7.4;7.21;7.3;781100.0
2010-07-09;7.3;7.34;7.0;7.23;660000.0
2010-07-12;7.18;7.33;7.12;7.29;327200.0
2010-07-13;7.27;8.0;7.27;7.93;1195900.0
2010-07-14;7.97;8.08;7.77;8.0;739700.0
2010-07-15;8.03;8.17;7.85;8.12;736100.0
2010-07-16;8.07;8.07;7.75;8.01;568700.0
2010-07-19;7.98;8.22;7.87;8.08;554100.0
2010-07-20;8.0;8.26;7.9;8.11;320300.0
2010-07-21;8.21;8.24;8.04;8.09;791700.0
