date;open;high;low;close;volume
1997-02-07;33.0;38.37;31.5;37.0;7332500.0
1997-02-10;37.0;37.0;33.75;34.5;2106300.0
1997-02-11;34.5;36.25;32.75;32.75;668150.0
1997-02-12;33.0;35.25;32.75;34.62;522550.0
1997-02-13;35.5;40.25;34.75;39.25;703500.0
1997-02-14;39.5;40.5;38.25;38.5;329700.0
1997-02-18;39.0;39.0;35.25;36.5;447300.0
1997-02-19;36.5;36.5;33.37;33.37;269150.0
1997-02-20;33.5;37.75;33.5;35.5;546700.0
1997-02-21;36.62;39.25;35.75;36.75;506100.0
1997-02-24;37.25;40.5;36.75;40.0;491750.0
1997-02-25;40.87;43.5;40.25;42.75;679700.0
1997-02-26;43.5;44.0;40.25;42.5;728700.0
1997-02-27;42.0;42.5;38.0;38.75;298550.0
1997-02-28;38.0;39.5;35.75;39.25;773150.0
1997-03-03;39.0;39.37;37.81;38.75;360500.0
1997-03-04;39.25;39.5;37.5;38.0;278600.0
1997-03-05;37.87;41.0;37.87;40.5;622650.0
1997-03-06;41.0;41.0;40.0;40.25;214900.0
1997-03-07;40.25;42.0;40.25;41.0;236950.0
1997-03-10;41.25;41.25;38.25;40.37;459550.0
1997-03-11;40.0;40.0;37.5;37.5;312550.0
1997-03-12;37.5;37.62;34.87;36.25;391300.0
1997-03-13;35.87;37.5;35.0;35.5;272300.0
1997-03-14;36.0;36.75;34.75;35.0;137900.0
1997-03-17;34.75;35.12;32.0;32.75;290150.0
1997-03-18;32.75;33.5;31.25;31.37;250600.0
1997-03-19;31.37;31.37;27.12;29.12;782950.0
1997-03-20;29.12;29.62;27.62;28.0;364700.0
1997-03-21;30.25;30.75;29.25;30.75;326550.0
1997-03-24;30.87;33.37;30.25;31.62;315700.0
1997-03-25;31.75;32.25;30.0;30.75;553700.0
1997-03-26;30.75;33.12;30.75;31.06;470050.0
1997-03-27;31.5;31.5;28.75;29.06;371700.0
1997-03-31;29.25;29.25;28.19;28.44;503650.0
1997-04-01;28.0;30.0;28.0;29.75;200200.0
1997-04-02;31.5;32.0;30.87;31.25;415100.0
1997-04-03;31.37;33.5;31.0;32.25;428050.0
1997-04-04;32.37;37.0;32.12;36.62;701400.0
1997-04-07;37.0;38.5;35.5;35.62;421750.0
1997-04-08;35.25;35.75;32.75;33.87;291550.0
1997-04-09;34.75;36.25;34.5;35.31;422100.0
1997-04-10;35.12;35.5;33.0;33.25;189350.0
1997-04-11;32.5;32.5;29.75;30.0;626850.0
1997-04-14;30.0;30.0;28.5;28.94;602700.0
1997-04-15;29.75;31.5;27.75;27.87;787500.0
