date;open;high;low;close;volume
2005-06-29;16.0;16.02;15.0;16.0;1.3355E7
2005-06-30;16.0;16.05;15.55;15.69;1875000.0
2005-07-01;15.68;15.95;15.6;15.95;363000.0
2005-07-05;15.9;15.94;15.65;15.7;190000.0
2005-07-06;15.7;15.79;15.33;15.38;296000.0
2005-07-07;15.21;15.4;14.95;15.25;250000.0
2005-07-08;15.4;15.59;15.2;15.42;93000.0
2005-07-11;15.37;15.45;15.3;15.3;55000.0
2005-07-12;15.2;15.4;15.05;15.3;403000.0
2005-07-13;15.4;15.4;15.27;15.3;123000.0
2005-07-14;15.5;15.5;15.15;15.22;158000.0
2005-07-15;15.22;15.22;15.05;15.05;108000.0
2005-07-18;15.02;15.02;14.59;14.8;316000.0
2005-07-19;14.7;14.8;14.61;14.7;146000.0
2005-07-20;14.8;14.85;14.59;14.65;130000.0
2005-07-21;14.75;14.8;14.63;14.66;205000.0
2005-07-22;14.63;14.8;14.63;14.7;229000.0
2005-07-25;14.6;14.9;14.5;14.83;216000.0
2005-07-26;14.85;15.0;14.75;14.76;196000.0
2005-07-27;14.82;15.33;14.82;14.98;127000.0
2005-07-28;15.08;15.09;14.83;15.0;323000.0
2005-07-29;14.75;15.03;14.75;15.0;88000.0
2005-08-01;15.09;15.09;14.75;14.9;76000.0
2005-08-02;15.0;15.0;14.8;14.86;188000.0
2005-08-03;14.76;14.98;14.76;14.82;143000.0
2005-08-04;14.9;15.0;14.77;14.9;118000.0
2005-08-05;14.9;14.9;14.7;14.85;103000.0
2005-08-08;14.9;14.9;13.75;14.5;466000.0
2005-08-09;14.5;14.68;14.2;14.25;252000.0
2005-08-10;14.2;14.2;13.85;14.1;198000.0
2005-08-11;14.09;14.1;13.95;13.99;98000.0
2005-08-12;13.99;14.0;13.8;13.9;407000.0
2005-08-15;13.9;13.95;13.79;13.9;315000.0
2005-08-16;13.82;13.848;13.68;13.83;212000.0
2005-08-17;13.73;14.15;13.73;14.05;110000.0
2005-08-18;14.05;14.1;13.85;14.02;97000.0
2005-08-19;14.01;14.15;13.97;14.05;65000.0
2005-08-22;14.05;14.05;13.86;13.86;143000.0
2005-08-23;13.84;13.9;13.79;13.84;70000.0
2005-08-24;13.83;13.9;13.75;13.87;125000.0
2005-08-25;13.92;14.2;13.91;14.0;212000.0
2005-08-26;14.0;14.002;13.8;13.8;178000.0
2005-08-29;13.8;13.85;13.4;13.74;146000.0
2005-08-30;13.74;13.95;13.68;13.94;91000.0
2005-08-31;14.0;14.2;13.96;14.11;256000.0
2005-09-01;14.1;14.1;13.848;14.0;114000.0
2005-09-02;13.85;14.0;13.8;14.0;23000.0
2005-09-06;13.85;14.0;13.8;14.0;33000.0
2005-09-07;13.9;14.02;13.82;13.928;39000.0
2005-09-08;13.9;14.0;13.9;13.96;55000.0
2005-09-09;13.91;14.2;13.91;14.03;76000.0
2005-09-12;13.95;14.0;13.7;13.75;82000.0
2005-09-13;13.7;13.83;13.62;13.73;93000.0
2005-09-14;13.65;13.85;13.5;13.5;92000.0
2005-09-15;13.6;13.65;12.95;12.98;236000.0
2005-09-16;12.95;13.3;12.86;13.2;237000.0
