date;open;high;low;close;volume
1998-03-06;24.5;24.88;23.81;23.94;3453400.0
1998-03-09;23.5;24.44;22.63;24.38;453500.0
1998-03-10;24.5;24.81;23.69;23.94;202600.0
1998-03-11;24.0;24.44;23.63;24.25;105600.0
1998-03-12;24.31;24.5;24.25;24.44;132500.0
1998-03-13;23.75;24.13;23.5;24.0;145700.0
1998-03-16;24.13;24.81;23.81;24.81;65200.0
1998-03-17;24.75;25.0;24.5;24.5;78400.0
1998-03-18;24.5;24.5;23.38;24.5;127000.0
1998-03-19;24.38;24.5;24.25;24.5;71800.0
1998-03-20;24.38;24.75;24.31;24.75;79300.0
1998-03-23;24.25;24.38;23.94;24.31;157000.0
1998-03-24;24.25;24.31;23.5;23.63;193900.0
1998-03-25;23.63;23.69;23.5;23.63;250200.0
1998-03-26;23.56;23.81;23.56;23.63;42100.0
1998-03-27;23.63;23.75;23.5;23.75;32900.0
1998-03-30;23.63;23.69;23.13;23.13;156700.0
1998-03-31;23.13;23.38;23.0;23.38;71400.0
1998-04-01;23.5;23.63;23.44;23.63;17900.0
1998-04-02;23.56;25.0;23.56;25.0;89900.0
1998-04-03;25.0;26.0;24.5;25.88;37400.0
1998-04-06;26.0;26.75;26.0;26.25;88500.0
1998-04-07;26.13;26.13;25.75;26.0;184500.0
1998-04-08;25.88;25.88;24.63;24.63;16800.0
1998-04-09;24.38;25.0;23.31;24.94;110300.0
1998-04-13;24.75;25.13;24.63;25.0;88400.0
1998-04-14;25.0;25.0;24.75;24.75;31400.0
1998-04-15;24.75;25.0;24.75;24.75;65900.0
1998-04-16;24.75;25.63;24.75;25.38;94700.0
1998-04-17;25.5;26.0;25.5;25.56;21700.0
1998-04-20;25.56;25.75;25.5;25.56;82200.0
1998-04-21;25.81;27.25;25.81;27.25;134600.0
1998-04-22;27.25;28.0;27.0;27.5;122300.0
1998-04-23;27.5;27.5;27.0;27.06;100300.0
1998-04-24;27.0;27.0;25.13;25.13;27600.0
1998-04-27;25.13;25.13;24.63;24.63;12700.0
1998-04-28;24.38;24.38;23.5;24.38;27400.0
1998-04-29;24.31;25.25;24.25;25.19;16000.0
1998-04-30;25.31;25.38;25.13;25.13;3300.0
1998-05-01;25.13;25.13;24.56;24.88;27600.0
1998-05-04;24.81;25.0;24.69;25.0;89900.0
1998-05-05;24.88;25.25;24.63;25.0;51300.0
1998-05-06;25.0;25.0;24.88;24.88;29300.0
1998-05-07;24.75;24.88;24.31;24.63;11900.0
1998-05-08;24.88;25.0;24.63;24.63;12300.0
1998-05-11;24.69;24.69;23.44;23.5;19400.0
1998-05-12;23.38;23.5;23.38;23.5;18200.0
1998-05-13;23.5;23.5;23.25;23.38;25200.0
1998-05-14;23.31;23.5;23.25;23.38;25800.0
1998-05-15;23.5;24.5;23.5;24.5;186200.0
1998-05-18;24.5;24.69;24.13;24.69;28800.0
1998-05-19;24.88;24.88;24.63;24.63;30100.0
1998-05-20;24.62;24.62;24.62;24.62;8900.0
1998-05-21;24.75;24.88;24.75;24.88;1900.0
1998-05-22;25.0;25.0;24.63;24.63;51400.0
1998-05-26;24.63;24.88;24.38;24.38;14900.0
1998-05-27;24.13;24.5;24.0;24.19;30400.0
1998-05-28;24.06;24.25;24.0;24.13;58200.0
1998-05-29;24.25;24.25;23.0;23.25;65600.0
1998-06-01;23.44;23.75;23.44;23.75;4200.0
1998-06-02;23.63;23.63;23.13;23.13;45000.0
1998-06-03;23.0;23.0;22.63;22.75;118900.0
1998-06-04;22.63;22.88;22.63;22.88;33500.0
1998-06-05;22.88;22.88;22.75;22.75;500.0
1998-06-08;22.56;22.56;21.81;22.0;86900.0
1998-06-09;22.0;22.0;21.25;21.38;56400.0
1998-06-10;21.31;21.44;21.19;21.31;4100.0
1998-06-11;21.38;21.38;21.0;21.0;30200.0
1998-06-12;20.0;20.0;19.75;19.75;15900.0
1998-06-15;19.75;19.75;19.75;19.75;1600.0
1998-06-16;19.63;19.75;19.63;19.69;5400.0
1998-06-17;19.81;19.88;19.5;19.63;185100.0
1998-06-18;19.88;20.13;19.88;20.13;10900.0
1998-06-19;20.0;20.0;19.88;20.0;14800.0
1998-06-22;20.13;20.25;20.13;20.25;5800.0
1998-06-23;20.38;20.5;20.25;20.5;48700.0
1998-06-24;20.44;20.63;20.38;20.38;170600.0
1998-06-25;20.38;20.75;20.38;20.5;4700.0
1998-06-26;20.75;20.75;20.63;20.75;4100.0
1998-06-29;20.88;21.31;20.88;21.13;34700.0
1998-06-30;21.38;21.63;21.38;21.63;5600.0
1998-07-01;21.75;21.88;21.5;21.88;3600.0
1998-07-02;21.75;21.81;21.63;21.63;8000.0
1998-07-06;21.75;21.75;21.75;21.75;500.0
1998-07-07;21.88;21.88;21.88;21.88;100.0
1998-07-08;21.75;22.0;21.75;22.0;47000.0
1998-07-09;22.13;22.25;22.13;22.19;31700.0
1998-07-10;22.25;22.63;22.25;22.63;7600.0
1998-07-13;22.75;23.25;22.75;23.25;21200.0
1998-07-14;23.25;23.25;23.19;23.25;26600.0
1998-07-15;23.38;24.0;23.19;24.0;55100.0
1998-07-16;24.0;24.13;23.88;24.0;16300.0
1998-07-17;24.25;24.31;24.13;24.25;55900.0
1998-07-20;24.13;24.19;24.06;24.19;34100.0
1998-07-21;24.19;24.19;24.19;24.19;600.0
1998-07-22;24.13;24.13;24.13;24.13;4400.0
1998-07-23;24.13;24.69;24.13;24.69;35800.0
1998-07-24;24.63;24.75;24.56;24.56;37500.0
1998-07-27;24.44;24.56;24.44;24.5;1700.0
1998-07-28;24.5;24.5;24.44;24.5;16200.0
1998-07-29;24.5;24.5;24.38;24.38;69800.0
1998-07-30;24.38;24.38;24.25;24.25;600.0
1998-07-31;24.13;24.13;23.94;23.94;2700.0
1998-08-03;23.75;23.81;23.75;23.75;800.0
1998-08-04;23.63;23.69;23.38;23.38;1000.0
1998-08-05;23.25;23.25;22.75;23.0;4600.0
1998-08-06;22.88;22.88;21.75;21.75;47500.0
1998-08-07;21.63;21.63;21.13;21.13;39100.0
1998-08-10;21.13;21.25;21.0;21.13;2600.0
1998-08-11;21.0;21.0;21.0;21.0;1000.0
1998-08-12;21.0;21.38;21.0;21.38;57200.0
1998-08-13;21.25;21.25;20.5;20.63;78000.0
1998-08-14;20.5;20.88;20.5;20.63;2200.0
1998-08-17;20.5;21.0;20.5;20.94;6200.0
1998-08-18;20.81;20.88;20.06;20.06;19900.0
