date;open;high;low;close;volume
1990-03-26;20.25;20.5;19.5;20.12;9644.0
1990-03-27;20.0;20.75;20.0;20.0;3200.0
1990-03-28;20.0;20.0;20.0;20.0;2578.0
1990-03-29;20.75;20.75;20.12;20.25;27467.0
1990-03-30;20.5;20.75;20.25;20.75;15778.0
1990-04-02;20.0;20.5;20.0;20.25;3067.0
1990-04-03;20.25;20.75;20.25;20.38;12578.0
1990-04-04;20.75;20.75;20.25;20.38;6267.0
1990-04-05;20.25;20.75;20.25;20.75;2044.0
1990-04-06;20.75;20.75;20.25;20.75;5778.0
1990-04-09;20.75;21.0;20.75;20.75;12267.0
1990-04-10;20.75;21.25;20.75;21.12;101600.0
1990-04-11;21.0;21.5;21.0;21.0;26000.0
1990-04-12;21.5;22.0;21.0;22.0;7244.0
1990-04-16;22.0;22.25;21.5;21.75;10044.0
1990-04-17;22.25;22.25;21.75;21.75;5644.0
1990-04-18;22.25;22.25;21.75;21.75;800.0
1990-04-19;21.75;21.75;21.5;21.75;99378.0
1990-04-20;22.0;22.0;21.75;21.75;4044.0
1990-04-23;21.75;22.25;21.75;21.75;6400.0
1990-04-24;21.75;22.13;21.75;22.13;8978.0
1990-04-25;21.75;22.25;21.75;21.75;4444.0
1990-04-26;22.25;22.25;21.63;21.87;16000.0
1990-04-27;22.25;22.25;21.5;21.5;7244.0
1990-04-30;22.0;22.25;21.5;21.75;26444.0
1990-05-01;21.75;22.0;21.75;21.75;66000.0
1990-05-02;21.75;22.0;21.75;22.0;255378.0
1990-05-03;22.0;22.0;22.0;22.0;2267.0
1990-05-04;21.75;22.0;21.75;22.0;4800.0
1990-05-07;21.75;22.0;21.63;22.0;42844.0
1990-05-08;22.0;22.0;21.5;22.0;17067.0
1990-05-09;22.0;22.0;21.5;21.63;12800.0
1990-05-10;21.75;21.75;21.0;21.12;16844.0
1990-05-11;21.5;21.5;20.75;21.0;11067.0
1990-05-14;20.75;21.5;20.75;21.5;2978.0
1990-05-15;21.5;21.75;21.25;21.25;24400.0
1990-05-16;21.75;21.75;21.25;21.25;7778.0
1990-05-17;21.25;21.75;21.25;21.75;43644.0
1990-05-18;22.0;22.0;21.5;21.63;33067.0
1990-05-21;21.5;21.87;21.5;21.5;12844.0
1990-05-22;22.0;22.25;21.5;22.25;87378.0
1990-05-23;21.75;22.75;21.75;22.63;166044.0
1990-05-24;22.75;24.5;22.5;24.0;158578.0
1990-05-25;23.75;24.5;23.75;24.5;32978.0
1990-05-29;24.5;24.5;24.0;24.0;16178.0
1990-05-30;24.25;25.25;24.0;25.25;111644.0
1990-05-31;25.25;26.5;24.75;26.0;57467.0
1990-06-01;26.5;26.75;25.75;26.0;40178.0
1990-06-04;26.0;26.25;26.0;26.0;17778.0
1990-06-05;26.0;26.25;25.0;25.25;33200.0
1990-06-06;25.0;25.12;25.0;25.0;14667.0
1990-06-07;24.75;25.25;24.0;24.5;57067.0
1990-06-08;24.5;25.0;24.5;24.5;45600.0
1990-06-11;24.75;25.25;24.5;24.75;44400.0
1990-06-12;24.75;25.25;24.75;25.0;23244.0
1990-06-13;24.88;25.25;24.88;25.25;13778.0
1990-06-14;25.0;25.0;25.0;25.0;400.0
1990-06-15;25.5;26.75;25.25;25.75;63644.0
1990-06-18;26.25;26.5;25.5;26.25;32000.0
1990-06-19;25.5;25.75;25.0;25.0;38178.0
1990-06-20;25.5;25.5;24.75;24.75;7644.0
1990-06-21;24.5;24.75;24.25;24.5;11378.0
1990-06-22;24.38;24.38;23.5;23.5;25200.0
1990-06-25;24.0;24.38;23.5;24.38;28000.0
1990-06-26;24.75;24.75;24.0;24.0;26578.0
1990-06-27;24.0;24.25;24.0;24.0;33600.0
1990-06-28;24.0;24.0;24.0;24.0;2178.0
1990-06-29;24.5;24.5;24.0;24.5;3644.0
1990-07-02;24.0;24.5;23.75;23.75;3778.0
1990-07-03;23.75;24.12;23.75;23.75;3067.0
1990-07-05;24.25;24.5;23.75;23.75;5867.0
1990-07-06;23.75;24.25;23.75;23.75;10444.0
1990-07-09;24.0;24.0;23.75;23.75;578.0
1990-07-10;23.75;24.0;23.75;23.75;10978.0
1990-07-11;23.75;24.0;23.75;24.0;5244.0
1990-07-12;23.75;24.0;23.75;23.75;6000.0
1990-07-13;23.75;24.0;23.75;23.75;2000.0
1990-07-16;24.0;24.75;24.0;24.5;22267.0
1990-07-17;25.0;25.0;24.5;25.0;24844.0
1990-07-18;24.5;24.5;24.5;24.5;1200.0
1990-07-19;24.25;24.5;24.25;24.25;4800.0
1990-07-20;24.25;24.25;24.0;24.25;16844.0
1990-07-23;23.75;24.12;23.5;23.88;10044.0
1990-07-24;24.25;24.25;23.5;23.62;30444.0
1990-07-25;23.5;23.75;23.5;23.5;4044.0
1990-07-26;23.5;24.25;23.5;23.5;1467.0
1990-07-27;24.25;24.25;23.5;23.75;23867.0
1990-07-30;24.25;24.25;23.5;23.5;1378.0
1990-07-31;23.75;24.25;23.75;23.75;12844.0
1990-08-01;24.0;24.0;23.75;23.75;3378.0
1990-08-02;23.62;23.75;23.0;23.0;40844.0
1990-08-03;23.0;23.0;21.75;22.0;60578.0
1990-08-06;22.0;22.0;20.12;20.25;21778.0
1990-08-07;20.5;21.5;20.5;20.75;20000.0
1990-08-08;20.75;22.5;20.75;22.5;79867.0
1990-08-09;22.5;22.75;21.5;22.75;9200.0
1990-08-10;22.25;22.25;21.25;22.0;22267.0
1990-08-13;21.0;21.5;21.0;21.0;4400.0
1990-08-14;20.75;21.75;20.75;21.75;15867.0
1990-08-15;21.75;22.5;21.75;22.25;6578.0
1990-08-16;22.25;22.25;21.75;21.75;5467.0
1990-08-17;21.5;21.5;21.25;21.25;7778.0
