date;open;high;low;close;volume
1987-11-05;30.25;31.0;30.25;31.0;21300.0
1987-11-06;31.12;31.62;31.0;31.62;1800.0
1987-11-09;31.62;31.88;31.38;31.88;13800.0
1987-11-10;31.62;31.62;31.12;31.38;5400.0
1987-11-11;31.5;31.75;31.38;31.75;8100.0
1987-11-12;31.62;32.38;31.62;31.75;12300.0
1987-11-13;31.88;32.0;31.5;31.75;6300.0
1987-11-16;31.5;32.0;31.5;32.0;8700.0
1987-11-17;32.12;32.25;31.88;32.12;7000.0
1987-11-18;32.25;32.25;32.12;32.12;8900.0
1987-11-19;32.25;32.25;32.0;32.0;9400.0
1987-11-20;31.88;32.12;31.88;31.88;5100.0
1987-11-23;32.12;32.12;31.88;31.88;4200.0
1987-11-24;31.88;32.0;31.5;31.75;7800.0
1987-11-25;31.75;31.75;31.5;31.75;3800.0
1987-11-27;31.5;32.0;31.25;31.25;19900.0
1987-11-30;31.12;31.5;30.5;30.75;18400.0
1987-12-01;31.0;31.0;30.62;30.62;2700.0
1987-12-02;30.88;30.88;30.38;30.88;11400.0
1987-12-03;30.88;30.88;30.12;30.12;11400.0
1987-12-04;30.38;30.38;29.75;29.88;44800.0
1987-12-07;29.62;30.0;29.62;29.88;2300.0
1987-12-08;29.88;30.0;29.75;30.0;4400.0
1987-12-09;30.12;30.62;29.88;30.62;9900.0
1987-12-10;30.38;30.5;30.12;30.5;3700.0
1987-12-11;30.25;30.62;30.25;30.62;2900.0
1987-12-14;30.0;30.38;29.88;30.0;14500.0
1987-12-15;30.12;30.12;29.75;29.75;8300.0
1987-12-16;29.75;30.0;29.5;29.75;8700.0
1987-12-17;29.88;30.12;29.88;30.12;8700.0
1987-12-18;30.12;30.12;29.88;30.0;4400.0
1987-12-21;30.12;30.25;30.0;30.25;6500.0
1987-12-22;30.38;30.5;30.0;30.0;9300.0
1987-12-23;30.25;30.62;30.25;30.5;3800.0
1987-12-24;30.62;30.62;30.62;30.62;54200.0
1987-12-28;30.62;30.88;30.25;30.62;10500.0
1987-12-29;30.62;30.88;30.62;30.88;12800.0
1987-12-30;30.88;31.25;30.88;31.0;13200.0
1987-12-31;30.88;31.0;30.62;31.0;4900.0
1988-01-04;30.75;31.75;30.75;31.62;7800.0
1988-01-05;31.62;31.62;31.38;31.62;7700.0
1988-01-06;31.75;31.75;31.25;31.38;4700.0
1988-01-07;31.5;31.62;31.5;31.5;2100.0
1988-01-08;31.62;31.62;31.12;31.5;2700.0
1988-01-11;31.38;31.5;31.25;31.5;6000.0
1988-01-12;31.75;31.75;31.25;31.5;7200.0
1988-01-13;31.62;31.62;31.25;31.5;2200.0
1988-01-14;31.5;31.75;31.5;31.75;6500.0
1988-01-15;32.0;32.75;32.0;32.75;13200.0
1988-01-18;32.75;32.88;32.5;32.88;4100.0
1988-01-19;32.75;32.75;32.25;32.75;21600.0
1988-01-20;33.0;33.0;32.5;32.5;33600.0
1988-01-21;32.75;33.0;32.62;33.0;5600.0
1988-01-22;33.25;33.25;33.0;33.25;6800.0
1988-01-25;33.0;33.25;33.0;33.25;3600.0
1988-01-26;32.62;32.88;32.5;32.62;8100.0
1988-01-27;32.75;33.12;32.5;33.0;14700.0
1988-01-28;32.88;33.38;32.88;33.38;3600.0
1988-01-29;33.38;33.38;32.62;33.0;11900.0
1988-02-01;33.0;33.38;33.0;33.38;28500.0
1988-02-02;33.12;33.38;33.0;33.38;40800.0
1988-02-03;33.12;33.25;32.62;32.75;104500.0
1988-02-04;33.0;33.0;32.75;32.88;1300.0
1988-02-05;32.75;32.75;32.25;32.25;10900.0
1988-02-08;32.25;32.25;32.12;32.12;5400.0
1988-02-09;32.38;32.62;32.25;32.38;10600.0
1988-02-10;32.62;33.0;32.62;32.75;8800.0
1988-02-11;32.62;33.5;32.62;33.5;8100.0
1988-02-12;33.62;33.62;33.25;33.38;5800.0
1988-02-16;33.12;33.25;33.0;33.0;9700.0
1988-02-17;33.25;33.25;33.12;33.12;3400.0
1988-02-18;33.25;33.38;33.0;33.12;4900.0
1988-02-19;33.12;33.12;33.12;33.12;500.0
1988-02-22;33.38;33.5;33.12;33.25;5800.0
1988-02-23;33.25;33.5;33.0;33.25;3200.0
1988-02-24;33.12;33.38;33.12;33.12;11500.0
1988-02-25;33.12;33.25;33.0;33.0;20400.0
1988-02-26;33.25;33.5;33.0;33.5;4900.0
1988-02-29;33.38;33.75;33.38;33.75;5000.0
1988-03-01;33.5;33.5;33.12;33.38;29400.0
1988-03-02;33.25;33.25;33.0;33.12;1900.0
1988-03-03;33.0;33.25;33.0;33.25;1700.0
1988-03-04;33.12;33.12;32.88;33.12;3400.0
1988-03-07;33.12;33.25;32.38;32.5;9500.0
1988-03-08;32.62;32.88;32.62;32.75;1800.0
1988-03-09;32.88;32.88;32.5;32.5;4300.0
1988-03-10;32.62;32.75;32.62;32.75;1200.0
1988-03-11;32.5;32.88;32.38;32.75;15200.0
1988-03-14;32.88;33.0;32.5;32.5;9800.0
1988-03-15;32.75;32.88;32.62;32.88;4000.0
1988-03-16;32.88;32.88;32.62;32.75;3400.0
1988-03-17;32.62;32.62;32.5;32.5;2500.0
1988-03-18;32.75;32.75;32.5;32.5;3800.0
1988-03-21;32.5;32.62;32.5;32.62;1400.0
1988-03-22;32.38;32.5;32.25;32.5;7000.0
1988-03-23;32.38;32.62;32.25;32.62;2500.0
1988-03-24;32.38;32.38;32.38;32.38;600.0
1988-03-25;32.25;32.5;32.25;32.25;9100.0
1988-03-28;32.25;32.5;32.12;32.5;129300.0
1988-03-29;32.5;32.62;32.5;32.5;16100.0
1988-03-30;32.5;32.62;32.38;32.5;8700.0
1988-03-31;32.5;32.88;32.5;32.75;106100.0
1988-04-04;32.75;33.0;32.75;32.75;17400.0
1988-04-05;32.75;32.75;32.62;32.75;3000.0
1988-04-06;32.62;33.0;32.62;32.88;27300.0
1988-04-07;32.88;33.12;32.88;33.12;4000.0
1988-04-08;33.0;33.25;33.0;33.25;2500.0
1988-04-11;33.25;33.25;33.0;33.25;3700.0
1988-04-12;33.0;33.25;32.88;33.25;4000.0
1988-04-13;33.38;33.88;33.25;33.88;8900.0
1988-04-14;33.5;33.75;33.0;33.25;8000.0
1988-04-15;33.0;33.0;32.75;32.88;13600.0
1988-04-18;32.75;33.12;32.75;33.12;3200.0
1988-04-19;33.12;33.25;32.88;33.25;12100.0
1988-04-20;33.0;33.0;32.75;32.75;49300.0
1988-04-21;33.0;33.0;32.75;32.75;15000.0
1988-04-22;32.88;33.25;32.88;33.25;5800.0
1988-04-25;33.0;33.25;32.88;32.88;3500.0
1988-04-26;32.25;32.5;32.25;32.38;251500.0
1988-04-27;32.38;32.5;32.25;32.5;246300.0
1988-04-28;32.5;32.88;32.25;32.88;15400.0
1988-04-29;32.62;33.12;32.5;33.12;10200.0
1988-05-02;32.88;33.0;32.88;32.88;7600.0
1988-05-03;32.88;33.12;32.75;32.88;2600.0
1988-05-04;32.88;32.88;32.88;32.88;6100.0
1988-05-05;32.88;33.25;32.88;33.12;28300.0
1988-05-06;32.88;33.0;32.88;32.88;4300.0
1988-05-09;32.88;33.0;32.62;32.75;6000.0
1988-05-10;33.0;33.12;32.75;32.75;5600.0
1988-05-11;32.38;32.38;32.12;32.12;14300.0
1988-05-12;32.12;32.12;32.12;32.12;1800.0
1988-05-13;32.38;32.38;32.25;32.25;1800.0
1988-05-16;32.5;32.62;32.12;32.25;83700.0
1988-05-17;32.5;32.5;32.12;32.12;7500.0
1988-05-18;32.12;32.25;32.0;32.0;1400.0
1988-05-19;32.12;32.25;31.88;31.88;15400.0
1988-05-20;32.12;32.12;31.75;31.75;4900.0
1988-05-23;32.12;32.12;31.62;31.62;2200.0
1988-05-24;31.62;32.0;31.62;32.0;1600.0
1988-05-25;32.0;32.25;32.0;32.12;19200.0
1988-05-26;32.25;32.62;32.12;32.62;6500.0
1988-05-27;32.62;32.62;32.62;32.62;500.0
1988-05-31;32.62;32.75;32.38;32.75;1800.0
1988-06-01;32.75;33.38;32.75;33.25;7000.0
1988-06-02;33.12;33.5;33.12;33.5;3400.0
1988-06-03;33.5;33.62;33.38;33.62;6000.0
1988-06-06;33.38;33.38;33.25;33.25;1200.0
1988-06-07;33.25;33.38;33.12;33.38;4400.0
1988-06-08;33.0;33.38;33.0;33.25;10300.0
1988-06-09;33.25;33.38;33.25;33.38;3700.0
1988-06-10;33.25;33.5;33.25;33.25;5500.0
1988-06-13;33.25;33.5;33.25;33.5;600.0
1988-06-14;33.62;33.75;33.38;33.38;3600.0
1988-06-15;33.38;33.38;33.25;33.25;35200.0
1988-06-16;33.12;33.38;33.12;33.38;9000.0
1988-06-17;33.62;33.88;33.5;33.5;3800.0
1988-06-20;33.25;33.38;33.0;33.0;4900.0
1988-06-21;32.88;33.25;32.88;33.12;9900.0
1988-06-22;33.38;33.5;33.25;33.5;7900.0
1988-06-23;33.5;33.5;33.25;33.38;12900.0
1988-06-24;33.38;33.38;33.12;33.25;1900.0
1988-06-27;33.38;33.38;33.12;33.12;2900.0
1988-06-28;33.25;33.25;32.88;33.0;23400.0
1988-06-29;33.12;33.12;32.62;32.88;4300.0
1988-06-30;32.88;33.12;32.88;33.0;1200.0
1988-07-01;33.12;33.12;33.12;33.12;3800.0
1988-07-05;32.88;33.12;32.88;32.88;2000.0
1988-07-06;32.88;33.12;32.88;33.0;2200.0
1988-07-07;33.12;33.12;32.75;33.0;2200.0
1988-07-08;32.75;33.0;32.75;33.0;600.0
1988-07-11;32.75;33.0;32.75;32.88;400.0
1988-07-12;32.88;32.88;32.62;32.62;2500.0
1988-07-13;32.62;32.62;32.38;32.62;13400.0
1988-07-14;32.75;33.0;32.75;32.88;6500.0
1988-07-15;32.88;32.88;32.5;32.5;2100.0
1988-07-18;32.38;32.62;32.38;32.62;3500.0
1988-07-19;32.38;32.38;32.12;32.25;2600.0
1988-07-20;32.25;32.38;32.12;32.38;2600.0
1988-07-21;32.12;32.25;32.12;32.25;5100.0
1988-07-22;32.38;32.38;32.38;32.38;2000.0
1988-07-25;32.5;32.5;31.88;31.88;8500.0
1988-07-26;31.25;31.25;31.0;31.25;5700.0
1988-07-27;31.38;31.5;31.25;31.25;241900.0
1988-07-28;31.25;31.38;31.12;31.38;245400.0
