date;open;high;low;close;volume
1990-03-26;3.75;3.75;3.75;3.75;444.0
1990-03-27;3.75;3.75;3.5;3.5;3467.0
1990-03-28;3.5;4.0;3.5;4.0;4800.0
1990-03-29;4.0;4.0;3.5;3.5;1985.0
1990-03-30;4.0;4.25;3.75;4.25;9600.0
1990-04-02;4.25;4.25;3.75;4.0;4978.0
1990-04-03;4.0;4.12;4.0;4.12;563.0
1990-04-04;4.25;4.25;4.25;4.25;444.0
1990-04-05;4.62;4.62;4.25;4.25;1185.0
1990-04-06;4.62;4.87;4.38;4.87;20652.0
1990-04-09;4.5;5.0;4.5;5.0;4563.0
1990-04-10;5.0;5.13;5.0;5.13;5985.0
1990-04-11;4.75;4.75;4.75;4.75;178.0
1990-04-12;5.0;5.0;4.87;4.87;3467.0
1990-04-16;5.13;5.13;4.5;4.5;4830.0
1990-04-17;4.5;4.81;4.5;4.81;178.0
1990-04-18;4.5;4.5;4.5;4.5;652.0
1990-04-19;4.5;5.0;4.5;4.5;3052.0
1990-04-20;5.0;5.13;5.0;5.13;4800.0
1990-04-23;4.62;5.13;4.62;5.13;652.0
1990-04-24;5.13;5.13;5.13;5.13;1363.0
1990-04-25;4.62;4.62;4.62;4.62;1985.0
1990-04-26;4.62;5.13;4.62;4.62;652.0
1990-04-27;4.62;4.62;4.62;4.62;0.0
1990-04-30;4.62;4.62;4.62;4.62;30.0
1990-05-01;5.13;5.5;4.62;5.5;19763.0
1990-05-02;5.63;6.0;5.0;6.0;79200.0
1990-05-03;6.25;6.25;5.75;5.75;4385.0
1990-05-04;6.25;6.25;6.0;6.0;3644.0
1990-05-07;5.5;6.0;5.5;6.0;3467.0
1990-05-08;6.0;6.0;5.63;5.63;4178.0
1990-05-09;6.0;6.25;5.63;6.25;8652.0
1990-05-10;6.25;6.25;5.75;6.25;6252.0
1990-05-11;5.75;5.75;5.75;5.75;978.0
1990-05-14;5.75;6.25;5.75;5.75;1630.0
1990-05-15;6.0;6.0;5.63;5.63;9363.0
1990-05-16;5.63;5.63;5.63;5.63;0.0
1990-05-17;5.63;5.87;5.63;5.87;1630.0
1990-05-18;5.63;6.0;5.63;5.75;7585.0
1990-05-21;5.5;5.87;5.5;5.87;3230.0
1990-05-22;5.87;6.0;5.87;5.87;11644.0
1990-05-23;5.5;6.0;5.37;6.0;8978.0
1990-05-24;5.5;6.0;5.5;5.63;20178.0
1990-05-25;6.0;6.0;5.5;5.5;2578.0
1990-05-29;6.0;6.25;5.5;6.25;4563.0
1990-05-30;6.25;6.25;5.75;6.0;4444.0
1990-05-31;5.75;6.25;5.75;5.87;25600.0
1990-06-01;6.25;6.25;6.0;6.0;4978.0
1990-06-04;5.87;6.5;5.87;6.5;1985.0
1990-06-05;6.5;6.75;6.0;6.75;16444.0
1990-06-06;6.5;8.5;6.5;7.5;138785.0
1990-06-07;7.5;8.75;7.5;7.87;104030.0
1990-06-08;7.5;8.25;7.5;8.13;19852.0
1990-06-11;8.25;8.25;7.63;7.75;29452.0
1990-06-12;7.63;8.25;7.63;8.0;26844.0
1990-06-13;7.5;8.0;7.25;7.25;32267.0
1990-06-14;7.5;7.63;7.25;7.25;13778.0
1990-06-15;7.63;7.75;7.25;7.75;5985.0
1990-06-18;7.75;7.75;7.0;7.0;10163.0
1990-06-19;7.0;7.5;7.0;7.5;8978.0
1990-06-20;7.5;8.0;7.38;7.75;54785.0
1990-06-21;7.5;8.0;7.5;8.0;25244.0
1990-06-22;7.75;8.25;7.75;7.75;12652.0
1990-06-25;7.75;8.25;7.75;8.25;1600.0
1990-06-26;7.75;8.25;7.75;8.25;10667.0
1990-06-27;7.75;7.87;7.5;7.87;7378.0
1990-06-28;7.5;7.75;7.25;7.75;10844.0
1990-06-29;7.63;8.0;7.5;7.75;4800.0
1990-07-02;7.5;7.75;7.25;7.75;12444.0
1990-07-03;7.75;7.75;7.25;7.75;3852.0
1990-07-05;7.75;7.75;7.25;7.75;8444.0
1990-07-06;7.75;8.25;7.5;8.25;19200.0
1990-07-09;8.0;8.37;8.0;8.13;28652.0
1990-07-10;8.75;9.25;8.25;8.75;62667.0
1990-07-11;8.75;9.25;8.75;8.75;57867.0
1990-07-12;9.0;9.25;8.75;9.0;32385.0
1990-07-13;8.75;9.25;8.75;8.75;76652.0
1990-07-16;8.75;9.25;8.75;9.25;32385.0
1990-07-17;8.75;9.0;8.5;9.0;17600.0
1990-07-18;9.0;9.0;8.25;8.25;15200.0
1990-07-19;8.0;8.5;8.0;8.13;6252.0
1990-07-20;8.25;8.5;8.0;8.5;17067.0
1990-07-23;8.0;8.25;7.87;8.0;25867.0
1990-07-24;8.25;9.25;8.25;9.25;43585.0
1990-07-25;9.25;9.5;8.75;8.75;160830.0
1990-07-26;9.25;9.25;8.75;8.75;51852.0
1990-07-27;8.75;9.25;8.75;8.75;29600.0
1990-07-30;8.75;9.25;8.75;9.0;26844.0
1990-07-31;8.75;9.25;8.75;9.0;65985.0
1990-08-01;8.75;9.0;8.5;9.0;16563.0
1990-08-02;8.5;9.0;8.0;8.0;17452.0
1990-08-03;8.0;8.5;7.5;8.0;14785.0
1990-08-06;7.75;7.75;7.0;7.75;6963.0
1990-08-07;7.25;7.75;7.25;7.5;21244.0
1990-08-08;7.5;8.0;7.5;8.0;178.0
1990-08-09;8.0;8.0;7.63;7.63;1185.0
1990-08-10;8.0;8.0;7.5;7.87;10578.0
1990-08-13;7.5;8.0;7.5;8.0;1185.0
1990-08-14;8.0;8.25;8.0;8.25;2430.0
1990-08-15;8.5;8.5;7.75;7.75;5778.0
1990-08-16;7.75;8.25;7.75;8.0;4563.0
1990-08-17;7.5;8.0;7.25;8.0;5778.0
1990-08-20;7.5;8.0;7.5;8.0;6044.0
1990-08-21;7.5;8.0;7.25;7.75;27763.0
1990-08-22;7.75;7.75;7.25;7.25;51763.0
1990-08-23;7.5;7.5;6.5;6.62;6963.0
1990-08-24;7.0;7.0;6.5;7.0;11230.0
1990-08-27;7.0;7.5;7.0;7.5;3852.0
1990-08-28;7.5;7.5;7.5;7.5;0.0
1990-08-29;7.5;7.5;7.0;7.0;12000.0
1990-08-30;7.0;7.25;6.75;7.0;17244.0
1990-08-31;6.75;7.25;6.75;7.25;18844.0
1990-09-04;6.88;7.25;6.75;6.88;66044.0
1990-09-05;7.25;7.5;7.25;7.5;3230.0
1990-09-06;7.0;7.25;6.88;7.25;6963.0
1990-09-07;6.88;7.25;6.88;7.25;563.0
