date;open;high;low;close;volume
1990-03-26;12.25;12.62;12.12;12.38;139100.0
1990-03-27;12.5;13.12;12.25;12.88;96200.0
1990-03-28;12.75;13.0;12.5;12.88;55800.0
1990-03-29;12.88;12.88;12.62;12.88;46600.0
1990-03-30;12.75;12.88;12.5;12.88;15100.0
1990-04-02;12.75;12.75;12.25;12.62;27000.0
1990-04-03;12.62;12.62;12.38;12.38;21400.0
1990-04-04;12.38;12.62;12.38;12.38;15500.0
1990-04-05;12.38;12.62;12.25;12.5;48200.0
1990-04-06;12.5;12.5;11.88;12.0;28400.0
1990-04-09;12.25;12.25;11.88;11.88;50800.0
1990-04-10;12.12;12.12;11.38;11.75;38800.0
1990-04-11;11.75;11.75;11.25;11.25;15900.0
1990-04-12;11.62;11.75;11.25;11.75;13800.0
1990-04-16;11.75;11.75;11.38;11.5;15900.0
1990-04-17;11.38;11.75;11.38;11.5;16900.0
1990-04-18;11.75;11.75;11.5;11.5;16500.0
1990-04-19;11.62;11.75;11.5;11.75;9200.0
1990-04-20;11.5;11.75;11.38;11.38;16700.0
1990-04-23;11.38;11.75;11.38;11.75;3600.0
1990-04-24;11.38;11.75;11.38;11.5;6900.0
1990-04-25;11.75;11.75;11.38;11.38;2900.0
1990-04-26;11.5;11.62;11.38;11.38;15700.0
1990-04-27;11.38;11.62;11.38;11.38;11400.0
1990-04-30;11.38;11.5;10.25;10.25;95800.0
1990-05-01;10.25;10.62;10.12;10.5;34900.0
1990-05-02;10.12;10.62;10.12;10.5;83600.0
1990-05-03;10.5;10.5;10.25;10.38;80200.0
1990-05-04;10.25;10.5;10.25;10.5;9600.0
1990-05-07;10.25;10.5;10.25;10.38;19300.0
1990-05-08;10.5;10.5;10.25;10.5;16900.0
1990-05-09;10.5;10.5;10.25;10.5;69800.0
1990-05-10;10.25;10.5;10.25;10.38;69500.0
1990-05-11;10.5;10.5;10.38;10.38;40800.0
1990-05-14;10.5;10.5;10.38;10.38;40300.0
1990-05-15;10.38;10.5;10.38;10.5;24100.0
1990-05-16;10.5;10.62;10.25;10.62;61900.0
1990-05-17;10.62;10.62;10.38;10.62;14000.0
1990-05-18;10.62;10.62;10.38;10.38;7500.0
1990-05-21;10.38;10.62;10.38;10.5;22100.0
1990-05-22;10.5;10.75;10.5;10.5;23700.0
1990-05-23;10.5;10.75;10.5;10.75;11400.0
