date;open;high;low;close;volume
1985-07-01;75.75;77.0;75.75;77.0;52100.0
1985-07-02;77.0;77.0;76.5;76.62;14500.0
1985-07-03;76.62;76.88;76.38;76.5;16600.0
1985-07-05;76.5;77.0;76.38;76.75;17100.0
1985-07-08;76.88;77.62;76.88;77.62;51600.0
1985-07-09;77.75;79.75;77.75;79.75;36100.0
1985-07-10;79.75;80.5;79.5;79.88;42700.0
1985-07-11;79.88;80.0;79.75;79.88;29900.0
1985-07-12;79.75;79.75;79.5;79.5;14200.0
1985-07-15;79.5;80.0;79.12;79.12;14800.0
1985-07-16;79.12;79.5;79.12;79.5;31700.0
1985-07-17;79.5;80.12;79.38;80.12;34700.0
1985-07-18;80.0;80.0;79.5;79.5;8600.0
1985-07-19;79.5;79.75;78.25;78.88;23200.0
1985-07-22;78.38;78.38;77.62;78.0;25700.0
1985-07-23;77.75;77.75;74.75;75.62;26400.0
1985-07-24;75.62;76.25;75.0;75.0;33400.0
1985-07-25;75.0;75.5;74.12;74.38;26100.0
1985-07-26;74.38;75.12;74.25;74.62;21800.0
1985-07-29;74.62;74.62;73.25;73.88;43600.0
1985-07-30;73.38;73.38;71.62;71.62;54100.0
1985-07-31;71.88;74.62;71.88;74.5;56900.0
1985-08-01;37.0;37.0;36.25;37.0;30250.0
1985-08-02;37.12;37.88;37.12;37.38;39600.0
1985-08-05;37.38;37.75;36.88;37.62;43200.0
1985-08-06;37.62;38.0;36.5;36.5;67500.0
1985-08-07;36.5;37.62;36.38;37.62;71900.0
1985-08-08;37.62;38.5;37.38;38.5;59300.0
1985-08-09;38.5;38.88;38.0;38.38;60800.0
1985-08-12;38.38;38.5;37.5;38.38;60700.0
1985-08-13;38.38;38.38;38.0;38.0;43200.0
1985-08-14;38.0;38.0;37.5;37.62;38600.0
1985-08-15;37.62;37.88;37.62;37.88;22900.0
1985-08-16;37.88;37.88;37.25;37.25;21100.0
1985-08-19;37.25;37.62;37.25;37.62;25000.0
1985-08-20;37.62;37.75;37.5;37.5;61700.0
1985-08-21;37.5;39.75;37.38;37.62;57500.0
1985-08-22;37.62;37.75;37.38;37.5;30400.0
1985-08-23;37.5;37.62;37.38;37.38;8700.0
1985-08-26;37.38;37.5;37.38;37.38;16800.0
1985-08-27;37.38;37.5;37.38;37.5;15200.0
1985-08-28;37.5;37.5;37.12;37.5;37700.0
1985-08-29;37.5;37.75;37.38;37.62;21000.0
1985-08-30;37.62;37.75;37.25;37.38;40800.0
1985-09-03;37.38;37.38;37.12;37.25;16000.0
1985-09-04;37.25;37.5;37.0;37.12;41000.0
1985-09-05;37.12;37.38;37.12;37.25;17700.0
1985-09-06;37.25;37.62;37.12;37.25;12500.0
1985-09-09;37.38;38.38;37.38;38.38;23200.0
1985-09-10;38.38;39.0;38.25;38.25;22300.0
1985-09-11;38.25;38.75;38.12;38.12;22300.0
1985-09-12;38.12;38.5;37.75;38.0;56400.0
1985-09-13;38.0;38.12;36.25;37.38;38500.0
1985-09-16;37.38;37.5;36.88;37.5;19800.0
1985-09-17;37.5;38.38;37.12;37.88;48000.0
1985-09-18;37.88;37.88;37.0;37.25;49600.0
1985-09-19;37.25;37.62;37.12;37.38;7100.0
1985-09-20;37.38;37.88;36.38;36.38;40900.0
1985-09-23;36.38;37.25;36.0;36.0;49100.0
1985-09-24;36.25;37.5;36.25;37.5;61000.0
1985-09-25;37.5;38.38;37.12;38.12;54900.0
1985-09-26;38.12;38.38;38.0;38.25;46400.0
1985-09-30;38.38;39.38;38.38;38.88;61900.0
1985-10-01;39.88;42.25;38.62;42.0;93500.0
1985-10-02;42.0;42.25;40.25;41.12;124600.0
1985-10-03;41.12;42.0;41.0;42.0;90600.0
1985-10-04;41.5;41.5;41.0;41.0;33000.0
1985-10-07;41.0;41.0;39.38;40.12;52600.0
1985-10-08;40.25;41.5;40.25;41.0;52200.0
1985-10-09;41.5;43.25;41.5;42.25;190500.0
1985-10-10;42.25;42.88;41.62;42.25;123000.0
1985-10-11;42.12;42.12;41.75;42.12;38700.0
1985-10-14;42.12;42.38;42.0;42.25;29100.0
1985-10-15;42.25;45.0;41.88;45.0;212800.0
1985-10-16;45.0;46.38;43.75;44.88;168400.0
1985-10-17;44.88;44.88;44.12;44.5;136200.0
1985-10-18;44.5;46.5;44.25;46.38;146500.0
1985-10-21;46.38;46.38;45.0;45.62;52800.0
1985-10-22;45.62;45.75;44.62;45.0;73900.0
1985-10-23;44.75;44.75;43.62;43.62;63000.0
1985-10-24;43.62;43.88;42.75;43.5;31900.0
1985-10-25;43.5;43.88;43.25;43.5;34400.0
1985-10-28;43.25;43.25;42.25;42.25;51200.0
1985-10-29;42.25;42.88;41.62;41.75;68600.0
1985-10-30;41.75;42.5;40.62;40.88;88800.0
1985-10-31;40.88;41.12;40.25;41.0;74000.0
1985-11-01;41.12;42.62;41.12;42.62;74600.0
1985-11-04;42.62;42.75;42.0;42.5;28400.0
1985-11-05;42.5;42.75;42.25;42.5;45000.0
1985-11-06;42.5;42.62;41.25;41.88;38200.0
1985-11-07;41.88;42.38;41.5;42.12;73700.0
1985-11-08;42.5;44.38;42.5;43.88;109000.0
1985-11-11;44.12;46.5;44.12;46.12;132200.0
1985-11-12;46.12;46.12;45.25;45.5;234300.0
1985-11-13;45.5;45.75;44.75;45.25;101900.0
1985-11-14;45.25;45.62;45.12;45.62;111300.0
1985-11-15;45.5;45.5;44.75;44.88;57200.0
1985-11-18;44.88;45.38;44.5;45.25;50300.0
1985-11-19;45.25;45.38;45.0;45.38;29400.0
1985-11-20;45.38;46.0;45.12;46.0;71000.0
1985-11-21;46.0;46.25;45.38;46.25;266000.0
