date;open;high;low;close;volume
1987-12-30;14.38;14.38;14.38;14.38;67.0
1987-12-31;14.38;14.5;14.25;14.25;2000.0
1988-01-04;14.25;14.25;14.0;14.0;800.0
1988-01-05;14.0;14.0;13.5;13.88;54067.0
1988-01-06;13.88;13.88;13.63;13.63;267.0
1988-01-07;13.88;13.88;13.75;13.75;200.0
1988-01-08;14.0;14.25;14.0;14.25;29867.0
1988-01-11;14.25;14.25;13.5;14.0;22000.0
1988-01-12;13.75;14.0;13.63;14.0;3467.0
1988-01-13;14.0;14.0;14.0;14.0;400.0
1988-01-14;14.0;14.0;14.0;14.0;0.0
1988-01-15;14.0;14.0;13.88;14.0;267.0
1988-01-18;13.88;13.88;13.75;13.75;200.0
1988-01-19;13.63;13.88;13.63;13.88;1467.0
1988-01-20;13.63;13.75;13.63;13.63;8200.0
1988-01-21;13.75;13.75;13.5;13.63;9467.0
1988-01-22;13.88;14.0;13.88;14.0;5667.0
1988-01-25;14.12;14.12;13.88;13.88;52600.0
1988-01-26;13.88;13.88;13.63;13.63;3267.0
1988-01-27;13.88;13.88;13.37;13.5;5600.0
1988-01-28;13.37;13.37;13.12;13.12;2467.0
1988-01-29;13.0;13.12;13.0;13.0;3200.0
1988-02-01;13.0;13.63;13.0;13.63;3267.0
1988-02-02;14.0;14.5;14.0;14.12;12600.0
1988-02-03;14.12;14.25;14.12;14.25;667.0
1988-02-04;14.25;14.5;14.12;14.5;12867.0
1988-02-05;14.38;14.5;14.38;14.5;667.0
1988-02-08;14.5;14.5;14.0;14.0;6067.0
1988-02-09;14.0;14.5;13.75;14.5;9867.0
1988-02-10;14.62;14.62;14.25;14.5;17600.0
1988-02-11;14.5;15.38;14.0;14.87;19667.0
1988-02-12;15.0;15.13;15.0;15.0;4067.0
1988-02-16;15.0;15.13;15.0;15.13;7000.0
1988-02-17;15.0;15.0;14.5;14.62;3667.0
1988-02-18;14.5;14.5;14.0;14.5;7467.0
1988-02-19;14.87;14.87;14.0;14.0;17000.0
1988-02-22;14.0;14.5;14.0;14.5;7200.0
1988-02-23;14.62;14.62;14.5;14.5;867.0
1988-02-24;14.5;14.75;14.5;14.62;1067.0
1988-02-25;14.75;14.75;14.5;14.75;3867.0
1988-02-26;14.62;14.75;14.62;14.75;667.0
1988-02-29;14.5;14.75;14.25;14.38;158600.0
1988-03-01;14.5;14.87;14.5;14.75;3800.0
1988-03-02;14.75;15.0;14.75;14.87;21000.0
1988-03-03;14.87;15.0;14.87;15.0;4400.0
1988-03-04;15.0;15.0;15.0;15.0;0.0
1988-03-07;14.87;14.87;14.75;14.87;467.0
1988-03-08;14.75;14.87;14.75;14.87;400.0
1988-03-09;15.0;15.0;14.75;14.87;17600.0
1988-03-10;15.0;15.25;15.0;15.13;6467.0
1988-03-11;15.25;15.25;15.13;15.25;2200.0
1988-03-14;15.25;15.25;15.0;15.13;3267.0
1988-03-15;15.38;15.5;15.38;15.5;4200.0
1988-03-16;15.5;15.5;15.0;15.0;2800.0
1988-03-17;14.87;15.0;14.75;14.87;7667.0
1988-03-18;14.87;15.0;14.87;15.0;20000.0
1988-03-21;15.13;17.25;15.13;17.25;13600.0
1988-03-22;17.0;17.12;16.0;16.12;19200.0
1988-03-23;16.12;16.37;16.12;16.12;3400.0
1988-03-24;16.25;16.37;16.12;16.12;1400.0
1988-03-25;16.12;16.25;15.75;16.25;8400.0
1988-03-28;16.0;16.0;15.62;16.0;20667.0
1988-03-29;15.75;16.12;15.75;16.12;1667.0
1988-03-30;16.12;16.12;16.0;16.0;600.0
1988-03-31;16.0;16.0;15.75;16.0;9400.0
1988-04-04;16.0;16.0;15.75;15.75;2467.0
1988-04-05;15.75;15.88;15.62;15.75;17800.0
1988-04-06;16.0;17.25;16.0;17.12;6400.0
1988-04-07;17.12;17.12;16.88;16.88;800.0
1988-04-08;16.88;17.38;16.88;17.0;8667.0
1988-04-11;17.12;17.12;16.75;16.75;1600.0
1988-04-12;16.63;16.63;15.75;16.12;7000.0
1988-04-13;16.0;16.37;16.0;16.37;1667.0
1988-04-14;16.12;16.37;16.12;16.25;1267.0
1988-04-15;16.25;16.25;16.25;16.25;600.0
1988-04-18;16.0;16.5;16.0;16.5;2067.0
1988-04-19;16.5;16.5;16.5;16.5;0.0
1988-04-20;17.25;17.5;17.25;17.25;2667.0
1988-04-21;17.0;17.25;17.0;17.0;7867.0
1988-04-22;17.0;17.0;17.0;17.0;26467.0
1988-04-25;17.0;17.0;17.0;17.0;15000.0
1988-04-26;16.88;17.12;16.75;17.12;4400.0
1988-04-27;16.88;17.12;16.88;17.0;5867.0
1988-04-28;17.0;17.12;17.0;17.12;1467.0
1988-04-29;17.0;17.62;17.0;17.62;4400.0
1988-05-02;17.38;18.0;17.38;17.75;6600.0
1988-05-03;17.75;17.75;17.25;17.25;3267.0
1988-05-04;17.38;17.38;17.0;17.0;2000.0
1988-05-05;17.25;17.25;17.0;17.12;1800.0
1988-05-06;17.0;17.12;17.0;17.12;1400.0
1988-05-09;17.12;17.12;16.88;16.88;2600.0
1988-05-10;16.88;17.12;16.88;17.12;1400.0
1988-05-11;17.25;17.25;16.5;16.5;11000.0
1988-05-12;16.5;16.63;16.12;16.5;6200.0
1988-05-13;16.75;17.25;16.75;17.25;2400.0
1988-05-16;17.25;17.25;16.75;16.75;3067.0
1988-05-17;16.75;17.0;16.75;17.0;667.0
1988-05-18;17.25;17.5;17.12;17.12;2600.0
1988-05-19;16.25;16.25;15.5;15.88;26600.0
1988-05-20;16.0;16.0;15.62;15.75;3600.0
1988-05-23;15.75;15.75;15.62;15.75;800.0
1988-05-24;15.88;16.12;15.88;15.88;1467.0
1988-05-25;15.88;15.88;15.88;15.88;667.0
1988-05-26;15.75;16.25;15.75;16.25;2400.0
1988-05-27;16.12;16.25;16.0;16.25;800.0
1988-05-31;16.37;16.37;16.12;16.12;200.0
1988-06-01;16.25;16.25;16.25;16.25;1000.0
1988-06-02;16.37;16.37;16.25;16.25;267.0
1988-06-03;16.37;16.5;16.37;16.5;667.0
1988-06-06;16.37;16.37;16.37;16.37;2000.0
1988-06-07;16.25;16.37;16.25;16.25;1467.0
1988-06-08;16.37;16.37;16.12;16.12;2267.0
1988-06-09;16.25;16.25;16.0;16.0;267.0
1988-06-10;16.12;16.12;15.88;16.12;2067.0
1988-06-13;16.0;16.0;15.5;15.5;5467.0
1988-06-14;15.5;15.5;15.13;15.13;3200.0
1988-06-15;15.0;15.25;14.87;15.25;5467.0
1988-06-16;15.13;15.62;15.13;15.5;3867.0
1988-06-17;15.62;16.0;15.62;16.0;8667.0
1988-06-20;16.0;16.12;16.0;16.0;400.0
1988-06-21;16.12;16.12;15.88;16.0;800.0
1988-06-22;16.0;16.12;16.0;16.12;383667.0
1988-06-23;16.12;16.12;15.62;15.75;28000.0
1988-06-24;15.62;16.0;15.62;16.0;31400.0
1988-06-27;16.0;16.0;16.0;16.0;16800.0
1988-06-28;16.0;16.0;15.88;15.88;43467.0
1988-06-29;15.88;15.88;15.88;15.88;0.0
1988-06-30;15.62;15.75;15.5;15.62;14800.0
1988-07-01;15.5;15.62;15.5;15.5;3400.0
1988-07-05;15.62;15.62;15.5;15.5;13000.0
1988-07-06;15.62;15.62;15.38;15.38;10200.0
1988-07-07;15.5;15.62;15.25;15.25;25800.0
1988-07-08;15.13;15.13;14.5;14.5;12067.0
1988-07-11;14.75;14.87;14.62;14.62;12400.0
1988-07-12;14.87;15.38;14.87;15.0;11600.0
1988-07-13;15.0;15.38;15.0;15.25;5667.0
1988-07-14;15.38;15.5;15.25;15.25;26000.0
1988-07-15;15.0;15.13;15.0;15.0;1267.0
1988-07-18;15.25;15.38;15.13;15.13;5800.0
1988-07-19;15.25;15.25;15.13;15.25;3467.0
1988-07-20;15.38;15.38;15.38;15.38;3600.0
1988-07-21;15.38;15.38;15.25;15.25;8200.0
1988-07-22;15.25;15.25;15.0;15.0;7200.0
1988-07-25;15.13;15.13;14.87;15.13;11800.0
1988-07-26;15.25;15.5;15.0;15.5;14600.0
1988-07-27;15.5;15.5;15.13;15.13;3667.0
1988-07-28;15.25;15.25;14.75;14.75;2400.0
1988-07-29;14.87;15.13;14.75;14.75;3867.0
1988-08-01;14.75;14.75;14.62;14.62;4467.0
1988-08-02;14.75;14.75;14.25;14.5;5067.0
1988-08-03;14.62;14.62;14.5;14.5;2200.0
1988-08-04;14.62;14.62;14.62;14.62;467.0
1988-08-05;14.5;14.62;14.5;14.62;6067.0
1988-08-08;14.5;14.75;14.5;14.5;5867.0
