date;open;high;low;close;volume
1987-11-05;25.12;25.5;25.12;25.38;6700.0
1987-11-06;25.5;26.62;25.5;26.25;16000.0
1987-11-09;26.12;26.88;25.88;26.62;5700.0
1987-11-10;26.38;26.62;26.25;26.5;3200.0
1987-11-11;26.38;26.5;26.38;26.38;38400.0
1987-11-12;26.0;26.25;25.75;25.75;9000.0
1987-11-13;25.75;26.25;25.75;26.0;1400.0
1987-11-16;26.25;26.25;26.0;26.0;7800.0
1987-11-17;26.0;26.0;25.25;25.38;7900.0
1987-11-18;25.38;25.38;24.75;24.88;11500.0
1987-11-19;24.62;24.88;24.25;24.5;8300.0
1987-11-20;24.25;24.25;23.5;24.0;11100.0
1987-11-23;24.12;24.75;23.62;24.25;10500.0
1987-11-24;24.12;25.5;24.12;24.12;14800.0
1987-11-25;24.25;24.88;24.12;24.25;8200.0
1987-11-27;24.5;24.75;24.5;24.75;700.0
1987-11-30;24.5;24.75;24.25;24.25;9200.0
1987-12-01;24.25;24.62;24.25;24.5;5400.0
1987-12-02;24.75;25.0;23.5;23.5;7100.0
1987-12-03;23.75;23.75;22.5;22.5;8300.0
1987-12-04;22.25;22.5;22.0;22.0;22700.0
1987-12-07;22.0;22.25;22.0;22.12;6000.0
1987-12-08;22.25;22.62;22.25;22.25;13000.0
1987-12-09;22.25;23.0;22.25;23.0;8600.0
1987-12-10;22.88;23.62;22.75;23.5;12100.0
1987-12-11;23.5;24.75;23.5;24.5;20100.0
1987-12-14;24.38;25.75;24.38;25.5;20900.0
1987-12-15;25.25;26.62;25.25;26.5;14200.0
1987-12-16;26.38;26.75;26.12;26.5;18300.0
1987-12-17;26.5;26.75;26.38;26.38;6200.0
1987-12-18;26.38;26.75;26.0;26.0;29300.0
1987-12-21;26.25;26.75;26.25;26.5;8000.0
1987-12-22;26.75;28.0;26.25;28.0;7600.0
1987-12-23;28.0;29.0;28.0;28.75;6900.0
1987-12-24;28.75;29.0;28.25;28.5;3500.0
1987-12-28;28.25;28.38;28.0;28.12;7300.0
1987-12-29;28.38;28.62;28.12;28.12;21600.0
1987-12-30;28.12;28.38;28.12;28.12;12200.0
1987-12-31;28.12;29.5;28.0;29.0;9500.0
1988-01-04;29.25;29.75;29.0;29.62;8600.0
1988-01-05;29.88;29.88;29.25;29.38;3100.0
1988-01-06;29.38;30.0;29.38;29.62;3300.0
1988-01-07;29.75;29.88;29.38;29.88;1500.0
1988-01-08;29.75;29.88;28.88;28.88;2800.0
1988-01-11;28.62;28.75;28.5;28.5;3800.0
1988-01-12;28.5;28.5;27.75;27.75;106300.0
1988-01-13;28.0;28.0;27.25;27.5;3700.0
1988-01-14;27.5;28.5;27.5;28.25;3500.0
1988-01-15;28.25;28.5;27.75;27.88;33000.0
1988-01-18;28.0;28.25;27.75;27.75;1800.0
1988-01-19;27.88;28.25;27.75;27.88;30300.0
1988-01-20;27.75;27.88;27.62;27.88;2500.0
1988-01-21;27.75;27.75;27.62;27.62;4700.0
1988-01-22;27.88;28.12;27.88;28.0;1400.0
1988-01-25;28.12;28.25;27.88;28.12;4300.0
1988-01-26;27.88;28.0;27.88;28.0;900.0
1988-01-27;28.0;28.0;27.5;27.5;8500.0
