date;open;high;low;close;volume
1992-03-17;31.63;31.88;31.5;31.88;4200.0
1992-03-18;32.12;32.25;32.12;32.12;1900.0
1992-03-19;32.5;32.5;32.5;32.5;1400.0
1992-03-20;32.38;32.5;32.25;32.25;1200.0
1992-03-23;32.5;32.5;32.5;32.5;300.0
1992-03-24;32.5;32.5;32.5;32.5;200.0
1992-03-25;32.25;32.25;32.25;32.25;500.0
1992-03-26;32.5;32.62;32.5;32.62;1000.0
1992-03-27;32.62;32.62;32.62;32.62;0.0
1992-03-30;32.62;32.75;32.62;32.75;700.0
1992-03-31;32.62;33.5;32.62;32.87;26200.0
1992-04-01;32.87;33.0;32.75;33.0;3500.0
1992-04-02;32.75;32.75;32.62;32.75;6900.0
1992-04-03;32.5;32.75;32.5;32.75;1600.0
1992-04-06;32.5;32.5;32.38;32.38;2700.0
1992-04-07;32.62;32.62;32.0;32.0;10700.0
1992-04-08;31.88;31.88;31.5;31.5;2800.0
1992-04-09;31.5;31.5;31.0;31.0;1600.0
1992-04-10;31.25;31.25;30.88;30.88;2500.0
1992-04-13;30.88;31.0;30.75;31.0;1800.0
1992-04-14;31.0;33.5;30.75;33.38;23600.0
1992-04-15;33.5;33.5;32.87;32.87;7600.0
1992-04-16;32.87;32.87;32.5;32.5;21800.0
1992-04-20;32.25;32.25;32.0;32.0;5100.0
1992-04-21;31.75;31.75;31.25;31.37;8100.0
1992-04-22;31.37;31.37;31.25;31.25;7000.0
1992-04-23;30.75;30.75;29.87;30.0;13900.0
1992-04-24;29.87;29.87;29.87;29.87;400.0
1992-04-27;29.62;29.62;29.62;29.62;700.0
1992-04-28;29.38;29.38;28.12;28.12;16600.0
1992-04-29;28.37;32.0;28.37;32.0;77000.0
1992-04-30;32.25;32.25;32.0;32.0;7400.0
1992-05-01;32.0;32.25;32.0;32.25;3500.0
1992-05-04;32.38;32.87;32.38;32.87;1800.0
1992-05-05;32.75;33.0;32.75;33.0;6600.0
1992-05-06;33.0;33.0;32.75;32.75;6900.0
1992-05-07;32.62;32.62;32.5;32.5;500.0
1992-05-08;32.75;32.87;32.62;32.87;1100.0
1992-05-11;32.87;32.87;32.87;32.87;400.0
1992-05-12;32.75;32.75;32.5;32.5;1200.0
1992-05-13;32.38;32.38;31.88;31.88;26500.0
1992-05-14;32.0;32.12;31.5;31.5;1500.0
1992-05-15;31.5;31.5;31.5;31.5;1500.0
1992-05-18;31.5;31.5;31.5;31.5;2000.0
1992-05-19;31.5;31.75;31.5;31.75;4000.0
1992-05-20;31.63;31.63;31.5;31.5;8500.0
1992-05-21;31.37;31.88;31.37;31.88;2000.0
1992-05-22;32.0;32.0;32.0;32.0;2700.0
1992-05-26;32.0;32.0;32.0;32.0;1200.0
1992-05-27;32.0;32.0;32.0;32.0;1000.0
1992-05-28;32.0;32.0;32.0;32.0;0.0
1992-05-29;32.0;32.0;32.0;32.0;0.0
1992-06-01;31.75;31.75;31.5;31.5;2700.0
1992-06-02;31.37;31.37;31.12;31.25;7900.0
1992-06-03;31.0;31.0;31.0;31.0;200.0
1992-06-04;31.0;31.0;31.0;31.0;5000.0
1992-06-05;31.0;31.0;31.0;31.0;0.0
1992-06-08;31.0;31.0;31.0;31.0;0.0
1992-06-09;30.75;30.75;30.62;30.62;500.0
1992-06-10;30.5;30.5;30.38;30.38;6000.0
1992-06-11;30.38;30.5;30.25;30.25;1900.0
1992-06-12;30.5;30.5;30.5;30.5;100.0
1992-06-15;30.25;30.25;30.25;30.25;2000.0
1992-06-16;30.25;30.25;30.25;30.25;5400.0
1992-06-17;30.25;30.25;30.25;30.25;0.0
1992-06-18;30.25;30.5;30.25;30.5;1300.0
1992-06-19;30.5;30.75;30.5;30.75;700.0
1992-06-22;30.75;30.75;30.75;30.75;0.0
1992-06-23;31.0;31.0;31.0;31.0;4500.0
1992-06-24;30.75;30.75;30.75;30.75;100.0
1992-06-25;30.5;30.5;30.13;30.25;4900.0
1992-06-26;30.0;30.13;30.0;30.13;3000.0
1992-06-29;30.13;30.13;29.38;29.62;4600.0
1992-06-30;29.5;29.5;29.12;29.25;7800.0
1992-07-01;29.25;29.38;29.25;29.38;1700.0
1992-07-02;29.38;29.38;29.38;29.38;0.0
1992-07-06;29.25;29.25;29.25;29.25;100.0
1992-07-07;29.0;29.0;28.88;28.88;1900.0
1992-07-08;28.88;28.88;28.37;28.5;4100.0
1992-07-09;28.25;28.25;28.12;28.25;8200.0
1992-07-10;28.0;28.0;28.0;28.0;2600.0
1992-07-13;27.75;27.75;26.5;27.25;30300.0
1992-07-14;27.38;27.75;27.38;27.75;3100.0
1992-07-15;27.88;27.88;27.88;27.88;500.0
1992-07-16;28.0;28.0;28.0;28.0;200.0
1992-07-17;28.0;28.0;28.0;28.0;0.0
1992-07-20;27.75;27.75;27.62;27.62;400.0
1992-07-21;27.13;27.13;26.75;27.13;10000.0
1992-07-22;27.0;27.0;26.87;26.87;400.0
1992-07-23;27.13;27.13;27.13;27.13;100.0
1992-07-24;27.0;27.0;26.75;26.75;3000.0
1992-07-27;26.62;26.75;26.5;26.75;1100.0
1992-07-28;26.75;26.87;26.5;26.5;1400.0
1992-07-29;26.75;26.87;26.5;26.87;1600.0
1992-07-30;26.62;26.75;26.62;26.75;1500.0
1992-07-31;27.25;27.62;27.13;27.62;5300.0
1992-08-03;27.38;27.62;27.38;27.62;1800.0
1992-08-04;27.38;27.38;27.38;27.38;2700.0
1992-08-05;27.38;27.38;27.38;27.38;100.0
1992-08-06;27.0;27.0;26.75;26.87;3800.0
1992-08-07;26.62;26.62;26.62;26.62;100.0
1992-08-10;26.25;26.5;26.25;26.38;5000.0
1992-08-11;26.38;26.38;26.38;26.38;2200.0
1992-08-12;26.12;26.12;26.0;26.0;1400.0
1992-08-13;25.75;25.88;25.75;25.75;3000.0
1992-08-14;26.0;26.0;26.0;26.0;4100.0
1992-08-17;26.0;26.25;26.0;26.25;600.0
1992-08-18;26.25;26.5;26.25;26.5;1900.0
1992-08-19;26.25;26.38;26.25;26.25;2300.0
1992-08-20;26.12;26.12;26.12;26.12;300.0
