date;open;high;low;close;volume
2013-04-17;28.0;29.9;27.01;28.49;908400.0
2013-04-18;28.72;28.72;27.75;28.35;1329600.0
2013-04-19;28.5;29.5;27.95;29.0;862700.0
2013-04-22;29.8;29.8;28.1;28.64;911200.0
2013-04-23;28.75;28.78;27.85;28.44;1530200.0
2013-04-24;28.29;28.5;27.85;27.9;1158100.0
2013-04-25;27.99;28.5;27.64;28.13;682700.0
2013-04-26;28.13;29.07;28.13;28.6;1193000.0
2013-04-29;28.6;29.89;28.6;29.5;1940400.0
2013-04-30;29.59;30.38;29.59;30.1;1792100.0
2013-05-01;30.74;31.62;29.64;30.2;1.50942E7
2013-05-02;30.25;30.5;28.7;30.28;6357400.0
2013-05-03;30.19;31.22;29.35;29.8;4035400.0
2013-05-06;29.74;29.98;29.084;29.85;2337800.0
2013-05-07;30.0;30.96;29.91;30.5;3446900.0
2013-05-08;30.59;32.09;30.38;30.75;5726600.0
2013-05-09;30.61;30.8;29.96;30.14;3594900.0
2013-05-10;30.18;30.3;29.7;30.08;2819600.0
2013-05-13;29.91;30.47;29.89;30.36;2576500.0
2013-05-14;30.36;32.95;30.36;32.71;4037200.0
2013-05-15;32.26;33.27;31.88;32.96;2726900.0
2013-05-16;33.04;33.65;32.81;33.1;1392300.0
2013-05-17;33.2;33.57;33.0;33.29;1976600.0
2013-05-20;33.15;33.6;32.06;32.92;1803700.0
2013-05-21;32.69;33.27;32.325;32.42;2420500.0
2013-05-22;32.3;33.94;32.3;33.35;1992700.0
2013-05-23;33.0;33.47;32.94;33.16;2226000.0
2013-05-24;33.28;33.73;33.055;33.09;1367100.0
2013-05-28;33.36;33.5;32.83;32.97;1716500.0
2013-05-29;32.77;32.9;31.91;31.99;1768100.0
2013-05-30;31.88;32.31;31.27;31.38;1657000.0
2013-05-31;31.19;31.435;30.39;30.39;2949200.0
2013-06-03;30.58;31.9;30.58;30.8;2125900.0
2013-06-04;31.0;31.63;30.81;31.0;3709600.0
