date;open;high;low;close;volume
1990-03-27;21.75;21.75;21.75;21.75;1300.0
1990-03-28;20.75;21.75;20.75;21.75;200.0
1990-03-29;21.75;21.75;21.38;21.38;1200.0
1990-03-30;21.38;21.38;21.38;21.38;0.0
1990-04-02;20.75;21.5;20.75;21.5;2400.0
1990-04-03;21.5;21.5;21.5;21.5;0.0
1990-04-04;21.5;21.5;21.0;21.0;1200.0
1990-04-05;21.25;21.75;21.25;21.5;2200.0
1990-04-06;21.5;21.5;21.5;21.5;0.0
1990-04-09;21.75;21.75;21.75;21.75;1000.0
1990-04-10;22.5;22.5;21.75;21.88;700.0
1990-04-11;21.88;21.88;21.88;21.88;0.0
1990-04-12;21.75;21.75;21.75;21.75;1500.0
1990-04-16;21.75;21.75;21.75;21.75;0.0
1990-04-17;21.75;21.75;21.75;21.75;0.0
1990-04-18;21.75;21.88;21.75;21.88;15300.0
1990-04-19;21.75;21.75;21.75;21.75;500.0
1990-04-20;22.5;22.5;22.5;22.5;200.0
1990-04-23;21.88;22.5;21.88;22.5;400.0
1990-04-24;21.75;22.5;21.75;22.5;3800.0
1990-04-25;22.5;22.5;22.5;22.5;0.0
1990-04-26;22.5;22.5;21.75;21.75;1200.0
1990-04-27;21.75;21.75;21.75;21.75;1400.0
1990-04-30;21.75;21.75;21.75;21.75;200.0
1990-05-01;22.0;22.0;22.0;22.0;300.0
1990-05-02;22.0;22.0;22.0;22.0;0.0
1990-05-03;21.75;22.25;21.75;22.25;500.0
1990-05-04;22.25;22.25;22.25;22.25;400.0
1990-05-07;22.25;22.25;22.25;22.25;0.0
1990-05-08;21.75;22.0;21.75;22.0;23800.0
1990-05-09;22.0;22.0;22.0;22.0;0.0
1990-05-10;21.75;21.75;21.75;21.75;200.0
1990-05-11;22.25;22.25;21.75;22.0;6800.0
1990-05-14;22.0;22.0;22.0;22.0;900.0
1990-05-15;22.0;22.0;22.0;22.0;500.0
1990-05-16;22.0;22.0;22.0;22.0;400.0
1990-05-17;22.0;22.0;22.0;22.0;0.0
1990-05-18;22.75;22.75;22.75;22.75;200.0
1990-05-21;22.0;22.0;22.0;22.0;1100.0
1990-05-22;22.5;22.5;22.25;22.25;1100.0
1990-05-23;23.0;23.0;23.0;23.0;100.0
1990-05-24;22.25;22.25;22.25;22.25;500.0
1990-05-25;22.25;22.25;22.25;22.25;500.0
1990-05-29;22.25;22.75;22.25;22.75;1000.0
1990-05-30;22.0;22.0;22.0;22.0;1000.0
1990-05-31;22.75;22.75;22.75;22.75;1400.0
1990-06-01;22.0;22.25;22.0;22.0;13100.0
1990-06-04;22.63;22.63;22.0;22.25;10100.0
1990-06-05;22.75;22.75;22.0;22.13;7100.0
1990-06-06;22.38;22.38;22.0;22.0;28500.0
1990-06-07;22.5;22.5;22.0;22.0;2000.0
1990-06-08;22.0;22.0;22.0;22.0;0.0
1990-06-11;22.25;22.5;22.25;22.5;5500.0
1990-06-12;22.5;22.5;22.5;22.5;0.0
1990-06-13;22.25;22.75;22.25;22.75;1500.0
1990-06-14;22.75;22.75;22.75;22.75;0.0
1990-06-15;23.0;23.0;22.75;23.0;4200.0
1990-06-18;22.75;22.75;22.0;22.0;11500.0
1990-06-19;22.75;23.0;22.25;23.0;2100.0
1990-06-20;23.25;23.25;23.25;23.25;100.0
1990-06-21;23.25;23.25;23.25;23.25;0.0
1990-06-22;22.5;23.0;22.5;23.0;1300.0
1990-06-25;23.0;23.0;23.0;23.0;0.0
1990-06-26;23.0;23.0;23.0;23.0;1000.0
1990-06-27;22.5;23.0;22.5;23.0;1100.0
1990-06-28;22.5;22.5;22.5;22.5;2500.0
1990-06-29;22.5;22.5;22.5;22.5;0.0
1990-07-02;23.0;23.0;23.0;23.0;800.0
1990-07-03;22.75;22.75;22.75;22.75;100.0
1990-07-05;23.0;23.0;23.0;23.0;500.0
1990-07-06;23.25;23.25;23.25;23.25;800.0
1990-07-09;23.25;23.25;23.25;23.25;100.0
1990-07-10;23.25;23.25;23.0;23.25;1000.0
1990-07-11;23.25;23.25;23.13;23.25;1000.0
1990-07-12;22.75;23.0;22.5;23.0;1800.0
1990-07-13;22.5;22.5;22.5;22.5;200.0
1990-07-16;22.5;23.25;22.5;23.25;500.0
1990-07-17;23.5;23.5;22.5;23.25;400.0
1990-07-18;22.5;22.63;22.5;22.5;3400.0
1990-07-19;22.5;22.5;22.5;22.5;0.0
1990-07-20;22.75;22.75;22.5;22.5;3400.0
1990-07-23;23.0;23.25;22.25;23.25;2300.0
1990-07-24;23.25;23.25;23.25;23.25;0.0
1990-07-25;23.25;23.25;23.25;23.25;0.0
1990-07-26;23.0;23.0;22.0;22.0;3100.0
1990-07-27;21.88;22.0;21.75;21.75;5900.0
1990-07-30;21.5;21.5;21.5;21.5;2000.0
1990-07-31;21.5;21.5;21.5;21.5;0.0
1990-08-01;21.25;21.88;21.25;21.88;300.0
1990-08-02;21.88;21.88;21.88;21.88;0.0
1990-08-03;21.25;21.25;21.0;21.0;4400.0
1990-08-06;21.0;21.0;19.75;20.5;4700.0
1990-08-07;20.5;20.5;20.5;20.5;0.0
1990-08-08;20.38;20.75;19.63;19.75;10800.0
1990-08-09;19.75;19.75;19.75;19.75;0.0
1990-08-10;20.25;20.25;20.25;20.25;200.0
1990-08-13;19.5;19.63;19.5;19.63;5000.0
1990-08-14;19.62;19.62;19.62;19.62;0.0
1990-08-15;20.0;20.25;19.63;20.0;7400.0
1990-08-16;19.5;19.75;19.5;19.5;6700.0
1990-08-17;19.25;20.0;19.25;19.5;9200.0
1990-08-20;19.25;19.25;19.25;19.25;400.0
1990-08-21;19.75;19.75;19.75;19.75;1000.0
