date;open;high;low;close;volume
2005-05-18;16.95;16.95;15.5;15.7;3858700.0
2005-05-19;15.7;16.18;15.5;15.55;146200.0
2005-05-20;15.5;15.501;14.0;14.75;500700.0
2005-05-23;14.75;15.22;14.45;14.91;115600.0
2005-05-24;14.87;15.0;14.75;15.0;83300.0
2005-05-25;15.0;15.34;14.99;15.33;79000.0
2005-05-26;15.15;15.33;15.09;15.17;34000.0
2005-05-27;15.142;15.75;15.142;15.75;59700.0
2005-05-31;15.9;16.4;15.33;16.3;166300.0
2005-06-01;16.41;16.95;16.21;16.94;120800.0
2005-06-02;18.0;19.23;17.81;18.8;290900.0
2005-06-03;19.0;19.4;18.32;18.85;91100.0
2005-06-06;19.04;19.13;17.82;17.9;51200.0
2005-06-07;18.25;18.25;16.85;17.12;44300.0
2005-06-08;16.91;17.38;16.41;16.9;54600.0
2005-06-09;16.95;17.89;16.8;17.29;78300.0
2005-06-10;17.29;18.14;17.29;18.14;20400.0
2005-06-13;18.2;19.0;18.19;18.58;84800.0
2005-06-14;18.58;18.59;17.95;18.44;41200.0
2005-06-15;18.45;19.2;18.438;18.85;77000.0
2005-06-16;18.92;18.92;18.14;18.15;44800.0
2005-06-17;18.2;18.2;17.21;17.34;76800.0
2005-06-20;17.51;17.71;15.8;16.66;268900.0
2005-06-21;16.75;17.05;16.5;16.88;33000.0
2005-06-22;16.58;16.8;15.8;16.21;122200.0
2005-06-23;16.3;16.9;16.01;16.6;84500.0
2005-06-24;16.6;16.68;16.06;16.35;199300.0
2005-06-27;16.89;17.0;15.91;16.6;84700.0
2005-06-28;16.85;17.23;16.55;17.05;95900.0
2005-06-29;17.06;17.68;16.75;17.47;125500.0
2005-06-30;17.25;18.43;17.25;18.08;84400.0
2005-07-01;18.35;18.75;17.55;18.45;28600.0
2005-07-05;18.64;20.37;18.45;20.37;114700.0
2005-07-06;20.12;21.31;19.9;21.25;85600.0
2005-07-07;21.05;23.35;21.05;23.12;188600.0
2005-07-08;22.9;23.61;21.95;23.58;175000.0
2005-07-11;23.64;24.0;22.78;24.0;61200.0
2005-07-12;23.67;24.24;23.5;24.23;43100.0
2005-07-13;24.2;25.15;24.17;25.15;75200.0
2005-07-14;25.25;26.49;24.66;25.15;272800.0
2005-07-15;25.07;25.5;25.01;25.25;19400.0
2005-07-18;25.0;25.36;24.35;24.65;43700.0
2005-07-19;24.56;24.66;24.25;24.4;46000.0
2005-07-20;24.16;25.81;23.8;25.46;136300.0
2005-07-21;25.7753;26.26;25.21;25.34;76000.0
2005-07-22;25.61;26.57;24.92;26.395;54700.0
2005-07-25;27.21;27.48;25.7624;25.88;53400.0
2005-07-26;25.88;27.1199;25.77;26.6;67700.0
2005-07-27;27.21;27.22;26.42;26.98;73000.0
2005-07-28;26.71;28.4;26.71;27.73;62200.0
2005-07-29;28.03;28.21;27.13;27.55;98800.0
2005-08-01;27.85;29.74;27.75;29.54;120200.0
2005-08-02;29.89;30.0;28.52;29.16;78100.0
2005-08-03;29.16;29.16;28.32;29.13;217300.0
2005-08-04;27.72;27.73;26.59;27.21;271900.0
2005-08-05;26.95;28.35;26.55;27.92;89000.0
2005-08-08;28.55;28.81;26.25;26.74;98800.0
2005-08-09;26.88;27.1;25.5;26.055;223200.0
2005-08-10;25.95;27.57;25.95;27.44;38000.0
2005-08-11;27.98;27.98;27.35;27.63;16800.0
2005-08-12;27.56;27.78;26.4;27.22;37200.0
2005-08-15;26.94;27.28;26.728;27.01;30900.0
2005-08-16;26.99;27.69;25.5;25.81;33600.0
2005-08-17;25.81;26.26;25.19;25.89;34700.0
2005-08-18;25.83;27.29;24.72;25.47;31200.0
2005-08-19;25.47;27.84;24.89;26.33;39700.0
2005-08-22;26.33;27.89;26.08;26.51;50200.0
2005-08-23;26.84;26.88;25.6;26.02;19700.0
2005-08-24;26.02;26.81;25.727;26.37;30000.0
2005-08-25;27.35;27.98;25.91;26.58;65000.0
2005-08-26;26.95;27.59;26.65;27.51;111300.0
2005-08-29;27.6;27.91;26.82;27.41;40100.0
2005-08-30;27.77;27.827;26.36;26.89;102600.0
2005-08-31;27.0;27.66;26.83;27.19;109300.0
2005-09-01;26.8;29.0;25.02;25.62;150900.0
2005-09-02;26.05;26.5;25.5;26.03;53800.0
2005-09-06;26.49;27.56;24.79;26.04;134300.0
2005-09-07;26.03;26.53;25.66;26.04;31800.0
2005-09-08;26.16;26.49;25.7;25.86;22300.0
2005-09-09;26.75;27.06;25.27;26.11;57300.0
2005-09-12;26.11;27.21;26.11;26.94;33200.0
2005-09-13;27.08;27.08;25.85;26.31;29500.0
2005-09-14;26.61;26.61;25.9;25.9;11200.0
2005-09-15;26.12;26.12;25.85;25.91;17400.0
2005-09-16;26.26;26.37;25.19;25.57;54700.0
2005-09-19;25.75;26.15;24.79;25.0;125600.0
2005-09-20;24.78;24.92;23.33;23.87;112900.0
2005-09-21;22.79;23.1;20.2;21.28;307800.0
2005-09-22;21.0;22.08;20.52;21.76;94100.0
2005-09-23;21.92;22.13;21.46;22.0;65200.0
2005-09-26;22.05;23.91;22.05;23.2;83000.0
2005-09-27;23.2;23.44;22.73;23.01;14800.0
2005-09-28;22.98;23.16;22.58;22.7;17400.0
2005-09-29;22.59;23.03;22.1;22.8;62200.0
2005-09-30;22.53;23.03;21.67;21.83;50000.0
2005-10-03;21.67;22.09;21.09;22.01;37800.0
2005-10-04;22.18;23.34;21.65;22.62;44200.0
2005-10-05;22.445;22.65;21.3;22.0;30600.0
2005-10-06;25.73;27.16;25.24;25.34;163600.0
2005-10-07;25.9;26.05;25.3;25.65;35700.0
2005-10-10;25.65;26.0;25.36;25.36;24000.0
2005-10-11;25.26;25.44;25.09;25.1;7200.0
2005-10-12;25.28;25.28;23.21;24.19;52400.0
2005-10-13;24.19;24.19;23.51;23.65;12200.0
2005-10-14;23.85;24.46;23.01;24.06;48900.0
2005-10-17;24.02;24.95;24.02;24.84;37100.0
2005-10-18;25.2;25.2;24.52;24.52;11500.0
2005-10-19;24.5;24.85;23.65;24.45;20500.0
2005-10-20;24.65;25.68;24.35;25.45;21300.0
2005-10-21;25.38;26.16;25.38;26.16;10400.0
2005-10-24;27.45;28.0;26.92;27.82;154000.0
2005-10-25;27.54;27.75;27.03;27.75;11700.0
2005-10-26;27.32;27.87;26.9;27.47;48100.0
2005-10-27;27.94;28.68;25.53;26.21;67100.0
2005-10-28;26.42;28.06;25.02;27.4;43300.0
2005-10-31;27.54;28.95;27.54;28.63;45200.0
2005-11-01;28.77;29.6;28.6;28.93;52500.0
2005-11-02;28.79;29.43;27.8;29.41;83700.0
2005-11-03;31.89;33.25;31.5;32.81;257000.0
2005-11-04;33.5;33.99;32.5;33.6;51700.0
2005-11-07;34.0;34.9;34.0;34.75;32500.0
2005-11-08;34.9;35.22;34.75;34.96;37200.0
2005-11-09;35.1;35.25;33.08;33.96;27300.0
2005-11-10;33.96;34.242;32.913;33.87;20800.0
2005-11-11;33.87;34.44;32.57;33.04;16100.0
2005-11-14;33.05;34.16;32.89;34.0;114900.0
2005-11-15;33.78;34.0645;31.56;32.08;26200.0
2005-11-16;31.86;31.958;30.25;31.46;44300.0
2005-11-17;31.5;33.66;31.5;33.62;47200.0
2005-11-18;33.62;34.63;33.5;34.27;14000.0
2005-11-21;34.71;36.25;33.85;34.8;219200.0
2005-11-22;37.77;38.36;34.93;35.16;248800.0
2005-11-23;35.46;36.05;34.43;35.24;64300.0
2005-11-25;35.08;36.0955;34.52;36.0955;26300.0
2005-11-28;36.2;36.94;34.45;34.75;60200.0
2005-11-29;34.61;35.08;33.79;33.9;28900.0
2005-11-30;33.9;35.79;33.9;35.61;58100.0
2005-12-01;36.48;37.12;35.01;36.22;150400.0
2005-12-02;36.16;36.3;35.09;35.49;42300.0
2005-12-05;35.89;35.89;35.28;35.47;19300.0
2005-12-06;35.82;35.8899;35.2126;35.32;28200.0
2005-12-07;35.5;35.5;34.51;34.94;46300.0
2005-12-08;35.43;36.0;35.256;35.75;17900.0
2005-12-09;34.25;34.72;32.87;34.55;255700.0
2005-12-12;34.8;35.75;34.52;35.54;120500.0
2005-12-13;35.5;36.0;35.26;35.98;35500.0
2005-12-14;35.53;36.65;34.78;35.1;38700.0
2005-12-15;34.77;35.22;34.202;35.15;38100.0
2005-12-16;35.77;36.14;34.91;36.07;63500.0
2005-12-19;36.23;37.0;35.5;37.0;65200.0
2005-12-20;36.76;39.5;36.09;38.65;172400.0
2005-12-21;39.17;39.29;38.06;38.3;125900.0
2005-12-22;38.3;38.62;37.83;37.83;39600.0
2005-12-23;37.83;39.0;37.83;38.65;33900.0
2005-12-27;39.32;39.51;38.93;39.25;54400.0
2005-12-28;39.57;41.25;38.75;41.2;167200.0
2005-12-29;41.4;43.66;41.234;42.78;270400.0
2005-12-30;43.18;43.48;42.2;42.69;111800.0
2006-01-03;43.12;43.5;41.0146;41.35;202700.0
2006-01-04;41.79;42.07;41.14;41.85;76400.0
2006-01-05;41.0;41.27;40.25;41.11;152900.0
2006-01-06;41.33;41.33;40.25;40.8;109100.0
2006-01-09;44.9;44.9;42.25;42.65;706200.0
2006-01-10;42.89;43.15;42.65;43.0;208700.0
2006-01-11;43.55;43.55;42.67;42.95;103700.0
2006-01-12;43.0;43.16;41.75;41.93;88400.0
2006-01-13;41.9;42.64;41.51;42.38;96200.0
2006-01-17;42.63;43.1536;41.45;41.67;74600.0
2006-01-18;41.4;41.4;38.75;40.09;366800.0
2006-01-19;40.11;41.76;40.11;41.3;97300.0
2006-01-20;41.5;41.51;40.68;40.8;80000.0
2006-01-23;40.69;41.202;40.61;40.68;83800.0
2006-01-24;41.0;43.1;41.0;42.69;226400.0
2006-01-25;43.5;43.6;42.3;42.66;212600.0
2006-01-26;43.22;44.01;42.32;43.99;787700.0
2006-01-27;44.1;47.58;44.06;46.71;477400.0
2006-01-30;48.06;48.65;46.56;46.96;647000.0
2006-01-31;47.3;47.3;44.93;46.0;223700.0
2006-02-01;45.89;47.4;45.84;46.28;160600.0
2006-02-02;47.7;48.55;46.05;46.6;250800.0
2006-02-03;47.13;47.38;43.05;45.76;377800.0
2006-02-06;48.05;48.05;46.53;47.02;260700.0
2006-02-07;47.26;47.26;44.29;45.15;195600.0
2006-02-08;45.3;45.34;40.87;43.8;490600.0
2006-02-09;43.72;43.72;41.42;42.51;277300.0
2006-02-10;42.09;43.62;42.0;43.62;161300.0
2006-02-13;43.14;43.32;42.76;43.01;97900.0
2006-02-14;42.99;44.204;42.75;43.6;130700.0
2006-02-15;43.9;43.96;43.26;43.6;110600.0
2006-02-16;43.59;43.8;43.0;43.25;113900.0
2006-02-17;43.08;43.48;42.72;42.8;94800.0
2006-02-21;44.4;46.92;43.91;46.67;416200.0
2006-02-22;47.0;49.25;45.44;47.49;404000.0
2006-02-23;47.81;48.0;47.39;47.5;112000.0
2006-02-24;48.05;48.05;44.0;44.73;402100.0
2006-02-27;45.19;45.9;42.58;43.79;298900.0
2006-02-28;43.57;43.88;42.27;43.05;211800.0
2006-03-01;43.03;44.75;43.01;44.25;202900.0
2006-03-02;43.01;43.01;39.63;40.11;972300.0
2006-03-03;39.82;41.16;38.25;38.7;422600.0
2006-03-06;38.6;38.672;36.45;37.95;390700.0
2006-03-07;37.67;37.94;36.75;36.78;98400.0
2006-03-08;36.75;39.5;36.51;39.08;245100.0
2006-03-09;39.31;41.95;39.25;41.58;552200.0
2006-03-10;41.57;41.74;40.0;40.56;165200.0
2006-03-13;41.03;42.41;40.58;41.34;194600.0
2006-03-14;41.34;42.7;40.77;41.73;503200.0
2006-03-15;38.99;41.02;37.48;40.99;1178800.0
2006-03-16;41.2;42.1;41.05;41.35;157000.0
2006-03-17;41.33;41.7;41.16;41.46;100400.0
2006-03-20;41.59;41.8;41.09;41.74;90900.0
2006-03-21;41.56;41.85;40.0;40.38;133500.0
2006-03-22;40.11;41.66;40.08;41.24;102000.0
2006-03-23;41.08;41.08;40.25;40.53;73200.0
2006-03-24;40.05;42.36;40.05;41.93;157600.0
2006-03-27;41.65;41.7;41.0;41.08;82600.0
2006-03-28;40.76;40.76;38.85;39.1;224700.0
2006-03-29;39.11;39.93;38.29;39.08;103800.0
2006-03-30;38.96;39.8;38.52;39.15;116700.0
2006-03-31;39.0;39.88;38.85;39.76;75900.0
2006-04-03;39.66;39.66;38.86;38.87;139300.0
2006-04-04;38.77;39.06;38.24;38.97;93500.0
2006-04-05;39.21;40.09;38.47;39.94;126600.0
2006-04-06;43.01;46.82;43.01;46.5;731100.0
2006-04-07;46.85;47.19;45.16;46.63;146900.0
2006-04-10;47.1;48.89;45.511;45.98;190200.0
2006-04-11;46.53;47.0;44.32;44.92;93300.0
2006-04-12;44.86;45.49;43.43;45.0;51500.0
2006-04-13;44.82;46.4993;44.54;45.6;75500.0
2006-04-17;45.27;46.59;44.765;45.99;127100.0
2006-04-18;46.1;47.92;45.99;47.89;119900.0
2006-04-19;48.11;48.397;47.78;48.2;91500.0
2006-04-20;48.0;49.47;47.95;48.97;117400.0
2006-04-21;48.9;48.96;47.65;48.38;91500.0
2006-04-24;49.4;49.4;48.14;48.78;117900.0
2006-04-25;49.05;50.1;48.0;48.5;195400.0
2006-04-26;48.24;49.74;48.13;49.4;100100.0
2006-04-27;48.95;49.24;48.0;48.65;143800.0
2006-04-28;48.72;48.86;47.93;48.55;102500.0
2006-05-01;49.05;52.93;49.05;51.83;610300.0
2006-05-02;51.28;51.95;48.66;51.0;328900.0
2006-05-03;50.97;52.0;49.0;51.9;274100.0
2006-05-04;54.25;57.85;53.46;55.54;568800.0
2006-05-05;56.0;57.44;55.04;56.45;199100.0
2006-05-08;56.46;57.26;55.73;56.11;98200.0
2006-05-09;55.14;55.8;53.72;54.99;143900.0
2006-05-10;54.78;55.0;51.0;51.54;332300.0
2006-05-11;51.48;53.3;50.99;51.05;124900.0
2006-05-12;50.5;50.61;46.1;47.02;658100.0
2006-05-15;46.93;47.19;43.52;45.96;503800.0
2006-05-16;46.0;48.5;45.94;47.42;204000.0
2006-05-17;47.4;48.6;46.79;48.3;163700.0
2006-05-18;48.24;49.8;47.89;48.62;229300.0
2006-05-19;50.99;53.72;50.06;51.82;896600.0
2006-05-22;50.97;51.888;47.62;48.14;274500.0
2006-05-23;48.47;51.12;48.028;48.06;245100.0
2006-05-24;47.82;47.82;44.45;45.24;323600.0
2006-05-25;45.74;47.27;45.0;46.57;190100.0
2006-05-26;46.69;48.05;46.0;46.74;73300.0
2006-05-30;47.08;47.2;45.1;45.3;85400.0
2006-05-31;45.3;46.65;44.44;45.01;169600.0
2006-06-01;43.21;43.9;42.25;43.22;454500.0
2006-06-02;43.82;44.2;42.33;43.03;225200.0
2006-06-05;43.02;44.26;41.65;42.13;192100.0
2006-06-06;41.84;42.38;39.77;40.69;321400.0
2006-06-07;40.87;43.67;40.83;41.18;253600.0
2006-06-08;40.78;41.47;38.25;40.99;374400.0
2006-06-09;41.19;43.5;41.17;42.02;225600.0
2006-06-12;41.2;41.94;39.66;39.96;145700.0
2006-06-13;39.9;41.05;39.36;39.52;308800.0
2006-06-14;40.11;41.55;39.4;41.01;226300.0
2006-06-15;41.25;44.82;41.06;44.78;346200.0
2006-06-16;44.78;44.78;41.9;42.15;221100.0
2006-06-19;42.48;43.03;41.52;42.03;255900.0
2006-06-20;42.0;42.12;41.39;41.5;113400.0
2006-06-21;41.4;43.3;41.0;42.87;116400.0
2006-06-22;42.85;44.04;40.99;41.22;195400.0
2006-06-23;41.73;41.81;38.27;38.43;512700.0
2006-06-26;38.62;38.98;37.31;37.72;302700.0
2006-06-27;37.91;38.29;36.39;36.5;166100.0
2006-06-28;36.96;38.39;35.64;36.55;207900.0
2006-06-29;36.66;39.65;36.66;39.32;316900.0
2006-06-30;39.28;42.99;39.0;42.69;489100.0
2006-07-03;42.26;42.94;41.99;42.6;101400.0
2006-07-05;42.4;43.0;41.53;42.38;237300.0
2006-07-06;38.0;38.25;34.0;35.01;1650700.0
2006-07-07;34.92;35.2;33.72;33.9869;465900.0
2006-07-10;34.0;35.67;33.63;34.01;444200.0
2006-07-11;34.15;34.15;30.68;32.06;792800.0
2006-07-12;31.86;32.79;30.06;30.46;512600.0
2006-07-13;30.55;31.28;29.87;30.75;343300.0
2006-07-14;30.7;31.0;29.94;30.66;209700.0
2006-07-17;30.35;31.25;30.23;30.64;120700.0
2006-07-18;30.81;31.08;29.35;29.73;235400.0
2006-07-19;29.59;31.45;29.51;30.84;202400.0
2006-07-20;31.04;31.17;29.86;29.86;174900.0
2006-07-21;29.91;29.97;29.11;29.51;99900.0
2006-07-24;29.6;30.82;29.6;30.07;83300.0
2006-07-25;29.98;30.78;29.64;30.61;91300.0
2006-07-26;30.55;30.58;29.48;30.06;111900.0
2006-07-27;30.2;31.5;29.74;30.0;168200.0
2006-07-28;30.15;30.15;28.55;28.97;287500.0
2006-07-31;28.9;30.09;28.5801;29.67;223400.0
2006-08-01;29.34;29.34;27.46;27.84;217500.0
2006-08-02;28.09;29.09;26.78;27.19;275800.0
2006-08-03;27.16;29.84;26.87;29.59;533600.0
2006-08-04;29.9;30.85;29.25;29.97;194800.0
2006-08-07;30.0;30.73;29.85;30.2;109100.0
2006-08-08;30.625;30.671;28.37;28.58;133600.0
2006-08-09;28.94;29.38;27.9;28.1;220500.0
2006-08-10;28.01;29.15;27.53;28.99;124700.0
2006-08-11;28.74;30.75;28.74;29.04;120500.0
2006-08-14;29.17;30.22;29.17;29.6;65800.0
