date;open;high;low;close;volume
2006-06-13;14.06;14.06;14.03;14.06;7600.0
2006-06-14;14.06;14.06;14.06;14.06;0.0
2006-06-15;14.06;14.06;14.06;14.06;0.0
2006-06-16;13.13;13.13;12.91;13.13;2800.0
2006-06-19;13.13;13.13;13.13;13.13;0.0
2006-06-20;12.51;12.63;12.51;12.51;2100.0
2006-06-21;12.51;12.51;12.51;12.51;0.0
2006-06-22;12.7;12.7;12.7;12.7;100.0
2006-06-23;11.98;12.18;10.17;11.58;506700.0
2006-06-26;11.6;12.0;11.6;11.8;28800.0
2006-06-27;11.78;12.0;11.19;11.29;35600.0
2006-06-28;10.68;11.18;10.5;10.9;72200.0
2006-06-29;10.68;11.5;10.68;11.37;65800.0
2006-06-30;11.83;11.83;11.41;11.57;41500.0
2006-07-03;11.87;11.87;10.61;11.32;25700.0
2006-07-05;11.5;11.72;11.4;11.72;23500.0
2006-07-06;11.37;11.89;11.37;11.7735;13400.0
2006-07-07;11.67;11.98;11.64;11.65;29500.0
2006-07-10;11.5;11.8;10.5;11.75;25000.0
2006-07-11;11.82;12.0;11.82;11.92;17900.0
2006-07-12;12.04;12.15;11.58;11.86;77500.0
2006-07-13;11.58;12.06;11.58;11.6;15400.0
2006-07-14;11.68;11.68;11.3;11.53;15600.0
2006-07-17;11.35;11.58;11.35;11.58;10300.0
2006-07-18;11.87;12.08;11.03;11.78;35600.0
2006-07-19;11.89;11.95;11.65;11.65;11400.0
2006-07-20;11.61;11.81;11.61;11.8;36200.0
2006-07-21;11.55;11.65;11.5;11.65;12500.0
2006-07-24;12.0;12.0;11.55;11.8;26000.0
2006-07-25;11.55;11.75;11.3;11.47;22600.0
2006-07-26;11.5;11.7;11.46;11.53;23100.0
2006-07-27;11.61;11.894;11.51;11.548;16500.0
2006-07-28;11.63;11.74;11.46;11.52;28400.0
2006-07-31;11.4;12.08;11.4;12.08;20700.0
2006-08-01;12.0;12.21;11.99;12.15;55000.0
2006-08-02;12.5;13.2199;12.16;13.15;152800.0
2006-08-03;12.44;13.94;12.44;13.8;92000.0
2006-08-04;13.41;14.0;13.41;13.75;34400.0
2006-08-07;13.5;14.384;13.29;13.31;25600.0
2006-08-08;13.31;13.99;13.31;13.88;60600.0
2006-08-09;13.76;13.88;13.36;13.62;43100.0
2006-08-10;13.78;13.78;13.42;13.46;22900.0
2006-08-11;13.57;13.57;13.22;13.22;7400.0
2006-08-14;13.41;13.46;13.03;13.25;17400.0
2006-08-15;13.49;13.5;13.23;13.23;18700.0
2006-08-16;13.63;13.68;13.35;13.54;21200.0
2006-08-17;14.08;14.08;13.46;13.78;50200.0
2006-08-18;14.08;14.08;13.82;13.96;21400.0
2006-08-21;14.57;14.57;13.97;14.17;16700.0
2006-08-22;13.55;14.07;13.54;13.95;63300.0
2006-08-23;14.0;14.182;13.76;13.88;42100.0
2006-08-24;13.76;14.08;13.76;13.99;8200.0
2006-08-25;14.15;14.15;14.05;14.13;5500.0
2006-08-28;14.08;14.27;13.99;14.01;12100.0
2006-08-29;14.3;14.64;14.06;14.43;13600.0
2006-08-30;14.05;14.77;14.05;14.77;19900.0
2006-08-31;14.05;15.43;14.05;15.06;23500.0
2006-09-01;15.23;15.68;15.01;15.68;21200.0
2006-09-05;15.4;15.55;15.08;15.5;16900.0
2006-09-06;15.05;15.71;15.05;15.42;34300.0
2006-09-07;16.0;16.0;15.0;15.01;12400.0
2006-09-08;15.0;15.55;14.9;15.27;40200.0
2006-09-11;15.3;15.33;15.01;15.25;32800.0
2006-09-12;15.31;15.32;15.0;15.17;34800.0
2006-09-13;15.17;15.18;14.51;15.07;16900.0
2006-09-14;14.91;15.23;14.75;14.87;21300.0
2006-09-15;14.83;16.54;14.83;16.51;83600.0
2006-09-18;16.56;17.22;16.43;17.11;106400.0
2006-09-19;17.27;17.27;16.53;16.62;154100.0
2006-09-20;17.04;17.04;16.46;16.76;60700.0
2006-09-21;16.75;16.82;16.55;16.67;114100.0
2006-09-22;16.71;16.8;16.51;16.73;17500.0
2006-09-25;17.2;17.2;16.5;16.5;36100.0
2006-09-26;16.57;16.57;16.1;16.48;42700.0
2006-09-27;16.16;16.4;15.8;16.1;44300.0
2006-09-28;16.25;16.56;15.79;16.52;19200.0
2006-09-29;16.1601;16.45;16.1601;16.45;4600.0
2006-10-02;16.59;16.64;16.4;16.4;17900.0
2006-10-03;16.52;16.94;16.36;16.66;28400.0
2006-10-04;17.25;17.25;16.34;16.64;35600.0
2006-10-05;16.66;16.81;16.63;16.77;19200.0
2006-10-06;16.51;16.84;16.51;16.76;16000.0
2006-10-09;16.7;16.8244;16.56;16.63;12800.0
2006-10-10;16.51;16.7361;16.28;16.5;25400.0
2006-10-11;16.43;16.52;16.16;16.35;11700.0
2006-10-12;16.37;16.37;16.08;16.19;24700.0
2006-10-13;16.56;16.56;15.92;16.16;25000.0
2006-10-16;16.28;16.29;16.17;16.25;8500.0
2006-10-17;16.06;16.27;16.0;16.12;15200.0
2006-10-18;16.05;16.23;15.92;16.02;14900.0
2006-10-19;15.93;16.2;15.93;16.07;3100.0
2006-10-20;15.9;16.14;15.3;15.46;30100.0
2006-10-23;15.3;15.53;15.21;15.39;53100.0
2006-10-24;15.35;15.63;15.3168;15.53;16000.0
2006-10-25;15.64;15.64;15.3;15.33;5000.0
2006-10-26;15.22;15.4499;14.68;15.43;42600.0
2006-10-27;15.46;15.73;15.03;15.65;16800.0
2006-10-30;15.99;16.19;15.82;16.16;12500.0
2006-10-31;16.32;16.5051;16.24;16.43;12200.0
2006-11-01;16.01;16.48;15.96;16.2;19500.0
2006-11-02;16.5;16.5;15.53;15.7;68900.0
2006-11-03;16.09;16.1;15.96;16.09;13500.0
2006-11-06;16.1781;16.4;16.09;16.33;4200.0
2006-11-07;16.49;16.55;16.21;16.54;49200.0
2006-11-08;16.53;16.65;16.51;16.61;14200.0
2006-11-09;17.0;18.84;17.0;18.77;118600.0
2006-11-10;18.95;19.02;18.25;18.76;83300.0
2006-11-13;18.39;20.15;18.28;19.76;171400.0
2006-11-14;19.6;19.6;19.13;19.49;58200.0
2006-11-15;19.89;19.89;18.65;18.919;38800.0
2006-11-16;19.0;19.15;18.98;19.06;28500.0
2006-11-17;18.91;19.07;18.72;18.77;31800.0
2006-11-20;18.91;19.18;18.78;18.85;128500.0
2006-11-21;19.0;19.0;18.86;18.93;10200.0
2006-11-22;19.028;19.0801;18.968;19.01;4500.0
2006-11-24;18.86;19.02;18.86;18.96;1800.0
2006-11-27;19.08;19.15;18.88;19.02;16500.0
2006-11-28;18.96;18.96;18.75;18.81;26000.0
2006-11-29;18.72;18.78;18.14;18.48;36000.0
2006-11-30;18.27;18.51;18.11;18.14;15500.0
2006-12-01;18.07;18.09;17.87;18.05;94100.0
2006-12-04;18.2;19.04;17.95;18.75;47900.0
2006-12-05;17.3;18.66;17.3;18.47;6500.0
2006-12-06;18.4;18.4;18.07;18.11;4700.0
2006-12-07;18.08;18.13;17.77;17.87;67800.0
2006-12-08;17.81;18.09;17.81;18.05;13300.0
2006-12-11;18.1;18.21;18.09;18.13;9100.0
2006-12-12;18.05;18.45;18.05;18.45;19000.0
2006-12-13;18.87;18.87;18.45;18.84;68000.0
2006-12-14;18.33;19.6;18.33;19.45;37100.0
2006-12-15;19.77;20.5;19.62;19.91;59400.0
2006-12-18;20.32;20.32;19.93;20.18;25900.0
2006-12-19;20.42;20.43;20.062;20.3;21800.0
2006-12-20;20.33;20.65;20.2;20.52;9800.0
2006-12-21;20.7;20.72;20.09;20.1;9300.0
2006-12-22;19.91;20.14;19.32;19.66;15400.0
2006-12-26;20.57;20.57;19.83;19.84;300.0
2006-12-27;19.54;20.11;19.5;19.87;26300.0
2006-12-28;20.03;20.14;19.96;20.05;7700.0
2006-12-29;18.234;20.17;18.1601;20.17;13200.0
2007-01-03;19.72;20.28;18.3501;20.1;39900.0
2007-01-04;19.81;19.97;19.47;19.47;21300.0
2007-01-05;19.75;19.75;18.52;18.69;27800.0
2007-01-08;19.96;19.96;18.6;18.72;50500.0
2007-01-09;18.8;18.8;18.3;18.41;36700.0
2007-01-10;18.26;18.99;18.26;18.8;38400.0
2007-01-11;18.83;18.96;18.6;18.9;15600.0
2007-01-12;18.9;19.58;18.9;19.42;68900.0
2007-01-16;19.28;19.38;19.1;19.14;38000.0
2007-01-17;19.07;19.07;18.85;18.91;19300.0
2007-01-18;18.99;19.04;18.72;18.9;52900.0
2007-01-19;18.9;19.05;18.9;19.0;19600.0
2007-01-22;18.94;19.25;18.86;19.02;59200.0
2007-01-23;19.19;19.4;19.19;19.334;8000.0
2007-01-24;19.55;20.22;19.24;20.22;55600.0
2007-01-25;20.29;20.87;20.22;20.63;76100.0
2007-01-26;20.51;20.6;20.32;20.5;22700.0
2007-01-29;20.5;20.69;20.21;20.69;94200.0
2007-01-30;20.88;20.88;20.39;20.6;14400.0
2007-01-31;20.6;21.22;20.6;21.05;76700.0
2007-02-01;21.22;21.3;21.09;21.2;36800.0
2007-02-02;21.09;21.25;21.0;21.1;136800.0
2007-02-05;21.1;21.25;20.91;21.19;107300.0
2007-02-06;21.01;21.11;20.84;21.0;59200.0
2007-02-07;21.22;21.22;20.8;20.93;32300.0
2007-02-08;21.0;21.0;20.72;20.81;13000.0
2007-02-09;20.96;20.96;20.38;20.45;47700.0
2007-02-12;20.45;20.49;19.95;20.0;61700.0
2007-02-13;20.11;20.28;20.0;20.06;13100.0
2007-02-14;20.5;20.5;19.94;19.99;116100.0
2007-02-15;19.95;20.21;19.9;20.05;40600.0
2007-02-16;20.2;20.23;20.03;20.12;17500.0
2007-02-20;20.1;20.5;19.92;20.5;28600.0
2007-02-21;20.59;20.6699;20.31;20.46;6700.0
2007-02-22;20.46;20.46;20.14;20.35;14100.0
2007-02-23;20.2;20.41;20.08;20.22;32800.0
2007-02-26;20.41;20.41;20.0601;20.12;15700.0
2007-02-27;20.01;20.08;19.52;19.52;63100.0
2007-02-28;19.75;19.99;19.41;19.59;84400.0
2007-03-01;19.71;19.71;18.39;18.94;82400.0
2007-03-02;18.51;19.2;18.51;19.11;29100.0
2007-03-05;18.65;18.9;18.27;18.65;115800.0
2007-03-06;18.64;18.93;18.51;18.8;45000.0
2007-03-07;18.8;18.8;18.2;18.45;69900.0
2007-03-08;19.57;20.13;19.06;19.65;97000.0
2007-03-09;19.95;20.2;19.04;19.04;40300.0
2007-03-12;19.21;19.72;19.21;19.67;69000.0
2007-03-13;19.5;19.52;18.76;18.76;168700.0
2007-03-14;19.0;19.83;18.81;19.74;104400.0
2007-03-15;19.66;19.7;19.51;19.51;26200.0
2007-03-16;19.62;19.62;19.32;19.34;11500.0
2007-03-19;19.0;19.49;19.0;19.13;38700.0
2007-03-20;19.34;19.39;18.71;19.12;65200.0
2007-03-21;19.12;19.61;19.02;19.31;23600.0
2007-03-22;19.18;19.5;19.18;19.29;22100.0
2007-03-23;19.41;19.41;18.95;18.98;21900.0
2007-03-26;18.83;19.15;18.32;18.39;64400.0
2007-03-27;18.39;18.45;17.89;17.91;34700.0
2007-03-28;17.94;18.21;17.35;18.04;56300.0
2007-03-29;18.36;18.67;18.1;18.57;13200.0
2007-03-30;18.63;18.94;18.51;18.84;35000.0
2007-04-02;19.0;19.23;18.85;19.08;39000.0
2007-04-03;19.04;19.38;19.04;19.33;27800.0
2007-04-04;19.4;19.52;19.4;19.42;18500.0
2007-04-05;19.52;19.69;19.34;19.41;18900.0
2007-04-09;19.69;19.8;19.48;19.55;25200.0
2007-04-10;19.67;19.85;19.54;19.66;25400.0
2007-04-11;19.76;20.02;19.46;20.02;13000.0
2007-04-12;20.02;20.2;19.91;20.17;85200.0
2007-04-13;20.3;20.3;20.11;20.25;36700.0
2007-04-16;20.25;20.93;20.1101;20.85;59500.0
2007-04-17;20.87;21.58;20.76;21.49;72100.0
2007-04-18;21.55;22.18;21.28;21.87;109600.0
2007-04-19;21.76;22.06;21.65;22.02;35800.0
2007-04-20;22.39;22.5;22.15;22.34;43800.0
2007-04-23;22.34;22.6;22.28;22.53;33900.0
2007-04-24;22.59;22.79;22.37;22.71;119300.0
2007-04-25;22.89;22.99;22.73;22.99;19000.0
2007-04-26;22.9;22.98;22.76;22.98;26400.0
2007-04-27;22.9899;23.0;22.49;22.53;20100.0
