date;open;high;low;close;volume
1995-09-22;13.5;14.12;13.5;13.5;2511267.0
1995-09-25;13.63;13.88;13.5;13.5;189800.0
1995-09-26;13.5;13.75;13.5;13.5;100000.0
1995-09-27;13.75;13.75;13.25;13.25;193200.0
1995-09-28;13.63;13.63;13.25;13.37;134600.0
1995-09-29;13.37;13.5;13.37;13.5;73467.0
1995-10-02;13.37;13.5;13.37;13.37;45600.0
1995-10-03;13.37;13.5;12.75;12.75;93000.0
1995-10-04;12.75;12.75;12.0;12.0;123067.0
1995-10-05;12.0;12.13;10.75;11.87;293267.0
1995-10-06;11.87;12.88;11.75;11.75;117200.0
1995-10-09;12.13;12.25;12.0;12.0;146667.0
1995-10-10;11.87;12.13;11.87;11.87;66667.0
1995-10-11;12.0;12.25;11.87;11.87;43400.0
1995-10-12;12.0;12.25;11.87;11.87;107867.0
1995-10-13;12.13;12.13;11.87;11.87;126667.0
1995-10-16;11.87;12.13;11.87;11.87;71200.0
1995-10-17;12.13;12.38;11.5;11.87;161800.0
1995-10-18;12.0;12.0;11.38;11.38;91000.0
1995-10-19;11.25;11.38;11.25;11.25;19867.0
1995-10-20;11.25;11.5;11.25;11.25;79800.0
1995-10-23;11.25;11.56;11.25;11.56;48067.0
1995-10-24;12.0;12.13;11.5;11.5;204000.0
1995-10-25;11.5;12.0;11.5;11.75;70267.0
1995-10-26;11.75;12.13;11.75;11.75;50200.0
1995-10-27;11.38;11.87;11.38;11.38;46200.0
1995-10-30;11.38;11.87;11.38;11.38;5467.0
1995-10-31;11.87;11.87;11.38;11.5;98200.0
1995-11-01;11.5;11.75;11.5;11.62;26267.0
1995-11-02;12.25;12.38;12.0;12.0;85200.0
1995-11-03;12.5;12.75;12.0;12.25;85200.0
1995-11-06;12.25;12.25;12.0;12.0;44200.0
1995-11-07;12.0;12.25;12.0;12.0;54200.0
1995-11-08;12.0;12.25;11.75;11.75;52267.0
1995-11-09;11.75;12.13;11.75;11.75;25867.0
1995-11-10;11.62;12.13;11.0;11.12;41400.0
1995-11-13;11.25;11.25;10.5;11.25;146267.0
1995-11-14;11.0;11.25;11.0;11.25;14867.0
