date;open;high;low;close;volume
1994-02-10;8.25;10.0;7.75;9.25;374300.0
1994-02-11;9.25;9.75;9.25;9.25;124500.0
1994-02-14;9.5;9.75;9.0;9.25;101000.0
1994-02-15;10.0;10.0;9.5;9.5;100100.0
1994-02-16;9.5;10.0;8.75;9.0;141000.0
1994-02-17;9.25;9.25;8.5;9.0;88000.0
1994-02-18;9.0;9.0;8.5;8.75;32600.0
1994-02-22;9.0;9.0;8.5;8.5;20600.0
1994-02-23;9.0;9.25;8.5;9.25;16000.0
1994-02-24;9.25;9.25;8.75;9.25;29700.0
1994-02-25;9.25;9.25;8.5;8.75;14400.0
1994-02-28;9.0;9.0;8.5;9.0;4200.0
1994-03-01;9.0;9.0;8.5;8.5;22400.0
1994-03-02;8.5;9.0;8.5;8.5;47000.0
1994-03-03;9.0;9.0;8.5;9.0;8900.0
1994-03-04;9.0;9.0;8.5;9.0;25000.0
1994-03-07;8.5;9.0;8.5;8.5;8200.0
1994-03-08;9.0;9.0;8.5;8.5;3500.0
1994-03-09;9.0;9.0;8.5;8.5;8100.0
1994-03-10;9.0;9.0;8.5;8.625;13200.0
1994-03-11;9.0;9.0;8.5;8.5;117400.0
1994-03-14;9.0;9.0;8.5;8.625;10900.0
1994-03-15;9.0;9.0;8.5;9.0;8100.0
1994-03-16;8.5;9.0;8.5;8.5;8300.0
1994-03-17;8.5;9.0;8.5;8.75;5700.0
1994-03-18;9.0;9.0;8.5;9.0;18200.0
1994-03-21;9.0;9.0;8.5;8.5;12500.0
1994-03-22;9.0;9.0;8.5;8.625;35700.0
1994-03-23;8.5;9.0;8.5;8.75;29800.0
1994-03-24;8.25;8.75;8.25;8.5;23600.0
1994-03-25;8.25;8.75;8.25;8.75;1600.0
1994-03-28;8.25;8.5;8.0;8.0;24500.0
1994-03-29;8.0;8.5;8.0;8.5;10000.0
1994-03-30;8.375;8.5;8.0;8.5;2600.0
1994-03-31;8.0;8.5;8.0;8.125;10700.0
1994-04-04;8.0;8.5;7.75;8.5;4600.0
1994-04-05;7.75;8.5;7.75;8.5;3900.0
1994-04-06;8.5;8.5;8.0;8.0;9200.0
1994-04-07;8.5;8.5;7.75;7.75;2000.0
1994-04-08;7.75;8.5;7.75;7.75;49800.0
1994-04-11;8.0;8.5;8.0;8.5;2900.0
1994-04-12;8.5;8.5;8.0;8.5;18000.0
1994-04-13;8.25;9.375;8.25;8.625;18700.0
1994-04-14;8.5;8.75;8.5;8.5;6200.0
1994-04-15;8.5;9.0;8.5;8.5;9400.0
1994-04-18;9.0;9.0;8.25;8.5;27300.0
1994-04-19;8.25;8.75;8.25;8.375;23000.0
1994-04-20;8.25;8.75;8.25;8.25;16100.0
1994-04-21;8.5;8.75;8.25;8.75;600.0
1994-04-22;8.25;8.75;8.25;8.25;1400.0
1994-04-25;8.75;8.75;8.25;8.75;4400.0
1994-04-26;8.25;8.75;8.25;8.75;7200.0
1994-04-28;8.0;8.75;8.0;8.0;2900.0
1994-04-29;8.5;8.75;8.0;8.75;1300.0
1994-05-02;8.5;8.75;8.0;8.5;6700.0
1994-05-03;8.0;8.75;8.0;8.0;3900.0
1994-05-04;8.0;8.25;7.75;8.25;10900.0
1994-05-05;8.25;8.25;7.75;7.75;1800.0
1994-05-06;8.25;8.25;8.25;8.25;200.0
1994-05-09;7.75;8.25;7.75;7.875;3600.0
1994-05-10;7.75;8.25;7.75;7.75;1200.0
1994-05-11;7.875;8.25;7.75;8.0;14200.0
1994-05-12;7.5;7.75;7.25;7.75;16600.0
1994-05-13;7.75;7.75;7.25;7.25;1100.0
1994-05-16;7.625;7.75;7.625;7.75;700.0
1994-05-17;7.75;7.75;7.25;7.625;5600.0
1994-05-18;7.5;7.625;7.5;7.625;1500.0
1994-05-19;7.5;7.5;7.25;7.25;900.0
1994-05-20;7.75;7.75;7.25;7.5;9800.0
1994-05-23;7.5;7.5;7.5;7.5;3800.0
1994-05-24;7.5;7.75;7.25;7.75;6100.0
1994-05-25;7.625;7.75;7.5;7.625;7600.0
1994-05-26;8.0;8.0;7.5;7.5;200.0
1994-05-27;7.5;8.0;7.5;8.0;800.0
