date;open;high;low;close;volume
1988-08-17;9.38;9.5;9.13;9.13;134100.0
1988-08-18;9.25;9.25;8.88;9.0;133100.0
1988-08-19;9.0;9.0;8.38;8.5;251700.0
1988-08-22;8.38;8.5;7.75;8.0;306100.0
1988-08-23;8.38;8.75;8.0;8.25;473600.0
1988-08-24;8.25;8.38;8.13;8.38;101700.0
1988-08-25;8.38;8.38;8.0;8.0;97300.0
1988-08-26;8.25;8.25;8.0;8.25;68600.0
1988-08-29;8.25;8.25;7.88;8.25;87200.0
1988-08-30;8.0;8.25;8.0;8.13;34700.0
1988-08-31;8.13;8.13;7.88;8.0;110900.0
1988-09-01;7.88;8.0;7.75;7.88;36600.0
1988-09-02;7.75;8.13;7.75;7.88;123300.0
1988-09-06;8.13;8.13;7.88;8.0;25600.0
1988-09-07;8.13;8.25;8.0;8.13;234400.0
1988-09-08;8.25;9.0;8.13;9.0;169400.0
1988-09-09;9.0;9.0;8.75;9.0;91300.0
1988-09-12;9.0;9.38;8.88;9.13;122700.0
1988-09-13;9.13;9.13;8.88;9.0;103100.0
1988-09-14;9.0;9.25;9.0;9.25;108600.0
1988-09-15;9.25;10.0;9.13;9.63;338300.0
1988-09-16;9.75;9.75;9.5;9.75;164200.0
1988-09-19;9.88;9.88;9.63;9.88;114400.0
1988-09-20;9.75;10.13;9.75;10.13;151300.0
1988-09-21;10.13;10.38;9.88;10.25;127200.0
1988-09-22;10.13;10.63;10.13;10.63;173300.0
1988-09-23;10.5;10.63;10.13;10.5;371900.0
1988-09-26;10.5;10.63;10.0;10.13;88800.0
1988-09-27;10.13;10.13;9.75;10.0;178100.0
1988-09-28;10.0;10.0;9.63;9.75;91900.0
1988-09-29;9.88;10.5;9.63;10.5;148600.0
1988-09-30;10.5;10.5;10.25;10.25;71400.0
1988-10-03;10.25;10.38;9.88;10.0;54100.0
1988-10-04;10.13;10.13;9.75;9.75;50600.0
1988-10-05;9.75;9.75;9.25;9.63;103600.0
1988-10-06;9.38;9.5;9.25;9.25;43000.0
1988-10-07;9.38;9.38;8.88;9.13;86700.0
1988-10-10;9.0;9.38;9.0;9.25;63900.0
1988-10-11;9.5;10.38;9.5;10.0;451600.0
1988-10-12;10.0;10.13;9.88;10.13;82200.0
1988-10-13;10.0;10.38;10.0;10.25;121600.0
1988-10-14;10.25;10.88;10.25;10.63;252200.0
1988-10-17;10.63;10.75;10.5;10.63;73900.0
1988-10-18;10.75;11.0;10.63;10.88;171200.0
1988-10-19;11.13;11.38;11.0;11.13;271100.0
1988-10-20;11.13;12.13;11.13;12.13;533600.0
1988-10-21;12.25;12.25;11.75;11.88;214200.0
1988-10-24;12.0;12.38;11.88;12.25;163000.0
1988-10-25;12.25;12.63;12.25;12.5;144200.0
1988-10-26;12.25;12.5;11.88;11.88;150800.0
1988-10-27;11.88;12.0;11.5;11.75;182200.0
1988-10-28;11.88;12.0;11.75;12.0;68300.0
1988-10-31;12.0;12.25;11.88;11.88;85800.0
1988-11-01;12.13;12.13;11.5;11.88;142500.0
1988-11-02;11.75;11.88;11.25;11.38;142300.0
1988-11-03;11.25;11.5;11.13;11.5;64800.0
1988-11-04;11.25;11.5;11.13;11.38;40900.0
1988-11-07;11.25;11.5;11.0;11.25;103100.0
1988-11-08;11.5;11.88;11.38;11.75;105600.0
1988-11-09;11.63;12.0;11.5;12.0;120600.0
1988-11-10;12.0;12.13;11.75;11.88;81900.0
1988-11-11;11.88;12.0;11.63;12.0;59200.0
1988-11-14;11.88;11.88;11.63;11.88;26100.0
1988-11-15;11.88;11.88;11.75;11.88;22500.0
1988-11-16;11.88;11.88;11.63;11.63;89400.0
1988-11-17;11.5;11.63;10.38;10.5;265200.0
1988-11-18;10.63;11.0;10.5;10.88;154500.0
1988-11-21;10.75;10.75;10.13;10.13;109700.0
1988-11-22;10.25;10.25;9.75;10.0;203600.0
1988-11-23;10.0;10.13;9.88;10.13;111700.0
1988-11-25;10.0;10.13;9.88;10.0;100200.0
1988-11-28;10.0;10.5;9.88;10.5;61400.0
1988-11-29;10.88;10.88;10.5;10.88;79400.0
1988-11-30;11.0;11.13;10.75;10.88;60800.0
1988-12-01;11.13;11.13;10.75;11.13;110300.0
1988-12-02;10.88;11.75;10.88;11.75;660000.0
1988-12-05;11.88;12.0;11.63;12.0;78300.0
1988-12-06;11.88;12.0;11.63;12.0;32500.0
1988-12-07;12.0;12.0;11.75;11.88;80200.0
1988-12-08;11.75;11.88;11.13;11.25;210800.0
1988-12-09;11.13;11.13;10.88;11.13;62500.0
1988-12-12;11.13;11.38;11.0;11.38;80500.0
1988-12-13;11.38;11.38;11.13;11.25;35300.0
1988-12-14;11.25;11.25;10.38;10.5;88300.0
1988-12-15;10.63;11.0;10.38;10.5;303000.0
1988-12-16;10.63;10.63;10.5;10.63;82700.0
1988-12-19;10.5;10.63;10.25;10.25;100000.0
1988-12-20;10.25;10.25;9.63;9.88;240300.0
1988-12-21;9.88;10.0;9.75;10.0;88800.0
1988-12-22;10.0;10.0;9.75;9.88;112300.0
1988-12-23;9.88;10.0;9.63;9.75;178000.0
1988-12-27;9.75;9.88;9.63;9.88;35500.0
1988-12-28;9.88;9.88;9.5;9.63;105900.0
1988-12-29;9.75;9.88;9.5;9.75;79500.0
1988-12-30;9.75;10.13;9.75;10.0;204700.0
1989-01-03;10.13;10.13;9.88;10.13;34500.0
1989-01-04;10.13;10.63;10.13;10.38;113600.0
1989-01-05;10.63;10.63;10.0;10.13;175000.0
1989-01-06;10.0;10.0;8.88;9.13;570900.0
1989-01-09;9.13;9.25;8.25;8.75;468900.0
1989-01-10;8.88;9.25;8.75;9.0;214700.0
1989-01-11;8.88;9.25;8.88;9.25;89800.0
1989-01-12;9.38;9.5;9.25;9.38;54700.0
1989-01-13;9.5;9.5;9.13;9.38;156300.0
1989-01-16;9.38;9.5;9.0;9.13;73400.0
1989-01-17;9.0;9.0;8.63;8.63;110200.0
1989-01-18;8.75;9.25;8.63;9.25;94100.0
1989-01-19;9.25;9.38;9.13;9.13;28000.0
1989-01-20;9.25;9.25;8.88;9.13;83100.0
1989-01-23;9.13;9.13;8.75;8.75;93900.0
1989-01-24;8.88;8.88;8.5;8.75;177500.0
1989-01-25;8.75;8.88;8.63;8.75;90800.0
1989-01-26;8.75;8.75;8.25;8.63;332700.0
1989-01-27;8.5;8.5;8.13;8.25;258900.0
1989-01-30;8.25;8.88;8.0;8.88;178300.0
1989-01-31;8.75;9.63;8.75;9.5;270200.0
1989-02-01;9.63;9.63;8.88;8.88;139500.0
1989-02-02;9.0;9.0;8.0;8.5;364700.0
1989-02-03;8.5;9.0;8.38;8.88;321300.0
1989-02-06;9.0;9.0;8.75;8.88;114400.0
1989-02-07;8.88;9.0;8.88;9.0;72300.0
1989-02-08;9.0;9.0;8.5;8.5;141400.0
1989-02-09;8.63;8.75;8.38;8.5;92500.0
1989-02-10;8.5;8.63;8.25;8.38;123800.0
1989-02-13;8.5;8.5;8.25;8.5;101700.0
1989-02-14;8.5;8.63;8.25;8.38;165600.0
1989-02-15;8.38;8.5;8.25;8.5;37800.0
1989-02-16;8.5;8.5;8.25;8.38;113400.0
1989-02-17;8.38;8.38;7.5;7.63;724500.0
1989-02-21;7.63;8.0;7.5;8.0;286100.0
1989-02-22;8.0;8.13;7.75;8.0;115500.0
1989-02-23;8.0;8.13;7.75;7.75;87000.0
1989-02-24;7.75;7.88;7.38;7.63;100200.0
1989-02-27;7.63;7.63;7.38;7.63;50300.0
1989-02-28;7.63;8.13;7.63;7.88;213100.0
1989-03-01;7.5;7.63;6.88;7.13;662000.0
1989-03-02;7.25;7.38;7.0;7.38;129200.0
1989-03-03;7.25;7.38;7.25;7.25;46400.0
1989-03-06;7.38;7.5;7.25;7.25;63900.0
1989-03-07;7.5;7.5;7.0;7.0;132000.0
1989-03-08;7.0;7.0;6.75;6.88;160300.0
1989-03-09;6.88;7.13;6.5;7.13;287200.0
1989-03-10;6.75;7.13;6.75;7.13;72300.0
1989-03-13;7.13;7.38;7.0;7.13;73400.0
1989-03-14;7.38;7.38;6.88;7.13;113600.0
1989-03-15;7.13;7.13;7.0;7.13;20800.0
1989-03-16;7.13;7.38;7.0;7.25;45000.0
1989-03-17;7.13;7.38;7.0;7.25;65500.0
1989-03-20;7.38;7.38;7.0;7.0;41100.0
1989-03-21;7.13;7.38;7.13;7.13;58900.0
1989-03-22;7.38;7.38;6.88;6.88;219200.0
1989-03-23;6.88;7.25;6.88;7.0;40000.0
1989-03-27;7.0;7.25;7.0;7.25;12000.0
1989-03-28;7.25;7.25;7.13;7.13;33400.0
1989-03-29;7.25;7.25;7.13;7.13;65200.0
1989-03-30;7.25;7.25;7.13;7.13;56100.0
1989-03-31;7.25;7.25;7.13;7.13;70900.0
1989-04-03;7.13;7.25;7.0;7.25;52200.0
1989-04-04;7.13;7.13;7.0;7.0;6600.0
1989-04-05;7.13;7.25;7.0;7.25;8100.0
1989-04-06;7.0;7.25;7.0;7.0;151700.0
1989-04-07;7.13;8.0;7.0;7.63;277800.0
1989-04-10;7.75;8.25;7.63;7.88;102800.0
1989-04-11;8.0;8.25;7.88;8.13;62200.0
1989-04-12;8.13;8.13;7.88;8.0;42500.0
1989-04-13;8.13;8.13;7.38;7.75;50900.0
1989-04-14;7.75;7.88;7.63;7.75;64800.0
1989-04-17;7.88;7.88;7.63;7.75;55500.0
1989-04-18;8.0;8.13;7.75;8.13;145000.0
1989-04-19;8.13;8.13;7.88;7.88;92700.0
1989-04-20;8.13;8.13;7.88;8.13;194400.0
1989-04-21;8.13;8.13;8.0;8.13;60500.0
1989-04-24;8.25;8.25;7.88;7.88;37200.0
1989-04-25;8.13;8.13;7.88;8.0;29500.0
1989-04-26;7.88;8.0;7.75;7.88;25300.0
1989-04-27;7.88;7.88;7.63;7.88;28100.0
1989-04-28;7.88;7.88;7.63;7.88;31900.0
1989-05-01;7.88;7.88;7.63;7.88;81900.0
1989-05-02;7.88;7.88;7.63;7.88;32800.0
1989-05-03;7.88;7.88;7.63;7.75;32200.0
1989-05-04;7.88;7.88;7.63;7.75;24500.0
1989-05-05;7.88;7.88;7.63;7.63;35500.0
1989-05-08;7.75;7.75;7.5;7.63;23600.0
1989-05-09;7.75;7.75;7.25;7.25;40900.0
1989-05-10;7.25;7.38;7.0;7.25;44500.0
1989-05-11;7.13;7.5;7.13;7.25;112300.0
1989-05-12;7.5;7.5;7.13;7.25;106300.0
1989-05-15;7.38;7.38;7.13;7.25;52800.0
1989-05-16;7.25;7.25;6.88;7.13;87500.0
1989-05-17;7.0;7.25;6.88;7.25;69500.0
1989-05-18;7.38;7.38;7.13;7.38;60600.0
1989-05-19;7.25;7.63;7.25;7.38;511700.0
1989-05-22;7.38;7.5;6.88;7.0;324800.0
1989-05-23;6.88;7.38;6.63;7.38;294400.0
1989-05-24;7.38;8.13;7.25;8.13;191100.0
1989-05-25;8.13;8.63;7.88;8.5;259200.0
1989-05-26;8.5;8.88;8.5;8.75;125800.0
1989-05-30;8.75;8.88;8.13;8.63;143800.0
1989-05-31;8.63;8.63;8.38;8.5;40800.0
1989-06-01;8.5;8.63;8.38;8.38;43300.0
1989-06-02;8.38;8.63;8.38;8.5;67800.0
1989-06-05;8.5;8.5;8.25;8.25;45500.0
1989-06-06;8.25;8.25;7.88;8.0;83900.0
1989-06-07;8.0;8.38;8.0;8.25;51100.0
1989-06-08;8.38;8.38;8.0;8.13;38100.0
1989-06-09;7.88;8.0;7.88;7.88;20200.0
1989-06-12;7.88;8.0;7.63;7.88;52700.0
1989-06-13;7.88;8.0;7.88;7.88;16700.0
1989-06-14;8.0;8.0;7.63;7.88;110900.0
1989-06-15;7.88;8.0;7.75;7.75;28900.0
1989-06-16;7.75;8.0;7.75;7.88;27300.0
1989-06-19;7.75;8.0;7.63;7.75;36100.0
1989-06-20;7.75;8.0;7.63;7.75;73800.0
1989-06-21;7.88;8.0;7.63;7.63;140200.0
1989-06-22;7.88;8.0;7.75;7.75;45300.0
1989-06-23;7.75;8.0;7.75;7.88;36300.0
1989-06-26;7.75;8.0;7.75;8.0;44700.0
1989-06-27;8.0;8.25;7.88;8.13;81900.0
1989-06-28;8.25;8.25;7.88;8.0;44400.0
1989-06-29;7.88;8.13;7.88;8.13;52800.0
1989-06-30;8.0;8.0;7.75;7.88;62300.0
1989-07-03;7.88;8.0;7.88;7.88;6400.0
1989-07-05;8.0;8.0;7.75;7.88;6600.0
1989-07-06;8.0;8.13;8.0;8.0;25800.0
1989-07-07;8.0;8.25;8.0;8.25;23300.0
1989-07-10;8.25;8.25;8.0;8.0;19700.0
1989-07-11;8.13;8.25;8.0;8.0;22000.0
1989-07-12;8.0;8.13;8.0;8.13;16100.0
1989-07-13;8.13;8.13;7.88;7.88;20300.0
1989-07-14;7.88;8.0;7.88;7.88;14100.0
1989-07-17;8.0;8.0;7.88;7.88;20200.0
1989-07-18;7.88;7.88;7.75;7.75;23600.0
1989-07-19;7.63;7.88;7.5;7.5;43400.0
1989-07-20;7.63;7.63;7.13;7.25;64500.0
1989-07-21;7.0;7.38;7.0;7.38;37700.0
1989-07-24;7.13;7.63;7.13;7.5;63400.0
1989-07-25;7.63;7.63;7.25;7.38;44400.0
1989-07-26;7.25;7.25;6.25;7.13;653100.0
1989-07-27;7.0;7.13;6.5;6.75;233100.0
1989-07-28;6.63;6.88;6.63;6.75;93000.0
1989-07-31;6.88;6.88;6.5;6.75;120900.0
1989-08-01;6.63;6.75;6.63;6.75;34200.0
1989-08-02;6.75;7.0;6.63;6.88;59800.0
1989-08-03;7.0;7.0;6.88;6.88;24100.0
1989-08-04;6.88;7.25;6.88;7.0;19800.0
1989-08-07;7.25;7.25;7.13;7.13;37700.0
1989-08-08;7.25;7.38;7.13;7.25;73000.0
1989-08-09;7.38;7.5;7.25;7.38;115200.0
1989-08-10;7.38;7.38;7.25;7.25;55300.0
1989-08-11;7.38;7.38;7.13;7.25;82200.0
1989-08-14;7.13;7.38;7.13;7.13;10200.0
1989-08-15;7.38;7.38;7.13;7.13;32200.0
1989-08-16;7.25;7.25;7.13;7.13;10600.0
1989-08-17;7.13;7.25;7.0;7.0;81600.0
1989-08-18;7.25;7.38;7.0;7.38;49100.0
1989-08-21;7.13;7.5;7.13;7.38;35900.0
1989-08-22;7.38;7.75;7.25;7.63;66700.0
1989-08-23;7.5;7.75;7.5;7.63;28600.0
1989-08-24;7.5;7.63;7.5;7.5;93300.0
1989-08-25;7.63;7.88;7.5;7.75;28600.0
1989-08-28;7.5;7.75;7.5;7.63;11600.0
1989-08-29;7.5;7.75;7.38;7.38;11200.0
1989-08-30;7.38;7.63;7.13;7.13;53900.0
1989-08-31;7.38;7.38;7.0;7.0;12000.0
1989-09-01;7.0;7.13;7.0;7.0;13100.0
1989-09-05;7.13;7.13;7.0;7.0;31300.0
1989-09-06;6.88;7.0;6.75;6.88;26300.0
1989-09-07;6.88;6.88;6.75;6.75;44200.0
1989-09-08;6.88;6.88;6.75;6.75;11400.0
1989-09-11;6.88;6.88;6.63;6.75;23300.0
1989-09-12;6.88;6.88;6.63;6.75;20200.0
1989-09-13;6.75;7.0;6.75;6.88;48800.0
1989-09-14;6.88;6.88;6.75;6.75;23100.0
1989-09-15;6.88;7.13;6.75;7.0;26100.0
1989-09-18;7.13;7.13;6.75;6.75;36900.0
1989-09-19;6.75;7.13;6.75;7.13;30300.0
1989-09-20;6.88;7.13;6.88;6.88;25300.0
1989-09-21;7.13;7.25;7.0;7.0;61700.0
1989-09-22;7.13;7.13;7.0;7.13;21400.0
1989-09-25;7.13;7.13;7.0;7.0;10600.0
1989-09-26;7.0;7.13;7.0;7.13;19700.0
1989-09-27;6.88;7.0;6.75;7.0;47200.0
1989-09-28;7.0;7.13;6.88;7.0;41900.0
1989-09-29;7.0;7.13;6.88;7.13;53000.0
1989-10-02;7.13;7.13;7.0;7.0;7500.0
1989-10-03;7.13;7.25;7.0;7.13;44700.0
1989-10-04;7.25;7.25;7.0;7.0;20000.0
1989-10-05;7.0;7.25;7.0;7.25;48400.0
1989-10-06;7.25;7.25;7.0;7.25;40800.0
1989-10-09;7.13;7.25;7.13;7.13;50600.0
1989-10-10;7.38;7.75;7.25;7.5;89800.0
1989-10-11;7.5;7.63;7.25;7.5;33300.0
1989-10-12;7.5;7.5;7.25;7.25;9800.0
1989-10-13;7.25;7.5;7.13;7.13;112300.0
