date;open;high;low;close;volume
1995-06-21;18.0;18.0;17.0;17.0;2956800.0
1995-06-22;17.0;17.25;15.5;16.0;751800.0
1995-06-23;16.0;16.25;16.0;16.0;166700.0
1995-06-26;16.25;16.25;16.0;16.25;148500.0
1995-06-27;16.25;16.25;14.25;15.0;372300.0
1995-06-28;15.0;15.13;14.5;14.75;197000.0
1995-06-29;14.75;15.25;14.75;15.25;36400.0
1995-06-30;15.25;15.25;14.75;15.25;52600.0
1995-07-03;15.25;15.25;14.75;14.75;24000.0
1995-07-05;15.25;15.25;14.5;14.5;307200.0
1995-07-06;15.0;15.0;14.5;14.5;135100.0
1995-07-07;15.13;15.13;14.5;14.5;13500.0
1995-07-10;14.5;15.13;14.5;14.75;67600.0
1995-07-11;15.13;15.13;14.5;14.5;52800.0
1995-07-12;14.5;15.0;14.5;15.0;172100.0
1995-07-13;15.0;15.25;14.5;15.25;13400.0
1995-07-14;15.0;15.5;15.0;15.5;25000.0
1995-07-17;15.38;15.75;15.0;15.5;42900.0
1995-07-18;15.5;16.25;15.13;15.5;140400.0
1995-07-19;16.0;16.0;15.0;15.0;62400.0
1995-07-20;15.75;15.75;14.5;14.5;76200.0
1995-07-21;15.25;15.25;14.5;14.75;113900.0
1995-07-24;15.25;15.25;14.5;15.25;4700.0
1995-07-25;14.5;15.25;14.5;14.5;6000.0
1995-07-26;15.25;15.25;14.5;14.5;86500.0
1995-07-27;14.5;15.25;14.5;14.5;6100.0
1995-07-28;14.5;15.25;14.5;15.0;124200.0
1995-07-31;14.5;15.25;14.5;15.25;20300.0
1995-08-01;14.75;15.25;14.75;14.75;13200.0
1995-08-02;15.25;15.25;14.75;15.25;43900.0
1995-08-03;15.25;15.25;14.75;14.75;14000.0
1995-08-04;14.75;15.25;14.75;15.25;8600.0
1995-08-07;15.25;15.25;14.75;14.75;39400.0
1995-08-08;15.25;15.25;14.88;15.25;17300.0
1995-08-09;14.75;15.25;14.75;15.25;39300.0
1995-08-10;15.25;15.25;14.75;15.0;87400.0
1995-08-11;15.25;15.25;15.0;15.25;12200.0
1995-08-14;15.25;15.25;15.13;15.13;13400.0
1995-08-15;15.0;15.5;15.0;15.0;56800.0
1995-08-16;15.0;15.25;15.0;15.0;50100.0
1995-08-17;15.25;15.25;15.0;15.25;10800.0
1995-08-18;15.25;15.25;15.0;15.0;4700.0
1995-08-21;15.0;15.25;15.0;15.0;9400.0
1995-08-22;15.0;15.25;15.0;15.0;23700.0
1995-08-23;15.0;15.5;14.75;15.0;375300.0
1995-08-24;15.0;16.0;15.0;15.75;108700.0
1995-08-25;16.25;16.5;15.5;15.5;33700.0
1995-08-28;15.5;16.25;15.5;15.5;28500.0
1995-08-29;16.25;16.25;15.25;16.0;33100.0
1995-08-30;15.0;16.25;15.0;16.25;336600.0
1995-08-31;16.25;16.25;15.25;16.0;22000.0
1995-09-01;16.25;16.25;15.25;15.75;7400.0
1995-09-05;16.25;16.25;15.25;15.5;56200.0
1995-09-06;16.0;16.0;15.25;16.0;82200.0
1995-09-07;15.88;16.25;15.5;15.5;38900.0
1995-09-08;16.25;16.5;15.75;16.13;66300.0
1995-09-11;16.0;16.5;15.75;16.5;6600.0
1995-09-12;16.5;16.5;15.75;16.0;25200.0
1995-09-13;15.75;16.5;15.75;16.5;25800.0
1995-09-14;16.38;16.5;15.75;16.13;33300.0
1995-09-15;15.75;16.5;15.75;15.75;49000.0
1995-09-18;15.75;16.25;15.75;15.75;27300.0
1995-09-19;15.75;16.5;15.75;16.25;343600.0
1995-09-20;17.0;17.0;16.5;17.0;189600.0
1995-09-21;17.0;17.0;16.5;16.5;17000.0
1995-09-22;16.5;17.0;16.5;16.5;32200.0
1995-09-25;17.0;17.0;16.25;16.25;27000.0
1995-09-26;16.25;16.5;13.25;13.63;113500.0
1995-09-27;13.75;14.0;12.0;14.0;136800.0
1995-09-28;14.0;14.0;13.25;13.5;193700.0
1995-09-29;14.0;14.75;13.75;14.5;107700.0
1995-10-02;14.5;14.5;14.0;14.5;74900.0
1995-10-03;14.5;14.75;14.0;14.5;47300.0
1995-10-04;14.75;14.75;13.75;14.0;51600.0
1995-10-05;14.25;14.25;13.5;13.5;17100.0
1995-10-06;14.25;14.25;13.25;13.63;22200.0
1995-10-09;14.25;14.25;12.25;13.0;41800.0
1995-10-10;13.0;13.0;12.25;13.0;10500.0
1995-10-11;13.0;13.0;12.25;12.25;19200.0
1995-10-12;12.25;13.0;12.25;13.0;49400.0
1995-10-13;12.25;13.0;12.25;12.75;14900.0
1995-10-16;13.0;15.75;12.5;15.5;205800.0
