date;open;high;low;close;volume
1991-03-12;7.75;8.375;7.375;8.0;599000.0
1991-03-13;8.125;8.375;8.0;8.125;129000.0
1991-03-14;8.0;8.25;8.0;8.0;65200.0
1991-03-15;8.0;8.25;7.875;8.0;105800.0
1991-03-18;8.0;8.25;7.875;7.875;21600.0
1991-03-19;7.875;8.0;7.875;7.875;28400.0
1991-03-20;7.875;8.0;7.75;7.75;49300.0
1991-03-21;7.875;7.875;7.625;7.625;75900.0
1991-03-22;7.875;7.875;7.625;7.625;20200.0
1991-03-25;7.625;7.875;7.625;7.875;16500.0
1991-03-26;7.75;7.875;7.75;7.75;96000.0
1991-03-27;7.875;8.125;7.75;7.875;93500.0
1991-03-28;7.875;8.125;7.875;8.0;31600.0
1991-04-01;8.875;9.0;8.25;8.375;169800.0
1991-04-02;8.75;9.0;8.375;8.75;103200.0
1991-04-03;9.125;9.125;8.75;9.0;61400.0
1991-04-04;9.125;9.25;8.875;9.125;67400.0
1991-04-05;9.25;9.375;8.875;9.125;140600.0
1991-04-08;9.125;9.125;8.875;9.125;78500.0
1991-04-09;9.125;9.25;8.875;9.125;114400.0
1991-04-10;9.25;9.25;8.875;8.875;22600.0
1991-04-11;9.25;9.375;9.0;9.125;110900.0
1991-04-12;9.125;9.375;9.125;9.125;71400.0
1991-04-15;9.375;9.375;9.125;9.375;37600.0
1991-04-16;9.375;9.375;9.125;9.125;56600.0
1991-04-17;9.375;9.375;9.125;9.125;15000.0
1991-04-18;9.125;9.25;9.125;9.25;7700.0
1991-04-19;9.25;9.375;9.125;9.125;35200.0
1991-04-22;9.125;9.375;9.0;9.0;70400.0
1991-04-23;9.0;9.25;8.75;8.75;12500.0
1991-04-24;8.75;9.0;8.75;9.0;4600.0
1991-04-25;8.75;9.0;8.75;8.875;9000.0
1991-04-26;8.875;8.875;8.75;8.75;3600.0
1991-04-29;8.875;8.875;8.625;8.625;7500.0
1991-04-30;8.75;8.75;8.25;8.25;20700.0
1991-05-01;8.25;8.75;8.25;8.75;5300.0
1991-05-02;8.25;8.75;8.25;8.375;84000.0
1991-05-03;8.5;8.75;8.25;8.75;28000.0
1991-05-06;8.5;8.75;8.125;8.375;21300.0
1991-05-07;8.375;8.375;8.0;8.0;2200.0
1991-05-08;8.0;8.375;7.875;8.375;28400.0
1991-05-09;8.125;8.5;8.125;8.25;23100.0
1991-05-10;8.375;8.375;8.375;8.375;1800.0
1991-05-13;8.375;8.5;8.25;8.375;4300.0
1991-05-14;8.25;8.5;8.125;8.25;21800.0
1991-05-15;8.375;8.75;8.0;8.0;28500.0
1991-05-16;8.25;8.5;7.875;8.125;5800.0
1991-05-17;8.25;8.375;8.25;8.25;5100.0
1991-05-20;8.25;8.25;8.25;8.25;500.0
1991-05-21;8.125;8.5;8.0;8.0;10800.0
1991-05-22;8.125;8.25;8.0;8.0;15800.0
1991-05-23;8.0;8.5;8.0;8.125;22000.0
1991-05-24;7.875;7.875;7.875;7.875;1500.0
1991-05-28;8.25;8.25;7.875;8.125;9300.0
1991-05-29;7.875;8.25;7.875;8.0;6400.0
1991-05-30;8.25;8.25;7.875;8.25;3900.0
