date;open;high;low;close;volume
1994-02-14;16.25;16.25;15.5;15.75;568400.0
1994-02-15;15.75;16.25;15.5;15.75;371300.0
1994-02-16;16.25;16.25;15.75;16.0;269300.0
1994-02-17;16.25;16.25;16.0;16.0;210200.0
1994-02-18;15.75;16.25;15.75;16.25;196800.0
1994-02-22;15.75;16.25;15.75;16.0;74600.0
1994-02-23;16.0;16.25;15.5;15.5;117500.0
1994-02-24;15.5;16.25;15.5;15.5;137400.0
1994-02-25;15.5;16.25;15.5;15.5;7500.0
1994-02-28;16.25;16.25;15.5;15.5;264800.0
1994-03-01;15.5;16.25;15.5;15.5;348000.0
1994-03-02;15.25;15.75;15.25;15.25;71000.0
1994-03-03;15.25;16.0;15.25;15.5;40400.0
1994-03-04;15.25;16.0;15.25;15.25;15600.0
1994-03-07;15.25;16.0;15.25;16.0;1900.0
1994-03-08;16.0;16.0;15.0;15.75;104800.0
1994-03-09;15.75;16.25;15.25;16.25;67800.0
1994-03-10;16.25;18.0;16.25;18.0;79300.0
1994-03-11;18.0;18.25;17.25;18.25;61100.0
1994-03-14;18.25;19.75;18.0;19.13;115300.0
1994-03-15;19.75;19.75;18.5;18.5;50100.0
1994-03-16;18.5;19.0;17.75;18.13;35000.0
1994-03-17;17.75;18.5;17.75;18.5;1600.0
1994-03-18;17.75;18.5;17.25;17.25;10400.0
1994-03-21;17.75;18.25;17.0;18.25;47300.0
1994-03-22;18.25;18.25;17.75;17.75;23700.0
1994-03-23;18.25;18.25;17.75;18.0;20100.0
1994-03-24;18.0;18.25;17.75;17.88;71800.0
1994-03-25;17.75;18.25;17.75;18.25;8700.0
1994-03-28;18.25;18.5;17.75;18.5;87300.0
1994-03-29;18.25;18.25;17.75;17.75;22700.0
1994-03-30;17.75;18.0;17.25;17.25;51800.0
1994-03-31;17.25;17.25;15.5;16.25;229300.0
1994-04-04;15.25;15.5;14.5;15.0;87400.0
1994-04-05;16.0;16.0;15.5;16.0;12500.0
1994-04-06;16.25;16.25;15.5;16.25;4300.0
1994-04-07;16.25;16.25;16.0;16.0;10700.0
1994-04-08;16.25;16.25;15.5;16.25;18200.0
1994-04-11;15.5;15.75;15.5;15.5;3500.0
1994-04-12;16.25;16.25;15.5;15.5;20600.0
1994-04-13;15.63;15.75;15.0;15.5;21400.0
1994-04-14;15.5;15.5;15.0;15.25;25400.0
1994-04-15;15.5;15.5;14.25;15.0;32700.0
1994-04-18;15.0;15.0;14.5;14.5;23300.0
1994-04-19;14.88;15.0;13.25;13.5;92800.0
1994-04-20;13.5;14.0;13.0;13.5;30100.0
1994-04-21;13.5;13.5;12.5;12.5;23300.0
1994-04-22;12.63;12.75;12.5;12.75;22900.0
1994-04-25;12.75;12.75;12.5;12.5;119600.0
1994-04-26;12.75;12.75;12.5;12.5;59600.0
1994-04-28;12.75;12.75;12.25;12.63;215400.0
1994-04-29;13.0;14.0;12.63;14.0;97700.0
1994-05-02;14.0;14.75;14.0;14.5;24900.0
1994-05-03;15.5;16.0;15.25;15.88;138200.0
1994-05-04;16.0;16.0;15.5;15.75;23200.0
1994-05-05;15.5;16.0;15.5;15.75;10900.0
1994-05-06;15.75;15.75;15.25;15.25;43700.0
1994-05-09;15.5;15.75;15.0;15.0;26500.0
1994-05-10;15.5;15.75;15.0;15.13;22000.0
1994-05-11;15.75;15.75;15.0;15.75;9500.0
1994-05-12;15.0;15.0;15.0;15.0;300.0
1994-05-13;15.5;15.5;15.13;15.13;7300.0
1994-05-16;15.0;15.25;14.5;14.5;9500.0
1994-05-17;15.25;15.25;12.75;13.25;43100.0
1994-05-18;13.75;14.0;13.5;14.0;10000.0
1994-05-19;14.0;14.0;13.5;13.63;79100.0
1994-05-20;14.0;14.25;14.0;14.25;11000.0
1994-05-23;13.5;14.25;13.5;14.25;4200.0
1994-05-24;13.5;14.25;13.5;14.25;0.0
1994-05-25;13.5;14.25;13.5;14.25;0.0
1994-05-26;14.25;14.25;14.0;14.0;4000.0
1994-05-27;13.5;13.88;13.5;13.88;5200.0
1994-05-31;14.0;14.0;14.0;14.0;1000.0
1994-06-01;13.5;13.5;13.5;13.5;1600.0
1994-06-02;13.5;13.75;13.5;13.75;5700.0
1994-06-03;13.5;14.0;13.5;13.75;30100.0
1994-06-06;14.0;14.0;13.5;14.0;4100.0
1994-06-07;14.0;14.0;14.0;14.0;0.0
1994-06-08;14.0;16.5;14.0;16.5;51000.0
1994-06-09;16.0;16.5;15.25;15.25;44800.0
1994-06-10;15.25;15.5;15.0;15.0;97800.0
1994-06-13;15.0;15.5;15.0;15.38;3000.0
1994-06-14;15.0;15.75;14.5;14.63;76900.0
1994-06-15;15.0;15.25;14.5;14.5;61500.0
1994-06-16;14.5;15.25;14.5;14.88;12500.0
1994-06-17;14.88;14.88;14.5;14.5;1200.0
1994-06-20;15.0;15.0;14.25;15.0;199800.0
1994-06-21;15.0;15.0;14.0;14.25;671900.0
1994-06-22;14.5;14.75;14.25;14.75;7100.0
1994-06-23;14.5;14.5;14.25;14.25;4000.0
1994-06-24;14.5;14.5;14.5;14.5;3000.0
1994-06-27;14.25;14.75;14.25;14.5;5700.0
1994-06-28;14.5;15.0;14.25;15.0;7100.0
1994-06-29;15.0;15.75;15.0;15.5;16300.0
1994-06-30;15.0;15.75;15.0;15.5;7800.0
1994-07-01;15.0;16.0;15.0;15.75;4700.0
1994-07-05;15.0;16.0;15.0;15.75;0.0
1994-07-06;15.5;16.0;15.25;16.0;21600.0
1994-07-07;15.5;16.25;15.5;16.0;37300.0
1994-07-08;15.75;16.25;15.75;16.25;25300.0
1994-07-11;16.25;16.25;15.75;15.75;49700.0
1994-07-12;15.88;16.25;15.75;16.25;33100.0
1994-07-13;15.75;16.25;15.75;16.0;9700.0
1994-07-14;17.75;18.0;17.0;17.5;103200.0
1994-07-15;17.0;17.75;17.0;17.75;17800.0
1994-07-18;17.0;18.5;17.0;18.13;50200.0
1994-07-19;17.75;18.5;17.0;18.0;51600.0
1994-07-20;17.0;17.75;17.0;17.75;18900.0
1994-07-21;17.0;17.75;17.0;17.25;5100.0
1994-07-22;17.0;18.0;17.0;18.0;29800.0
1994-07-25;18.5;18.5;17.75;18.13;14200.0
1994-07-26;17.69;18.25;17.5;18.25;57300.0
1994-07-27;17.63;18.25;17.5;18.25;8500.0
1994-07-28;17.5;18.25;17.5;18.0;6800.0
1994-07-29;17.5;18.0;17.25;18.0;216500.0
1994-08-01;17.0;17.5;16.0;16.5;73000.0
1994-08-02;17.25;17.25;16.5;17.0;10600.0
1994-08-03;16.25;16.75;16.25;16.75;14200.0
1994-08-04;16.25;16.5;16.0;16.5;8100.0
1994-08-05;16.25;16.25;15.5;15.5;4800.0
1994-08-08;15.5;15.75;14.5;14.5;27700.0
1994-08-09;15.0;15.0;14.0;14.25;55900.0
1994-08-10;14.25;14.25;13.75;14.25;26000.0
1994-08-11;14.0;14.5;13.75;14.5;85200.0
1994-08-12;14.75;14.75;14.0;14.75;21400.0
1994-08-15;14.75;14.75;14.25;14.75;44900.0
1994-08-16;14.5;15.0;14.5;15.0;241200.0
1994-08-17;15.0;17.25;15.0;17.25;661000.0
1994-08-18;17.75;18.75;17.25;18.75;661000.0
1994-08-19;19.0;20.0;18.5;20.0;718000.0
1994-08-22;20.5;22.0;20.5;21.75;698400.0
1994-08-23;21.75;21.75;19.75;21.75;691800.0
1994-08-24;21.0;21.75;19.75;21.75;407500.0
1994-08-25;21.75;21.75;21.0;21.25;95500.0
1994-08-26;21.75;21.75;21.0;21.5;177000.0
1994-08-29;21.0;21.5;21.0;21.38;160600.0
1994-08-30;21.0;22.75;21.0;22.75;706400.0
1994-08-31;22.75;23.25;22.0;23.25;596400.0
1994-09-01;23.25;23.25;21.75;23.25;239900.0
1994-09-02;23.25;23.75;22.5;23.5;137900.0
1994-09-06;23.75;23.75;22.25;23.25;87200.0
1994-09-07;21.5;24.25;21.25;24.0;289100.0
1994-09-08;23.5;24.5;23.25;24.0;105600.0
1994-09-09;23.0;24.0;23.0;24.0;93200.0
1994-09-12;24.0;24.0;23.0;23.25;35700.0
1994-09-13;23.25;23.88;23.0;23.75;103200.0
1994-09-14;22.75;23.75;22.75;23.0;17900.0
1994-09-15;22.75;23.5;22.75;23.25;26900.0
1994-09-16;23.25;23.75;22.5;23.25;42700.0
1994-09-19;22.75;23.5;22.75;23.5;144500.0
1994-09-20;22.75;23.25;22.5;23.25;51100.0
1994-09-21;22.5;23.25;22.25;22.5;25000.0
1994-09-22;22.0;22.13;21.25;21.88;118500.0
1994-09-23;22.0;22.0;20.75;21.5;33300.0
1994-09-26;21.75;21.75;19.75;20.5;99600.0
1994-09-27;20.5;22.0;20.0;21.5;54800.0
1994-09-28;22.0;22.5;21.25;22.0;48000.0
1994-09-29;22.5;22.5;21.56;22.25;112900.0
1994-09-30;21.88;22.25;21.56;22.19;22900.0
1994-10-03;21.5;22.25;21.5;22.25;11800.0
1994-10-04;21.88;22.25;21.0;21.0;143400.0
1994-10-05;20.5;21.25;20.5;20.88;91300.0
1994-10-06;20.5;21.0;20.5;21.0;6300.0
1994-10-07;20.5;21.25;20.5;20.5;35000.0
1994-10-10;20.75;21.25;20.25;20.5;37200.0
1994-10-11;20.25;21.75;20.25;21.75;89100.0
1994-10-12;21.75;21.75;21.0;21.0;10300.0
1994-10-13;21.25;22.0;21.25;22.0;115800.0
