date;open;high;low;close;volume
1991-06-28;8.75;9.25;8.75;9.25;81300.0
1991-07-01;9.0;9.25;9.0;9.0;22400.0
1991-07-02;9.0;9.25;9.0;9.25;44900.0
1991-07-03;9.0;9.25;9.0;9.0;13500.0
1991-07-05;9.0;9.25;9.0;9.0;9700.0
1991-07-08;9.0;9.5;9.0;9.38;44200.0
1991-07-09;9.25;9.5;9.25;9.25;18600.0
1991-07-10;9.25;9.75;9.25;9.38;35900.0
1991-07-11;9.75;9.75;9.25;9.25;5400.0
1991-07-12;9.25;9.75;9.25;9.75;2100.0
1991-07-15;9.25;9.75;9.25;9.75;4200.0
1991-07-16;9.75;10.0;9.38;9.5;11400.0
1991-07-17;9.75;10.0;9.75;10.0;37700.0
1991-07-18;10.0;10.5;9.88;10.5;43200.0
1991-07-19;10.5;10.5;10.0;10.12;52400.0
1991-07-22;10.0;10.0;10.0;10.0;5900.0
1991-07-23;10.0;10.5;10.0;10.25;7500.0
1991-07-24;10.0;10.5;10.0;10.25;104000.0
1991-07-25;10.5;10.5;10.0;10.5;14800.0
1991-07-26;10.0;10.5;10.0;10.12;6300.0
1991-07-29;10.0;10.5;10.0;10.25;1700.0
1991-07-30;10.5;10.62;10.25;10.5;13700.0
1991-07-31;10.75;11.0;10.25;10.5;9600.0
1991-08-01;10.5;11.0;10.5;10.75;4500.0
1991-08-02;11.0;11.0;10.5;11.0;38500.0
1991-08-05;10.5;11.38;10.5;11.0;8800.0
1991-08-06;11.0;11.75;11.0;11.25;19200.0
1991-08-07;11.75;12.0;11.25;12.0;28600.0
1991-08-08;11.75;11.75;11.25;11.25;28000.0
1991-08-09;11.5;11.5;11.5;11.5;3400.0
1991-08-12;12.0;13.12;12.0;12.5;39200.0
1991-08-13;13.25;13.25;12.75;13.25;35400.0
1991-08-14;13.25;13.5;13.0;13.25;37200.0
1991-08-15;13.25;13.5;13.25;13.25;8900.0
1991-08-16;13.25;13.25;13.0;13.0;27100.0
1991-08-19;12.75;12.75;12.12;12.38;48500.0
1991-08-20;12.25;12.5;12.25;12.5;86000.0
1991-08-21;12.5;12.5;12.25;12.25;56600.0
1991-08-22;12.25;13.38;12.25;12.75;115800.0
1991-08-23;13.25;13.25;12.75;13.25;77400.0
1991-08-26;13.0;13.75;13.0;13.25;4500.0
1991-08-27;13.25;14.0;13.25;13.5;9700.0
1991-08-28;13.5;14.0;13.5;13.5;16600.0
1991-08-29;13.88;13.88;13.5;13.88;4100.0
1991-08-30;14.0;14.0;13.5;13.5;5800.0
1991-09-03;13.5;14.25;13.5;14.0;17700.0
1991-09-04;14.25;14.25;14.0;14.0;13300.0
1991-09-05;14.25;14.25;13.75;13.75;19600.0
1991-09-06;14.0;14.0;13.62;13.75;193200.0
1991-09-09;13.75;14.0;13.75;13.88;2200.0
1991-09-10;14.0;14.0;13.5;13.5;5800.0
1991-09-11;13.75;13.75;13.38;13.5;4000.0
1991-09-12;13.75;13.75;13.75;13.75;1000.0
1991-09-13;13.75;13.75;13.25;13.62;6600.0
1991-09-16;13.25;13.25;13.25;13.25;3000.0
1991-09-17;13.25;13.5;13.25;13.5;3200.0
1991-09-18;13.25;13.5;13.25;13.38;6800.0
1991-09-19;13.38;13.38;13.38;13.38;0.0
1991-09-20;13.5;13.5;13.25;13.25;5400.0
1991-09-23;13.0;13.25;13.0;13.0;1530700.0
1991-09-24;13.5;13.5;13.5;13.5;200.0
1991-09-25;13.5;13.75;13.0;13.25;22400.0
1991-09-26;13.75;13.75;13.0;13.0;200.0
1991-09-27;13.75;13.75;13.25;13.25;5800.0
1991-09-30;13.25;13.75;13.25;13.75;700.0
1991-10-01;13.75;14.0;13.75;14.0;9500.0
1991-10-02;13.88;14.5;13.5;14.5;23000.0
1991-10-03;14.75;14.75;14.25;14.75;16100.0
1991-10-04;14.25;14.5;14.25;14.38;10800.0
1991-10-07;14.5;14.62;14.25;14.38;27900.0
1991-10-08;14.5;14.62;14.38;14.62;12500.0
1991-10-09;14.75;14.75;14.5;14.5;3800.0
1991-10-10;14.62;14.75;14.5;14.5;16500.0
1991-10-11;14.5;14.5;14.5;14.5;0.0
1991-10-14;15.0;15.25;15.0;15.0;1700.0
1991-10-15;15.0;15.25;14.5;14.62;22900.0
1991-10-16;14.5;14.5;14.5;14.5;100.0
1991-10-17;15.0;15.0;14.5;14.5;2200.0
1991-10-18;15.0;15.25;14.5;15.25;1500.0
1991-10-21;15.25;15.25;15.25;15.25;300.0
1991-10-22;15.25;15.25;14.5;14.5;400.0
1991-10-23;15.25;15.25;15.25;15.25;2200.0
1991-10-24;14.75;15.25;14.75;15.0;3700.0
1991-10-25;15.5;15.75;15.5;15.75;3700.0
1991-10-28;15.75;15.75;15.75;15.75;900.0
1991-10-29;15.75;16.0;15.5;16.0;12100.0
1991-10-30;16.25;16.25;15.62;15.75;43800.0
1991-10-31;16.0;16.0;15.25;15.62;61300.0
1991-11-01;16.0;16.0;15.0;15.0;8800.0
1991-11-04;15.5;15.5;15.0;15.5;25800.0
1991-11-05;15.75;15.75;15.25;15.25;200.0
1991-11-06;15.75;15.75;15.25;15.5;19400.0
1991-11-07;15.25;15.5;15.25;15.5;1400.0
1991-11-08;15.5;15.5;15.5;15.5;0.0
1991-11-11;15.25;15.25;15.25;15.25;200.0
1991-11-12;15.25;15.25;15.25;15.25;500.0
1991-11-13;15.75;15.88;15.25;15.75;61400.0
1991-11-14;15.5;15.5;15.5;15.5;100.0
1991-11-15;15.5;15.5;15.5;15.5;2000.0
1991-11-18;15.25;15.75;15.25;15.75;50100.0
1991-11-19;15.25;15.75;15.0;15.0;100500.0
1991-11-20;15.25;15.38;15.0;15.25;18200.0
1991-11-21;15.12;15.12;15.0;15.12;36500.0
1991-11-22;15.0;15.5;15.0;15.5;6000.0
1991-11-25;15.0;15.0;14.0;14.0;19600.0
1991-11-26;14.25;14.25;14.0;14.25;85000.0
1991-11-27;14.0;14.5;14.0;14.25;386500.0
1991-11-29;14.0;14.5;14.0;14.25;4000.0
1991-12-02;14.25;14.25;14.12;14.25;34000.0
1991-12-03;14.5;14.5;14.25;14.25;3200.0
1991-12-04;14.5;14.5;14.5;14.5;100.0
1991-12-05;14.0;14.0;14.0;14.0;1000.0
1991-12-06;14.25;14.5;14.0;14.0;10000.0
1991-12-09;14.0;14.5;13.75;13.75;6000.0
1991-12-10;14.5;14.5;13.0;13.12;14100.0
1991-12-11;13.0;13.5;13.0;13.5;1100.0
1991-12-12;13.0;13.0;13.0;13.0;400.0
1991-12-13;13.5;13.5;12.75;13.25;6500.0
1991-12-16;13.25;13.25;12.75;12.75;1900.0
1991-12-17;12.75;13.25;12.75;13.25;600.0
