date;open;high;low;close;volume
1990-03-26;4.75;4.75;4.75;4.75;500.0
1990-03-27;4.75;4.75;4.75;4.75;100.0
1990-03-28;4.75;4.75;4.75;4.75;0.0
1990-03-29;4.75;4.75;4.75;4.75;200.0
1990-03-30;4.875;4.875;4.75;4.75;1200.0
1990-04-02;4.75;4.75;4.75;4.75;900.0
1990-04-03;4.75;4.75;4.75;4.75;500.0
1990-04-04;4.75;4.75;4.75;4.75;1000.0
1990-04-05;4.75;4.75;4.75;4.75;0.0
1990-04-06;4.75;4.75;4.75;4.75;0.0
1990-04-09;4.75;4.75;4.75;4.75;500.0
1990-04-10;4.75;4.75;4.75;4.75;0.0
1990-04-11;4.75;4.75;4.75;4.75;0.0
1990-04-12;5.0;5.0;4.75;4.75;800.0
1990-04-16;4.75;4.75;4.75;4.75;200.0
1990-04-17;4.75;4.875;4.625;4.625;5200.0
1990-04-18;4.625;4.625;4.625;4.625;2200.0
1990-04-19;4.625;4.625;4.625;4.625;1300.0
1990-04-20;4.62;4.62;4.62;4.62;0.0
1990-04-23;4.625;4.625;4.625;4.625;2000.0
1990-04-24;4.62;4.62;4.62;4.62;0.0
1990-04-25;4.62;4.62;4.62;4.62;0.0
1990-04-26;4.625;4.625;4.625;4.625;1000.0
1990-04-27;4.625;4.75;4.5;4.625;5600.0
1990-04-30;4.62;4.62;4.62;4.62;0.0
1990-05-01;4.375;4.5;4.375;4.5;800.0
1990-05-02;4.5;4.5;4.5;4.5;0.0
1990-05-03;4.5;4.5;4.5;4.5;0.0
1990-05-04;4.375;4.375;4.375;4.375;100.0
1990-05-07;4.375;4.375;4.375;4.375;200.0
1990-05-08;4.25;4.313;4.25;4.313;115000.0
1990-05-09;4.5;4.5;4.5;4.5;200.0
1990-05-10;4.5;4.5;4.5;4.5;0.0
1990-05-11;4.5;4.5;4.375;4.375;10700.0
1990-05-14;4.375;4.375;4.375;4.375;1200.0
1990-05-15;4.38;4.38;4.38;4.38;0.0
1990-05-16;4.38;4.38;4.38;4.38;0.0
1990-05-17;4.38;4.38;4.38;4.38;0.0
1990-05-18;4.375;4.375;4.375;4.375;100.0
1990-05-21;4.38;4.38;4.38;4.38;0.0
1990-05-22;4.38;4.38;4.38;4.38;0.0
1990-05-23;4.375;4.75;4.375;4.75;4800.0
1990-05-24;4.375;4.375;4.375;4.375;400.0
1990-05-25;4.5;4.5;4.375;4.375;2000.0
1990-05-29;4.375;4.375;4.375;4.375;200.0
1990-05-30;4.375;4.375;4.375;4.375;500.0
1990-05-31;4.38;4.38;4.38;4.38;0.0
1990-06-01;4.25;4.25;4.25;4.25;23000.0
1990-06-04;4.25;4.25;4.25;4.25;0.0
1990-06-05;4.375;4.375;4.375;4.375;100.0
1990-06-06;4.375;4.375;4.375;4.375;1700.0
1990-06-07;4.375;4.375;4.375;4.375;500.0
1990-06-08;4.375;4.5;4.375;4.5;1000.0
1990-06-11;4.25;4.25;4.25;4.25;400.0
1990-06-12;4.5;4.5;4.5;4.5;1000.0
1990-06-13;4.5;4.5;4.5;4.5;200.0
1990-06-14;4.5;4.5;4.5;4.5;0.0
1990-06-15;4.25;4.25;4.25;4.25;2000.0
1990-06-18;4.375;4.375;4.375;4.375;100.0
1990-06-19;4.25;4.25;4.25;4.25;2100.0
1990-06-20;4.25;4.313;4.0;4.0;15900.0
1990-06-21;3.75;3.75;3.75;3.75;200.0
1990-06-22;4.0;4.0;4.0;4.0;1800.0
1990-06-25;4.125;4.125;3.75;3.75;3400.0
1990-06-26;4.0;4.0;3.5;3.625;11300.0
1990-06-27;3.375;3.5;3.25;3.25;4600.0
1990-06-28;3.25;3.5;3.25;3.5;4600.0
1990-06-29;3.5;3.5;3.5;3.5;2900.0
1990-07-02;3.5;3.5;3.5;3.5;0.0
1990-07-03;3.375;3.375;3.375;3.375;400.0
1990-07-05;3.375;3.375;3.375;3.375;200.0
1990-07-06;3.563;3.563;3.375;3.375;5900.0
1990-07-09;3.5;3.5;3.25;3.25;4900.0
1990-07-10;3.5;3.5;3.5;3.5;400.0
1990-07-11;3.438;3.438;3.125;3.375;17500.0
1990-07-12;3.375;3.375;3.375;3.375;600.0
1990-07-13;3.375;3.5;3.25;3.25;8100.0
1990-07-16;3.313;3.313;3.25;3.25;1100.0
1990-07-17;3.25;3.25;3.25;3.25;600.0
1990-07-18;3.25;3.25;3.25;3.25;500.0
1990-07-19;3.25;3.25;3.25;3.25;200.0
1990-07-20;3.438;3.438;3.25;3.25;8500.0
1990-07-23;3.25;3.375;3.25;3.313;7700.0
1990-07-24;3.31;3.31;3.31;3.31;0.0
1990-07-25;3.31;3.31;3.31;3.31;0.0
1990-07-26;3.125;3.125;3.125;3.125;100.0
1990-07-27;3.375;3.375;3.375;3.375;300.0
1990-07-30;3.38;3.38;3.38;3.38;0.0
1990-07-31;3.125;3.125;3.125;3.125;200.0
1990-08-01;3.12;3.12;3.12;3.12;0.0
1990-08-02;3.375;3.5;3.25;3.5;32200.0
1990-08-03;3.5;4.0;3.375;3.813;9200.0
1990-08-06;4.0;4.125;4.0;4.125;15700.0
1990-08-07;4.125;4.125;4.125;4.125;10500.0
1990-08-08;4.125;4.125;4.125;4.125;100.0
1990-08-09;4.125;4.125;4.125;4.125;2500.0
1990-08-10;4.0;4.75;4.0;4.75;29300.0
1990-08-13;4.375;4.75;4.375;4.375;1100.0
1990-08-14;4.75;4.75;4.75;4.75;2000.0
1990-08-15;4.75;4.75;4.75;4.75;0.0
1990-08-16;4.75;4.75;4.75;4.75;0.0
1990-08-17;4.375;4.625;4.375;4.625;4900.0
1990-08-20;4.5;4.625;4.5;4.625;2100.0
1990-08-21;4.62;4.62;4.62;4.62;0.0
1990-08-22;4.62;4.62;4.62;4.62;0.0
1990-08-23;4.5;4.5;4.25;4.375;2400.0
1990-08-24;4.625;4.75;4.5;4.625;7700.0
1990-08-27;4.625;4.625;4.625;4.625;500.0
1990-08-28;4.625;4.625;4.625;4.625;1600.0
1990-08-29;4.625;4.625;4.625;4.625;100.0
1990-08-30;4.625;4.75;4.625;4.625;11200.0
1990-08-31;4.813;4.813;4.813;4.813;800.0
1990-09-04;4.75;4.875;4.75;4.75;3000.0
1990-09-05;4.75;5.0;4.75;4.75;1400.0
1990-09-06;5.125;5.125;5.0;5.0;1600.0
1990-09-07;4.875;5.0;4.875;4.875;2200.0
1990-09-10;4.875;4.875;4.875;4.875;100.0
1990-09-11;4.875;4.875;4.875;4.875;3500.0
1990-09-12;4.88;4.88;4.88;4.88;0.0
1990-09-13;4.88;4.88;4.88;4.88;0.0
1990-09-14;5.0;5.0;5.0;5.0;700.0
1990-09-17;4.75;4.75;4.75;4.75;5100.0
1990-09-18;4.875;4.875;4.875;4.875;200.0
1990-09-19;4.88;4.88;4.88;4.88;0.0
1990-09-20;4.88;4.88;4.88;4.88;0.0
1990-09-21;4.88;4.88;4.88;4.88;0.0
1990-09-24;4.75;4.75;4.75;4.75;300.0
1990-09-25;4.75;4.75;4.75;4.75;0.0
1990-09-26;4.625;4.625;4.25;4.625;6000.0
1990-09-27;4.62;4.62;4.62;4.62;0.0
1990-09-28;4.5;4.5;4.5;4.5;700.0
1990-10-01;4.5;4.5;4.5;4.5;0.0
1990-10-02;4.25;4.25;4.25;4.25;1000.0
1990-10-03;4.25;4.25;4.125;4.125;3900.0
1990-10-04;4.125;4.125;4.0;4.0;3200.0
1990-10-05;4.0;4.0;4.0;4.0;0.0
1990-10-08;3.875;4.25;3.875;4.25;600.0
1990-10-09;4.0;4.0;4.0;4.0;200.0
1990-10-10;4.0;4.0;4.0;4.0;0.0
1990-10-11;4.0;4.0;4.0;4.0;0.0
1990-10-12;4.0;4.0;3.75;3.75;1100.0
1990-10-15;3.75;3.75;3.75;3.75;100.0
1990-10-16;3.75;3.75;3.75;3.75;3900.0
1990-10-17;3.75;3.75;3.75;3.75;0.0
1990-10-18;3.75;3.75;3.625;3.625;5500.0
1990-10-19;3.5;3.75;3.5;3.75;700.0
1990-10-22;3.5;3.75;3.5;3.75;4100.0
1990-10-23;3.75;3.75;3.75;3.75;0.0
1990-10-24;3.5;3.5;3.5;3.5;100.0
1990-10-25;3.5;3.5;3.5;3.5;0.0
1990-10-26;3.5;3.75;3.5;3.75;1200.0
1990-10-29;3.75;3.75;3.75;3.75;0.0
1990-10-30;3.5;3.5;3.5;3.5;500.0
1990-10-31;3.625;3.75;3.625;3.75;4000.0
1990-11-01;3.75;3.75;3.75;3.75;0.0
1990-11-02;3.75;3.75;3.75;3.75;0.0
1990-11-05;3.75;3.75;3.75;3.75;0.0
1990-11-06;3.5;3.5;3.5;3.5;900.0
1990-11-07;3.625;3.625;3.625;3.625;100.0
1990-11-08;3.62;3.62;3.62;3.62;0.0
1990-11-09;3.75;3.75;3.75;3.75;900.0
1990-11-12;3.625;3.625;3.5;3.5;300.0
1990-11-13;3.5;3.5;3.5;3.5;200.0
1990-11-14;3.5;3.5;3.5;3.5;1000.0
1990-11-15;3.5;3.5;3.5;3.5;0.0
1990-11-16;3.5;3.5;3.5;3.5;0.0
1990-11-19;3.5;3.5;3.5;3.5;4000.0
1990-11-20;3.5;3.5;3.5;3.5;1400.0
1990-11-21;3.75;3.75;3.5;3.5;2500.0
1990-11-23;3.5;3.5;3.5;3.5;0.0
1990-11-26;3.5;3.5;3.5;3.5;0.0
1990-11-27;3.5;3.5;3.5;3.5;500.0
1990-11-28;3.5;3.75;3.5;3.5;3300.0
1990-11-29;3.625;3.75;3.5;3.75;13600.0
1990-11-30;3.5;3.75;3.5;3.5;31000.0
1990-12-03;3.5;3.5;3.5;3.5;500.0
1990-12-04;3.75;3.75;3.5;3.5;1300.0
1990-12-05;3.5;3.5;3.375;3.375;4500.0
1990-12-06;3.375;3.375;3.375;3.375;200.0
1990-12-07;3.563;3.625;3.375;3.375;2200.0
1990-12-10;3.375;3.375;3.375;3.375;1000.0
1990-12-11;3.75;3.75;3.375;3.438;4900.0
1990-12-12;3.375;3.5;3.375;3.5;4200.0
1990-12-13;3.25;3.5;3.125;3.125;4100.0
1990-12-14;3.125;3.125;3.125;3.125;500.0
1990-12-17;3.25;3.375;3.25;3.375;1200.0
1990-12-18;3.125;3.125;3.125;3.125;200.0
1990-12-19;3.125;3.375;3.0;3.25;15100.0
1990-12-20;3.0;3.25;3.0;3.25;3000.0
1990-12-21;3.25;3.25;3.25;3.25;11100.0
1990-12-24;3.25;3.25;3.25;3.25;0.0
1990-12-26;3.125;3.125;3.125;3.125;200.0
1990-12-27;3.25;3.25;3.125;3.125;4700.0
1990-12-28;3.125;3.375;3.125;3.375;4500.0
1990-12-31;3.125;3.125;3.125;3.125;1200.0
1991-01-02;3.125;3.125;3.125;3.125;1000.0
1991-01-03;3.25;3.25;3.25;3.25;1000.0
1991-01-04;3.25;3.25;3.25;3.25;1100.0
1991-01-07;3.25;3.375;3.25;3.375;5600.0
1991-01-08;3.125;3.125;3.125;3.125;600.0
1991-01-09;3.125;3.125;3.125;3.125;500.0
1991-01-10;3.125;3.125;3.125;3.125;100.0
1991-01-11;3.12;3.12;3.12;3.12;0.0
1991-01-14;3.125;3.125;3.125;3.125;200.0
1991-01-15;3.125;3.125;3.125;3.125;100.0
1991-01-16;3.375;3.375;3.125;3.125;1200.0
1991-01-17;3.12;3.12;3.12;3.12;0.0
1991-01-18;3.375;3.375;3.375;3.375;1100.0
1991-01-21;3.125;3.375;3.125;3.313;3900.0
1991-01-22;3.25;3.25;3.25;3.25;900.0
1991-01-23;3.25;3.25;3.25;3.25;0.0
