date;open;high;low;close;volume
2012-04-11;8.0;8.25;7.9;8.0;1718100.0
2012-04-12;8.0;8.07;7.85;8.03;149800.0
2012-04-13;8.1;8.1;7.93;8.05;102200.0
2012-04-16;8.5;8.5;8.0;8.0;157000.0
2012-04-17;8.09;8.19;8.0;8.0;58800.0
2012-04-18;8.09;8.09;8.0;8.0;35100.0
2012-04-19;8.05;8.2;8.0;8.13;44000.0
2012-04-20;8.01;8.09;8.0;8.0;54700.0
2012-04-23;8.0;8.0001;7.89;7.9;43300.0
2012-04-24;7.99;7.99;7.42;7.65;102800.0
2012-04-25;7.9;7.9;7.6;7.71;64100.0
2012-04-26;7.73;7.85;7.7001;7.73;31600.0
2012-04-27;7.85;7.85;7.6;7.7;27000.0
2012-04-30;7.75;7.85;7.7;7.84;19300.0
2012-05-01;7.72;7.74;7.6601;7.74;18000.0
2012-05-02;7.74;7.74;7.6;7.65;12000.0
2012-05-03;7.63;7.7;7.4;7.65;22400.0
2012-05-04;7.6;7.71;7.51;7.66;15300.0
2012-05-07;7.7;7.72;7.5101;7.7;25900.0
2012-05-08;7.51;7.6;7.35;7.45;17900.0
2012-05-09;7.25;7.45;7.25;7.45;13100.0
2012-05-10;7.5;7.74;7.5;7.55;78000.0
2012-05-11;7.5;7.53;7.25;7.38;30600.0
2012-05-14;7.37;7.3832;7.01;7.2;37000.0
2012-05-15;7.3;7.3;7.11;7.24;25500.0
2012-05-16;7.2501;7.39;7.1;7.17;18000.0
2012-05-17;7.21;7.32;7.1;7.1;32100.0
2012-05-18;7.2;7.238;6.75;7.02;59000.0
2012-05-21;7.08;7.47;7.01;7.01;27400.0
2012-05-22;7.0;7.02;6.9;6.9;25900.0
2012-05-23;6.89;7.25;6.7;6.85;16800.0
2012-05-24;6.82;6.9801;6.82;6.92;26200.0
2012-05-25;7.01;7.01;6.76;6.8;7100.0
2012-05-29;6.88;6.88;6.7;6.84;31400.0
2012-05-30;6.7;7.0;6.7;6.81;9600.0
2012-05-31;6.87;6.9201;6.71;6.88;12800.0
2012-06-01;6.81;6.88;6.32;6.8;30800.0
2012-06-04;6.8;6.88;6.39;6.79;17300.0
2012-06-05;6.62;7.01;6.6001;7.0;33300.0
2012-06-06;7.01;7.02;6.51;6.8;16000.0
2012-06-07;6.89;6.99;6.7;6.95;8500.0
2012-06-08;6.82;6.99;6.8;6.91;12900.0
2012-06-11;6.89;6.89;6.57;6.67;3900.0
2012-06-12;6.98;6.98;6.67;6.89;6200.0
2012-06-13;6.66;6.9011;6.32;6.89;37100.0
2012-06-14;6.64;6.73;6.48;6.71;10100.0
2012-06-15;6.71;6.88;6.3889;6.49;37400.0
2012-06-18;6.68;6.88;6.47;6.5;22700.0
2012-06-19;6.6;7.47;6.6;7.46;83600.0
2012-06-20;7.5;7.6989;7.45;7.59;11600.0
2012-06-21;7.6599;7.6599;6.77;7.17;11700.0
2012-06-22;7.25;7.55;7.14;7.54;31400.0
2012-06-25;7.41;7.47;7.01;7.26;12700.0
2012-06-26;7.29;7.44;7.02;7.11;15200.0
2012-06-27;7.03;7.23;6.91;7.23;7500.0
2012-06-28;7.13;7.13;6.78;6.89;17900.0
2012-06-29;7.0;7.24;6.75;6.88;14100.0
2012-07-02;6.81;7.03;6.81;6.86;4400.0
2012-07-03;7.14;7.14;6.87;6.87;200.0
2012-07-05;7.18;7.1989;7.0;7.0;1700.0
2012-07-06;6.98;7.2;6.96;7.12;3600.0
2012-07-09;7.19;7.24;7.06;7.06;1100.0
2012-07-10;7.16;7.24;7.0701;7.17;1000.0
2012-07-11;7.1;7.1;6.91;7.05;5000.0
2012-07-12;6.88;7.25;6.88;7.25;9700.0
2012-07-13;7.2;7.2;6.7501;6.8901;13500.0
2012-07-16;6.93;7.04;6.77;6.77;1000.0
2012-07-17;6.79;6.99;6.75;6.8;3500.0
2012-07-18;6.7501;6.7501;6.14;6.71;10600.0
2012-07-19;6.69;6.76;6.5001;6.72;6500.0
2012-07-20;6.7101;6.9999;6.64;6.69;6200.0
2012-07-23;6.68;6.96;6.31;6.44;11500.0
2012-07-24;6.38;6.38;6.09;6.23;9800.0
2012-07-25;6.25;6.58;6.25;6.53;3100.0
2012-07-26;6.58;6.6395;6.269;6.27;5100.0
2012-07-27;6.3;6.4995;6.25;6.49;1400.0
2012-07-30;6.44;6.5;6.25;6.33;13700.0
2012-07-31;6.49;6.5;6.4;6.4;6600.0
2012-08-01;6.4999;6.5;6.49;6.49;1400.0
2012-08-02;6.4501;6.4501;5.9;6.2;31700.0
2012-08-03;6.25;6.46;6.25;6.31;3600.0
2012-08-06;6.31;6.46;6.3;6.46;2000.0
2012-08-07;6.4;6.46;6.4;6.4;3300.0
2012-08-08;6.0201;6.7;6.01;6.51;32400.0
2012-08-09;6.56;6.7601;6.25;6.44;18100.0
2012-08-10;6.37;6.7;6.21;6.21;13000.0
2012-08-13;6.25;6.7;6.25;6.69;5600.0
2012-08-14;6.5;6.9455;6.43;6.93;9000.0
2012-08-15;6.86;6.86;6.4501;6.73;4800.0
2012-08-16;6.84;6.84;6.4;6.6;11000.0
2012-08-17;6.7299;6.7299;6.31;6.57;14000.0
2012-08-20;6.57;6.57;6.19;6.49;23700.0
2012-08-21;6.44;6.46;6.0;6.15;25100.0
2012-08-22;6.13;6.16;6.05;6.05;1800.0
2012-08-23;6.14;6.17;5.63;5.94;21900.0
2012-08-24;5.97;6.02;5.52;5.7811;26500.0
2012-08-27;5.83;5.91;5.47;5.9;2100.0
2012-08-28;5.89;5.89;5.3489;5.61;22900.0
2012-08-29;5.55;5.7901;5.55;5.79;5300.0
2012-08-30;5.72;5.836;5.5501;5.57;4200.0
2012-08-31;5.64;5.8599;5.39;5.5999;9000.0
2012-09-04;5.63;5.8208;5.4;5.53;5600.0
2012-09-05;5.4999;5.86;5.48;5.79;19100.0
2012-09-06;5.7;5.84;5.62;5.71;5500.0
2012-09-07;5.78;5.99;5.78;5.99;6500.0
2012-09-10;5.95;6.46;5.82;6.33;17300.0
2012-09-11;6.45;6.51;5.9;6.51;6700.0
2012-09-12;6.45;6.5;6.08;6.25;9500.0
2012-09-13;6.06;6.7399;5.93;6.52;3800.0
2012-09-14;6.51;6.75;6.11;6.75;4800.0
2012-09-17;6.84;6.84;6.41;6.5;3000.0
2012-09-18;6.61;6.85;6.55;6.75;30700.0
2012-09-19;6.6101;6.9;6.6101;6.85;11000.0
2012-09-20;6.94;7.15;6.7;7.02;21100.0
2012-09-21;7.1;7.4009;7.0;7.39;30000.0
2012-09-24;7.39;7.49;7.21;7.32;14100.0
2012-09-25;7.1101;7.71;7.1101;7.36;35200.0
2012-09-26;7.41;7.5;6.89;7.42;9800.0
2012-09-27;7.24;7.51;7.24;7.35;26100.0
2012-09-28;7.4;7.5;7.22;7.31;13100.0
2012-10-01;7.25;7.56;7.25;7.34;10100.0
2012-10-02;7.35;7.35;7.2;7.2;9000.0
2012-10-03;7.17;7.5;7.1;7.5;8100.0
2012-10-04;7.52;7.52;7.0201;7.45;6700.0
2012-10-05;7.46;7.59;7.41;7.42;17300.0
2012-10-08;7.46;7.55;7.36;7.5;20400.0
2012-10-09;7.5;7.55;7.305;7.41;13700.0
2012-10-10;7.3;7.55;7.3;7.48;15000.0
2012-10-11;7.55;7.55;7.45;7.5;7500.0
2012-10-12;7.5101;7.55;7.3501;7.41;10000.0
2012-10-15;7.52;7.52;7.34;7.39;300.0
2012-10-16;7.45;7.4501;7.45;7.4501;900.0
2012-10-17;7.45;7.46;7.43;7.46;900.0
2012-10-18;7.5;7.55;7.5;7.55;1300.0
2012-10-19;7.4999;7.5;7.4;7.5;6100.0
2012-10-22;7.4;7.45;7.4;7.45;1700.0
2012-10-23;7.3801;7.44;7.3;7.44;4900.0
2012-10-24;7.32;7.45;7.11;7.43;6900.0
2012-10-25;7.45;7.48;7.45;7.47;1500.0
2012-10-26;7.46;7.55;7.44;7.5;18500.0
2012-10-31;7.4;7.52;7.22;7.52;17400.0
2012-11-01;7.5;7.51;7.48;7.51;2800.0
2012-11-02;7.184;7.55;7.184;7.4;10600.0
2012-11-05;7.4;7.5;7.4;7.46;4600.0
2012-11-06;7.3;7.49;7.15;7.49;5400.0
2012-11-07;7.47;7.549;7.44;7.51;7200.0
2012-11-08;7.85;8.25;7.1201;7.6;170800.0
2012-11-09;7.5;7.85;6.9;7.67;65700.0
2012-11-12;7.67;7.8;7.5701;7.74;9200.0
2012-11-13;7.75;7.75;7.5;7.69;9500.0
2012-11-14;7.68;7.79;7.65;7.7;5500.0
2012-11-15;7.61;7.61;7.34;7.5;8600.0
2012-11-16;7.57;7.77;7.35;7.74;4500.0
2012-11-19;7.7;7.77;7.4;7.4;15200.0
2012-11-20;7.45;7.58;7.36;7.47;7000.0
2012-11-21;7.41;7.7;7.41;7.48;2000.0
2012-11-23;7.47;7.7;7.47;7.65;3200.0
2012-11-26;7.67;7.75;7.5;7.7;13900.0
2012-11-27;7.75;7.9;7.5;7.8499;29900.0
2012-11-28;7.85;7.85;7.53;7.68;20200.0
2012-11-29;7.85;7.85;7.35;7.61;32500.0
2012-11-30;7.49;7.75;7.35;7.62;17000.0
2012-12-03;7.72;7.8;7.42;7.77;22800.0
2012-12-04;7.78;8.05;7.78;7.98;161500.0
2012-12-05;8.02;8.27;7.91;8.17;125100.0
2012-12-06;8.24;8.32;7.92;8.04;26900.0
2012-12-07;8.05;8.24;7.98;8.03;12800.0
2012-12-10;8.03;8.25;8.02;8.1;17300.0
2012-12-11;8.1614;8.24;7.9901;8.24;38600.0
2012-12-12;8.25;8.25;8.04;8.09;12300.0
2012-12-13;8.03;8.2;8.0;8.14;51300.0
2012-12-14;8.12;8.18;8.01;8.01;11600.0
2012-12-17;8.11;8.24;7.9999;8.175;36000.0
2012-12-18;8.23;8.25;8.1;8.22;17200.0
2012-12-19;8.2;8.37;8.1284;8.25;26600.0
2012-12-20;8.2499;8.38;8.08;8.3;61500.0
2012-12-21;8.31;8.31;8.03;8.03;34300.0
2012-12-24;8.09;8.09;7.85;8.0;10900.0
2012-12-26;8.08;8.26;8.08;8.26;3000.0
2012-12-27;8.32;8.369;8.15;8.15;24000.0
2012-12-28;8.213;8.25;8.03;8.2459;10200.0
2012-12-31;8.39;8.44;8.11;8.43;30500.0
2013-01-02;8.45;8.75;8.45;8.68;49700.0
2013-01-03;8.78;9.1915;8.76;9.18;58700.0
2013-01-04;9.18;9.58;9.175;9.26;52100.0
2013-01-07;9.4;9.85;9.3;9.81;33400.0
2013-01-08;9.89;9.93;9.55;9.7;28000.0
2013-01-09;9.85;9.889;9.6901;9.74;22300.0
2013-01-10;9.8;9.9;9.7;9.9;10000.0
2013-01-11;9.9;9.95;9.75;9.8601;18600.0
2013-01-14;9.93;10.33;9.72;9.72;94900.0
2013-01-15;9.81;9.81;9.25;9.62;33100.0
2013-01-16;9.54;9.83;9.54;9.83;16400.0
2013-01-17;9.9;9.9;9.63;9.63;13500.0
2013-01-18;9.609;9.9;9.609;9.9;5300.0
2013-01-22;9.99;9.99;9.7;9.84;29300.0
2013-01-23;9.8;10.19;9.7801;10.15;38000.0
2013-01-24;10.19;10.35;10.19;10.25;28300.0
2013-01-25;10.25;10.62;10.25;10.43;19900.0
2013-01-28;10.49;10.49;10.1025;10.33;39000.0
2013-01-29;10.39;10.61;10.0002;10.6;35200.0
2013-01-30;10.59;11.5;10.4895;11.5;83600.0
2013-01-31;11.63;11.93;11.25;11.73;140700.0
2013-02-01;11.88;12.0;11.85;11.96;66300.0
2013-02-04;11.9;12.1;11.9;11.94;45200.0
2013-02-05;11.99;12.0;11.62;11.85;70600.0
2013-02-06;11.85;11.9;11.36;11.89;33700.0
2013-02-07;11.76;11.9;11.6115;11.82;13100.0
2013-02-08;11.89;11.89;11.7;11.7;8800.0
2013-02-11;11.732;12.21;11.732;12.03;40800.0
2013-02-12;12.05;12.88;12.0499;12.62;44600.0
2013-02-13;12.8;13.47;12.7499;13.0;41400.0
2013-02-14;13.09;14.0;13.05;13.61;70500.0
2013-02-15;12.98;13.2499;12.729;13.19;72000.0
2013-02-19;13.25;13.7999;13.25;13.49;21100.0
2013-02-20;13.7;13.7;12.06;12.1;132200.0
2013-02-21;11.86;12.08;11.29;11.58;53000.0
2013-02-22;11.75;12.0;11.65;11.79;32800.0
2013-02-25;11.99;12.62;11.62;11.89;35700.0
2013-02-26;11.91;12.726;11.81;12.72;30000.0
2013-02-27;12.59;13.58;12.55;13.58;50300.0
2013-02-28;13.37;13.74;12.6465;13.32;33900.0
2013-03-01;12.98;13.181;11.94;12.99;21500.0
2013-03-04;12.52;13.48;12.47;13.1;15400.0
2013-03-05;13.15;13.29;12.35;13.14;43000.0
2013-03-06;13.15;13.21;12.89;13.06;14600.0
2013-03-07;13.14;13.95;12.9;13.52;37400.0
2013-03-08;13.52;13.94;13.34;13.56;22100.0
2013-03-11;13.85;14.5;13.62;14.08;59700.0
2013-03-12;14.07;14.07;12.57;13.78;37300.0
2013-03-13;13.9;13.94;13.44;13.685;19600.0
2013-03-14;13.9;14.05;13.25;13.79;43500.0
2013-03-15;13.94;14.47;13.94;14.07;23700.0
2013-03-18;14.0;14.25;13.75;13.76;34200.0
2013-03-19;13.95;14.1764;13.86;14.13;48200.0
2013-03-20;16.25;16.4999;14.17;15.11;302600.0
2013-03-21;15.3299;16.19;14.95;15.78;79400.0
2013-03-22;15.93;16.0;15.22;15.75;31800.0
2013-03-25;15.75;16.17;15.63;16.0;24700.0
2013-03-26;16.19;16.19;15.8;16.02;11100.0
2013-03-27;15.9101;16.3;15.9101;16.03;35800.0
2013-03-28;16.12;16.52;16.0;16.26;48800.0
2013-04-01;16.35;16.9;16.35;16.57;42700.0
2013-04-02;16.7;17.22;16.5;16.99;27600.0
2013-04-03;17.07;17.4999;16.99;17.1;44800.0
2013-04-04;17.19;17.27;16.99;17.08;23200.0
2013-04-05;17.04;17.35;16.4;17.35;59600.0
2013-04-08;17.48;18.2084;17.4;17.9;87400.0
2013-04-09;18.2;18.5199;18.01;18.1;76600.0
2013-04-10;18.48;18.48;18.02;18.44;48200.0
2013-04-11;18.45;19.88;18.38;19.29;137100.0
2013-04-12;19.44;19.95;18.97;19.58;65800.0
2013-04-15;19.97;19.999;18.9;19.44;174800.0
2013-04-16;20.15;20.69;19.7501;20.02;66700.0
2013-04-17;20.08;20.25;19.22;19.96;84700.0
2013-04-18;19.61;20.1999;19.61;19.87;38300.0
2013-04-19;20.0;21.29;19.63;20.82;105700.0
2013-04-22;20.66;21.149;20.6;20.6;77200.0
2013-04-23;20.61;20.68;18.601;19.29;180400.0
2013-04-24;18.99;19.5168;16.65;17.41;264000.0
2013-04-25;17.41;19.55;17.0;19.18;274600.0
2013-04-26;19.22;20.13;19.22;19.72;111100.0
2013-04-29;19.89;20.05;19.15;19.42;104300.0
2013-04-30;19.23;20.05;18.75;19.81;87800.0
2013-05-01;19.81;19.875;18.9499;19.03;69700.0
2013-05-02;19.34;19.7752;19.1;19.47;56500.0
2013-05-03;19.67;20.21;19.334;19.94;74100.0
2013-05-06;20.11;20.58;19.476;20.29;114300.0
2013-05-07;20.47;21.45;20.4;20.99;141500.0
2013-05-08;20.99;21.35;20.65;21.3;96800.0
2013-05-09;21.3;21.495;20.85;20.95;112200.0
2013-05-10;23.25;24.0;22.05;23.87;215800.0
2013-05-13;24.43;26.9708;23.9;26.32;286300.0
2013-05-14;26.76;27.93;26.1201;26.38;274100.0
2013-05-15;26.21;27.5;26.0;27.5;147900.0
2013-05-16;27.66;29.4158;27.53;28.05;530300.0
2013-05-17;28.0;28.8499;27.5007;28.1;628200.0
2013-05-20;28.31;29.24;26.12;26.34;513800.0
2013-05-21;26.8;27.629;26.5;26.67;246200.0
2013-05-22;26.62;27.0;24.3301;25.11;393700.0
2013-05-23;24.4;25.687;23.61;25.25;200400.0
2013-05-24;25.25;26.0809;24.0;24.29;172600.0
2013-05-28;24.78;25.25;24.1;24.49;192900.0
2013-05-29;24.47;24.75;23.8;24.48;85500.0
2013-05-30;24.42;25.61;24.41;24.89;107800.0
2013-05-31;24.77;25.29;24.15;24.87;87200.0
2013-06-03;24.72;25.38;24.16;24.75;124800.0
2013-06-04;24.63;25.29;24.63;25.07;57900.0
2013-06-05;25.1;25.3;24.82;25.2;145900.0
2013-06-06;25.3;26.869;25.3;26.55;106300.0
2013-06-07;27.21;27.769;26.7583;26.9;137200.0
2013-06-10;26.33;27.25;25.46;26.73;171200.0
2013-06-11;26.32;26.66;25.7;26.07;106600.0
2013-06-12;26.26;26.26;23.7401;24.36;201200.0
2013-06-13;24.12;24.38;18.65;20.05;1217500.0
2013-06-14;19.26;21.49;19.17;21.0;473200.0
2013-06-17;21.3;21.76;19.5;19.82;415500.0
2013-06-18;20.27;21.2499;20.16;20.83;213200.0
2013-06-19;22.0;22.24;20.17;20.56;152700.0
2013-06-20;20.13;20.17;18.46;19.06;226700.0
2013-06-21;19.15;19.1855;18.11;18.35;162600.0
2013-06-24;17.99;18.67;17.65;18.14;106500.0
2013-06-25;18.19;18.65;17.635;18.01;71900.0
2013-06-26;18.05;18.92;17.8;18.78;80200.0
