date;open;high;low;close;volume
1997-01-22;14.0;14.0;13.0;13.0;652250.0
1997-01-23;13.5;13.63;13.0;13.38;427800.0
1997-01-24;13.5;17.0;13.0;17.0;493200.0
1997-01-27;18.25;22.5;18.13;20.25;674550.0
1997-01-28;21.0;21.0;17.75;18.0;1135300.0
1997-01-29;18.0;18.0;17.25;17.75;98650.0
1997-01-30;17.25;18.0;16.75;17.25;886300.0
1997-01-31;17.25;18.0;17.25;17.5;37100.0
1997-02-03;18.0;19.0;17.38;19.0;137400.0
1997-02-04;19.75;19.75;18.25;18.37;163100.0
1997-02-05;18.75;18.75;17.75;17.88;127550.0
1997-02-06;17.75;18.5;17.75;17.75;43250.0
1997-02-07;17.75;18.5;17.75;17.75;11100.0
1997-02-10;18.5;18.5;16.5;16.63;101900.0
1997-02-11;16.63;17.25;16.5;17.0;75700.0
1997-02-12;17.25;17.25;16.5;16.63;56800.0
1997-02-13;17.0;17.0;16.5;16.5;12550.0
1997-02-14;16.5;16.88;16.25;16.25;31150.0
1997-02-18;16.75;16.75;16.25;16.75;6250.0
1997-02-19;16.75;17.5;16.75;17.5;71850.0
1997-02-20;17.75;17.75;17.25;17.25;37750.0
1997-02-21;17.25;17.75;16.75;16.88;26800.0
1997-02-24;16.75;17.25;16.5;16.75;15800.0
1997-02-25;16.25;17.0;16.25;16.25;24050.0
1997-02-26;17.0;17.0;15.75;15.75;14200.0
1997-02-27;16.25;16.25;15.75;16.0;8550.0
1997-02-28;16.25;16.25;15.44;16.0;72350.0
1997-03-03;16.0;16.0;15.5;16.0;7400.0
1997-03-04;15.5;16.0;15.5;15.75;4800.0
1997-03-05;16.0;16.0;15.5;15.5;12550.0
1997-03-06;15.25;15.63;14.5;14.75;31000.0
1997-03-07;14.5;14.75;12.75;12.75;78150.0
1997-03-10;12.75;13.25;10.69;11.5;374500.0
1997-03-11;11.0;11.5;10.25;10.69;96550.0
1997-03-12;10.75;11.12;10.5;10.75;88300.0
1997-03-13;10.87;10.87;10.62;10.75;120450.0
1997-03-14;10.75;10.75;10.5;10.75;10150.0
1997-03-17;11.0;11.25;10.5;10.56;111900.0
1997-03-18;11.0;11.0;10.56;10.69;111550.0
1997-03-19;10.69;10.87;10.56;10.62;24700.0
1997-03-20;10.5;10.5;10.25;10.5;63100.0
1997-03-21;10.37;11.0;10.12;10.12;60050.0
1997-03-24;10.25;10.37;10.25;10.37;15650.0
1997-03-25;10.37;10.37;10.25;10.37;34550.0
1997-03-26;10.5;11.0;10.37;10.69;7250.0
1997-03-27;11.37;12.0;11.37;11.62;102050.0
1997-03-31;11.87;13.25;11.5;12.5;74750.0
1997-04-01;12.75;12.75;12.38;12.53;71200.0
1997-04-02;12.5;12.5;11.75;11.87;29550.0
1997-04-03;12.13;12.13;11.75;11.75;4650.0
1997-04-04;12.13;12.13;11.75;11.75;6100.0
1997-04-07;12.13;12.13;11.25;11.75;107350.0
1997-04-08;11.5;11.5;10.75;11.0;65400.0
1997-04-09;11.0;11.0;10.5;11.0;5950.0
1997-04-10;11.0;11.0;10.5;10.5;8050.0
1997-04-11;10.87;10.87;10.87;10.87;5150.0
1997-04-14;10.87;10.87;10.5;10.5;5300.0
1997-04-15;10.5;10.87;10.25;10.75;33250.0
1997-04-16;10.5;10.56;10.5;10.5;8550.0
1997-04-17;10.62;10.62;10.25;10.37;2700.0
1997-04-18;10.25;10.37;10.25;10.25;13200.0
1997-04-21;10.37;10.37;10.25;10.31;9000.0
1997-04-22;10.25;10.37;10.25;10.25;12100.0
1997-04-23;10.37;10.37;10.25;10.37;15300.0
1997-04-24;10.0;10.31;10.0;10.0;79900.0
1997-04-25;10.19;10.19;9.75;9.87;51500.0
1997-04-28;9.87;10.37;9.75;9.94;4800.0
1997-04-29;9.75;9.87;8.62;9.25;104800.0
1997-04-30;8.87;9.37;8.62;9.0;7900.0
1997-05-01;8.62;9.0;8.62;8.62;5650.0
1997-05-02;8.62;9.0;8.62;8.75;22900.0
1997-05-05;8.81;9.75;8.75;9.75;20650.0
1997-05-06;10.0;11.0;9.97;10.62;90600.0
1997-05-07;10.62;10.87;10.25;10.75;82200.0
1997-05-08;11.0;12.88;10.87;12.38;167750.0
1997-05-09;12.5;13.25;12.5;12.88;88950.0
1997-05-12;13.38;13.5;12.88;13.5;27450.0
1997-05-13;13.5;13.63;12.88;13.13;49900.0
1997-05-14;12.88;13.25;12.25;13.0;58100.0
1997-05-15;12.75;12.75;12.13;12.25;31150.0
1997-05-16;12.75;12.75;11.75;11.75;8850.0
1997-05-19;11.75;12.25;11.75;12.25;7400.0
1997-05-20;12.25;12.25;11.37;11.75;28900.0
1997-05-21;11.75;12.13;11.37;11.75;54900.0
1997-05-22;11.5;11.81;11.19;11.5;17750.0
1997-05-23;12.13;12.13;11.5;11.5;450.0
1997-05-27;12.13;12.13;11.5;12.13;16150.0
1997-05-28;11.5;12.38;11.5;11.87;24200.0
1997-05-29;12.38;12.38;11.87;12.0;5000.0
1997-05-30;11.75;12.25;11.75;12.25;2250.0
1997-06-02;12.25;12.38;11.62;12.38;8700.0
1997-06-03;11.87;12.5;11.87;12.19;12900.0
1997-06-04;12.5;12.5;11.87;12.0;4650.0
1997-06-05;11.87;12.5;11.87;12.25;5950.0
1997-06-06;12.5;12.5;12.0;12.5;13850.0
1997-06-09;12.06;12.63;12.0;12.63;5000.0
1997-06-10;12.75;13.75;12.75;13.5;28100.0
1997-06-11;13.75;13.75;13.19;13.38;4650.0
1997-06-12;13.63;13.63;11.5;11.94;74600.0
1997-06-13;11.94;12.63;11.62;12.25;41300.0
1997-06-16;12.38;13.13;12.0;13.13;25350.0
1997-06-17;13.38;13.38;13.0;13.25;8350.0
1997-06-18;12.75;13.25;12.75;12.75;4650.0
1997-06-19;12.75;13.13;12.75;12.77;2250.0
1997-06-20;13.13;13.13;12.5;13.13;18700.0
1997-06-23;13.0;13.0;12.5;13.0;35650.0
1997-06-24;13.0;13.0;12.75;12.75;2550.0
